@relation 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute TRINARYp numeric
@attribute VCG_CLAUSE_entropy numeric
@attribute cl_num_min numeric
@attribute algorithm {ebglucose,ebminisat,glucose2,glueminisat,lingeling,lrglshr,minisatpsm,mphaseSAT64,precosat,qutersat,rcl,restartsat,cryptominisat2011,spear-sw,spear-hw,eagleup,sparrow,marchrw,mphaseSATm,satime11,tnm,mxc09,gnoveltyp2,sattime,sattimep,clasp2,clasp1,picosat,mphaseSAT,sapperlot,sol,allfair}

@data

0.9626,0.1655,8,sparrow
0.468,1.6206,89,glucose2
0,0,4227,eagleup
0.9501,0.9825,0,lrglshr
0.9632,0.1632,4,sparrow
0.6785,0.8565,3790,satime11
0.9663,0.1537,8,sparrow
0.8731,1.0373,0,cryptominisat2011
0.6128,1.2175,495,restartsat
0.9717,0.2542,0,lrglshr
0.7264,1.7495,0,glucose2
0.8711,1.0619,550,lingeling
0.9732,0.4533,0,ebminisat
0.9662,0.163,3849,marchrw
0,0,3968,sattimep
0,0,4397,sparrow
0.9567,0.3769,0,clasp1
0.2051,0.6155,730,mphaseSAT64
0.9849,0.0803,3768,marchrw
0.1035,0.3326,3428,mphaseSAT64
0.9653,0.156,1,eagleup
0.8121,0.5281,4779,sol
0,0,27,sparrow
0.4693,1.6207,206,glucose2
0,0,4032,mphaseSAT64
0,0,4116,eagleup
0.9595,0.1744,33,sparrow
0.483,1.7163,118,lrglshr
0.8998,1.0226,75,lingeling
0,0,17,sparrow
0.9822,0.0895,0,picosat
0.9683,0.1406,3882,marchrw
0.1759,2.6115,256,glueminisat
0,0,4360,gnoveltyp2
0,0,4067,eagleup
0.897,0.3424,4715,allfair
0.0882,2.0397,668,cryptominisat2011
0.5942,1.0891,3574,lingeling
0,0.9131,1082,glueminisat
0.6687,1.2565,1402,precosat
0,0,30,tnm
0.979,0.1114,3818,marchrw
0.5634,1.689,114,glucose2
0.6928,1.0597,238,lrglshr
0.9833,0.0847,0,ebminisat
0.9135,0.8881,332,glucose2
?,?,?,picosat
0.8988,0.9584,403,clasp1
0.9988,0.0975,1435,precosat
0,0,38,gnoveltyp2
0,0,4142,eagleup
0.9169,0.8605,295,clasp1
0,0,4008,sattimep
0.5908,1.2933,1515,ebminisat
1,0,4330,marchrw
0.9906,0.0741,0,ebglucose
0,0,27,sparrow
0.0952,2.039,691,clasp2
0.9906,0.0593,3851,marchrw
0.0916,2.0383,1018,glueminisat
0.9728,0.2671,1380,cryptominisat2011
0.9495,0.204,4886,allfair
0,0,4379,sparrow
0.9338,0.4957,0,lrglshr
0.9611,0.1714,18,eagleup
0.973,0.124,3683,sparrow
0,0,4150,satime11
0.9284,0.8213,418,spear-hw
0.6795,1.1452,542,qutersat
0.797,1.0757,2796,cryptominisat2011
0.8413,1.1228,0,rcl
0.9396,0.9808,0,glucose2
0,0,4439,gnoveltyp2
0.9631,0.1644,1,sparrow
0.9742,0.1251,90,sparrow
0.9614,0.17,3758,sparrow
0.9792,0.1255,0,sparrow
0.6927,1.0617,433,glueminisat
0.85,1.0735,7,lingeling
0.9603,0.1669,3949,marchrw
0.8333,0.4506,4568,mphaseSAT64
0.8269,1.1396,14,mphaseSAT64
0.9784,0.1044,3775,satime11
0.9476,0.2175,3660,eagleup
0,0,4271,marchrw
0.9299,0.2767,406,mxc09
0,0,0,picosat
0.8711,1.0378,0,qutersat
0.0003,0.2162,3901,sparrow
0.9997,0.6733,248,precosat
0.9416,0.2365,85,sparrow
0.8105,1.1609,2680,qutersat
0.7904,1.3418,75,minisatpsm
0.519,1.6694,475,glucose2
0.9408,0.7387,0,clasp2
0,0.7996,421,qutersat
0.8333,0.4506,4527,sattimep
0.821,1.0882,713,sparrow
0.9752,0.1162,3838,tnm
0.8476,1.2648,0,lrglshr
0.7392,1.0163,1017,glucose2
0,0.9131,1082,glueminisat
0.9654,0.1583,30,sparrow
0.5552,0.8813,192,qutersat
0.8734,0.8357,0,glueminisat
0.1927,0.6269,0,glucose2
0,0,4411,marchrw
0.9721,0.1294,3714,sattime
0.1058,2.5732,114,glueminisat
0.7743,1.0192,21,mphaseSATm
0.9349,0.2593,196,tnm
0.8449,0.4834,4609,mxc09
0.988,0.0857,0,rcl
0,0,1801,precosat
0,0.8555,427,glucose2
0.966,0.1534,2,sparrow
0.9744,0.8854,1,minisatpsm
0.9657,0.1493,3808,marchrw
0.9395,0.9825,0,minisatpsm
0.0909,0.8158,0,ebminisat
0,0,4232,eagleup
0.9297,0.9742,0,glueminisat
0.9738,0.1469,217,clasp2
0,0,4280,marchrw
0.0933,2.148,762,qutersat
0.5286,0.9174,104,cryptominisat2011
0.8333,0.4506,4482,tnm
0.9258,0.2866,228,tnm
0.069,0.251,2616,mphaseSAT64
0.9247,0.3344,4538,sparrow
0.475,1.699,171,lrglshr
0.6133,1.2695,913,precosat
0.6038,1.2905,0,ebminisat
0.9993,0.6749,1361,ebglucose
0.8291,0.8253,509,allfair
0.7291,1.3838,2311,cryptominisat2011
0.1398,0.4854,438,cryptominisat2011
0.964,0.1552,3839,sparrow
0.7861,1.3418,12,picosat
0.9586,0.1754,3850,marchrw
0,0,4107,eagleup
0.1793,2.1227,426,clasp2
0.8234,0.9445,327,cryptominisat2011
0,0,3973,gnoveltyp2
0,0,4237,sparrow
0.8544,1.0987,2,precosat
0,0,27,gnoveltyp2
0,0,4399,tnm
0.5677,1.5797,1589,glucose2
0.0303,0.6811,4202,spear-sw
0.5407,0.9018,141,cryptominisat2011
0.9711,0.1332,3696,tnm
0.1232,2.6087,270,glueminisat
0.3899,1.1397,4121,picosat
0.9761,0.3937,0,sapperlot
0.9356,0.2389,4872,gnoveltyp2
0.5407,0.9018,135,cryptominisat2011
0.6642,1.2633,2995,precosat
0.9329,0.2546,4677,allfair
0.8333,0.4506,4481,ebminisat
0.8098,1.1361,423,mphaseSAT
0.9675,0.1476,1,sparrow
0.9601,0.1676,3865,marchrw
0.4677,1.7298,2884,ebminisat
0.5335,0.9206,84,lingeling
0.8785,0.8694,688,sparrow
0.6631,1.6117,19,glucose2
0.5909,1.0535,481,spear-sw
0,0,4041,sattimep
?,?,?,picosat
0.9682,0.2213,125,sol
0,0.0081,2232,mxc09
0.7003,1.7291,164,glueminisat
0.4535,1.6954,114,minisatpsm
0.5478,1.0326,3803,marchrw
0.9637,0.1599,7,eagleup
0.9589,0.9332,0,glucose2
0.6819,0.851,4174,clasp2
0.9085,0.3059,271,sparrow
0.7836,1.0009,20,mphaseSAT64
0.4591,1.6816,125,lrglshr
0.6795,1.1452,491,qutersat
0.9189,0.2917,1600,allfair
0.9664,0.23,6,mphaseSATm
0.1057,2.572,56,glueminisat
0,0,4515,marchrw
0,0,4505,marchrw
0.7228,1.8178,0,minisatpsm
0.8632,0.9175,3851,restartsat
0.6975,0.7647,84,rcl
0,0,4444,sparrow
0.6372,0.9776,0,ebminisat
0.4502,1.6393,32,minisatpsm
1,0,4340,mphaseSAT64
0.8503,1.0694,3,lingeling
0.8333,0.4506,4320,sattime
0.9829,0.0866,3805,marchrw
0.4652,1.6807,45,picosat
0,0,4463,marchrw
0.9298,0.2801,361,sattime
0.1013,2.1398,1356,clasp2
0,0,4258,marchrw
0.6927,1.0617,433,lingeling
0.8694,0.9097,2657,satime11
0.8155,1.2367,0,glucose2
0.9661,0.1512,755,satime11
0.8207,0.9593,368,ebminisat
0.979,0.1419,22,sol
0.6133,1.2695,913,precosat
0,0.5983,2536,marchrw
0.9253,0.2883,177,tnm
0.9335,0.2632,146,tnm
0.9668,0.1845,403,sattimep
0.7398,1.24,0,clasp2
0,0,14,sparrow
0.9655,0.1555,2,sparrow
1,0.0131,4318,mphaseSATm
0.0932,2.1194,901,ebminisat
0.9662,0.1505,9,sparrow
0.0789,0.7941,0,ebminisat
0.8446,1.1418,264,mphaseSAT64
0.863,1.0832,0,lingeling
0.7619,0.5489,0,marchrw
0,0,4477,marchrw
0.6394,2.2077,0,ebminisat
0.8182,0.4741,4886,marchrw
0.9856,0.1075,7,sol
?,?,?,restartsat
0.8333,0.4506,4622,sattime
0.8121,0.5281,4779,sol
1,0,4340,mphaseSAT64
0,0,4443,marchrw
0.5824,1.5594,2045,lingeling
0,0,3499,sattimep
0.5858,1.4231,0,clasp2
0,0,4036,sattimep
0.9697,0.1562,151,clasp2
0.9643,0.16,4,sparrow
0.9797,0.0993,3597,gnoveltyp2
0,0,4289,mphaseSAT64
0.933,0.2642,140,sparrow
0.6448,1.6131,1234,glueminisat
0.825,1.0423,2455,sol
0.8925,0.4159,2138,eagleup
0.8346,1.0838,5,sparrow
0,0,4470,marchrw
0.6991,1.0522,46,glueminisat
0.9712,0.1305,3599,eagleup
0.9636,0.1611,27,eagleup
0.964,0.1609,1,sparrow
0.9389,0.955,2,glueminisat
0,0,4359,mphaseSATm
0.7411,1.7249,0,minisatpsm
0,0,4071,eagleup
0,0.1914,4725,sol
0.8797,0.9578,688,mphaseSAT64
0.8586,1.0857,2,mxc09
0.9647,0.1528,0,spear-hw
0.8068,1.1318,548,restartsat
0.862,0.9245,487,sparrow
0,0,4344,eagleup
0.9621,0.1613,3832,marchrw
0.9577,0.1929,3652,mphaseSAT64
0.9396,0.2459,143,sattime
0.9315,0.2755,597,sattime
0.9652,0.1568,12,sparrow
0.2202,0.7652,2698,sapperlot
0.5916,1.2935,1490,glueminisat
0.9995,0.0672,90,lingeling
0.9087,0.3319,4669,clasp2
0.9372,0.6114,73,ebminisat
0.9569,0.1834,3872,eagleup
0.9103,0.6371,3832,marchrw
0.4502,1.6393,32,minisatpsm
0.9721,0.1295,3693,tnm
0.9031,1.0111,81,cryptominisat2011
0.9645,0.1633,3774,marchrw
0.9997,0.6732,165,clasp2
0.6394,2.2077,0,lrglshr
0,0,9,sparrow
0.9212,0.6072,3721,sparrow
0.4442,1.6713,35,ebglucose
0.5427,0.9025,76,cryptominisat2011
0.9767,0.1212,3916,marchrw
0.586,1.4215,0,clasp2
0.9664,0.1527,4,eagleup
0.9282,0.9665,0,clasp2
0.9744,0.8854,1,minisatpsm
0,0,4057,eagleup
0.6047,1.3044,771,picosat
0.5952,1.2863,0,ebminisat
0.9687,0.1449,107,tnm
0.9359,0.2599,257,sattimep
0,0,32,eagleup
0.5703,1.0929,663,lingeling
0.9031,1.0111,81,cryptominisat2011
0.9662,0.1477,3362,satime11
0.9572,0.1767,3903,satime11
0.8465,0.4822,2526,cryptominisat2011
0.9658,0.1526,15,eagleup
0.1218,2.5799,48,glueminisat
0.6572,0.9646,121,glueminisat
0.7126,1.4353,43,minisatpsm
0.9579,0.1837,3,eagleup
0.7334,1.493,297,minisatpsm
0,0,23,tnm
0.9674,0.1485,7,eagleup
0.9485,0.2092,3930,marchrw
0.8854,0.3701,4512,allfair
0.9253,0.9652,9,ebminisat
0,0,24,satime11
0.8333,0.4506,4603,satime11
0,0,4390,mphaseSATm
0.9814,0.0926,3885,marchrw
0.6574,1.643,200,picosat
0,0,4393,sattime
0.003,0.0203,4256,mphaseSATm
0,0,64,gnoveltyp2
0.978,0.1058,3958,marchrw
0.9665,0.1499,22,tnm
0.9566,0.3747,18,lrglshr
0.9755,0.1152,3665,eagleup
0.7257,1.2788,532,glueminisat
0,0,4270,marchrw
0.7228,1.8178,0,minisatpsm
0.0016,0.2835,4060,tnm
0.7983,1.2752,82,glucose2
0.8333,0.4506,4422,satime11
0.9463,0.2246,89,satime11
0.5821,1.5573,278,ebglucose
0.5337,0.921,89,mxc09
0,0,4267,marchrw
0.9281,0.8464,1072,minisatpsm
0.9742,0.1531,668,tnm
0,0,23,satime11
0.9655,0.15,3844,marchrw
0.0989,2.5476,177,cryptominisat2011
0.8811,1.0423,552,lrglshr
0.9634,0.1631,1,sparrow
0.5407,0.9021,136,precosat
0.8448,0.4835,2187,lingeling
0,0,4371,gnoveltyp2
0.5547,1.5921,563,glucose2
0,0,44,tnm
0.0323,0.6867,3322,picosat
0.7904,1.3418,75,mphaseSAT64
0.7339,1.1709,581,glueminisat
1,0,4330,marchrw
0.3925,1.9409,518,minisatpsm
0.1025,2.5446,374,glueminisat
0.9994,0.6742,1007,ebglucose
0.955,0.1861,4879,allfair
0.6664,1.5375,780,glucose2
0,0,4316,sattime
0.8693,1.1011,0,qutersat
0.9472,0.5405,0,ebminisat
0.9741,0.1202,3806,marchrw
0.9858,0.0746,3840,sparrow
0,0,4385,marchrw
0.8854,0.3701,4512,allfair
0.9558,0.1839,3873,marchrw
0.0916,2.0383,1018,glueminisat
0.9444,0.2211,1598,allfair
?,?,?,clasp2
0.9668,0.1458,3774,marchrw
0.9003,0.6399,3759,sparrow
0.0262,0.6882,0,ebminisat
0.9635,0.162,1,sparrow
0.9395,0.2283,4870,precosat
0.9662,0.1499,15,eagleup
0.9812,0.0934,4063,marchrw
0,0,4341,marchrw
0.6957,1.0556,32,lrglshr
0,0,4347,gnoveltyp2
0,0,4115,eagleup
0.9996,0.6736,707,mphaseSAT
0.9993,0.6746,1065,mxc09
1,0,4164,mphaseSAT64
0.6975,0.7647,84,rcl
0.8699,1.0826,0,qutersat
0.1722,2.62,772,cryptominisat2011
0,0,24,sparrow
0.8413,1.1228,0,rcl
0,0,4077,sattime
0.9769,0.1099,3777,tnm
0.9585,0.1794,34,sparrow
0.6565,1.295,0,picosat
0.9635,0.1637,4,sparrow
0.8875,1.0348,1892,picosat
0.8282,1.2976,52,lrglshr
0.9647,0.1579,12,sparrow
0.6174,1.2398,510,mxc09
0.9802,0.1454,4,sol
0.9261,0.2836,242,sattime
0,0,4058,sattime
0.9588,0.9339,0,clasp2
0.0989,2.5476,177,cryptominisat2011
0.9349,0.2605,179,tnm
0,0,34,sparrow
0,0,4218,eagleup
0.8731,1.0373,0,cryptominisat2011
0.9659,0.1533,3808,sparrow
0.4828,0.8766,3424,mxc09
0,0,4093,sattimep
0.9978,0.1789,0,ebminisat
0.8754,1.0292,0,ebglucose
0.9617,0.1662,14,allfair
0.4865,1.091,3257,clasp2
0.9604,0.1667,3784,sparrow
0.8711,1.0619,465,lingeling
0.2042,0.6172,839,lingeling
?,?,?,lingeling
0.0031,1.9367,26,picosat
0.9035,1.021,26,lingeling
0,0,4225,mphaseSATm
0.1025,2.5446,374,cryptominisat2011
0.5028,0.8921,3946,lingeling
0.8775,0.9511,532,ebglucose
0.9736,0.1316,3693,eagleup
0.8998,1.0226,75,lingeling
0.972,0.1275,3700,satime11
0,0,4290,marchrw
?,?,?,lingeling
0.9761,0.1953,0,ebglucose
0.9894,0.0587,3845,marchrw
0,0,38,sparrow
0.9771,0.2318,1219,picosat
0,0,2380,glucose2
0,0,63,tnm
0.9665,0.2302,30,mphaseSAT64
0.9412,0.2292,3849,eagleup
0.9772,0.1506,6,allfair
0.8694,1.093,0,lingeling
1,0,3931,picosat
0.6375,1.8528,2508,clasp1
0.9309,0.2772,345,minisatpsm
0.9639,0.1597,5,sparrow
0.9629,0.1643,19,eagleup
0.6574,1.643,200,picosat
0.4488,1.6383,19,minisatpsm
0,0.0083,1077,mxc09
0,0,55,tnm
0,0,4161,satime11
0,0,4204,eagleup
0.9566,0.3747,18,lrglshr
0.9069,1.02,21,lingeling
0.9771,0.2318,0,cryptominisat2011
0.9255,0.6008,3377,sparrow
0,0,4232,mphaseSATm
0.9718,0.1284,3850,sparrow
0.9627,0.1655,3,sparrow
0.96,0.1741,3686,tnm
0.5821,1.3766,919,glueminisat
0.9436,0.5347,3688,marchrw
0.967,0.1504,4,eagleup
0.7509,1.6739,0,glucose2
0,0,0,picosat
0,0,0,picosat
0,0.824,424,cryptominisat2011
0.9979,0.1767,0,lrglshr
0,0,4376,sparrow
0.7149,0.8029,1312,sol
0,0,4047,gnoveltyp2
0.976,0.3943,0,glucose2
0.9765,0.1582,82,sol
0.9433,0.5323,620,tnm
0,0,3740,eagleup
0.9845,0.0798,3916,marchrw
0,0,29,sparrow
0.963,0.1582,3678,satime11
0.9349,0.2642,241,satime11
0.9731,0.14,3845,marchrw
0,0,4436,gnoveltyp2
0.962,0.2492,74,sol
0,0,4395,mphaseSAT
0.9316,0.6368,0,lrglshr
0.6724,1.5599,1668,glueminisat
0.9714,0.1324,3810,eagleup
0.972,0.1742,316,sol
0.8133,1.2677,1038,precosat
0.7317,1.7725,0,mphaseSATm
0.6047,1.3044,395,minisatpsm
0,0,4120,sparrow
0.9993,0.0748,279,precosat
0.9349,0.2616,230,satime11
0.9607,0.1764,3873,sparrow
0,0,4311,tnm
0.976,0.3943,0,minisatpsm
0.9291,0.2678,3790,allfair
0.918,0.3603,4614,glucose2
0.7743,1.3002,2004,glucose2
0.4689,1.6525,19,glucose2
1,0,4164,mphaseSAT64
0.9853,0.1222,0,glucose2
0.9646,0.2598,5,ebglucose
0.8571,0.4101,4897,marchrw
0.2806,0.7664,3933,marchrw
0.9643,0.1601,1,eagleup
0,0,47,eagleup
0.9656,0.1497,3752,marchrw
0.9994,0.6742,1007,ebglucose
0.7264,1.4537,742,rcl
0.0316,1.0461,230,lrglshr
0.5697,0.9282,0,lrglshr
0.1709,0.5897,606,marchrw
0.4874,2.0501,662,restartsat
1,0,4025,picosat
0.7542,1.3179,1278,glucose2
0.6936,1.0586,310,glueminisat
0.5966,1.4986,1636,lingeling
0.9556,0.1845,3727,sparrow
0.9779,0.106,0,ebminisat
0.5565,1.6069,428,glueminisat
0.6876,1.3734,558,minisatpsm
0.9619,0.1952,700,tnm
0.5546,0.8811,125,cryptominisat2011
0.9259,0.2824,145,sattime
0.9483,0.2079,95,sparrow
0.9479,0.6775,14,picosat
0.7081,1.2217,102,mphaseSATm
0.7837,1.2359,0,mphaseSAT64
0.7638,1.4418,1584,ebminisat
0,0,4323,eagleup
0,0,267,eagleup
0.7194,1.5059,603,lingeling
0.9669,0.237,793,sattime
1,0,4388,mphaseSAT64
0.9458,0.2136,3827,sparrow
0.9825,0.1149,10,sol
0.7576,1.3009,581,glucose2
0.8372,0.4443,4836,marchrw
0.9491,0.2172,3744,tnm
0.0205,0.6509,3673,picosat
0,0,4232,marchrw
0.9758,0.1141,3877,satime11
0.9529,0.1965,75,gnoveltyp2
0.9719,0.1341,76,tnm
0.8597,1.0802,0,lingeling
0,0,4138,eagleup
0.7904,1.3418,75,minisatpsm
0.475,1.699,171,lrglshr
0.0872,2.1333,1383,clasp1
0.9808,0.1259,3,allfair
0.9527,0.2014,3699,eagleup
0.9651,0.1567,9,eagleup
0.9589,0.9332,0,glucose2
0.125,0.8688,0,ebminisat
0.9094,0.7485,0,glueminisat
0.7262,1.5008,21,spear-hw
0.5344,0.9982,369,gnoveltyp2
0.7666,1.3558,365,minisatpsm
0.7857,1.2632,17,qutersat
0,0,4432,mphaseSAT
0.9299,0.2786,473,satime11
0.5858,1.5621,595,glueminisat
0.1416,0.4928,0,picosat
0.6037,1.8884,1760,minisatpsm
0.0006,0.1898,3862,sparrow
0,0,4260,marchrw
0.6328,1.7142,594,glucose2
0.8293,0.4981,4806,sol
0.7261,1.5013,45,ebminisat
0,0.7698,582,mxc09
0.857,1.0823,1,qutersat
0.7079,1.2239,366,minisatpsm
0.6968,1.4953,246,ebminisat
0.9574,0.182,19,sparrow
1,0,4327,mphaseSAT64
0.9308,0.5827,3693,marchrw
0.9737,0.1215,3638,sparrow
0.5284,0.9171,138,restartsat
0.9654,0.1552,4,sparrow
0.5284,0.9171,138,restartsat
0,0,4438,marchrw
0,0,4218,eagleup
0.0352,1.0838,225,lrglshr
0.4653,2.0149,542,qutersat
0.9646,0.1532,3887,marchrw
0,0,0,eagleup
0,0,25,sparrow
0.9642,0.1589,2,eagleup
0.7451,1.2989,11,restartsat
0.971,0.1312,3906,marchrw
0.2061,0.6196,818,mphaseSAT64
0.7546,1.1936,373,mxc09
0.543,1.1991,164,glueminisat
0.9853,0.1231,0,glucose2
0.938,0.2422,2237,allfair
0.5003,1.6791,275,glueminisat
0.9549,0.2965,39,picosat
0.0834,2.0999,1076,cryptominisat2011
0,0,4281,gnoveltyp2
0.3852,1.2227,4123,picosat
0.9193,0.9757,49,clasp2
0.9644,0.4516,230,qutersat
0,0,4381,marchrw
0.5333,0.9208,133,precosat
0.9756,0.1164,613,satime11
0.8058,1.2848,0,glucose2
0.9621,0.1713,3794,sparrow
0.7667,0.6033,4697,sol
0.8831,0.3607,0,ebminisat
0.5952,1.2867,2809,glueminisat
0.8605,1.0338,7,lingeling
0.4631,1.6294,42,glucose2
0.9399,0.247,121,sattime
0.7264,1.4537,751,mphaseSATm
0.0607,1.1128,363,lrglshr
0.5942,1.0891,3574,lingeling
0.4593,1.6432,54,glucose2
0.9343,0.4133,342,precosat
0.9669,0.1455,3798,satime11
?,?,?,ebminisat
0.0397,1.4617,1931,clasp2
0.8906,0.8091,1429,precosat
0.9634,0.1614,5,eagleup
0,0,27,sparrow
0.9813,0.1031,3772,marchrw
0.9747,0.1207,3781,marchrw
0.7427,1.518,3313,clasp1
0.6195,1.2437,778,precosat
0,0.0085,1156,mxc09
0.8256,0.9998,0,glueminisat
0.826,1.221,153,ebglucose
0.9317,0.2667,167,sparrow
0.9996,0.6737,658,sol
0,0,4511,gnoveltyp2
0.9251,0.5951,22,allfair
0.0339,1.5069,1416,glueminisat
0,0,4487,marchrw
0.0192,1.2459,120,clasp1
0.9159,0.3627,1153,qutersat
0,0,4544,eagleup
0.8747,0.9347,1508,clasp2
?,?,?,mphaseSAT64
0.6346,1.3525,0,ebminisat
0.896,1.0107,30,lingeling
0.5427,0.9025,76,cryptominisat2011
0.0098,0.1824,64,picosat
0.9632,0.1689,3713,eagleup
0.8749,1.0417,231,cryptominisat2011
0.6685,1.0107,334,picosat
0,0,35,eagleup
0.9588,0.9333,0,picosat
