@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.048,0.2338,0.093,0.719,0.2908,0.1256,0.5822,0.3926
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.0282,0.1323,0.0797,1.7696,2.0163,0.1191,0.4113,0.5682
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0.0009,0.0469,0.0019,0.8309,0.112,0.0025,0.6913,0.1651
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0,0.0475,0.0924,1.3557,6.6383,0.1174,0.2835,0.8546
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,0.048,0.2336,0.0934,0.7172,0.2896,0.1258,0.5781,0.3951
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.0043,0.0405,0.018,0.7312,0.4576,0.0222,0.4123,0.6752
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.0472,0.2339,0.0925,0.7103,0.2911,0.1249,0.577,0.3936
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.0072,0.1733,0.0156,1.3791,0.5454,0.022,0.5482,0.5835
SAT_RACE2008/fuhs-aprove-15.cnf,1,0.0221,0.1831,0.0377,1.2995,0.7131,0.0442,0.8312,0.263
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_k.cnf,1,0,0.0143,0.0511,0.416,6.6361,0.0047,0.2263,0.9277
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,0.017,0.0313,0.1631,1.6811,1.8731,0.3135,0.471,0.6786
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-ss-8.cnf,1,0.0134,0.2086,0.0658,1.3213,1.065,0.1328,0.4995,0.5567
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0.0038,0.0129,0.0108,0.4809,0.5907,0.0119,0.1476,0.9558
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1394036608-091.cnf,1,0.0378,0.2306,0.0835,0.7327,0.3002,0.1147,0.6244,0.3674
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,0.0001,0.0118,0.0001,1.0093,0.0398,0.0001,0.7112,0.0672
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,0,0.0112,0.0001,0.9999,0.0429,0.0001,0.7402,0.0547
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.0-9.cnf,1,0,0.0193,0.0523,0.5625,5.6053,0.0134,0.232,0.9248
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,0.0548,0.1601,0.0598,1.2804,0.5453,0.0697,1.3487,0.0997
SAT_Competition2007/random/OnTreshold/3SAT/v500/unif-k3-r4.26-v500-c2130-S1212545732-02.UNSAT.shuffled.cnf,1,0.038,0.2316,0.0806,0.6081,0.2856,0.1097,0.6029,0.3713
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0.3222,0.2629,0.3561,1.1977,0.1231,0.373,0,0
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S926207202-053-UNKNOWN.cnf,1,0.0474,0.2337,0.0931,0.711,0.2902,0.1247,0.5775,0.3946
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.185,0.1636,0.1935,1.0987,0,0.2006,0.0152,0.8139
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1000/unif-k5-r20-v1000-c20000-S1040507052-028.cnf,1,0.0015,0.05,0.0027,0.835,0.0977,0.0034,0.6848,0.1692
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,0.024,0.1328,0.0786,1.7619,1.5143,0.1195,0.4458,0.5643
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,0.0001,0.0118,0.0001,1.0012,0.0408,0.0001,0.7341,0.0634
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,0.001,0.0469,0.0019,0.8395,0.0957,0.0023,0.641,0.1723
SAT_Competition2007/random/LargeSize/3SAT/v4000/unif-k3-r4.2-v4000-c16800-S1178874381-13.cnf,1,0.0461,0.2333,0.0919,0.7277,0.2902,0.1235,0.567,0.3949
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,0.0164,0.1236,0.0721,1.8652,1.7985,0.1191,0.4497,0.6164
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,0.0018,0.1666,0.0151,1.3599,0.5379,0.0258,0.5844,0.5271
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1250-c25000-S935783783-069-UNKNOWN.cnf,1,0.0015,0.05,0.0028,0.829,0.0991,0.0035,0.6712,0.1715
SAT_Competition2011/SAT09/CRAFTED/sgi/satsgi-n26himBHm28-p0-q293.cnf,1,0.031,0.0385,0.0312,0,0,0.0314,0.0001,0.9305
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v350-c1491-S648064606-012.UNKNOWN.cnf,1,0.0418,0.232,0.084,0.6795,0.2831,0.1085,0.5749,0.378
SAT_Competition2011/SAT05/crafted/sorge05/QG6/dead-dnd002.shuffled-as.sat05-2713.cnf,1,0.4971,0.2118,0.4212,2.9316,4.3842,0.4999,0.232,0.685
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1846644927-079.SATISFIABLE.cnf,1,0,0.0112,0.0001,0.9933,0.0352,0.0001,0.7396,0.0625
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v150-c3195-S1632870961-099.SATISFIABLE.cnf,1,0.001,0.0469,0.002,0.8085,0.1023,0.0024,0.6955,0.1752
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-020-019.shuffled-as.sat05-1190.cnf,1,0.1562,0.0997,0.161,1.1095,0,0.1608,0.0045,0.8845
SAT_Competition2007/crafted/Hard/contest05/QG/QG7a-gensys-icl001.sat05-3822.reshuffled-07.cnf,1,0.4735,0.1672,0.4471,2.5461,1.2435,0.4991,0.1909,0.7352
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,1,0.012,0.163,0.032,1.4994,0.9001,0.0455,0.7198,0.2021
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,0.0894,0.1369,0.111,1.7119,0.3387,0.1201,1.4477,0.0384
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitssrl/countbitssrl032.cnf,1,0.0098,0.1973,0.0267,1.4348,1.1831,0.0457,0.6947,0.1836
SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S422570514-15.cnf,1,0.0015,0.05,0.0029,0.8332,0.1006,0.0037,0.6919,0.1754
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1136141672-041.cnf,1,0.0462,0.2337,0.0904,0.6938,0.2941,0.1263,0.594,0.381
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,1,0.0402,0.1666,0.0751,1.8983,2.2849,0.1098,0.5309,0.4442
SAT_RACE2006/SAT-Race-Benchmarks/goldb-heqc-dalumul.cnf,1,0.0277,0.1565,0.0438,1.2701,4.4289,0.0543,0.2964,0.598
SAT_Competition2009/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,1,0.0215,0.0358,0.0216,0,0,0.0218,0.0001,0.9295
SAT_Competition2009/CRAFTED/edgematching/explicit/em_9_3_5_exp.cnf,1,0.0031,0.0356,0.0169,0.9764,0.5915,0.0256,0.325,0.8451
SAT_Competition2011/SAT07/industrial/babic/hsatv17/hsat_vc12062.cnf,1,?,?,?,?,?,?,?,?
SAT_Competition2009/CRAFTED/edgematching/explicit/em_8_4_5_exp.cnf,1,0.004,0.0468,0.0198,1.0674,0.5971,0.0289,0.3358,0.8185
