instances,SUNNY
BF1_cpmp_16_5_48_10_29_14,1305.764
BF10_cpmp_16_8_77_16_58_8,0.012
BF11_cpmp_16_8_77_31_47_10,1616.857
BF17_cpmp_20_5_60_12_36_1,0.052
BF17_cpmp_20_5_60_12_36_17,33.774
BF17_cpmp_20_5_60_12_36_3,0.028
BF2_cpmp_16_5_48_10_36_11,0.772
BF2_cpmp_16_5_48_10_36_17,0.048
BF2_cpmp_16_5_48_10_36_3,0.108
BF20_cpmp_20_5_60_24_45_2,0.036
BF22_cpmp_20_5_80_16_60_9,1339.608
BF24_cpmp_20_5_80_32_60_13,296.083
BF3_cpmp_16_5_48_20_29_8,0.02
BF4_cpmp_16_5_48_20_36_5,0.216
BF5_cpmp_16_5_64_13_39_11,2794.703
BF6_cpmp_16_5_64_13_48_7,9.729
BF7_cpmp_16_5_64_26_39_10,353.126
BF7_cpmp_16_5_64_26_39_14,3213.5370000000003
BF7_cpmp_16_5_64_26_39_17,1308.472
BF8_cpmp_16_5_64_26_48_1,0.128
LC2a_lc2a_3,25.442
LC2b_lc2b_1,17.401
LC2b_lc2b_2,1806.705
LC2b_lc2b_5,36000
cv_data5-5-12,213.965
cv_data5-4-21,2822.916
cv_data4-7-37,21.665
cv_data4-7-30,0.432
cv_data5-4-36,162.726
cv_data5-10-23,556.423
cv_data5-5-11,2891.773
cv_data4-7-6,11.713
cv_data4-6-5,1.936
cv_data4-7-1,2.644
cv_data5-9-21,608.694
cv_data5-5-16,250.328
cv_data5-5-24,0.788
cv_data4-5-23,1.78
cv_data5-7-36,675.686
cv_data3-8-28,0.308
cv_data5-4-30,2.04
cv_data4-7-11,0.3
cv_data4-4-24,2.08
cv_data5-6-7,169.227
cv_data4-7-10,96.27
cv_data5-4-9,43.839
cv_data5-5-22,79.885
cv_data4-7-34,0.296
cv_data3-7-30,0.316
cv_data4-4-30,1.8
cv_data4-4-25,12.009
cv_data3-5-8,0.26
cv_data5-5-13,913.593
