@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC
@ATTRIBUTE NEG_HORN NUMERIC
@ATTRIBUTE FORALL_VARS NUMERIC
@ATTRIBUTE LITEN_LITN NUMERIC
@ATTRIBUTE BINARY_CLAUSES NUMERIC
@ATTRIBUTE LITERALS NUMERIC
@ATTRIBUTE W_OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE FORALL_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE WOCCEP_WOCCP NUMERIC
@ATTRIBUTE W_OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE OCCS_FORALL_NO_PER_VAR NUMERIC
@ATTRIBUTE LITEP_LIT NUMERIC
@ATTRIBUTE WOCCEP_WOCCE NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC
@ATTRIBUTE OCCE_OCC NUMERIC
@ATTRIBUTE OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE OCCEN_OCCE NUMERIC
@ATTRIBUTE LITEN_LITE NUMERIC
@ATTRIBUTE OCCEN_OCC NUMERIC
@ATTRIBUTE LITFN_LIT NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE W_OCCS_FORALL_NO_PER_VAR NUMERIC
@ATTRIBUTE W_PRODUCTS NUMERIC
@ATTRIBUTE OCCFP_OCCFN NUMERIC
@ATTRIBUTE OCCFP_OCCF NUMERIC
@ATTRIBUTE LITFP_LITFN NUMERIC
@ATTRIBUTE CLAUSES NUMERIC
@ATTRIBUTE WOCCFN_WOCCN NUMERIC
@ATTRIBUTE OCCEN_OCCN NUMERIC
@ATTRIBUTE FORALL_NEG_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE WOCCFN_WOCC NUMERIC
@ATTRIBUTE TOTAL_SET NUMERIC
@ATTRIBUTE UNARY_CLAUSES NUMERIC
@ATTRIBUTE EXIST_SET NUMERIC
@ATTRIBUTE FORALL_SET NUMERIC

@DATA
adder-10-sat-shuffled,1,1.053282,592.5,0.282784,0.779554,3.154891,1630,0.010986,1840,1185,5.249382,0.104494,0.854035,40,655,0.835103,20,26333,10.065649,1.982972,0.715889,6.64837,11.022901,0.074811,0.078758,3621,1.127011,5.854962,0.896929,0.896929,1.010848,0.128546,0.994507,18.619847,67.08692,1.132939,0.531163,1.132939,3641,0.219905,1.2967,0.92969,0.187807,4,0,2,2
adder-10-unsat-shuffled,1,0.377808,761.5,0.170238,0.854527,3.134015,1630,0.001096,1858,1523,10.284932,0.072991,0.913469,4,335,0.967578,1,40028,8.232836,0.681644,0.843517,4.810549,7.426866,0.111022,0.062859,3649,1.144132,4.116418,0.88162,0.88162,1.008689,0.027706,0.999726,14.853731,89.417597,1.243463,0.55426,1.243463,3650,0.130377,1.180407,0.303836,0.119096,3,0,2,1
adder-12-sat-shuffled,1,1.053268,861,0.264487,0.790835,3.16967,2364,0.009067,2664,1722,5.643748,0.097549,0.863319,48,942,0.846019,24,40370,10.174098,1.981866,0.713697,6.678679,11.138004,0.071043,0.072989,5270,1.144969,5.919321,0.90401,0.90401,1.035063,0.121774,0.995467,18.806794,72.16957,1.134255,0.531453,1.134255,5294,0.204641,1.308824,0.928598,0.17667,4,0,2,2
adder-12-unsat-shuffled,1,0.377757,1100,0.152968,0.867327,3.151899,2364,0.000754,2686,2200,11.347597,0.065635,0.922242,4,486,0.970946,1,63811,8.246914,0.680867,0.844088,4.834698,7.432099,0.101268,0.056189,5304,1.1518,4.123457,0.892656,0.892656,1.028161,0.025199,0.999811,14.864198,97.889545,1.246269,0.554817,1.246269,5305,0.115402,1.185437,0.30311,0.106428,3,0,2,1
adder-14-sat-shuffled,1,1.053205,1179.5,0.248711,0.800826,3.179945,3234,0.007719,3640,2359,6.029359,0.091632,0.871339,56,1281,0.855372,28,58115,10.250585,1.980979,0.712195,6.699725,11.21936,0.067693,0.068101,7227,1.161432,5.964871,0.910066,0.910066,1.056979,0.115822,0.996141,18.938329,77.079271,1.135195,0.531659,1.135195,7255,0.191475,1.319861,0.927774,0.166839,4,0,2,2
adder-14-unsat-shuffled,1,0.377683,1500.5,0.138979,0.877979,3.164484,3234,0.00055,3666,3001,12.400936,0.059669,0.929346,4,665,0.973656,1,95074,8.255639,0.680242,0.844524,4.851609,7.434586,0.093148,0.050842,7267,1.158068,4.12782,0.901742,0.901742,1.044278,0.023129,0.999862,14.869173,106.134955,1.248295,0.555218,1.248295,7268,0.103635,1.189411,0.302559,0.096313,3,0,2,1
adder-16-unsat-shuffled,1,0.377608,1963,0.127387,0.887007,3.173822,4240,0.000419,4798,3926,13.448475,0.05472,0.935232,4,872,0.975891,1,134769,8.261468,0.679736,0.844867,4.86411,7.43578,0.086266,0.046447,9538,1.163311,4.130734,0.909374,0.909374,1.057884,0.021385,0.999895,14.87156,114.238665,1.249827,0.555521,1.249827,9539,0.094111,1.192645,0.302128,0.088016,3,0,2,1
Adder2-10-s-shuffled,1,0.217819,2474.666667,0.79594,0.556811,1.313716,7829,0.726821,7969,7424,2.008692,0.413789,0.566732,7024,545,0.83996,5368,23622,10.577982,0.435637,0.955042,6.560296,7.724771,0.354077,0.426218,4295,0.882103,3.862385,0.569132,0.569132,0.502034,0.089112,0.444433,21.155963,11.308998,1,0.5,1,9664,1.232703,0.901622,0.217819,0.698612,6,1,3,3
Adder2-4-s-shuffled,1,0.214947,361.666667,0.796548,0.556623,1.300598,1139,0.72669,1171,1085,2.014947,0.415911,0.566194,1021,86,0.84205,778,3435,9.930233,0.429893,0.958749,6.53117,7.023256,0.355459,0.426705,626,0.889488,3.511628,0.568704,0.568704,0.505855,0.087918,0.445552,19.860465,11.192627,1,0.5,1,1405,1.164927,0.908793,0.214947,0.659575,6,1,3,3
Adder2-6-c-shuffled,1,0.144914,651.5,0.797047,0.556468,1.308137,2695,0.726373,2765,2606,2.156916,0.411294,0.566171,2421,159,0.893565,1842,8155,14.150943,0.289829,0.948054,7.6434,6.075472,0.384304,0.427095,1490,0.935331,3.037736,0.564056,0.564056,0.527579,0.059227,0.447045,28.301887,13.671144,1,0.5,1,3333,1.418635,0.948085,0.144914,0.803189,7,1,4,3
Adder2-6-s-shuffled,1,0.216597,856.666667,0.79617,0.55674,1.308137,2705,0.726783,2765,2570,2.011384,0.414678,0.566513,2426,195,0.840854,1852,8160,10.292308,0.433194,0.956611,6.54792,7.415385,0.354657,0.426414,1485,0.885224,3.707692,0.56896,0.56896,0.503657,0.088603,0.444877,20.584615,11.259922,1,0.5,1,3338,1.202748,0.904654,0.216597,0.681373,6,1,3,3
adder-4-sat-shuffled,1,1.049057,87,0.370044,0.729904,3,244,0.030189,280,174,3.883019,0.14083,0.809953,16,106,0.781498,8,3110,9.018868,1.984906,0.741029,6.328571,9.924528,0.091318,0.108165,522,1.064863,5.245283,0.862002,0.862002,0.917914,0.159486,0.984906,16.792453,48.16092,1.120968,0.528517,1.120968,530,0.288216,1.257583,0.935849,0.233441,4,0,2,2
adder-6-sat-shuffled,1,1.052423,205.5,0.331842,0.75084,3.091049,570,0.019063,648,411,4.399523,0.123948,0.829222,24,237,0.805335,12,8039,9.616034,1.985703,0.725786,6.516975,10.548523,0.084339,0.094829,1247,1.086332,5.590717,0.877595,0.877595,0.95336,0.146162,0.990469,17.839662,55.703163,1.12766,0.53,1.12766,1259,0.259884,1.269725,0.93328,0.215501,4,0,2,2
adder-8-sat-shuffled,1,1.053136,374,0.30458,0.766531,3.131849,1032,0.013937,1168,748,4.839721,0.112944,0.842999,32,420,0.821982,16,15668,9.9,1.984321,0.719382,6.601027,10.847619,0.079142,0.085781,2280,1.107439,5.757143,0.888409,0.888409,0.983859,0.136456,0.993031,18.333333,61.700535,1.130964,0.530729,1.130964,2296,0.237937,1.283522,0.931185,0.200581,4,0,2,2
adder-8-unsat-shuffled,1,0.377768,485,0.192241,0.838756,3.106599,1032,0.001737,1182,970,9.205818,0.08235,0.902284,4,212,0.963248,1,22773,8.207547,0.682588,0.842752,4.773266,7.415094,0.12304,0.071472,2302,1.134441,4.103774,0.867836,0.867836,0.984509,0.030826,0.999566,14.830189,80.549485,1.239316,0.553435,1.239316,2303,0.150257,1.173772,0.30482,0.135575,3,0,2,1
aim-100-1_6-yes1-3-50-shuffled,1,0.306905,177,0.681185,0.594819,1.722467,700,0.530691,454,354,1.792839,0.304989,0.642786,415,100,0.749129,621,1930,4.8,0.675192,0.8538,3.162996,5.28,0.280829,0.322537,161,0.93163,2.4,0.613409,0.613409,0.57147,0.149223,0.205882,10.56,6.935028,0.833333,0.454545,0.833333,782,1.012012,0.960747,0.368286,0.650507,3,0,2,1
aim-100-1_6-yes1-3-90-shuffled,1,0.360902,138,0.670363,0.598672,1.768617,583,0.506767,376,276,1.756391,0.298424,0.642775,337,100,0.748992,504,1657,4.8,0.735338,0.835395,3.300532,4.89,0.256488,0.304888,161,0.960283,2.4,0.63613,0.63613,0.610865,0.150272,0.242105,9.78,7.576087,0.963855,0.490798,0.963855,665,0.838549,1.020366,0.374436,0.538998,3,0,2,1
aim-100-2_0-yes1-2-50-shuffled,1,0.317073,198,0.679395,0.595453,1.90121,843,0.52492,496,396,1.78579,0.293681,0.642534,495,100,0.74928,744,2331,5.98,0.686108,0.821564,3.504032,6.47,0.276276,0.319507,199,0.90487,2.99,0.617577,0.617577,0.558827,0.149292,0.211029,12.94,7.997475,0.859195,0.462133,0.859195,943,1.105045,0.938492,0.369035,0.710029,3,0,2,1
aim-100-2_0-yes1-2-90-shuffled,1,0.359375,161,0.670968,0.598456,1.971564,732,0.50601,422,322,1.757212,0.288118,0.642495,421,100,0.749194,633,2072,5.98,0.733173,0.805914,3.680095,6.1,0.257239,0.305698,199,0.924728,2.99,0.635431,0.635431,0.587601,0.150097,0.239183,12.2,8.689441,0.961415,0.490164,0.961415,832,0.940466,0.981862,0.373798,0.604245,3,0,2,1
aim-100-3_4-yes1-1-90-shuffled,1,0.367626,230,0.668912,0.599193,2.482143,1219,0.504317,560,460,1.753957,0.264192,0.642523,701,100,0.750241,1050,3468,10.22,0.741007,0.739047,4.644643,10.3,0.25346,0.302722,340,0.855825,5.11,0.639459,0.639459,0.547264,0.149654,0.244604,20.6,12.55,0.984586,0.496117,0.984586,1390,1.24338,0.913336,0.373381,0.7989,3,0,2,1
aim-100-6_0-yes1-1-90-shuffled,1,0.369092,362,0.667948,0.599539,2.951456,2142,0.498561,824,724,1.752158,0.246211,0.642796,1213,100,0.749519,1836,6073,17.96,0.743938,0.689271,5.526699,18.1,0.252593,0.302114,597,0.798915,8.98,0.64016,0.64016,0.511433,0.150173,0.245376,36.2,18.824586,0.984649,0.496133,0.984649,2433,1.834016,0.853044,0.374846,1.178897,3,0,2,1
