@RELATION 'feature_values_premarshalling_astar_2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE group-same-mean NUMERIC
@ATTRIBUTE container-density NUMERIC
@ATTRIBUTE group-same-stdev NUMERIC
@ATTRIBUTE stacks NUMERIC
@ATTRIBUTE stack-tier-ratio NUMERIC
@ATTRIBUTE group-same-min NUMERIC
@ATTRIBUTE group-same-max NUMERIC
@ATTRIBUTE tiers NUMERIC

@DATA
BF1_cpmp_16_5_48_10_29_1,1,4.36364,0.6,1.55346,16,0.3125,0,6,5
BF1_cpmp_16_5_48_10_29_12,1,4.36364,0.6,1.61091,16,0.3125,0,7,5
BF1_cpmp_16_5_48_10_29_14,1,4.36364,0.6,1.72008,16,0.3125,0,7,5
BF1_cpmp_16_5_48_10_29_15,1,4.36364,0.6,1.61091,16,0.3125,0,6,5
BF1_cpmp_16_5_48_10_29_17,1,4.36364,0.6,1.55346,16,0.3125,0,6,5
BF1_cpmp_16_5_48_10_29_18,1,4.36364,0.6,1.55346,16,0.3125,0,6,5
BF1_cpmp_16_5_48_10_29_19,1,4.36364,0.6,1.77214,16,0.3125,0,7,5
BF1_cpmp_16_5_48_10_29_20,1,4.36364,0.6,1.55346,16,0.3125,0,6,5
BF1_cpmp_16_5_48_10_29_3,1,4.36364,0.6,1.49379,16,0.3125,0,6,5
BF1_cpmp_16_5_48_10_29_4,1,4.36364,0.6,1.49379,16,0.3125,0,6,5
BF1_cpmp_16_5_48_10_29_5,1,4.36364,0.6,1.72008,16,0.3125,0,7,5
BF1_cpmp_16_5_48_10_29_6,1,4.36364,0.6,1.49379,16,0.3125,0,6,5
BF1_cpmp_16_5_48_10_29_7,1,4.36364,0.6,1.43164,16,0.3125,0,5,5
BF1_cpmp_16_5_48_10_29_8,1,4.36364,0.6,1.55346,16,0.3125,0,6,5
BF1_cpmp_16_5_48_10_29_9,1,4.36364,0.6,1.91988,16,0.3125,0,6,5
BF10_cpmp_16_8_77_16_58_13,1,4.52941,0.601562,1.37702,16,0.5,0,6,8
BF10_cpmp_16_8_77_16_58_3,1,4.52941,0.601562,1.57621,16,0.5,0,8,8
BF10_cpmp_16_8_77_16_58_8,1,4.52941,0.601562,1.33362,16,0.5,0,6,8
BF11_cpmp_16_8_77_31_47_10,1,2.40625,0.601562,0.896499,16,0.5,0,5,8
BF11_cpmp_16_8_77_31_47_11,1,2.40625,0.601562,1.34302,16,0.5,0,5,8
BF11_cpmp_16_8_77_31_47_16,1,2.40625,0.601562,0.963696,16,0.5,0,5,8
BF11_cpmp_16_8_77_31_47_6,1,2.40625,0.601562,1.19529,16,0.5,0,7,8
BF11_cpmp_16_8_77_31_47_7,1,2.40625,0.601562,1.08568,16,0.5,0,5,8
BF12_cpmp_16_8_77_31_58_14,1,2.40625,0.601562,1.08568,16,0.5,0,6,8
BF17_cpmp_20_5_60_12_36_1,1,4.61538,0.6,1.54613,20,0.25,0,7,5
BF17_cpmp_20_5_60_12_36_10,1,4.61538,0.6,1.68881,20,0.25,0,8,5
BF17_cpmp_20_5_60_12_36_11,1,4.61538,0.6,1.59511,20,0.25,0,7,5
BF17_cpmp_20_5_60_12_36_12,1,4.61538,0.6,1.59511,20,0.25,0,7,5
BF17_cpmp_20_5_60_12_36_15,1,4.61538,0.6,1.77757,20,0.25,0,8,5
BF17_cpmp_20_5_60_12_36_16,1,4.61538,0.6,1.54613,20,0.25,0,7,5
BF17_cpmp_20_5_60_12_36_17,1,4.61538,0.6,1.49556,20,0.25,0,6,5
