@RELATION 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154, -D 0 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE c_bounds_z NUMERIC
@ATTRIBUTE c_cv_deg_cons NUMERIC
@ATTRIBUTE c_cv_dom_cons NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE c_logprod_deg_cons NUMERIC
@ATTRIBUTE c_logprod_dom_cons NUMERIC
@ATTRIBUTE c_max_deg_cons NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE c_min_deg_cons NUMERIC
@ATTRIBUTE c_num_cons NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE c_sum_ari_cons NUMERIC
@ATTRIBUTE c_sum_dom_cons NUMERIC
@ATTRIBUTE c_sum_domdeg_cons NUMERIC
@ATTRIBUTE d_array_cons NUMERIC
@ATTRIBUTE d_bool_cons NUMERIC
@ATTRIBUTE d_bool_vars NUMERIC
@ATTRIBUTE d_int_cons NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE d_ratio_bool_cons NUMERIC
@ATTRIBUTE d_ratio_set_cons NUMERIC
@ATTRIBUTE d_ratio_set_vars NUMERIC
@ATTRIBUTE d_set_cons NUMERIC
@ATTRIBUTE d_set_vars NUMERIC
@ATTRIBUTE gc_all_diff NUMERIC
@ATTRIBUTE gc_array_int NUMERIC
@ATTRIBUTE gc_at_least_most NUMERIC
@ATTRIBUTE gc_circuit NUMERIC
@ATTRIBUTE gc_count NUMERIC
@ATTRIBUTE gc_cumulative NUMERIC
@ATTRIBUTE gc_diffn NUMERIC
@ATTRIBUTE gc_global_cons NUMERIC
@ATTRIBUTE gc_inverse NUMERIC
@ATTRIBUTE gc_max_min_int NUMERIC
@ATTRIBUTE gc_ratio_globs NUMERIC
@ATTRIBUTE gr_avg_clust_cg NUMERIC
@ATTRIBUTE gr_avg_deg_cg NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE gr_avg_diam_vg NUMERIC
@ATTRIBUTE gr_cv_clust_cg NUMERIC
@ATTRIBUTE gr_cv_deg_cg NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE gr_cv_diam_vg NUMERIC
@ATTRIBUTE gr_ent_clust_cg NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE gr_ent_diam_vg NUMERIC
@ATTRIBUTE gr_max_clust_cg NUMERIC
@ATTRIBUTE gr_max_deg_cg NUMERIC
@ATTRIBUTE gr_max_deg_vg NUMERIC
@ATTRIBUTE gr_max_diam_vg NUMERIC
@ATTRIBUTE gr_min_clust_cg NUMERIC
@ATTRIBUTE gr_min_deg_cg NUMERIC
@ATTRIBUTE gr_min_deg_vg NUMERIC
@ATTRIBUTE o_de NUMERIC
@ATTRIBUTE o_de_di NUMERIC
@ATTRIBUTE o_deg NUMERIC
@ATTRIBUTE o_deg_avg NUMERIC
@ATTRIBUTE o_deg_cons NUMERIC
@ATTRIBUTE o_deg_std NUMERIC
@ATTRIBUTE o_di NUMERIC
@ATTRIBUTE o_di_de NUMERIC
@ATTRIBUTE o_dom NUMERIC
@ATTRIBUTE o_dom_avg NUMERIC
@ATTRIBUTE o_dom_deg NUMERIC
@ATTRIBUTE o_dom_std NUMERIC
@ATTRIBUTE s_bool_search NUMERIC
@ATTRIBUTE s_first_fail NUMERIC
@ATTRIBUTE s_indomain_max NUMERIC
@ATTRIBUTE s_indomain_min NUMERIC
@ATTRIBUTE s_input_order NUMERIC
@ATTRIBUTE s_int_search NUMERIC
@ATTRIBUTE s_labeled_vars NUMERIC
@ATTRIBUTE s_other_val NUMERIC
@ATTRIBUTE s_other_var NUMERIC
@ATTRIBUTE s_set_search NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE v_cv_deg_vars NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE v_cv_domdeg_vars NUMERIC
@ATTRIBUTE v_def_vars NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE v_logprod_deg_vars NUMERIC
@ATTRIBUTE v_logprod_dom_vars NUMERIC
@ATTRIBUTE v_max_deg_vars NUMERIC
@ATTRIBUTE v_num_aliases NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE v_num_vars NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE v_sum_deg_vars NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE dy_sols NUMERIC
@ATTRIBUTE dy_nodes NUMERIC
@ATTRIBUTE dy_fails NUMERIC
@ATTRIBUTE dy_depth NUMERIC
@ATTRIBUTE dy_peak NUMERIC
@ATTRIBUTE dy_ratio_props NUMERIC
@ATTRIBUTE dy_fzn_time NUMERIC
@ATTRIBUTE dy_static_time NUMERIC
@ATTRIBUTE dy_tot_time NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff3.dzn,1,2.321942,0,0.838857,0.836131,0.022812,5.451697,0.802614,637.279414,2363.471488,47,403.346335,1,556,1.005425,1481,11085.452705,4783.954927,0,0,0,552,553,0,0,0.007194,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.32715,18.546763,6.900542,13.122966,1.386303,1.214625,1.897653,0.205447,0.923018,1.981107,2.979328,1,96,48,19,0,2,2,46,4.6,1,0.42835,0.001799,-0.338626,10,0.217391,24039,56.790942,24039,23.456077,0,0,0,1,1,1,1,0,0,0,2.334539,1.688148,2.378528,4.372153,549,-0.674054,4.466809,4.372867,549,570.399345,4735.798359,49,1,68,553,0.124774,1291,128230.632653,192,100202,49907,44,324,28378,0.05,0.06,2.16
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff63.dzn,1,2.315552,0,0.382336,0.379997,0.015858,4.750237,0,1293.472213,4860.906176,27,254.232599,1,1106,1.011894,2941,23915.695718,10346.447767,0,0,0,1092,1093,0,0,0.012658,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0.324728,12.126582,3.875572,33.954254,1.360257,1.100994,1.240943,0.319494,0.926504,1.913015,4.80862,1,56,28,59,0,2,2,26,0.866667,1,0.426786,0.000904,-0.444649,30,1.153846,19189,29.178721,19189,32.748907,0,0,0,1,1,1,1,0,0,0,2.343092,1.289137,0.860448,1.718294,1079,-0.035299,3.874394,3.90288,1079,1145.910482,10183.52397,29,1,32,1093,0.030192,2561,364354.477833,69,61440,30645,25,1284,14355.4,0.07,0.18,2.29
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff61.dzn,1,2.315401,0,0.403801,0.402017,0.015857,4.764253,0,1107.054163,4164.853399,27,254.232599,1,948,1.01174,2521,20498.492976,8868.37527,0,0,0,936,937,0,0,0.012658,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0.324635,12.109705,3.965848,29.922092,1.360606,1.101049,1.273294,0.306937,0.926504,1.932083,4.584824,1,56,28,51,0,2,2,26,1,1,0.426879,0.001055,-0.444897,26,1,19189,29.0539,19189,30.358326,0,0,0,1,1,1,1,0,0,0,2.342583,1.288211,0.924092,1.838811,925,-0.058405,3.875324,3.903807,925,982.19452,8730.767402,29,1,32,937,0.035219,2195,315045.374384,74,70061,34952,25,1156,16765.1,0.06,0.13,2.23
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/easy_01.dzn,1,2.855072,0,1.594535,2.445856,0.956603,2.469913,0.919636,281.331846,412.745021,38,130.301639,1,276,0.854489,662,1909.884329,514.696092,0,72,188,76,135,0,0.26087,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0.050725,0.612807,7.608696,17.684211,2.04644,0.699271,1.931658,1.499262,0.584606,0.978071,3.242353,1.750986,1,100,133,6,0,0,0,3,0.75,3,1.229695,0.01087,0.212432,4,1.333333,54,9.594059,18,3.51493,0,0,0,0,0,0,5,1,1,1,2.439628,1.081264,2.445016,0.86691,120,-1.643858,0.364998,1.444888,120,267.193986,424.914507,18,0,154,323,0.47678,788,568.846262,3,193079,96394,168,3996,5958.01,0.09,0.02,2.15
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_02.dzn,1,3.148936,0,1.387051,2.010703,0.864639,2.381284,0.972524,169.173841,247.217218,28,85.809962,1,141,0.844311,348,1017.58249,272.943132,0,16,84,48,83,0,0.113475,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0.06383,0.732241,7.815603,17.389222,2.221557,0.491469,1.541775,1.192751,0.389131,0.860427,3.273939,1.354917,1,67,82,3,0,0,0,3,1,3,1.128378,0.021277,0.137466,3,1,32,6.469734,10.666667,2.883904,0,0,0,0,0,0,5,1,1,1,2.658683,0.933895,1.896642,0.743316,68,-2.540555,0.467609,1.502487,68,161.731336,228.809962,12,0,109,167,0.652695,444,275.116162,0,191475,95701,91,649,17325.4,0.08,0.01,2.11
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.2.dzn,1,5.272727,0,1.112036,1.123249,0.002828,1.697772,0,273.435573,273.485512,45,46.584963,2,154,0.875,286,813.584963,154.035221,44,65,131,1,45,0.285714,0.422078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272425,14.25974,20.852273,7.403409,1.581138,1.338086,0.919396,0.179367,0.863121,0.948206,2.110857,0,44,52,10,0,2,2,44,8.8,1,0.216749,0.006494,-0.512219,5,0.113636,6,2.966292,6,13.228757,1,0,1,0,1,0,1,0,0,0,4.613636,1.529134,0.148638,0.533807,110,-56.443755,0.050557,0.593023,110,252.014005,177.584963,31,1,1012,176,5.755682,812,160.973523,0,227815,113902,22,181,49556.3,0.03,0.01,2.08
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.3.dzn,1,5.040268,0,1.101634,1.114662,0.002875,1.817257,0,261.742794,261.792733,45,46.584963,2,149,0.871345,271,752.584963,149.035221,44,60,126,1,45,0.295302,0.402685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280654,14.630872,20.807018,7.169591,1.544786,1.312548,0.91173,0.170018,0.875472,1.09181,2.042896,0,44,46,9,0,2,2,44,11,1,0.227696,0.006711,-0.534702,4,0.090909,6,2.965318,6,13.038405,1,0,1,0,1,0,1,0,0,0,4.391813,1.444362,0.150733,0.539809,105,-58.137527,0.051791,0.604364,105,243.693024,172.584963,25,1,1012,171,5.923977,751,156.185338,0,242187,121089,22,181,53067.2,0.02,0.01,2.07
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m06_15_15.dzn,1,3.357629,0,0.792204,0.740476,0.033152,1.549508,0.552797,1566.128092,4114.999135,16,86.1418,2,1029,0.705761,3087,18894.576545,5731.937969,0,0,0,1029,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204988,5.341108,10.436214,12.741427,1.316656,1.249189,0.759847,0.453546,0.431226,1.876049,3.818351,1,92,52,24,0,2,2,2,-1,1,0.421997,0.000972,-1.858694,0,0,9472,173.05985,9472,38.075086,0,0,0,0,1,1,556,1,0,0,2.369684,0.310973,4.518962,8.667608,902,0.839824,0.907263,1.659975,902,1750.233125,8047.340591,8,2,36,1458,0.026063,3455,41652.875,0,73877,36928,47,2183,4428.8,0.06,0.31,2.42
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_03.dzn,1,2.855072,0,1.594535,2.445856,0.956603,2.469913,0.919636,281.331846,412.745021,38,130.301639,1,276,0.854489,662,1909.884329,514.696092,0,72,188,76,135,0,0.26087,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0.050725,0.612807,7.608696,17.684211,2.04644,0.699271,1.931658,1.499262,0.584606,0.978071,3.242353,1.750986,1,100,133,6,0,0,0,3,0.75,3,1.229695,0.01087,0.212432,4,1.333333,54,9.594059,18,3.51493,0,0,0,0,0,0,5,1,1,1,2.439628,1.081264,2.445016,0.86691,120,-1.643858,0.364998,1.444888,120,267.193986,424.914507,18,0,154,323,0.47678,788,568.846262,3,189696,94702,168,3996,5855.79,0.1,0.02,2.16
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_5_20_1.dzn,1,4.62701,0,1.218064,1.433198,0.524348,4.189744,2.205556,514.452586,942.348323,37,163.18438,1,311,0.922849,874,4723.716704,959.694415,107,33,130,154,207,0.344051,0.106109,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0.006431,0.50823,21.344051,20.189911,6.72997,0.692972,1.199419,0.954104,0.470745,0.928643,3.564783,2.816521,1,86,76,21,0,2,2,35,35,1,0.23419,0.003215,-0.530212,1,0.028571,701,26.570352,701,9.600911,0,0,0,0,0,0,5,1,1,1,4.27003,1.444347,2.663326,3.59156,250,-12.818364,2.365588,2.287016,270,489.565861,985.13233,27,20,505,337,1.557864,1439,4514.982966,13,217555,108711,284,2326,8508.53,0.02,0.05,2.1
