@relation 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute gr_cv_clust_cg numeric
@attribute s_indomain_min numeric
@attribute s_other_var numeric
@attribute algorithm {bprolog,fzn2smt,g12cpx,g12fd,g12lazyfd,g12mip,gecode,izplus,jacop,minisatid,mistral,ortools,allfair}

@data

1.386303,1,0,gecode
1.360257,1,0,gecode
1.360606,1,0,gecode
0.699271,0,1,g12cpx
0.491469,0,1,izplus
1.581138,0,0,gecode
1.544786,0,0,gecode
1.316656,0,0,g12lazyfd
0.699271,0,1,g12cpx
0.692972,0,1,g12cpx
1.357019,1,0,gecode
-1,0,1,ortools
0.310104,0,0,g12cpx
-1,0,0,g12cpx
0.619175,0,1,g12cpx
1.594261,0,0,gecode
1.400096,0,0,mistral
-1,0,1,izplus
1.594261,0,0,gecode
0.697864,0,1,g12lazyfd
1.400092,0,0,g12mip
1.58114,0,0,gecode
0.698235,0,1,g12cpx
1.361095,1,0,gecode
1.599277,0,0,gecode
1.550433,0,0,gecode
0.689417,0,1,g12lazyfd
0.4602,0,1,g12cpx
0.319896,0,1,fzn2smt
0.692972,0,1,g12cpx
0.290794,0,1,izplus
0.340301,0,1,izplus
0.927016,0,1,g12cpx
0.977403,0,1,g12cpx
-1,0,0,g12cpx
0.576686,1,0,g12cpx
0.701704,0,1,g12lazyfd
1.388628,0,0,izplus
0.577955,1,0,g12fd
0.577449,1,0,g12fd
0.696755,0,1,g12lazyfd
0.576686,1,0,g12cpx
0.579931,1,0,g12cpx
0.577822,1,0,g12fd
-1,0,1,g12cpx
1.400088,0,0,g12mip
-1,0,1,izplus
1.400088,0,0,mistral
1.400088,0,0,mistral
-1,0,1,g12fd
1.400088,0,0,g12mip
-1,0,1,g12fd
1.400088,0,0,mistral
1.400258,0,0,g12mip
1.369748,0,0,mistral
1.369748,0,0,mistral
1.369748,0,0,mistral
1.369748,0,0,mistral
-1,0,0,g12cpx
