@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_perten_avg_predshape NUMERIC
@ATTRIBUTE csp_perten_avg_predsize NUMERIC
@ATTRIBUTE csp_sqrt_max_domsize NUMERIC
@ATTRIBUTE csp_sqrt_avg_domsize NUMERIC
@ATTRIBUTE csp_percent_dec_predicate NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,?,?,?,?
bool/routing/s3-3-3-3.xml,1,?,?,?,?,?
bool/routing/s3-3-3-1.xml,1,?,?,?,?,?
bool/routing/s4-4-3-10.xml,1,43.196203,46.186709,1.414214,1.414214,52.294304
bool/routing/s4-4-3-7.xml,1,43.093596,46.187192,1.414214,1.414214,52.413793
bool/routing/s4-4-3-6.xml,1,42.929936,46.072187,1.414214,1.414214,52.866242
bool/routing/s4-4-3-3.xml,1,43.172979,45.957011,1.414214,1.414214,52.09826
bool/routing/s3-3-3-2.xml,1,?,?,?,?,?
bool/routing/s4-4-3-2.xml,1,43.002049,45.932377,1.414214,1.414214,52.663934
bool/routing/s4-4-3-8.xml,1,44.355828,51.779141,1.414214,1.414214,51.226994
bool/routing/s4-4-3-9.xml,1,43.349169,46.072842,1.414214,1.414214,51.781473
bool/routing/s4-4-3-4.xml,1,43.082061,46.001908,1.414214,1.414214,52.480916
bool/routing/s3-3-3-5.xml,1,?,?,?,?,?
bool/routing/s4-4-3-5.xml,1,43.284133,45.97786,1.414214,1.414214,51.845018
bool/routing/s4-4-3-1.xml,1,43.106509,46.104536,1.414214,1.414214,52.366864
bool/ii/ii-16e2.xml,1,3.819552,41.550796,1.414214,1.414214,93.634079
bool/ii/ii-8b1.xml,1,?,?,?,?,?
bool/ii/ii-32c1.xml,1,?,?,?,?,?
bool/ii/ii-8d1.xml,1,?,?,?,?,?
bool/ii/ii-16a1.xml,1,4.710248,24.250642,1.414214,1.414214,92.149586
bool/ii/ii-32c3.xml,1,4.714165,19.608561,1.414214,1.414214,92.143058
bool/ii/ii-8c2.xml,1,?,?,?,?,?
bool/ii/ii-32b4.xml,1,3.131936,19.18208,1.414214,1.414214,94.780107
bool/ii/ii-16e1.xml,1,4.665542,41.512085,1.414214,1.414214,92.224096
bool/ii/ii-32b2.xml,1,5.555161,20.294431,1.414214,1.414214,90.741398
bool/ii/ii-32e5.xml,1,2.576082,19.518013,1.414214,1.414214,95.706531
bool/ii/ii-32c2.xml,1,6.145619,20.12752,1.414214,1.414214,89.757302
bool/ii/ii-8b3.xml,1,?,?,?,?,?
bool/ii/ii-8a2.xml,1,?,?,?,?,?
bool/ii/ii-8c1.xml,1,?,?,?,?,?
bool/ii/ii-16d1.xml,1,4.30798,30.768782,1.414214,1.414214,92.820034
bool/ii/ii-16c1.xml,1,5.252951,30.442733,1.414214,1.414214,91.245082
bool/ii/ii-8b4.xml,1,?,?,?,?,?
bool/ii/ii-8a1.xml,1,?,?,?,?,?
bool/ii/ii-32e1.xml,1,?,?,?,?,?
bool/ii/ii-32e3.xml,1,3.700935,19.592523,1.414214,1.414214,93.831776
bool/ii/ii-16b2.xml,1,3.754143,26.834913,1.414214,1.414214,93.743095
bool/ii/ii-32d2.xml,1,4.362066,20.680223,1.414214,1.414214,92.72989
bool/ii/ii-32e2.xml,1,5.31696,20.361766,1.414214,1.414214,91.1384
bool/ii/ii-8e2.xml,1,?,?,?,?,?
bool/ii/ii-16b1.xml,1,3.909502,26.618401,1.414214,1.414214,93.484163
bool/ii/ii-32e4.xml,1,3.098892,19.237955,1.414214,1.414214,94.83518
bool/ii/ii-16a2.xml,1,?,?,?,?,?
bool/ii/ii-32b3.xml,1,3.433081,19.276554,1.414214,1.414214,94.278198
bool/ii/ii-8a3.xml,1,?,?,?,?,?
bool/ii/ii-8e1.xml,1,?,?,?,?,?
bool/ii/ii-8a4.xml,1,?,?,?,?,?
bool/ii/ii-16d2.xml,1,3.772279,30.915244,1.414214,1.414214,93.712868
bool/ii/ii-32b1.xml,1,?,?,?,?,?
bool/ii/ii-8d2.xml,1,?,?,?,?,?
bool/ii/ii-32d3.xml,1,2.435228,19.934982,1.414214,1.414214,95.941287
bool/ii/ii-16c2.xml,1,3.764514,29.168194,1.414214,1.414214,93.72581
bool/ii/ii-32d1.xml,1,?,?,?,?,?
bool/ii/ii-8b2.xml,1,?,?,?,?,?
bool/ii/ii-32a1.xml,1,2.847689,20.042395,1.414214,1.414214,95.253852
bool/ii/ii-32c4.xml,1,2.106286,18.53892,1.414214,1.414214,96.489524
bool/mps/mps-neos16.xml,1,58.877456,96.688494,1.414214,1.414214,64.826941
