@relation 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute cl_num_max numeric
@attribute cl_num_q90 numeric
@attribute cl_num_q75 numeric
@attribute algorithm {ebglucose,ebminisat,glucose2,glueminisat,lingeling,lrglshr,minisatpsm,mphaseSAT64,precosat,qutersat,rcl,restartsat,cryptominisat2011,spear-sw,spear-hw,eagleup,sparrow,marchrw,mphaseSATm,satime11,tnm,mxc09,gnoveltyp2,sattime,sattimep,clasp2,clasp1,picosat,mphaseSAT,sapperlot,sol,allfair}

@data

42,26,21,sparrow
36,26,22,sparrow
4545,4545,4456,tnm
924,751,535,tnm
4287,4287,4287,sattimep
4543,4543,4404,allfair
4397,4397,4356,eagleup
4419,4419,4385,eagleup
31,18,15,tnm
4646,4646,4587,eagleup
21,12,10,sparrow
4559,4559,4543,allfair
4378,4378,4374,allfair
4067,4067,3919,eagleup
4446,4446,4349,mphaseSAT64
2918,2918,2169,tnm
4304,4304,4304,eagleup
4583,4583,4521,allfair
2254,550,421,allfair
3969,3969,3911,sparrow
3921,3921,3869,allfair
4148,4148,3965,gnoveltyp2
104,65,56,eagleup
4060,4060,3987,sparrow
3989,3989,3842,allfair
4607,4607,4496,eagleup
39,20,16,eagleup
4373,4373,4373,sattimep
4588,4588,4516,sparrow
150,77,66,eagleup
4419,4419,4419,satime11
4533,4533,4518,gnoveltyp2
3741,3741,3643,tnm
4008,4008,3980,eagleup
3886,3886,3849,sparrow
11,8,6,eagleup
4367,4367,4365,eagleup
3684,3684,3680,satime11
3985,3985,3889,allfair
4026,4026,3990,satime11
32,20,17,sparrow
80,57,45,eagleup
188,112,100,sparrow
889,251,231,allfair
4039,4039,3951,allfair
4138,4138,3952,sparrow
879,271,249,allfair
3998,3998,3964,tnm
2921,2792,1355,allfair
28,15,12,eagleup
2198,2188,1994,tnm
3948,3948,3944,allfair
4057,4057,4027,sparrow
4180,4180,4115,satime11
91,50,42,satime11
4388,4388,4388,mphaseSAT64
4590,4590,4506,satime11
4437,4437,4353,eagleup
0,0,0,sparrow
54,34,30,sparrow
4421,4421,4391,eagleup
42,26,21,sparrow
64,45,40,eagleup
3947,3947,3835,satime11
154,74,64,sparrow
162,102,86,allfair
4555,4555,4458,allfair
3903,3903,3885,allfair
3895,3895,3796,allfair
4432,4432,4407,tnm
4372,4372,4372,satime11
3447,3447,3437,sattimep
217,117,101,gnoveltyp2
4341,4341,4341,allfair
4407,4407,4344,allfair
4120,4120,4060,eagleup
4057,4057,4051,eagleup
4536,4536,4536,allfair
4367,4367,4239,allfair
4364,4364,4321,sattime
3987,3987,3874,eagleup
4577,4577,4480,gnoveltyp2
4302,4302,4302,tnm
333,176,147,allfair
3933,3933,3889,eagleup
143,75,63,sparrow
4379,4379,4269,eagleup
4315,4315,4243,eagleup
3782,3782,3693,eagleup
77,55,47,sparrow
138,76,63,sparrow
4382,4382,4382,mphaseSAT64
4379,4379,4379,sparrow
4056,4056,4022,allfair
3924,3924,3856,satime11
71,51,43,eagleup
134,80,70,gnoveltyp2
33,19,14,sparrow
3880,3880,3862,allfair
128,77,65,eagleup
3951,3951,3900,tnm
152,106,91,allfair
3951,3951,3938,mphaseSAT64
1595,1382,1355,allfair
4129,4129,4009,tnm
3943,3943,3835,allfair
15,10,8,sparrow
4378,4378,4360,eagleup
128,77,64,sparrow
104,64,57,tnm
4535,4535,4377,sattimep
36,24,20,allfair
3960,3960,3881,sattime
123,74,64,sattime
193,107,94,tnm
4158,4158,3979,eagleup
95,65,54,sparrow
2507,1353,496,allfair
4387,4387,4387,eagleup
143,74,66,sparrow
4078,4078,4050,eagleup
4443,4443,4365,eagleup
22,11,9,eagleup
1022,294,252,allfair
313,159,148,allfair
4583,4583,4568,sparrow
4440,4440,4357,eagleup
2761,626,381,allfair
78,47,37,eagleup
3999,3999,3875,allfair
4434,4434,4415,gnoveltyp2
41,27,22,sparrow
4371,4371,4371,sattimep
4546,4546,4534,satime11
4566,4566,4538,allfair
23,13,10,eagleup
68,39,32,eagleup
35,26,22,sparrow
4026,4026,4026,sattime
83,49,39,sparrow
89,54,47,sparrow
12,7,5,sparrow
19,13,10,sparrow
4371,4371,4371,eagleup
3919,3919,3835,satime11
4267,4267,4254,sattimep
174,109,93,tnm
4402,4402,4367,satime11
4422,4422,4375,eagleup
3976,3976,3855,eagleup
4420,4420,4396,sparrow
84,58,50,gnoveltyp2
4402,4402,4402,tnm
4444,4444,4441,eagleup
4549,4549,4489,eagleup
4373,4373,4267,sattime
4541,4541,4518,eagleup
4516,4516,4435,sattimep
3995,3995,3882,sparrow
3785,3785,3701,sparrow
2228,543,429,allfair
4410,4410,4355,allfair
4633,4633,4469,allfair
4100,4100,4092,sparrow
39,23,20,allfair
3958,3958,3930,satime11
135,77,64,eagleup
4454,4454,4385,eagleup
4619,4619,4599,gnoveltyp2
4014,4014,3906,sparrow
4352,4352,4330,gnoveltyp2
4354,4354,4346,sparrow
3873,3873,3788,tnm
173,95,88,allfair
3984,3984,3917,allfair
4633,4633,4512,gnoveltyp2
4150,4150,4150,tnm
24,17,13,eagleup
67,48,40,eagleup
99,58,46,sparrow
4373,4373,4331,eagleup
4371,4371,4371,satime11
3550,3550,3294,tnm
27,15,11,eagleup
3883,3883,3883,sattime
2787,2264,1229,tnm
4042,4042,3879,eagleup
81,47,44,sparrow
4497,4497,4484,tnm
4582,4582,4516,allfair
4494,4494,4453,allfair
4579,4579,4503,eagleup
94,61,52,sparrow
4033,4033,3968,eagleup
21,10,7,sparrow
4541,4541,4533,sparrow
4049,4049,3983,allfair
4602,4602,4499,sparrow
3935,3935,3769,allfair
4023,4023,3984,gnoveltyp2
4037,4037,4016,allfair
4460,4460,4420,gnoveltyp2
4415,4415,4368,sattime
23,14,11,sparrow
105,60,50,eagleup
90,51,47,sparrow
4530,4530,4462,allfair
4283,4283,4283,allfair
3596,3596,3544,satime11
4368,4368,4368,sattimep
3582,3186,3171,eagleup
2741,640,356,allfair
4304,4304,4235,tnm
165,85,77,satime11
3927,3927,3867,sparrow
4400,4400,4373,satime11
79,46,41,eagleup
3952,3952,3908,sparrow
25,14,12,eagleup
19,13,10,eagleup
4499,4499,4451,allfair
4666,4666,4607,eagleup
103,64,53,sparrow
4032,4032,3954,allfair
30,18,15,sparrow
3829,3829,3748,allfair
2039,1722,1264,allfair
3998,3998,3991,sparrow
1845,1787,1366,allfair
22,15,11,eagleup
4623,4623,4446,sparrow
46,28,22,sparrow
4113,4113,4023,sattime
88,55,49,sparrow
3937,3937,3837,satime11
15,9,6,sparrow
15,10,7,eagleup
3935,3935,3926,tnm
137,84,72,sparrow
4012,4012,3941,allfair
4572,4572,4515,gnoveltyp2
3957,3957,3923,allfair
4070,4070,4032,eagleup
419,180,153,sparrow
25,15,11,eagleup
4599,4599,4526,sattime
4602,4602,4500,eagleup
4588,4588,4525,gnoveltyp2
4065,4065,4044,gnoveltyp2
74,54,48,eagleup
4027,4027,3917,allfair
4259,4259,4225,allfair
4608,4608,4498,mphaseSAT
4343,4343,4331,satime11
2022,1952,1118,sparrow
4276,4276,4174,eagleup
15,12,8,eagleup
26,16,12,eagleup
36,26,20,allfair
4027,4027,3953,eagleup
4134,4134,4086,sparrow
4064,4064,3963,tnm
4396,4396,4341,eagleup
2301,2301,2034,satime11
3979,3979,3882,allfair
4474,4474,4362,gnoveltyp2
47,32,28,sparrow
1081,300,251,allfair
21,12,10,eagleup
30,13,10,sparrow
3885,3885,3805,picosat
4573,4573,4499,gnoveltyp2
4000,4000,3949,eagleup
4350,4350,4339,sparrow
11,8,5,sparrow
4005,4005,3924,satime11
1523,856,656,tnm
4562,4562,4560,eagleup
4326,4326,4326,satime11
4396,4396,4298,gnoveltyp2
40,27,21,eagleup
67,38,32,sparrow
3993,3993,3977,eagleup
144,93,79,satime11
4637,4637,4604,gnoveltyp2
118,58,54,eagleup
4383,4383,4294,allfair
4522,4522,4474,tnm
3969,3969,3966,gnoveltyp2
3911,3911,3911,allfair
34,23,20,allfair
3795,3795,3419,sparrow
4037,4037,4024,gnoveltyp2
3861,3861,3752,eagleup
84,56,46,eagleup
193,114,102,satime11
3967,3967,3931,eagleup
4572,4572,4506,gnoveltyp2
4442,4442,4420,gnoveltyp2
3929,3929,3929,allfair
4437,4437,4425,eagleup
16,10,7,sparrow
3865,3865,3733,allfair
4095,4095,4025,allfair
4517,4517,4512,eagleup
4349,4349,4349,allfair
4249,4249,4218,sparrow
4589,4589,4534,eagleup
11,5,4,allfair
4063,4063,4001,allfair
4395,4395,4395,eagleup
290,175,153,allfair
1603,1394,1304,sparrow
103,62,52,tnm
3873,3873,3772,allfair
4498,4498,4450,sparrow
3974,3974,3907,sparrow
4349,4349,4349,tnm
4097,4097,4032,allfair
4403,4403,4321,gnoveltyp2
326,134,118,sparrow
82,54,48,sparrow
92,54,48,sparrow
161,94,81,eagleup
28,17,14,sparrow
4166,4166,4046,tnm
25,14,11,sparrow
130,80,72,sparrow
4123,4123,4071,eagleup
4522,4522,4511,allfair
4004,4004,3993,sattimep
94,52,45,satime11
4141,4141,4103,eagleup
3956,3956,3907,eagleup
4049,4049,4014,tnm
124,95,86,allfair
175,82,65,sparrow
156,88,78,sparrow
141,90,79,sparrow
89,63,54,gnoveltyp2
151,77,64,sparrow
33,21,16,sparrow
21,12,9,eagleup
2970,2970,2563,allfair
4412,4412,4347,allfair
4667,4667,4602,eagleup
4591,4591,4488,eagleup
125,74,63,gnoveltyp2
4018,4018,3940,sattime
4584,4584,4503,gnoveltyp2
22,12,9,sparrow
4382,4382,4382,allfair
0,0,0,eagleup
148,88,80,eagleup
4070,4070,4037,eagleup
94,57,47,tnm
3930,3930,3911,allfair
1018,809,597,sparrow
4335,4335,4280,allfair
3969,3969,3954,sparrow
4011,4011,3970,eagleup
4384,4384,4295,allfair
16,7,5,sparrow
2450,803,397,sattimep
4698,4698,4603,eagleup
4109,4109,4109,sattime
104,63,54,eagleup
4006,4006,4006,allfair
81,54,48,eagleup
4614,4614,4496,eagleup
48,25,20,sparrow
4118,4118,4118,allfair
4478,4478,4444,eagleup
37,19,15,sparrow
4435,4435,4325,gnoveltyp2
1250,308,274,allfair
25,12,9,sparrow
24,15,12,eagleup
416,174,149,gnoveltyp2
681,287,223,allfair
4442,4442,4335,gnoveltyp2
4527,4527,4435,tnm
70,51,42,eagleup
376,181,158,sparrow
2496,1436,450,eagleup
3986,3986,3918,gnoveltyp2
4382,4382,4382,mphaseSAT64
4103,4103,4031,eagleup
35,24,21,eagleup
3813,3813,3769,eagleup
4546,4546,4542,eagleup
4430,4430,4342,allfair
4032,4032,3936,tnm
4501,4501,4439,eagleup
4350,4350,4274,gnoveltyp2
4107,4107,4084,eagleup
4545,4545,4483,sattime
35,23,19,sparrow
4160,4160,4028,sparrow
2122,757,379,allfair
3991,3991,3986,gnoveltyp2
3914,3914,3776,allfair
4382,4382,4278,eagleup
3997,3997,3948,tnm
3742,3505,2524,satime11
19,14,11,sparrow
4405,4405,4405,sparrow
23,11,9,sparrow
4052,4052,4021,sparrow
4549,4549,4452,sattime
4115,4115,4111,sparrow
4048,4048,4041,sparrow
4357,4357,4357,eagleup
4398,4398,4398,satime11
4145,4145,4086,eagleup
2351,1976,1486,allfair
31,18,14,eagleup
4571,4571,4481,tnm
4006,4006,3892,tnm
4049,4049,4020,sparrow
4388,4388,4289,allfair
4051,4051,4026,eagleup
4062,4062,4034,sparrow
62,26,21,eagleup
158,77,63,eagleup
11,6,5,allfair
4020,4020,4001,satime11
4348,4348,4348,sattime
846,694,458,sparrow
3931,3931,3801,sparrow
4556,4556,4556,eagleup
81,51,39,eagleup
3944,3944,3881,allfair
3944,3944,3799,allfair
293,133,120,gnoveltyp2
149,101,88,allfair
3944,3944,3830,allfair
3964,3964,3820,satime11
4076,4076,4011,sparrow
4424,4424,4218,eagleup
4091,4091,4050,sparrow
277,137,117,tnm
9,7,5,allfair
4439,4439,4328,eagleup
4385,4385,4355,allfair
71,53,43,sattime
64,41,35,sparrow
4362,4362,4336,sattimep
3961,3961,3961,eagleup
4417,4417,4320,eagleup
3649,2944,1830,sattime
2020,508,369,allfair
4398,4398,4330,allfair
912,255,230,allfair
18,9,6,eagleup
443,168,159,eagleup
4018,4018,4017,allfair
20,11,9,sparrow
2871,2800,1730,allfair
4528,4528,4510,eagleup
4590,4590,4501,eagleup
40,26,20,eagleup
4488,4488,4408,sparrow
28,15,12,eagleup
146,89,77,tnm
4007,4007,3863,eagleup
4591,4591,4489,allfair
4045,4045,3938,allfair
48,36,30,sparrow
170,72,66,eagleup
4287,4287,4263,eagleup
38,26,20,eagleup
14,11,9,sparrow
98,66,58,eagleup
4074,4074,4001,eagleup
65,42,36,eagleup
4532,4532,4448,mphaseSATm
81,55,49,sparrow
4111,4111,4052,satime11
4389,4389,4389,tnm
4659,4659,4615,sparrow
1112,361,255,allfair
61,49,33,sparrow
44,27,21,eagleup
4393,4393,4313,eagleup
3747,3747,3747,satime11
2240,1659,358,tnm
22,14,11,eagleup
1206,296,263,allfair
8,5,4,allfair
4609,4609,4521,mphaseSAT
2672,2672,2515,sparrow
292,165,139,allfair
151,83,66,sparrow
4590,4590,4541,gnoveltyp2
4597,4597,4489,tnm
4362,4362,4339,gnoveltyp2
75,49,39,eagleup
4020,4020,3980,allfair
4565,4565,4488,eagleup
25,13,10,sparrow
1017,612,457,sparrow
4034,4034,3975,sparrow
39,22,16,sparrow
4056,4056,3976,sparrow
4031,4031,3965,tnm
4005,4005,3987,satime11
3996,3996,3976,tnm
4039,4039,4016,satime11
4258,4258,4237,satime11
106,64,54,sparrow
4531,4531,4531,eagleup
3995,3995,3934,sparrow
47,21,16,sparrow
161,101,87,allfair
4353,4353,4353,tnm
20,13,10,sparrow
4390,4390,4284,eagleup
145,89,83,sparrow
3974,3974,3815,sattime
4612,4612,4530,eagleup
3997,3997,3968,sparrow
63,45,34,sparrow
803,236,217,allfair
60,42,36,sattime
4556,4556,4464,allfair
4380,4380,4294,sparrow
4548,4548,4483,sparrow
4003,4003,3887,allfair
4547,4547,4540,eagleup
83,47,37,sparrow
111,61,50,eagleup
33,16,13,eagleup
4541,4541,4469,gnoveltyp2
60,42,34,eagleup
12,7,5,sparrow
43,33,28,sparrow
971,648,479,sparrow
4613,4613,4569,gnoveltyp2
3924,3924,3836,tnm
42,25,21,sparrow
32,13,10,sparrow
14,7,5,sparrow
4450,4450,4408,eagleup
4425,4425,4298,allfair
3851,3851,3851,allfair
126,76,67,eagleup
22,13,9,eagleup
3703,3703,3487,allfair
36,23,20,allfair
4578,4578,4527,eagleup
2532,1678,552,allfair
323,167,143,allfair
4513,4513,4511,allfair
4398,4398,4372,eagleup
4486,4486,4413,tnm
4711,4711,4614,sattime
4476,4476,4379,sattimep
58,33,28,gnoveltyp2
4403,4403,4297,eagleup
984,360,262,eagleup
10,6,5,sparrow
4387,4387,4352,allfair
58,34,26,sparrow
4001,4001,3982,eagleup
27,19,15,eagleup
3936,3936,3922,tnm
4563,4563,4540,sattimep
1234,295,257,allfair
3257,3124,1939,sattimep
4511,4511,4480,eagleup
33,17,14,eagleup
4464,4464,4448,allfair
54,34,25,tnm
4624,4624,4553,gnoveltyp2
1961,1579,1154,sparrow
4421,4421,4421,gnoveltyp2
4086,4086,3978,eagleup
22,10,7,eagleup
3974,3974,3770,allfair
9,6,5,sparrow
92,53,48,gnoveltyp2
4005,4005,3886,allfair
93,56,49,eagleup
4039,4039,4029,sparrow
89,57,48,gnoveltyp2
4595,4595,4508,mphaseSAT64
1413,846,567,sparrow
4365,4365,4353,tnm
75,49,39,eagleup
