@relation 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute VCG_VAR_max numeric
@attribute HORNY_VAR_max numeric
@attribute VG_max numeric
@attribute cluster_coeff_mean numeric
@attribute cluster_coeff_min numeric
@attribute cl_num_q75 numeric
@attribute SP_unconstraint_mean numeric
@attribute saps_FirstLocalMinRatio_CoeffVariance numeric
@attribute lobjois_mean_depth_over_vars numeric
@attribute lobjois_log_num_nodes_over_vars numeric

@data

0.0001,0,0.0001,?,?,42,0.0134,0,0.25,0.6862
0.0162,0.0073,0.01,0.1848,0.0476,572,0.0163,0.0369,0.5231,0.8937
0.0092,0.0011,0.0016,?,?,729,0.0684,0.0988,0.2734,0.4492
?,?,?,?,?,?,?,?,?,?
0.0165,0.0083,0.0089,?,?,0,0.0571,0,0.3152,0.5612
0.0792,0.0357,0.0718,?,?,2186,0.0287,0.0066,0.4057,0.9745
0.0005,0.0002,0.0002,0.2563,0.0887,327,0.0308,0.0048,0.0347,0.1094
0.0142,0.0071,0.0083,?,?,241,0.0797,0.2458,0.0277,0.1491
0.0022,0.0012,0.0107,?,?,9,0.1745,0,0.2022,0.4217
0.0199,0.0099,0.0171,?,?,0,0.0924,0,0.4145,0.584
0.0045,0.0016,0.0037,?,?,1687,0.0807,0.0066,0.0911,0.3317
0.001,0.0004,0.0013,?,?,60,0.4008,0,0.1096,0.2083
0.0033,0.0031,0.0033,?,?,1361,0.0399,0,0.0478,0.1729
0.0001,0.0001,0.0001,0.1348,0.0254,0,0.0138,0,0.1814,0.6838
0.0039,0.0014,0.0029,?,?,281,0.0669,0.0015,0.1316,0.3044
0.0196,0.0039,0.0155,?,?,1232,0.0862,0.0143,0.1928,0.6998
0,0,0,?,?,0,0.0156,0,0.2523,0.6779
?,?,?,?,?,?,?,?,?,?
0.0112,0.0079,0.0074,0.2817,0.0044,931,0.0377,0.1189,0.0786,0.4262
0.0107,0.0104,0.006,?,?,1888,0.0137,0.1435,0.2882,0.6967
0.0002,0.0001,0.0002,0.1555,0.0264,348,0.0155,0,0.1707,0.7248
0.0002,0.0002,0.0002,0.1626,0.027,1368,0.0158,0.7898,0.2094,0.7475
0.0068,0.0033,0.0155,?,?,0,0.0485,0,0.3333,0.6257
0.0043,0.0011,0.0033,?,?,0,0.0967,0,0.1769,0.31
0.0097,0.0045,0.008,?,?,0,0.0459,0,0.1626,0.4956
0.0008,0.0004,0.0008,?,?,748,0.0323,0,0.0162,0.1049
0.0002,0.0001,0.0002,0.1555,0.0264,348,0.0155,0,0.1616,0.5088
0.0001,0,0.0001,0.1532,0.0246,211,0.0161,0,0.2139,0.6693
0.0248,0.0038,0.0062,?,?,630,0.0615,0.7914,0.0529,0.5478
0.0043,0.0011,0.0033,?,?,0,0.0967,0,0.1679,0.2791
0.0154,0.0059,0.0068,0.3195,0.1679,4157,0.0676,0.0494,0.2701,0.6582
0.0005,0.0003,0.0005,0.2613,0.0227,198,0.0543,0,0.0509,0.0917
0.0114,0.0044,0.005,0.317,0.1679,3760,0.068,0.047,0.2395,0.5707
0.0004,0.0004,0.0006,?,?,0,0.0354,0,0.1729,0.3538
0.0001,0,0.0001,0.1507,0.0258,0,0.0158,0,0.2672,0.6851
0.0001,0,0.0001,?,?,0,0.2415,0,0.0777,0.1476
0.0001,0,0.0001,?,?,0,0.0159,0,0.1765,0.739
0.0002,0.0002,0.0002,0.1626,0.027,1368,0.0158,1.3492,0.189,0.6668
0.0049,0.0018,0.0052,?,?,0,0.2014,0,0.083,0.2778
0.0062,0.0059,0.0062,?,?,0,0.1099,0,0.1742,0.5053
0.0005,0.0002,0.0002,0.2765,0.1026,461,0.0312,0,0.0322,0.0847
0.0022,0.0008,0.0014,?,?,1239,0.037,0.4003,0.0745,0.7265
0.003,0.002,0.0089,0.1276,0.0048,693,0.0658,0.0913,0.1027,0.3483
0.0011,0.0006,0.0008,?,?,0,0.0436,0.1743,0.2476,0.5508
0.0041,0.0039,0.0116,?,?,1901,0.0629,0.0567,0.0712,0.5842
0.0031,0.0014,0.002,?,?,391,0.0744,0,0.0281,0.104
0.0086,0.0041,0.0065,?,?,388,0.0786,0.1506,0.0333,0.1622
0.0046,0.0045,0.0026,?,?,4017,0,0.0003,0.7709,0.9343
0.016,0.0072,0.0099,0.1876,0.0474,582,0.0178,0.023,0.5193,0.9045
?,?,?,?,?,?,?,?,?,?
0.0189,0.0096,0.0068,?,?,3827,0.0054,0.0037,0.523,0.8582
0.0042,0.002,0.0039,0.136,0.0091,1070,0.0331,0.0601,0.1333,0.3974
0.0011,0.0006,0.0007,?,?,0,0.0397,0,0.2399,0.6672
0.0067,0.0027,0.007,?,?,452,0.079,0.1544,0.0395,0.1376
0.0001,0.0001,0.0001,0.1404,0.0276,50,0.0148,0,0.1134,0.4581
0.0034,0.0016,0.0019,?,?,395,0.0721,0,0.0328,0.1732
0.0197,0.0127,0.0045,?,?,0,0.1651,0.2087,0.0599,0.415
0.0187,0.0094,0.0103,?,?,0,0.0854,0,0.4196,0.6553
0.0001,0.0001,0.0001,0.1636,0.029,389,0.0169,0,0.242,0.8221
0.017,0.0007,0.0012,?,?,498,0.2,0.0085,0.0446,0.1511
0.0114,0.0058,0.0038,?,?,1574,0.0052,0.0113,0.525,0.7107
0.0091,0.0035,0.004,0.3155,0.1679,2864,0.0682,0.0388,0.2151,0.5211
0.0055,0.0052,0.0047,?,?,0,0.1515,0.0112,0.371,0.8209
0.0052,0.005,0.0072,0.2707,0.015,969,0.0486,0.0288,0.2279,0.9878
0,0,0,?,?,0,0.0157,0,0.1908,0.7251
0.0002,0.0002,0.0002,0.1626,0.027,1368,0.0158,0.7999,0.1904,0.7511
0.002,0.0013,0.0035,?,?,2753,0.0122,0.1183,0.2755,0.3445
0.0004,0.0002,0.0004,0.2519,0.0446,703,0.0618,0.1426,0.033,0.1064
0.0926,0.076,0.0187,?,?,164,0.071,0.0056,0.3346,0.6817
0.0162,0.0057,0.0112,?,?,266,0.0477,0.0238,0.1805,0.4779
0.0069,0.0023,0.0039,?,?,349,0.0691,0.0337,0.3452,0.4666
0.0053,0.0019,0.0071,?,?,2483,0.1022,0.1335,0.0869,0.33
0.0011,0.0006,0.0007,?,?,0,0.0244,0.0779,0.2765,0.4627
?,?,?,?,?,?,?,?,?,?
0.0021,0.002,0.0043,?,?,41,0.038,0,0.023,0.0789
0.0125,0.0064,0.0056,?,?,785,0.0066,0.0071,0.5761,0.815
0.0044,0.0018,0.0032,0.188,0.0111,952,0.0348,0.2019,0.1162,0.3433
0.0631,0.0484,0.0558,?,?,0,0.1201,0.0753,0.1153,0.3903
0.0001,0.0001,0.0001,0.1438,0.027,75,0.0151,0,0.1376,0.4178
0.0043,0.0015,0.0035,?,?,1693,0.0813,0.017,0.0958,0.3239
?,?,?,?,?,?,?,?,?,?
0.0057,0.0055,0.0023,?,?,0,0.1419,0,0.3169,0.594
0.0009,0.0009,0.0009,?,?,0,0.1654,0,0.3823,0.58
0.011,0.01,0.0105,?,?,1309,0.039,0,0.0607,0.2122
0.0187,0.0097,0.0127,0.1897,0.0219,1325,0.072,0.0158,0.1162,0.6503
0.0022,0.0011,0.0022,?,?,359,0.0749,0.0381,0.0386,0.1431
0.0112,0.0079,0.0074,0.2817,0.0044,931,0.0377,0.115,0.0796,0.5146
0.0016,0.0012,0.0031,?,?,197,0.0613,0.4724,0.0231,0.0778
0.0011,0.0011,0.0019,?,?,113,0.0776,0.4594,0.5622,0.7171
0.0272,0.0039,0.0066,?,?,289,0.061,0.0589,0.0492,0.1636
0.0005,0.0002,0.0002,0.2765,0.1053,366,0.0312,0.0809,0.0356,0.0898
0.0005,0.0002,0.0002,0.2768,0.1026,254,0.0312,0.1137,0.0309,0.0934
