@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE OCCFP_OCCFN NUMERIC

@DATA
adder-10-sat-shuffled,1,0.010986,0.994507,1.132939
adder-10-unsat-shuffled,1,0.001096,0.999726,1.243463
adder-12-sat-shuffled,1,0.009067,0.995467,1.134255
adder-12-unsat-shuffled,1,0.000754,0.999811,1.246269
adder-14-sat-shuffled,1,0.007719,0.996141,1.135195
adder-14-unsat-shuffled,1,0.00055,0.999862,1.248295
adder-16-unsat-shuffled,1,0.000419,0.999895,1.249827
Adder2-10-s-shuffled,1,0.726821,0.444433,1
Adder2-4-s-shuffled,1,0.72669,0.445552,1
Adder2-6-c-shuffled,1,0.726373,0.447045,1
Adder2-6-s-shuffled,1,0.726783,0.444877,1
adder-4-sat-shuffled,1,0.030189,0.984906,1.120968
adder-6-sat-shuffled,1,0.019063,0.990469,1.12766
adder-8-sat-shuffled,1,0.013937,0.993031,1.130964
adder-8-unsat-shuffled,1,0.001737,0.999566,1.239316
aim-100-1_6-yes1-3-50-shuffled,1,0.530691,0.205882,0.833333
aim-100-1_6-yes1-3-90-shuffled,1,0.506767,0.242105,0.963855
aim-100-2_0-yes1-2-50-shuffled,1,0.52492,0.211029,0.859195
aim-100-2_0-yes1-2-90-shuffled,1,0.50601,0.239183,0.961415
aim-100-3_4-yes1-1-90-shuffled,1,0.504317,0.244604,0.984586
aim-100-6_0-yes1-1-90-shuffled,1,0.498561,0.245376,0.984649
aim-100-6_0-yes1-3-90-shuffled,1,0.501645,0.246299,0.989011
aim-100-6_0-yes1-4-90-shuffled,1,0.500412,0.245058,0.986813
aim-200-1_6-yes1-2-90-shuffled,1,0.503351,0.238273,0.973843
aim-200-1_6-yes1-4-90-shuffled,1,0.509308,0.236039,0.97379
aim-200-2_0-yes1-2-90-shuffled,1,0.504505,0.23964,0.967794
aim-200-3_4-yes1-1-90-shuffled,1,0.505586,0.244324,0.982642
aim-200-3_4-yes1-4-90-shuffled,1,0.50018,0.243253,0.982676
aim-50-1_6-yes1-1-00-shuffled,1,0.549145,0.173077,0.736527
aim-50-1_6-yes1-1-90-shuffled,1,0.501502,0.243243,1.008197
aim-50-1_6-yes1-2-00-shuffled,1,0.537473,0.171306,0.657143
aim-50-1_6-yes1-2-50-shuffled,1,0.515075,0.201005,0.756579
aim-50-1_6-yes1-3-00-shuffled,1,0.555794,0.169528,0.674419
aim-50-1_6-yes1-4-50-shuffled,1,0.525773,0.203608,0.884892
aim-50-1_6-yes1-4-90-shuffled,1,0.501511,0.238671,1.025
aim-50-2_0-yes1-1-90-shuffled,1,0.510843,0.240964,0.974194
aim-50-2_0-yes1-2-50-shuffled,1,0.541841,0.209205,0.862857
aim-50-2_0-yes1-3-90-shuffled,1,0.504808,0.242788,0.974194
aim-50-3_4-yes1-2-90-shuffled,1,0.505051,0.246753,0.97318
aim-50-3_4-yes1-3-90-shuffled,1,0.50431,0.24569,0.961977
aim-50-6_0-yes1-3-50-shuffled,1,0.513622,0.236378,0.961373
aim-50-6_0-yes1-4-90-shuffled,1,0.500413,0.246903,0.991189
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.520317,0.333284,1
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.508913,0.333315,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0.581874,0.304421,0
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.515498,0.326662,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.564706,0.309191,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.5274,0.321902,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.527745,0.321574,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.50619,0.329473,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.509098,0.328303,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.502997,0.330601,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.520087,0.323152,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.551117,0.313812,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.510326,0.327858,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.543881,0.316119,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.508017,0.328987,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.505901,0.330171,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.537077,0.317612,1
