@RELATION 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC

@DATA
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S980027332-029-UNKNOWN.cnf,1,17,21,13,11.1792,11,8,5,7,0.0011,0.3023,49.5,56.4,0.0004,0.0562,0.3326,64.8077,63,0.2906,74.1818,5.0899,0.0894,0.0004,0.0001,0.0004,0.0006,79.3077,0.0002,0.0002,0.0002,63000,62536,0.0001,6,0,3.3644,0.2304,15000,14607,3221,3167,0.2001,3174.92,5,36,0.7124,3187,2786.38,3217,109.1667,2.706,1,0.6521,3132,0.4939,0.702,0.4894,0,0.5691,0.3945,0.7135,0.8341,1,0,0.3916
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S942849-099.UNKNOWN.cnf,1,3810,3810,3711,3645.1429,3688,3472,3462,3462,0.0188,0.0757,33.1688,34.3506,0.0086,0.0297,0.033,36.1175,35.3213,0.5045,38.2519,4.0145,0.2811,0.0057,0.002,0.0058,0.0098,40.6055,0.0044,0.0044,0.0043,2982,2973,0.0022,5,0.001,3.3421,0.2994,700,692,164,152,0.0646,151.736,4,33.1688,0.6214,152,151.591,163,40.6055,2.6532,1,0.7149,140,0.4917,0.7003,0.5076,0,0.5568,0.3827,0.7851,0.8947,1,0,0.3764
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1008065350-031.UNKNOWN.cnf,1,4049,4049,4036,3902.8571,3869,3818,3793,3793,0.0288,0,23.5001,24.2236,0.0136,0,0.0241,25.9144,25.7924,0.533,27.694,4,0.3571,0.0084,0.0052,0.0091,0.0147,29.0163,0.0069,0.0069,0.0068,1917,1907,0.0034,4,0.0026,3.3049,0.3212,450,439,107,98,0.0693,97.759,4,23.5001,0.7177,98,97.803,107,29.0163,2.706,1,0.6788,88,0.4944,0.6828,0.4971,0,0.5662,0.3947,0.3322,0.9481,1,0,0.4099
SAT11/random/large/unif-k7-r85-v400-c34000-S536077088-015-UNKNOWN.cnf,1,112,133,93,84.2564,79,70,57,67,0.0117,0.1683,52.451,54.2262,0.0117,0.0962,0.214,57.7886,57.2143,0.702,60.6076,2.0401,0.9441,0.0016,0.0117,0.0175,0.0194,65.0226,0.0175,0.0175,0.0175,34000,34000,0.0011,3,0.0154,2.1705,0.6048,400,400,76,65.5,0.0719,65.7976,2,51.6173,0.9975,65,65.768,75,66.8647,4.3402,0.273,0.3687,56,0.3112,0.139,0.0602,0.1429,0.1023,0.0705,0.0003,1.4086,0.1476,0.0007,0.0629
SAT11/random/medium/unif-k7-r89-v90-c8010-S51928934-076.SATISFIABLE.cnf,1,4527,4527,4527,4385.25,4435,4290,4289,4289,0.0111,0,30.8879,31.7124,0.0111,0,0.0231,31.7052,31.7829,0.7641,32.4376,2,1.6974,0.0069,0.0111,0.0778,0.0841,32.4376,0.0778,0.0778,0.0778,8010,8010,0.0049,2,0.0699,2.1754,0.6615,90,90,19,15,0.0174,15.4183,2,30.8879,0.9997,15,15.3984,19,32.4376,3.9008,0.2124,0.4306,12,0.3105,0.1465,0.0633,0.1429,0.1046,0.0707,0.0002,1.9219,0.1122,0.0025,0.0645
SAT11/random/medium/unif-k7-r89-v50-c4450-S1880985555-004.UNKNOWN.cnf,1,4659,4659,4601,4570.6,4557,4537,4499,4499,0.011,0,19.6339,19.7482,0.011,0,0.0121,19.9056,19.8762,0.776,19.9622,2,1.9658,0.0126,0.011,0.14,0.1501,20.3076,0.14,0.14,0.14,4450,4450,0.0089,2,0.1312,1.9928,0.7054,50,50,12,9,0.0115,8.9003,2,19.6339,1.0038,9,8.8815,12,20.3076,3.5793,0.1523,0.3085,6,0.3136,0.137,0.0638,0.1429,0.1034,0.0649,0.0001,2.1974,0.0777,0.0056,0.0565
SAT11/random/large/unif-k5-r20-v1250-c25000-S871131876-087-UNKNOWN.cnf,1,44,71,37,33.217,32,27,19,23,0.0184,0,53.5484,56.5625,0.0137,0,0.2711,61.3601,61.0385,0.5866,65.3429,3,0.3383,0.0014,0.0097,0.004,0.0058,70.5217,0.004,0.004,0.004,25000,25000,0.0007,3,0.0027,2.9756,0.4728,1250,1250,255,239,0.1074,238.281,3,45.907,0.8329,240,239.251,255,78.7619,3.6572,0.6114,0.6652,223,0.3756,0.3234,0.1848,0.2,0.2341,0.1611,0.02,1.0082,0.3488,0.0003,0.1447
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S960198064-030.SATISFIABLE.cnf,1,4014,4014,3906,3822.4286,3817,3736,3674,3674,0.0218,0,26.9066,28.8614,0.0109,0,0.0281,30.9712,29.5637,0.619,34.7504,4,0.3202,0.0073,0.0043,0.0074,0.0116,37.2312,0.0055,0.0055,0.0055,2343,2337,0.0028,4,0.0021,3.3429,0.3111,550,544,132,121,0.1092,120.724,4,26.9066,0.6351,121,120.957,131,37.2312,2.6777,1,0.6438,110,0.4983,0.7287,0.5041,0,0.5789,0.4025,0.3393,0.9114,1,0.0004,0.3953
SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,4607,4607,4496,4469,4447,4400,4395,4395,0.0111,0,25.4551,25.8541,0.0111,0,0.0175,25.9461,25.9741,0.7565,26.2046,2,1.8323,0.0095,0.0111,0.1,0.1104,26.2427,0.1,0.1,0.1,6230,6230,0.0069,2,0.0894,2.1293,0.6771,70,70,15,12,0.011,12.1768,2,25.4551,1.0028,12,12.1057,15,26.2427,3.8449,0.194,0.4112,9,0.3108,0.1511,0.0689,0.1429,0.1063,0.0679,0.0002,2.0295,0.1017,0.0045,0.0565
SAT11/random/medium/unif-k3-r4.26-v800-c3408-S1536861174-069.SATISFIABLE.cnf,1,3206,3369,2697,1585.625,1136,839,695,724,0.0192,0.0849,26.6508,28.6412,0.0078,0.0319,0.5855,32.4931,30.6303,0.4884,37.9676,4.0167,0.2634,0.005,0.003,0.0077,0.0097,40.0484,0.0039,0.0039,0.0039,3408,3387,0.0019,5,0.0015,3.3549,0.299,800,779,184,172,0.1492,171.73,4,26.0026,0.7252,172,172.325,185,40.1961,2.7579,1,0.6799,159,0.4949,0.7248,0.5004,0,0.5646,0.3965,0.408,0.8575,1,0.0003,0.3854
SAT11/random/medium/unif-k7-r89-v80-c7120-S1801179747-047.SATISFIABLE.cnf,1,4525,4525,4482,4412.8,4372,4370,4315,4315,0.0111,0,27.7896,28.3909,0.0111,0,0.0177,28.3985,28.4405,0.7541,28.5321,2,1.7572,0.007,0.0111,0.0875,0.0938,28.8393,0.0875,0.0875,0.0875,7120,7120,0.0055,2,0.0802,2.0586,0.6726,80,80,17,14,0.012,13.6385,2,27.7896,1.0096,14,13.6877,17,28.8393,3.9053,0.2127,0.3682,10,0.3137,0.126,0.0633,0.1429,0.0871,0.0628,0.0001,1.9736,0.1129,0.0035,0.0566
SAT11/random/medium/unif-k7-r89-v70-c6230-S635440951-015.UNKNOWN.cnf,1,4552,4552,4491,4435.8,4403,4380,4353,4353,0.0111,0,24.9568,25.3567,0.0111,0,0.0167,25.6407,25.5158,0.7619,25.7795,2,1.856,0.009,0.0111,0.1,0.1077,26.5947,0.1,0.1,0.1,6230,6230,0.0063,2,0.0926,2.1405,0.6772,70,70,15,12,0.0213,12.0849,2,24.9568,1.0086,12,12.0651,15,26.5947,3.7829,0.2228,0.396,9,0.3141,0.1566,0.0628,0.1429,0.1154,0.0703,0.0001,2.0372,0.1168,0.0035,0.0563
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S379672572-039.SATISFIABLE.cnf,1,3995,3995,3882,3759,3724,3669,3611,3611,0.0232,0.0407,29.6514,30.0397,0.0101,0.0205,0.0332,32.868,31.3884,0.5448,35.6801,4.0068,0.3094,0.0063,0.0035,0.0068,0.0118,39.9817,0.0051,0.0051,0.0051,2556,2545,0.0025,5,0.002,3.3169,0.3106,600,589,142,131,0.1051,130.73,4,29.6514,0.6801,131,130.768,141,39.9817,2.662,1,0.6538,120,0.4982,0.7148,0.4927,0,0.5941,0.4072,0.3386,0.9009,1,0.0004,0.4001
SAT11/random/large/unif-k3-r4.2-v20000-c84000-S357264423-067-UNKNOWN.cnf,1,15,23,11,9.101,8,6,2,4,0.0011,0.5744,50.7,58.9474,0.0003,0.0835,0.4807,71.4595,68.3636,0.2805,84.3333,5.2613,0.1166,0.0003,0,0.0003,0.0005,94.6,0.0002,0.0002,0.0002,84000,83418,0.0001,6,0,3.3593,0.2374,20000,19502,4341,4267.5,0.233,4281.38,5,32.5385,0.708,4222,3382,4227,120,2.712,1,0.6549,4215,0.4951,0.7017,0.4928,0,0.5663,0.3925,0.6433,0.9947,1,0,0.3865
SAT11/random/large/unif-k7-r85-v150-c12750-S1737989193-079-UNKNOWN.cnf,1,4371,4371,4371,4188.5,4221,4105,4057,4057,0.0117,0,45.2154,46.3281,0.0117,0,0.0289,46.4415,46.9429,0.7367,47.2796,2,1.4105,0.0042,0.0117,0.0467,0.0521,47.2796,0.0467,0.0467,0.0467,12750,12750,0.003,2,0.0418,2.1109,0.6391,150,150,30,25,0.0169,24.8028,2,45.2154,1.0058,25,25.0552,30,47.2796,4.2224,0.2174,0.4191,20,0.3138,0.1368,0.0636,0.1429,0.093,0.0656,0.0002,1.6838,0.1134,0.0016,0.0573
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1189700536-035.SATISFIABLE.cnf,1,4435,4435,4325,4302.5714,4278,4261,4259,4259,0.0465,0.5758,22.7653,22.8507,0.0459,0.1608,0.0134,23.4234,23.6806,0.7254,23.708,2.7374,1.1841,0.0164,0.0441,0.05,0.0615,24.3948,0.05,0.05,0.05,2130,2130,0.0089,3,0.039,2.9245,0.5661,100,100,24,20,0.0242,20.0829,2,22.7653,0.8167,20,20.117,25,24.3948,3.4253,0.4738,0.6197,16,0.3675,0.3267,0.1784,0.2,0.2439,0.1633,0.0061,1.5958,0.2566,0.0052,0.1341
SAT11/random/large/unif-k3-r4.2-v35000-c147000-S625465881-078-UNKNOWN.cnf,1,8,14,6,4.4891,4,3,1,2,0.0005,0.3594,56.8571,66,0.0002,0.0545,0.5627,90.3884,82.3333,0.2486,105.8571,5.8837,0.1826,0.0002,0,0.0002,0.0002,139,0.0001,0.0001,0.0001,147000,146021,0,6,0,3.3616,0.224,35000,34143,7465,7447.5,0.3691,7454.75,5,40.3333,0.7091,3784,3784,0,200,2.7109,1,0.6494,7421,0.4958,0.7034,0.494,0,0.57,0.3933,0.6867,1.2218,1,0,0.3882
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1980330668-030.SATISFIABLE.cnf,1,4408,4408,4350,4302.2857,4276,4256,4253,4253,0.0465,0.5956,22.8274,22.8297,0.0459,0.1658,0.0126,23.6895,23.4317,0.7115,24.0244,2.7172,1.1978,0.015,0.0441,0.05,0.0601,25.7534,0.05,0.05,0.05,2130,2130,0.0092,3,0.0371,2.9888,0.5687,100,100,25,20,0.0402,20.2117,2,22.8274,0.8036,20,20.2585,25,25.7534,3.4143,0.4467,0.603,16,0.3643,0.343,0.184,0.2,0.2762,0.2004,0.0067,1.6119,0.2441,0.0038,0.2055
SAT11/random/large/unif-k3-r4.2-v40000-c168000-S64788608-008-UNKNOWN.cnf,1,7,12,6,4.3256,4,3,1,1,0.0005,0.2146,53.2,64,0.0002,0.0385,0.5444,91.8767,91.5,0.2587,109.6667,5.9444,0.5718,0.0001,0,0.0002,0.0002,140,0.0001,0.0001,0.0001,168000,166897,0,6,0,3.3699,0.2177,40000,39032,8534,8515.5,0.375,8513.5,5,26.3333,0.7094,8539,8539,8539,202,2.7136,1,0.6564,8474,0.4956,0.709,0.4941,0,0.5696,0.3942,0.755,0.6536,1,0,0.3864
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S913491256-073-UNKNOWN.cnf,1,9,14,7,5.2667,5,3,1,2,0.0006,0.5811,53.25,67.0769,0.0002,0.0773,0.5354,88.4753,83.6,0.2641,99.5,5.7321,0.2068,0.0002,0,0.0002,0.0003,134,0.0001,0.0001,0.0001,126000,125231,0.0001,6,0,3.3691,0.2194,30000,29270,6396,6371,0.3737,6360.4,5,42.875,0.7089,6320,6320,6300,233,2.7133,1,0.6581,6236,0.4964,0.7076,0.4934,0,0.5718,0.3937,0.9614,0.6447,1,0,0.3868
SAT11/random/large/unif-k5-r20-v1500-c30000-S303265982-092-UNKNOWN.cnf,1,36,48,31,26.0924,24,20,15,18,0.0146,0,55.65,60.7097,0.0117,0,0.2859,66.4209,66.0435,0.5597,71.85,3,0.2714,0.0011,0.0083,0.0033,0.0043,76.6875,0.0033,0.0033,0.0033,30000,30000,0.0006,3,0.0023,3.0394,0.4692,1500,1500,304,287,0.1277,287.608,3,46.16,0.8311,287,285.966,306,90.0833,3.6711,0.5943,0.6467,271,0.3748,0.3417,0.1882,0.2,0.2434,0.1679,0.0138,0.979,0.3333,0.0002,0.1505
