@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,42,26,21,18.2639,17,13,11,8,0.0017,0.2285,0.3017,47.4048,41709,53.1653,42000,52,40.8125,59.8,5.0606,10000,9752,2165,2130,0.3668,0.0616,0.1804,64.9,2150,2014.62,2183,5,2129.09
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,36,26,22,18.1437,17,14,12,8,0.002,0.1225,0.3052,47.0526,41760,54.1613,42000,52.5,43.4783,59.4762,5.0265,10000,9769,2163,2130,0.3096,0.0652,0.1878,69.2857,2159,2022.12,2175,5,2127.88
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v80-c7120-S474185167-033.SATISFIABLE.cnf,1,4545,4545,4456,4416.4,4385,4358,4338,4338,0.0111,0,0.7503,28.3487,7120,28.5736,7120,28.372,28.2105,28.6203,2,80,80,17,14,0.0171,1.7242,0.0138,29.3166,14,13.7424,17,2,13.7119
SAT_Competition2007/random/2+p/p0.7/v6500/unif2p-p0.7-v6500-c17355-S1097641288-15-SAT.cnf,1,924,751,535,499.84,435,398,380,338,0.0056,0.2671,0.3942,27.439,15027,29.8539,17354,28.5176,25.9674,30.6136,5.9545,6500,4798,1038,1001,0.3086,0.0869,0.1233,36.3352,1005,994.926,1032,5,1004.05
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/200/unif-k7-r85-v200-c17000-S266028630-005.cnf,1,4287,4287,4287,3854.75,3864,3754,3514,3514,0.0117,0,0.7266,57.6995,17000,57.5305,17000,58.1688,55.1866,59.0669,2,200,200,39,33,0.0726,1.2586,0.025,59.0669,33,32.9107,39,2,33.4572
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v90-c8010-S775210372-041.UNKNOWN.cnf,1,4543,4543,4404,4362,4329,4298,4236,4236,0.0111,0,0.7487,31.09,8010,31.4722,8010,31.3501,30.9457,31.4809,2,90,90,19,15,0.0242,1.7176,0.0173,32.4942,15,15.365,19,2,15.3671
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,4397,4397,4356,4278.25,4256,4237,4227,4227,0.0465,0.5153,0.6975,24.7383,2343,24.9297,2343,25.2758,23.6932,25.4522,2.789,110,110,27,22,0.0138,1.1521,0.0277,25.9397,22,21.9929,27,2,21.9929
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1850025790-078.cnf,1,4419,4419,4385,4277.375,4266,4227,4192,4192,0.0465,0.4006,0.704,24.6846,2343,25.2032,2343,25.4038,24.3634,26.0166,2.8624,110,110,26,22,0.0179,1.1488,0.0257,26.2152,22,21.9015,27,2,21.9697
SAT_Competition2007/random/LargeSize/3SAT/v13000/unif-k3-r4.2-v13000-c54600-S2045682869-15.cnf,1,31,18,15,12.4356,11,9,7,5,0.0017,0.1615,0.3014,50.8182,54263,59.369,54600,59.1429,43.8235,66.7,5.038,13000,12681,2824,2779,0.3721,0.0645,0.2051,76.5,2759,2508.18,2809,5,2632
SAT_Competition2007/random/OnTreshold/7SAT/v50/unif-k7-r89-v50-c4450-S1718130589-01.SAT.shuffled.cnf,1,4646,4646,4587,4584,4579,4555,4553,4553,0.011,0,0.7737,19.6194,4450,19.7719,4450,19.7117,19.5669,19.758,2,50,50,11,9,0.0074,1.9675,0.0114,20.2036,9,8.9002,12,2,8.835
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,21,12,10,8.2292,8,6,5,4,0.001,0.5063,0.3044,57.6,75031,68.1287,75600,66.5833,46.1818,77.8333,5.2043,18000,17527,3840,3804,0.3854,0.0955,0.2632,92.6154,3863,3309.43,3874,5,3808.6
