@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_percent_dec_predicate NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE csp_percent_wsum NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE directorder_CG-entropy NUMERIC
@ATTRIBUTE support_CG-entropy NUMERIC
@ATTRIBUTE directorder_cluster-coeff-mean NUMERIC
@ATTRIBUTE support_cluster-coeff-mean NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE directorder_cluster-coeff-max NUMERIC
@ATTRIBUTE directorder_cluster-coeff-min NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_CG-min NUMERIC
@ATTRIBUTE direct_CG-entropy NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE directorder_CG-mean NUMERIC
@ATTRIBUTE support_cluster-coeff-max NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE support_cluster-coeff-min NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE direct_cluster-coeff-mean NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE support_CG-min NUMERIC
@ATTRIBUTE csp_perten_avg_predshape NUMERIC
@ATTRIBUTE support_CG-mean NUMERIC
@ATTRIBUTE direct_cluster-coeff-max NUMERIC
@ATTRIBUTE csp_log_bits NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,0,0,0.777778,?,0,0.833333,0.324843,0.20904,3.151483,3.109986,0.295491,0.277648,0.006897,0.7,0.017561,0.833333,0.000407,3.109986,0,0.001746,0.7,0.660065,0.011877,0.223239,0.277648,0.006897,0.000363,?,0.00158,0.7,?
bool/routing/s3-3-3-3.xml,1,?,0,0,0.789474,?,0,0.84,0.328985,0.206463,3.073701,3.05281,0.292938,0.27323,0.0069,0.7,0.016234,0.84,0.000375,3.05281,0,0.001573,0.7,0.651508,0.010562,0.222688,0.27323,0.0069,0.00033,?,0.001422,0.7,?
bool/routing/s3-3-3-1.xml,1,?,0,0,0.764706,?,0,0.826087,0.32901,0.203573,3.046886,3.06289,0.300172,0.282591,0.006691,0.7,0.019302,0.826087,0.000441,3.06289,0,0.001816,0.7,0.656667,0.013474,0.219396,0.282591,0.006691,0.000397,?,0.001659,0.7,?
bool/routing/s4-4-3-10.xml,1,52.294304,0,0,0.846154,-1,0,0.9,0.336567,0.213428,3.431214,3.448418,0.269925,0.2458,0.002078,0.7,0.005721,0.9,0.000068,3.448418,0,0.000366,0.7,0.661915,0.003816,0.224379,0.2458,0.002078,0.000056,43.196203,0.000318,0.7,-1
bool/routing/s4-4-3-7.xml,1,52.413793,0,0,0.826087,-1,0,0.878788,0.333778,0.207762,3.336931,3.278554,0.289327,0.266108,0.002227,0.7,0.008737,0.878788,0.000092,3.278554,0,0.000462,0.7,0.662032,0.005695,0.218561,0.266108,0.002227,0.000079,43.093596,0.000406,0.7,-1
bool/routing/s4-4-3-6.xml,1,52.866242,0,0,0.826087,-1,0,0.870968,0.331598,0.206536,3.335461,3.274962,0.292811,0.269247,0.002451,0.7,0.010228,0.870968,0.000103,3.274962,0,0.00051,0.7,0.659588,0.006305,0.217006,0.269247,0.002451,0.000089,42.929936,0.000451,0.7,-1
bool/routing/s4-4-3-3.xml,1,52.09826,0,0,0.833333,-1,0,0.875,0.3309,0.209201,3.376631,3.317317,0.289431,0.266568,0.002385,0.7,0.009424,0.875,0.000098,3.317317,0,0.000497,0.7,0.663327,0.005984,0.219206,0.266568,0.002385,0.000085,43.172979,0.000437,0.7,-1
bool/routing/s3-3-3-2.xml,1,?,0,0,0.809524,?,0,0.851852,0.329536,0.209304,3.158538,3.071158,0.284689,0.2631,0.007062,0.7,0.014008,0.851852,0.000324,3.071158,0,0.001405,0.7,0.646067,0.008537,0.224411,0.2631,0.007062,0.000281,?,0.001273,0.7,?
bool/routing/s4-4-3-2.xml,1,52.663934,0,0,0.833333,-1,0,0.875,0.330922,0.209541,3.379023,3.321998,0.288622,0.265827,0.002409,0.7,0.009424,0.875,0.000099,3.321998,0,0.0005,0.7,0.662973,0.005984,0.219729,0.265827,0.002409,0.000085,43.002049,0.00044,0.7,-1
bool/routing/s4-4-3-8.xml,1,51.226994,0,0,0.764706,-1,0,0.826087,0.328171,0.19902,3.198464,3.183414,0.315276,0.296488,0.002561,0.7,0.019302,0.826087,0.000179,3.183414,0,0.000825,0.7,0.669053,0.013474,0.209147,0.296488,0.002561,0.000162,44.355828,0.000741,0.7,-1
bool/routing/s4-4-3-9.xml,1,51.781473,0,0,0.846154,-1,0,0.9,0.336827,0.213443,3.43149,3.447894,0.269284,0.245225,0.002094,0.7,0.005721,0.9,0.000068,3.447894,0,0.000367,0.7,0.661665,0.003816,0.224457,0.245225,0.002094,0.000057,43.349169,0.000319,0.7,-1
bool/routing/s4-4-3-4.xml,1,52.480916,0,0,0.833333,-1,0,0.882353,0.333458,0.21073,3.39059,3.3181,0.28404,0.261415,0.002214,0.7,0.008141,0.882353,0.000089,3.3181,0,0.000458,0.7,0.664207,0.005432,0.221608,0.261415,0.002214,0.000077,43.082061,0.000402,0.7,-1
bool/routing/s3-3-3-5.xml,1,?,0,0,0.789474,?,0,0.84,0.329418,0.207047,3.0663,3.053647,0.289931,0.270499,0.007174,0.7,0.016234,0.84,0.000385,3.053647,0,0.001604,0.7,0.649799,0.010562,0.223995,0.270499,0.007174,0.000339,?,0.001452,0.7,?
bool/routing/s4-4-3-5.xml,1,51.845018,0,0,0.826087,-1,0,0.885714,0.336799,0.208343,3.366518,3.30004,0.282027,0.259164,0.002114,0.7,0.007621,0.885714,0.000085,3.30004,0,0.000434,0.7,0.661912,0.005192,0.219926,0.259164,0.002114,0.000073,43.284133,0.000381,0.7,-1
bool/routing/s4-4-3-1.xml,1,52.366864,0,0,0.826087,-1,0,0.878788,0.333904,0.207925,3.337464,3.279946,0.288687,0.265516,0.002249,0.7,0.008737,0.878788,0.000092,3.279946,0,0.000464,0.7,0.661693,0.005695,0.218875,0.265516,0.002249,0.000079,43.106509,0.000408,0.7,-1
bool/ii/ii-16e2.xml,1,93.634079,0,0,0.826087,-1,0,0.878788,0.368917,0.187315,-512,-512,-1,-1,0.000096,0,-1,0.878788,-1,-512,0,-1,0,0.511912,-1,0.159066,-1,0.000096,-1,3.819552,-1,0,-1
bool/ii/ii-8b1.xml,1,?,0,0,0.733333,?,0,0.764706,0.353906,0.182573,3.087343,3.065777,0.333363,0.323888,0.001796,0.7,0.069701,0.764706,0.000269,3.065777,0,0.00118,0.7,0.578858,0.074332,0.157727,0.323888,0.001796,0.000251,?,0.001105,0.7,?
