@RELATION 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC

@DATA
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S980027332-029-UNKNOWN.cnf,1,17,21,13,11.1792,11,8,5,7,0.0011,0.3023,49.5,56.4,0.0004,0.0562,0.3326,64.8077,63,0.2906,74.1818,5.0899,0.0894,0.0004,0.0001,0.0004,0.0006,79.3077,0.0002,0.0002,0.0002,63000,62536,0.0001
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S942849-099.UNKNOWN.cnf,1,3810,3810,3711,3645.1429,3688,3472,3462,3462,0.0188,0.0757,33.1688,34.3506,0.0086,0.0297,0.033,36.1175,35.3213,0.5045,38.2519,4.0145,0.2811,0.0057,0.002,0.0058,0.0098,40.6055,0.0044,0.0044,0.0043,2982,2973,0.0022
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1008065350-031.UNKNOWN.cnf,1,4049,4049,4036,3902.8571,3869,3818,3793,3793,0.0288,0,23.5001,24.2236,0.0136,0,0.0241,25.9144,25.7924,0.533,27.694,4,0.3571,0.0084,0.0052,0.0091,0.0147,29.0163,0.0069,0.0069,0.0068,1917,1907,0.0034
SAT11/random/large/unif-k7-r85-v400-c34000-S536077088-015-UNKNOWN.cnf,1,112,133,93,84.2564,79,70,57,67,0.0117,0.1683,52.451,54.2262,0.0117,0.0962,0.214,57.7886,57.2143,0.702,60.6076,2.0401,0.9441,0.0016,0.0117,0.0175,0.0194,65.0226,0.0175,0.0175,0.0175,34000,34000,0.0011
SAT11/random/medium/unif-k7-r89-v90-c8010-S51928934-076.SATISFIABLE.cnf,1,4527,4527,4527,4385.25,4435,4290,4289,4289,0.0111,0,30.8879,31.7124,0.0111,0,0.0231,31.7052,31.7829,0.7641,32.4376,2,1.6974,0.0069,0.0111,0.0778,0.0841,32.4376,0.0778,0.0778,0.0778,8010,8010,0.0049
SAT11/random/medium/unif-k7-r89-v50-c4450-S1880985555-004.UNKNOWN.cnf,1,4659,4659,4601,4570.6,4557,4537,4499,4499,0.011,0,19.6339,19.7482,0.011,0,0.0121,19.9056,19.8762,0.776,19.9622,2,1.9658,0.0126,0.011,0.14,0.1501,20.3076,0.14,0.14,0.14,4450,4450,0.0089
SAT11/random/large/unif-k5-r20-v1250-c25000-S871131876-087-UNKNOWN.cnf,1,44,71,37,33.217,32,27,19,23,0.0184,0,53.5484,56.5625,0.0137,0,0.2711,61.3601,61.0385,0.5866,65.3429,3,0.3383,0.0014,0.0097,0.004,0.0058,70.5217,0.004,0.004,0.004,25000,25000,0.0007
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S960198064-030.SATISFIABLE.cnf,1,4014,4014,3906,3822.4286,3817,3736,3674,3674,0.0218,0,26.9066,28.8614,0.0109,0,0.0281,30.9712,29.5637,0.619,34.7504,4,0.3202,0.0073,0.0043,0.0074,0.0116,37.2312,0.0055,0.0055,0.0055,2343,2337,0.0028
SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,4607,4607,4496,4469,4447,4400,4395,4395,0.0111,0,25.4551,25.8541,0.0111,0,0.0175,25.9461,25.9741,0.7565,26.2046,2,1.8323,0.0095,0.0111,0.1,0.1104,26.2427,0.1,0.1,0.1,6230,6230,0.0069
SAT11/random/medium/unif-k3-r4.26-v800-c3408-S1536861174-069.SATISFIABLE.cnf,1,3206,3369,2697,1585.625,1136,839,695,724,0.0192,0.0849,26.6508,28.6412,0.0078,0.0319,0.5855,32.4931,30.6303,0.4884,37.9676,4.0167,0.2634,0.005,0.003,0.0077,0.0097,40.0484,0.0039,0.0039,0.0039,3408,3387,0.0019
