@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE OCCFP_OCCFN NUMERIC
@ATTRIBUTE LITFP_LITFN NUMERIC
@ATTRIBUTE OCCFP_OCCF NUMERIC

@DATA
adder-10-sat-shuffled,1,0.010986,0.994507,1.132939,1.132939,0.531163
adder-10-unsat-shuffled,1,0.001096,0.999726,1.243463,1.243463,0.55426
adder-12-sat-shuffled,1,0.009067,0.995467,1.134255,1.134255,0.531453
adder-12-unsat-shuffled,1,0.000754,0.999811,1.246269,1.246269,0.554817
adder-14-sat-shuffled,1,0.007719,0.996141,1.135195,1.135195,0.531659
adder-14-unsat-shuffled,1,0.00055,0.999862,1.248295,1.248295,0.555218
adder-16-unsat-shuffled,1,0.000419,0.999895,1.249827,1.249827,0.555521
Adder2-10-s-shuffled,1,0.726821,0.444433,1,1,0.5
Adder2-4-s-shuffled,1,0.72669,0.445552,1,1,0.5
Adder2-6-c-shuffled,1,0.726373,0.447045,1,1,0.5
Adder2-6-s-shuffled,1,0.726783,0.444877,1,1,0.5
adder-4-sat-shuffled,1,0.030189,0.984906,1.120968,1.120968,0.528517
adder-6-sat-shuffled,1,0.019063,0.990469,1.12766,1.12766,0.53
adder-8-sat-shuffled,1,0.013937,0.993031,1.130964,1.130964,0.530729
adder-8-unsat-shuffled,1,0.001737,0.999566,1.239316,1.239316,0.553435
aim-100-1_6-yes1-3-50-shuffled,1,0.530691,0.205882,0.833333,0.833333,0.454545
aim-100-1_6-yes1-3-90-shuffled,1,0.506767,0.242105,0.963855,0.963855,0.490798
aim-100-2_0-yes1-2-50-shuffled,1,0.52492,0.211029,0.859195,0.859195,0.462133
aim-100-2_0-yes1-2-90-shuffled,1,0.50601,0.239183,0.961415,0.961415,0.490164
aim-100-3_4-yes1-1-90-shuffled,1,0.504317,0.244604,0.984586,0.984586,0.496117
aim-100-6_0-yes1-1-90-shuffled,1,0.498561,0.245376,0.984649,0.984649,0.496133
aim-100-6_0-yes1-3-90-shuffled,1,0.501645,0.246299,0.989011,0.989011,0.497238
aim-100-6_0-yes1-4-90-shuffled,1,0.500412,0.245058,0.986813,0.986813,0.496681
aim-200-1_6-yes1-2-90-shuffled,1,0.503351,0.238273,0.973843,0.973843,0.493374
aim-200-1_6-yes1-4-90-shuffled,1,0.509308,0.236039,0.97379,0.97379,0.493361
aim-200-2_0-yes1-2-90-shuffled,1,0.504505,0.23964,0.967794,0.967794,0.491817
