@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_percent_dec_predicate NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE csp_percent_wsum NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE directorder_CG-entropy NUMERIC
@ATTRIBUTE support_CG-entropy NUMERIC
@ATTRIBUTE directorder_cluster-coeff-mean NUMERIC
@ATTRIBUTE support_cluster-coeff-mean NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE directorder_cluster-coeff-max NUMERIC
@ATTRIBUTE directorder_cluster-coeff-min NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,0,0,0.777778,?,0,0.833333,0.324843,0.20904,3.151483,3.109986,0.295491,0.277648,0.006897,0.7,0.017561
bool/routing/s3-3-3-3.xml,1,?,0,0,0.789474,?,0,0.84,0.328985,0.206463,3.073701,3.05281,0.292938,0.27323,0.0069,0.7,0.016234
bool/routing/s3-3-3-1.xml,1,?,0,0,0.764706,?,0,0.826087,0.32901,0.203573,3.046886,3.06289,0.300172,0.282591,0.006691,0.7,0.019302
bool/routing/s4-4-3-10.xml,1,52.294304,0,0,0.846154,-1,0,0.9,0.336567,0.213428,3.431214,3.448418,0.269925,0.2458,0.002078,0.7,0.005721
bool/routing/s4-4-3-7.xml,1,52.413793,0,0,0.826087,-1,0,0.878788,0.333778,0.207762,3.336931,3.278554,0.289327,0.266108,0.002227,0.7,0.008737
bool/routing/s4-4-3-6.xml,1,52.866242,0,0,0.826087,-1,0,0.870968,0.331598,0.206536,3.335461,3.274962,0.292811,0.269247,0.002451,0.7,0.010228
bool/routing/s4-4-3-3.xml,1,52.09826,0,0,0.833333,-1,0,0.875,0.3309,0.209201,3.376631,3.317317,0.289431,0.266568,0.002385,0.7,0.009424
bool/routing/s3-3-3-2.xml,1,?,0,0,0.809524,?,0,0.851852,0.329536,0.209304,3.158538,3.071158,0.284689,0.2631,0.007062,0.7,0.014008
bool/routing/s4-4-3-2.xml,1,52.663934,0,0,0.833333,-1,0,0.875,0.330922,0.209541,3.379023,3.321998,0.288622,0.265827,0.002409,0.7,0.009424
bool/routing/s4-4-3-8.xml,1,51.226994,0,0,0.764706,-1,0,0.826087,0.328171,0.19902,3.198464,3.183414,0.315276,0.296488,0.002561,0.7,0.019302
bool/routing/s4-4-3-9.xml,1,51.781473,0,0,0.846154,-1,0,0.9,0.336827,0.213443,3.43149,3.447894,0.269284,0.245225,0.002094,0.7,0.005721
bool/routing/s4-4-3-4.xml,1,52.480916,0,0,0.833333,-1,0,0.882353,0.333458,0.21073,3.39059,3.3181,0.28404,0.261415,0.002214,0.7,0.008141
bool/routing/s3-3-3-5.xml,1,?,0,0,0.789474,?,0,0.84,0.329418,0.207047,3.0663,3.053647,0.289931,0.270499,0.007174,0.7,0.016234
bool/routing/s4-4-3-5.xml,1,51.845018,0,0,0.826087,-1,0,0.885714,0.336799,0.208343,3.366518,3.30004,0.282027,0.259164,0.002114,0.7,0.007621
bool/routing/s4-4-3-1.xml,1,52.366864,0,0,0.826087,-1,0,0.878788,0.333904,0.207925,3.337464,3.279946,0.288687,0.265516,0.002249,0.7,0.008737
bool/ii/ii-16e2.xml,1,93.634079,0,0,0.826087,-1,0,0.878788,0.368917,0.187315,-512,-512,-1,-1,0.000096,0,-1
bool/ii/ii-8b1.xml,1,?,0,0,0.733333,?,0,0.764706,0.353906,0.182573,3.087343,3.065777,0.333363,0.323888,0.001796,0.7,0.069701
bool/ii/ii-32c1.xml,1,?,0,0,0.826087,?,0,0.938462,0.389839,0.217501,3.481517,3.818754,0.207091,0.162399,0.000761,0.7,0.006679
bool/ii/ii-8d1.xml,1,?,0,0,0.833333,?,0,0.833333,0.349791,0.179806,3.136274,3.187167,0.313853,0.302818,0.001225,0.7,0.049347
bool/ii/ii-16a1.xml,1,92.149586,0,0,0.826087,-1,0,0.878788,0.374243,0.19847,3.390994,3.464346,0.262948,0.233344,0.00028,0.714286,0.022965
bool/ii/ii-32c3.xml,1,92.143058,0,0,0.826087,-1,0,0.938462,0.391305,0.216983,3.527454,3.845587,0.208021,0.162934,0.000247,0.7,0.006679
bool/ii/ii-8c2.xml,1,?,0,0,0.744681,?,0,0.809524,0.351094,0.181871,3.313227,3.345074,0.309695,0.299176,0.000693,0.7,0.049347
bool/ii/ii-32b4.xml,1,94.780107,0,0,0.826087,-1,0,0.938462,0.391642,0.216837,-512,-512,-1,-1,0.000126,0,-1
bool/ii/ii-16e1.xml,1,92.224096,0,0,0.826087,-1,0,0.878788,0.368449,0.187527,-512,-512,-1,-1,0.000051,0,-1
bool/ii/ii-32b2.xml,1,90.741398,0,0,0.826087,-1,0,0.938462,0.390871,0.21713,3.516039,3.83902,0.207201,0.162471,0.000387,0.7,0.006679
bool/ii/ii-32e5.xml,1,95.706531,0,0,0.826087,-1,0,0.938462,0.391607,0.216854,-512,-512,-1,-1,0.000103,0,-1
bool/ii/ii-32c2.xml,1,89.757302,0,0,0.826087,-1,0,0.938462,0.390951,0.217133,3.505402,3.831734,0.207763,0.162771,0.000368,0.7,0.006679
bool/ii/ii-8b3.xml,1,?,0,0,0.733333,?,0,0.764706,0.351534,0.182233,3.372983,3.317175,0.318145,0.309741,0.000611,0.7,0.068321
bool/ii/ii-8a2.xml,1,?,0,0,0.733333,?,0,0.764706,0.34723,0.173651,3.010762,3.021121,0.320385,0.309184,0.002131,0.7,0.069701
bool/ii/ii-8c1.xml,1,?,0,0,0.714286,?,0,0.809524,0.349186,0.176654,3.181508,3.206342,0.312741,0.301453,0.001128,0.7,0.049347
bool/ii/ii-16d1.xml,1,92.820034,0,0,0.826087,-1,0,0.878788,0.368955,0.189328,-512,-512,-1,-1,0.000101,0,-1
bool/ii/ii-16c1.xml,1,91.245082,0,0,0.826087,-1,0,0.902439,0.369403,0.190648,3.348017,3.489467,0.258681,0.226581,0.000148,0.7,0.015839
bool/ii/ii-8b4.xml,1,?,0,0,0.733333,?,0,0.764706,0.351569,0.183033,3.407127,3.349302,0.318347,0.310143,0.000472,0.7,0.06405
bool/ii/ii-8a1.xml,1,?,0,0,0.636364,?,0,0.764706,0.328508,0.175573,2.841603,2.872022,0.2969,0.29139,0.012531,0.7,0.067476
bool/ii/ii-32e1.xml,1,?,0,0,0.826087,?,0,0.938462,0.389886,0.217525,3.483708,3.819798,0.207329,0.162522,0.000743,0.7,0.006679
bool/ii/ii-32e3.xml,1,93.831776,0,0,0.826087,-1,0,0.938462,0.391421,0.216922,-512,-512,-1,-1,0.000194,0,-1
bool/ii/ii-16b2.xml,1,93.743095,0,0,0.826087,-1,0,0.878788,0.371372,0.192245,-512,-512,-1,-1,0.000168,0,-1
bool/ii/ii-32d2.xml,1,92.72989,0,0,0.897436,-1,0,0.938462,0.391795,0.217902,3.560263,3.861324,0.208397,0.163424,0.000351,0.7,0.006679
bool/ii/ii-32e2.xml,1,91.1384,0,0,0.826087,-1,0,0.938462,0.390836,0.217121,3.527503,3.846108,0.2071,0.162436,0.000398,0.7,0.006679
bool/ii/ii-8e2.xml,1,?,0,0,0.733333,?,0,0.809524,0.350272,0.179079,3.318634,3.346747,0.304835,0.294452,0.000581,0.7,0.049347
bool/ii/ii-16b1.xml,1,93.484163,0,0,0.826087,-1,0,0.878788,0.370307,0.192007,-512,-512,-1,-1,0.000115,0,-1
bool/ii/ii-32e4.xml,1,94.83518,0,0,0.826087,-1,0,0.938462,0.39163,0.216841,-512,-512,-1,-1,0.000127,0,-1
