@RELATION 'feature_values_premarshalling_astar_2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE container-density NUMERIC
@ATTRIBUTE tiers NUMERIC
@ATTRIBUTE overstowing-stack-pct NUMERIC
@ATTRIBUTE stacks NUMERIC
@ATTRIBUTE top-good-max NUMERIC
@ATTRIBUTE group-same-mean NUMERIC

@DATA
BF1_cpmp_16_5_48_10_29_1,1,0.6,5,625,16,8,4.36364
BF1_cpmp_16_5_48_10_29_12,1,0.6,5,0.5625,16,9,4.36364
BF1_cpmp_16_5_48_10_29_14,1,0.6,5,625,16,7,4.36364
BF1_cpmp_16_5_48_10_29_15,1,0.6,5,0.5,16,9,4.36364
BF1_cpmp_16_5_48_10_29_17,1,0.6,5,0.5625,16,10,4.36364
BF1_cpmp_16_5_48_10_29_18,1,0.6,5,625,16,8,4.36364
BF1_cpmp_16_5_48_10_29_19,1,0.6,5,0.5625,16,10,4.36364
BF1_cpmp_16_5_48_10_29_20,1,0.6,5,625,16,10,4.36364
BF1_cpmp_16_5_48_10_29_3,1,0.6,5,0.75,16,9,4.36364
BF1_cpmp_16_5_48_10_29_4,1,0.6,5,625,16,9,4.36364
BF1_cpmp_16_5_48_10_29_5,1,0.6,5,0.5625,16,8,4.36364
BF1_cpmp_16_5_48_10_29_6,1,0.6,5,0.75,16,7,4.36364
BF1_cpmp_16_5_48_10_29_7,1,0.6,5,625,16,8,4.36364
BF1_cpmp_16_5_48_10_29_8,1,0.6,5,0.5625,16,9,4.36364
BF1_cpmp_16_5_48_10_29_9,1,0.6,5,0.75,16,8,4.36364
BF10_cpmp_16_8_77_16_58_13,1,0.601562,8,625,16,12,4.52941
BF10_cpmp_16_8_77_16_58_3,1,0.601562,8,625,16,15,4.52941
BF10_cpmp_16_8_77_16_58_8,1,0.601562,8,625,16,12,4.52941
BF11_cpmp_16_8_77_31_47_10,1,0.601562,8,0.75,16,26,2.40625
BF11_cpmp_16_8_77_31_47_11,1,0.601562,8,0.9375,16,23,2.40625
BF11_cpmp_16_8_77_31_47_16,1,0.601562,8,875,16,17,2.40625
BF11_cpmp_16_8_77_31_47_6,1,0.601562,8,1,16,25,2.40625
BF11_cpmp_16_8_77_31_47_7,1,0.601562,8,0.9375,16,26,2.40625
BF12_cpmp_16_8_77_31_58_14,1,0.601562,8,0.75,16,29,2.40625
BF17_cpmp_20_5_60_12_36_1,1,0.6,5,0.55,20,12,4.61538
BF17_cpmp_20_5_60_12_36_10,1,0.6,5,0.6,20,11,4.61538
BF17_cpmp_20_5_60_12_36_11,1,0.6,5,0.65,20,10,4.61538
BF17_cpmp_20_5_60_12_36_12,1,0.6,5,0.65,20,10,4.61538
BF17_cpmp_20_5_60_12_36_15,1,0.6,5,0.65,20,11,4.61538
BF17_cpmp_20_5_60_12_36_16,1,0.6,5,0.65,20,11,4.61538
BF17_cpmp_20_5_60_12_36_17,1,0.6,5,0.65,20,10,4.61538
BF17_cpmp_20_5_60_12_36_2,1,0.6,5,0.6,20,10,4.61538
BF17_cpmp_20_5_60_12_36_20,1,0.6,5,0.7,20,12,4.61538
BF17_cpmp_20_5_60_12_36_3,1,0.6,5,0.65,20,10,4.61538
BF17_cpmp_20_5_60_12_36_4,1,0.6,5,0.55,20,7,4.61538
BF17_cpmp_20_5_60_12_36_5,1,0.6,5,0.75,20,11,4.61538
BF17_cpmp_20_5_60_12_36_6,1,0.6,5,0.75,20,10,4.61538
BF17_cpmp_20_5_60_12_36_7,1,0.6,5,0.55,20,9,4.61538
BF17_cpmp_20_5_60_12_36_8,1,0.6,5,0.75,20,11,4.61538
BF18_cpmp_20_5_60_12_45_1,1,0.6,5,0.7,20,11,4.61538
BF18_cpmp_20_5_60_12_45_12,1,0.6,5,0.6,20,11,4.61538
BF18_cpmp_20_5_60_12_45_13,1,0.6,5,0.6,20,11,4.61538
BF18_cpmp_20_5_60_12_45_14,1,0.6,5,0.65,20,12,4.61538
BF18_cpmp_20_5_60_12_45_15,1,0.6,5,0.6,20,10,4.61538
BF18_cpmp_20_5_60_12_45_16,1,0.6,5,0.6,20,12,4.61538
BF18_cpmp_20_5_60_12_45_17,1,0.6,5,0.65,20,10,4.61538
BF18_cpmp_20_5_60_12_45_18,1,0.6,5,0.6,20,11,4.61538
BF18_cpmp_20_5_60_12_45_19,1,0.6,5,0.65,20,11,4.61538
BF18_cpmp_20_5_60_12_45_2,1,0.6,5,0.6,20,12,4.61538
BF18_cpmp_20_5_60_12_45_3,1,0.6,5,0.6,20,11,4.61538
BF18_cpmp_20_5_60_12_45_4,1,0.6,5,0.6,20,12,4.61538
BF18_cpmp_20_5_60_12_45_5,1,0.6,5,0.6,20,9,4.61538
BF18_cpmp_20_5_60_12_45_6,1,0.6,5,0.6,20,10,4.61538
BF18_cpmp_20_5_60_12_45_7,1,0.6,5,0.65,20,11,4.61538
BF18_cpmp_20_5_60_12_45_8,1,0.6,5,0.6,20,12,4.61538
BF18_cpmp_20_5_60_12_45_9,1,0.6,5,0.6,20,11,4.61538
BF19_cpmp_20_5_60_24_36_1,1,0.6,5,0.7,20,21,2.4
BF19_cpmp_20_5_60_24_36_10,1,0.6,5,0.7,20,20,2.4
BF19_cpmp_20_5_60_24_36_11,1,0.6,5,0.5,20,24,2.4
BF19_cpmp_20_5_60_24_36_14,1,0.6,5,0.7,20,16,2.4
BF19_cpmp_20_5_60_24_36_15,1,0.6,5,0.65,20,21,2.4
BF19_cpmp_20_5_60_24_36_16,1,0.6,5,0.65,20,17,2.4
BF19_cpmp_20_5_60_24_36_17,1,0.6,5,0.55,20,19,2.4
BF19_cpmp_20_5_60_24_36_18,1,0.6,5,0.65,20,20,2.4
BF19_cpmp_20_5_60_24_36_2,1,0.6,5,0.6,20,20,2.4
BF19_cpmp_20_5_60_24_36_20,1,0.6,5,0.55,20,22,2.4
BF19_cpmp_20_5_60_24_36_3,1,0.6,5,0.7,20,22,2.4
BF19_cpmp_20_5_60_24_36_5,1,0.6,5,0.6,20,23,2.4
BF19_cpmp_20_5_60_24_36_6,1,0.6,5,0.6,20,24,2.4
BF19_cpmp_20_5_60_24_36_7,1,0.6,5,0.55,20,24,2.4
BF19_cpmp_20_5_60_24_36_8,1,0.6,5,0.75,20,21,2.4
BF19_cpmp_20_5_60_24_36_9,1,0.6,5,0.65,20,16,2.4
BF2_cpmp_16_5_48_10_36_1,1,0.6,5,625,16,10,4.36364
BF2_cpmp_16_5_48_10_36_11,1,0.6,5,625,16,8,4.36364
BF2_cpmp_16_5_48_10_36_12,1,0.6,5,625,16,9,4.36364
BF2_cpmp_16_5_48_10_36_13,1,0.6,5,0.6875,16,10,4.36364
BF2_cpmp_16_5_48_10_36_14,1,0.6,5,625,16,8,4.36364
BF2_cpmp_16_5_48_10_36_15,1,0.6,5,625,16,10,4.36364
BF2_cpmp_16_5_48_10_36_17,1,0.6,5,0.6875,16,10,4.36364
BF2_cpmp_16_5_48_10_36_18,1,0.6,5,625,16,10,4.36364
BF2_cpmp_16_5_48_10_36_19,1,0.6,5,625,16,8,4.36364
BF2_cpmp_16_5_48_10_36_2,1,0.6,5,0.6875,16,9,4.36364
BF2_cpmp_16_5_48_10_36_20,1,0.6,5,625,16,10,4.36364
BF2_cpmp_16_5_48_10_36_3,1,0.6,5,625,16,7,4.36364
BF2_cpmp_16_5_48_10_36_4,1,0.6,5,625,16,9,4.36364
BF2_cpmp_16_5_48_10_36_5,1,0.6,5,625,16,10,4.36364
BF2_cpmp_16_5_48_10_36_6,1,0.6,5,625,16,9,4.36364
BF2_cpmp_16_5_48_10_36_7,1,0.6,5,625,16,9,4.36364
BF2_cpmp_16_5_48_10_36_8,1,0.6,5,625,16,8,4.36364
BF2_cpmp_16_5_48_10_36_9,1,0.6,5,625,16,8,4.36364
BF20_cpmp_20_5_60_24_45_1,1,0.6,5,0.6,20,23,2.4
BF20_cpmp_20_5_60_24_45_10,1,0.6,5,0.6,20,22,2.4
BF20_cpmp_20_5_60_24_45_11,1,0.6,5,0.65,20,22,2.4
BF20_cpmp_20_5_60_24_45_12,1,0.6,5,0.65,20,24,2.4
BF20_cpmp_20_5_60_24_45_13,1,0.6,5,0.65,20,21,2.4
BF20_cpmp_20_5_60_24_45_14,1,0.6,5,0.6,20,20,2.4
BF20_cpmp_20_5_60_24_45_15,1,0.6,5,0.6,20,21,2.4
BF20_cpmp_20_5_60_24_45_17,1,0.6,5,0.65,20,23,2.4
BF20_cpmp_20_5_60_24_45_2,1,0.6,5,0.6,20,22,2.4
BF20_cpmp_20_5_60_24_45_20,1,0.6,5,0.6,20,21,2.4
BF20_cpmp_20_5_60_24_45_3,1,0.6,5,0.65,20,22,2.4
BF20_cpmp_20_5_60_24_45_5,1,0.6,5,0.6,20,21,2.4
BF20_cpmp_20_5_60_24_45_6,1,0.6,5,0.6,20,17,2.4
BF20_cpmp_20_5_60_24_45_7,1,0.6,5,0.6,20,22,2.4
BF20_cpmp_20_5_60_24_45_8,1,0.6,5,0.6,20,19,2.4
BF20_cpmp_20_5_60_24_45_9,1,0.6,5,0.6,20,23,2.4
BF21_cpmp_20_5_80_16_48_11,1,0.8,5,0.8,20,15,4.70588
BF21_cpmp_20_5_80_16_48_14,1,0.8,5,0.9,20,13,4.70588
BF21_cpmp_20_5_80_16_48_16,1,0.8,5,0.85,20,14,4.70588
BF21_cpmp_20_5_80_16_48_18,1,0.8,5,0.8,20,15,4.70588
BF21_cpmp_20_5_80_16_48_19,1,0.8,5,1,20,16,4.70588
BF21_cpmp_20_5_80_16_48_2,1,0.8,5,0.8,20,13,4.70588
BF21_cpmp_20_5_80_16_48_3,1,0.8,5,0.75,20,11,4.70588
BF21_cpmp_20_5_80_16_48_4,1,0.8,5,0.85,20,14,4.70588
BF21_cpmp_20_5_80_16_48_5,1,0.8,5,0.85,20,16,4.70588
BF21_cpmp_20_5_80_16_48_7,1,0.8,5,0.75,20,13,4.70588
BF21_cpmp_20_5_80_16_48_8,1,0.8,5,0.75,20,12,4.70588
BF21_cpmp_20_5_80_16_48_9,1,0.8,5,0.75,20,12,4.70588
BF22_cpmp_20_5_80_16_60_11,1,0.8,5,0.8,20,16,4.70588
BF22_cpmp_20_5_80_16_60_16,1,0.8,5,0.85,20,16,4.70588
BF22_cpmp_20_5_80_16_60_4,1,0.8,5,0.9,20,15,4.70588
BF22_cpmp_20_5_80_16_60_6,1,0.8,5,0.8,20,12,4.70588
BF22_cpmp_20_5_80_16_60_7,1,0.8,5,0.8,20,11,4.70588
BF22_cpmp_20_5_80_16_60_9,1,0.8,5,0.85,20,12,4.70588
BF23_cpmp_20_5_80_32_48_10,1,0.8,5,0.9,20,17,2.42424
BF23_cpmp_20_5_80_32_48_11,1,0.8,5,0.85,20,25,2.42424
BF23_cpmp_20_5_80_32_48_12,1,0.8,5,0.9,20,28,2.42424
BF23_cpmp_20_5_80_32_48_15,1,0.8,5,0.8,20,30,2.42424
BF23_cpmp_20_5_80_32_48_16,1,0.8,5,0.9,20,28,2.42424
BF23_cpmp_20_5_80_32_48_18,1,0.8,5,0.65,20,24,2.42424
BF23_cpmp_20_5_80_32_48_3,1,0.8,5,0.85,20,27,2.42424
BF23_cpmp_20_5_80_32_48_4,1,0.8,5,0.75,20,25,2.42424
BF23_cpmp_20_5_80_32_48_6,1,0.8,5,0.85,20,23,2.42424
BF23_cpmp_20_5_80_32_48_7,1,0.8,5,0.75,20,25,2.42424
BF24_cpmp_20_5_80_32_60_13,1,0.8,5,0.85,20,26,2.42424
BF24_cpmp_20_5_80_32_60_17,1,0.8,5,0.8,20,30,2.42424
BF24_cpmp_20_5_80_32_60_2,1,0.8,5,0.8,20,32,2.42424
BF24_cpmp_20_5_80_32_60_8,1,0.8,5,0.8,20,27,2.42424
BF25_cpmp_20_8_96_20_58_20,1,0.6,8,0.8,20,13,4.57143
BF26_cpmp_20_8_96_20_72_5,1,0.6,8,0.6,20,17,4.57143
BF27_cpmp_20_8_96_39_58_12,1,0.6,8,0.8,20,27,2.4
BF27_cpmp_20_8_96_39_58_6,1,0.6,8,0.8,20,34,2.4
BF27_cpmp_20_8_96_39_58_9,1,0.6,8,0.9,20,30,2.4
BF28_cpmp_20_8_96_39_72_19,1,0.6,8,0.7,20,32,2.4
BF3_cpmp_16_5_48_20_29_1,1,0.6,5,0.6875,16,15,2.28571
BF3_cpmp_16_5_48_20_29_11,1,0.6,5,0.5625,16,18,2.28571
BF3_cpmp_16_5_48_20_29_13,1,0.6,5,625,16,14,2.28571
BF3_cpmp_16_5_48_20_29_14,1,0.6,5,0.75,16,17,2.28571
BF3_cpmp_16_5_48_20_29_16,1,0.6,5,0.5625,16,19,2.28571
BF3_cpmp_16_5_48_20_29_19,1,0.6,5,625,16,12,2.28571
BF3_cpmp_16_5_48_20_29_20,1,0.6,5,625,16,19,2.28571
BF3_cpmp_16_5_48_20_29_3,1,0.6,5,0.5625,16,12,2.28571
BF3_cpmp_16_5_48_20_29_5,1,0.6,5,0.6875,16,19,2.28571
BF3_cpmp_16_5_48_20_29_6,1,0.6,5,625,16,18,2.28571
BF3_cpmp_16_5_48_20_29_8,1,0.6,5,0.75,16,18,2.28571
BF3_cpmp_16_5_48_20_29_9,1,0.6,5,625,16,10,2.28571
BF4_cpmp_16_5_48_20_36_1,1,0.6,5,625,16,14,2.28571
BF4_cpmp_16_5_48_20_36_10,1,0.6,5,625,16,19,2.28571
BF4_cpmp_16_5_48_20_36_11,1,0.6,5,625,16,13,2.28571
BF4_cpmp_16_5_48_20_36_13,1,0.6,5,625,16,19,2.28571
BF4_cpmp_16_5_48_20_36_14,1,0.6,5,625,16,19,2.28571
BF4_cpmp_16_5_48_20_36_15,1,0.6,5,625,16,19,2.28571
BF4_cpmp_16_5_48_20_36_16,1,0.6,5,625,16,19,2.28571
BF4_cpmp_16_5_48_20_36_17,1,0.6,5,625,16,19,2.28571
BF4_cpmp_16_5_48_20_36_18,1,0.6,5,625,16,19,2.28571
BF4_cpmp_16_5_48_20_36_19,1,0.6,5,0.5625,16,18,2.28571
BF4_cpmp_16_5_48_20_36_2,1,0.6,5,0.5625,16,20,2.28571
BF4_cpmp_16_5_48_20_36_20,1,0.6,5,0.6875,16,18,2.28571
BF4_cpmp_16_5_48_20_36_3,1,0.6,5,0.6875,16,20,2.28571
BF4_cpmp_16_5_48_20_36_5,1,0.6,5,625,16,14,2.28571
BF4_cpmp_16_5_48_20_36_6,1,0.6,5,625,16,19,2.28571
BF4_cpmp_16_5_48_20_36_7,1,0.6,5,625,16,16,2.28571
BF4_cpmp_16_5_48_20_36_8,1,0.6,5,0.6875,16,16,2.28571
BF4_cpmp_16_5_48_20_36_9,1,0.6,5,0.5625,16,18,2.28571
BF5_cpmp_16_5_64_13_39_1,1,0.8,5,0.8125,16,10,4.57143
BF5_cpmp_16_5_64_13_39_10,1,0.8,5,0.8125,16,13,4.57143
BF5_cpmp_16_5_64_13_39_11,1,0.8,5,0.8125,16,10,4.57143
BF5_cpmp_16_5_64_13_39_12,1,0.8,5,0.75,16,12,4.57143
BF5_cpmp_16_5_64_13_39_14,1,0.8,5,875,16,13,4.57143
BF5_cpmp_16_5_64_13_39_15,1,0.8,5,0.9375,16,13,4.57143
BF5_cpmp_16_5_64_13_39_17,1,0.8,5,875,16,12,4.57143
BF5_cpmp_16_5_64_13_39_2,1,0.8,5,0.9375,16,13,4.57143
BF5_cpmp_16_5_64_13_39_20,1,0.8,5,875,16,13,4.57143
BF5_cpmp_16_5_64_13_39_3,1,0.8,5,0.75,16,10,4.57143
BF5_cpmp_16_5_64_13_39_4,1,0.8,5,0.8125,16,12,4.57143
BF5_cpmp_16_5_64_13_39_5,1,0.8,5,875,16,10,4.57143
BF5_cpmp_16_5_64_13_39_8,1,0.8,5,0.75,16,11,4.57143
BF5_cpmp_16_5_64_13_39_9,1,0.8,5,875,16,12,4.57143
BF6_cpmp_16_5_64_13_48_1,1,0.8,5,0.8125,16,13,4.57143
BF6_cpmp_16_5_64_13_48_11,1,0.8,5,0.8125,16,11,4.57143
BF6_cpmp_16_5_64_13_48_12,1,0.8,5,0.8125,16,11,4.57143
BF6_cpmp_16_5_64_13_48_13,1,0.8,5,0.8125,16,12,4.57143
BF6_cpmp_16_5_64_13_48_15,1,0.8,5,0.8125,16,12,4.57143
BF6_cpmp_16_5_64_13_48_16,1,0.8,5,875,16,10,4.57143
BF6_cpmp_16_5_64_13_48_17,1,0.8,5,0.8125,16,13,4.57143
BF6_cpmp_16_5_64_13_48_18,1,0.8,5,0.8125,16,10,4.57143
BF6_cpmp_16_5_64_13_48_19,1,0.8,5,0.8125,16,12,4.57143
BF6_cpmp_16_5_64_13_48_2,1,0.8,5,0.8125,16,11,4.57143
BF6_cpmp_16_5_64_13_48_3,1,0.8,5,0.8125,16,10,4.57143
BF6_cpmp_16_5_64_13_48_4,1,0.8,5,0.8125,16,13,4.57143
BF6_cpmp_16_5_64_13_48_6,1,0.8,5,0.8125,16,12,4.57143
BF6_cpmp_16_5_64_13_48_7,1,0.8,5,0.8125,16,10,4.57143
BF6_cpmp_16_5_64_13_48_8,1,0.8,5,0.8125,16,13,4.57143
BF6_cpmp_16_5_64_13_48_9,1,0.8,5,0.8125,16,12,4.57143
BF7_cpmp_16_5_64_26_39_1,1,0.8,5,0.8125,16,21,2.37037
BF7_cpmp_16_5_64_26_39_10,1,0.8,5,875,16,18,2.37037
BF7_cpmp_16_5_64_26_39_11,1,0.8,5,0.8125,16,21,2.37037
BF7_cpmp_16_5_64_26_39_12,1,0.8,5,0.8125,16,21,2.37037
BF7_cpmp_16_5_64_26_39_13,1,0.8,5,875,16,21,2.37037
BF7_cpmp_16_5_64_26_39_14,1,0.8,5,875,16,22,2.37037
BF7_cpmp_16_5_64_26_39_15,1,0.8,5,875,16,23,2.37037
BF7_cpmp_16_5_64_26_39_16,1,0.8,5,0.75,16,20,2.37037
BF7_cpmp_16_5_64_26_39_17,1,0.8,5,0.8125,16,17,2.37037
BF7_cpmp_16_5_64_26_39_19,1,0.8,5,0.9375,16,20,2.37037
BF7_cpmp_16_5_64_26_39_2,1,0.8,5,0.9375,16,24,2.37037
