@RELATION 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE cluster_coeff_entropy NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC

@DATA
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0,0,0.0429,0.8047,0.2457,0,0.0445,0.0919,0.6075,0.0908,0.1459,0.0097,0.1227,0.1593,1.6542,0.1729,1.318,1.3505,2729,0.027,2729,2783,0.4952,0.1732,2935.75,3357,3004,2.3439,3028,0.009,3357,0.017,0.0029,0.7219,0.4946,0.0632,0.4946,0.4944,0,0.4949,0.4944,0.4947,0.4941,0.0675,0.0569,0.0545,0.0163,0.2366,0.0029,0,20.7031,18.2995,18.2995,0,1.0475,?,?,0.0005,0.3918,0.1301,?,?,20.5847,1.7953
SAT_Competition2009/CRAFTED/Hard/contest05/phnf/phnf-size10-exclusive-philo.used-as.sat04-988.sat05-4195.reshuffled-07.cnf,1,0,0.8587,0,1.0218,0.467,0.859,0.4958,0.9729,0.0246,0.7927,0.9295,0.6494,0.8362,0.9864,4.2458,0.9988,5.5801,1.2297,0,0.2007,0,0,0.5,1,0,0,0,5.0412,0,0.6075,0,0.8254,0.0192,0.1027,0.0576,0.3403,0.1056,0.007,0.0707,0.2899,0.0001,0.1626,0,0,0.825,0,0,0.8502,0.0009,0.6365,0,0,0,0.7947,21.4704,?,?,1.1702,0.2671,0.0013,?,?,0,19.355
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_8_all.cnf,1,0,0.6918,0.0146,0.4072,0.7822,0.9214,0.6262,0.9375,0.3204,0.7431,0.9373,0.9093,0.8375,0.9738,2.1501,0.9746,2.5799,0.9606,1487,0.3454,1487,1766,0.099,0.9746,2527.1667,3569,2885,2.2445,3031,0.8609,3569,0.5166,0.0433,0.693,0.0148,0.6468,0.0216,0,0.0995,0.064,0,0.0334,0,0.2862,0.524,0.1804,0.069,0.4567,0.0026,0.8497,29.0986,25.887,25.887,0.363,6.6262,0.0019,3.497,1.158,0.2509,0.0037,0.5,2.1655,33.7158,8.6144
SAT_Competition2009/CRAFTED/Difficult/contest05/QG/QG6-gensys-icl001.sat05-2695.reshuffled-07.cnf,1,0,0.0905,0,0.8986,0.289,0.0989,0.5308,1,0.4289,0.6647,0.748,0.1152,0.6986,0.7998,2.8671,0.8331,3.3497,2.9418,177,0.2063,249,581,1,1,1294.5,3067,1356,1.3243,1740,2.5476,2394,0.4259,0.2232,0.8048,0.4995,0.5352,0.4485,0.4909,0.113,0.5,0.1345,0.4999,0.0502,0.5876,4.1837,0.2526,0,2.4873,0.1796,0.7028,13.8079,11.8763,11.5542,1.5263,0.1889,?,?,0.3429,0.2306,0.6034,?,?,18.5832,0.8134
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0,0.9756,0.8382,1.0161,0.4897,0.9756,0.8685,0.5629,0.8724,0.8879,0.8994,0.7118,0.8977,0.9115,3.1332,0.9197,4.5707,0.8223,111,0.0811,347,400,0.0001,0.9397,581.8667,2179,493,4.6273,539,0.1369,723,1.9114,0.0114,0.9528,0,0.3938,0,0,0,0,0,0,0,0.7694,0.199,0.1006,0.1948,0.4367,0.0114,0,59.4153,57.779,57.499,0,40.4693,?,?,3.1726,0.0212,0.0058,?,?,64.1928,39.6578
SAT_Competition2007/crafted/spence/medium/s93-100.cnf,1,1,0,0.0001,0,1,1,0.0016,0.3333,0.8308,0.0047,0.0136,0.5,0.0443,0.0598,0.3413,0.2032,0.3413,0,3750,0.1033,3750,4040,0.3227,0.2149,4130.5556,4495,4121,0.2095,4179,0,4495,0,0.4745,0.9576,0.3197,0.0358,0.3124,0.3145,0.0905,0.3213,0.2651,0.3207,0.2636,0.0499,0.147,0.0449,0,0.214,0.0357,0.6693,15.5123,15.0611,15.0611,0.0507,0.552,0.1538,0.428,0.0544,1.4096,0.0459,0.2,0.428,15.8894,0.9011
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g4.cnf,1,0.8,0.9349,0.7637,0.0236,0.9939,0.9349,0.7887,0.3475,0.7651,0.7982,0.8088,0.9349,0.8092,0.8206,2.9075,0.8289,4.8,0.2431,179,0.0451,288,433,0,0.8632,758.0769,1779,688,4.3346,915,0.2605,1499,1.4631,0.015,0.9258,0,0.1933,0,0,0.0157,0,0,0,0,0.5948,0.1759,0.1457,0.083,0.1696,0.0071,0.0158,50.6621,44.1493,43.7621,0.2047,32.0406,?,?,8.7813,0.0195,0.0057,?,?,55.859,27.0562
SAT_Competition2009/CRAFTED/edgematching/compact/em_9_3_5_cmp.cnf,1,0,0.1147,0.0004,0.4991,0.3999,0.7659,0.3654,0.871,0.0738,0.5653,0.7919,0.6497,0.7466,0.9675,2.3734,0.97,2.64,1.1159,250,0.2274,285,313,0.3668,0.9733,354.9744,519,345,2.6832,390,1.0494,456,0.7612,0.0965,0.2928,0.028,0.5862,0.1115,0.0206,0.082,0.3099,0.0021,0.2564,0.0001,0.1701,1.5123,0.2041,0.2,1.5038,0.0028,0.6754,19.3202,18.8218,18.4355,0.275,0.1621,?,?,1.1336,0.331,0.0056,?,?,23.5709,1.3762
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf,1,0,0.9642,0.8333,1.0167,0.4874,0.9642,0.8555,0.4048,0.7793,0.8659,0.8801,0.7267,0.8797,0.8934,3.096,0.9015,4.8125,0.8872,86,0.0614,412,423,0,0.9292,847.6364,3630,519,4.6377,822,0.187,1229,1.9953,0.0126,0.9276,0,0.2393,0,0,0,0,0,0,0,1.0864,0.1973,0.1494,0.123,0.4081,0.0126,0,59.7424,58.1329,56.5472,0,33.731,?,?,3.2712,0.0202,0.0059,?,?,70.4394,34.3686
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.3333,0,0.0016,0.3529,0.8204,0.6785,0.2068,0.954,0.3481,0.4881,0.8077,0.0646,0.6752,0.9033,3.8317,0.9387,4.6596,0.7312,3790,0.3643,3790,4115,0.1319,0.9902,4132,4236,4214,3.1969,4230,0.8565,4236,0.4074,0.0405,0.5562,0.011,0.5681,0.018,0.0043,0,0.0451,0.0016,0.0222,0.0001,0.0356,0.4576,0.0217,0,0.8917,0.0193,0,22.1514,21.5996,21.5996,0.1936,2.024,?,?,1.2079,0.4123,0.0258,?,?,22.5252,4.0415
