@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC

@DATA
adder-10-sat-shuffled,1,0.010986,0.994507
adder-10-unsat-shuffled,1,0.001096,0.999726
adder-12-sat-shuffled,1,0.009067,0.995467
adder-12-unsat-shuffled,1,0.000754,0.999811
adder-14-sat-shuffled,1,0.007719,0.996141
adder-14-unsat-shuffled,1,0.00055,0.999862
adder-16-unsat-shuffled,1,0.000419,0.999895
Adder2-10-s-shuffled,1,0.726821,0.444433
Adder2-4-s-shuffled,1,0.72669,0.445552
Adder2-6-c-shuffled,1,0.726373,0.447045
Adder2-6-s-shuffled,1,0.726783,0.444877
adder-4-sat-shuffled,1,0.030189,0.984906
adder-6-sat-shuffled,1,0.019063,0.990469
adder-8-sat-shuffled,1,0.013937,0.993031
adder-8-unsat-shuffled,1,0.001737,0.999566
aim-100-1_6-yes1-3-50-shuffled,1,0.530691,0.205882
aim-100-1_6-yes1-3-90-shuffled,1,0.506767,0.242105
aim-100-2_0-yes1-2-50-shuffled,1,0.52492,0.211029
aim-100-2_0-yes1-2-90-shuffled,1,0.50601,0.239183
aim-100-3_4-yes1-1-90-shuffled,1,0.504317,0.244604
aim-100-6_0-yes1-1-90-shuffled,1,0.498561,0.245376
aim-100-6_0-yes1-3-90-shuffled,1,0.501645,0.246299
aim-100-6_0-yes1-4-90-shuffled,1,0.500412,0.245058
aim-200-1_6-yes1-2-90-shuffled,1,0.503351,0.238273
aim-200-1_6-yes1-4-90-shuffled,1,0.509308,0.236039
aim-200-2_0-yes1-2-90-shuffled,1,0.504505,0.23964
aim-200-3_4-yes1-1-90-shuffled,1,0.505586,0.244324
aim-200-3_4-yes1-4-90-shuffled,1,0.50018,0.243253
aim-50-1_6-yes1-1-00-shuffled,1,0.549145,0.173077
aim-50-1_6-yes1-1-90-shuffled,1,0.501502,0.243243
aim-50-1_6-yes1-2-00-shuffled,1,0.537473,0.171306
aim-50-1_6-yes1-2-50-shuffled,1,0.515075,0.201005
aim-50-1_6-yes1-3-00-shuffled,1,0.555794,0.169528
aim-50-1_6-yes1-4-50-shuffled,1,0.525773,0.203608
aim-50-1_6-yes1-4-90-shuffled,1,0.501511,0.238671
aim-50-2_0-yes1-1-90-shuffled,1,0.510843,0.240964
aim-50-2_0-yes1-2-50-shuffled,1,0.541841,0.209205
aim-50-2_0-yes1-3-90-shuffled,1,0.504808,0.242788
aim-50-3_4-yes1-2-90-shuffled,1,0.505051,0.246753
aim-50-3_4-yes1-3-90-shuffled,1,0.50431,0.24569
aim-50-6_0-yes1-3-50-shuffled,1,0.513622,0.236378
aim-50-6_0-yes1-4-90-shuffled,1,0.500413,0.246903
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.520317,0.333284
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.508913,0.333315
