@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,2.997733
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,5.028743
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,2.712249
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,2.049091
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,0.83827
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,2.650763
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,1.588719
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,2.650763
normalized-37s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.109068,2.489038
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,3.833265
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,3.833265
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,5.055056
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,3.790965
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,3.833265
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,1.408585
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,2.448476
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,1,0,1,0,2.807355,0,0,2.448476
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,2.997733
normalized-46s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.350737,3.302871
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,1.588719
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,2.609496
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.961237,1.803639
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.991076,1.995767
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,3.730763
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,5.055056
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,2.317467
