@RELATION 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC

@DATA
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.180-SAT.cnf,1,0.9835,0.9945,0.9919,0.9613,0.962
./SAT07/industrial/jarvisalo/eq.atree.braun.12.unsat.cnf,1,0.1759,0.5429,0.3456,0.2379,0.0982
./SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,0.1002,0.4945,0.341,0.1995,0.0271
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom19.cnf,1,0.1569,0.5946,0.5594,0.2703,0.0394
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf,1,0.3503,0.6399,0.5383,0.3552,0.1443
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom18.cnf,1,0.157,0.5943,0.5526,0.269,0.0393
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.6142,0.8292,0.7335,0.5682,0.4453
./SAT09/APPLICATIONS/bitverif/maxor/maxor128.cnf,1,0.2573,0.5304,0.5153,0.2938,0.1464
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.120-NOTKNOWN.cnf,1,0.9831,0.9944,0.9916,0.9602,0.9617
./SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k80.cnf,1,0.5813,0.9106,0.8414,0.5281,0.2011
./SAT03/industrial/goldberg/hard_eq_check/x1mul.miter.shuffled-as.sat03-359.cnf,1,0.7119,0.7996,0.7421,0.6544,0.6037
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top25.cnf,1,0.5502,0.5848,0.5724,0.4021,0.1545
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-27-step14.cnf,1,0.9778,1,0.9987,0.7626,0.5
./SAT09/APPLICATIONS/bitverif/maxxororand/maxxororand064.cnf,1,0.3132,0.548,0.4877,0.3249,0.1275
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pathways-13-step17.cnf,1,0.8123,0.9513,0.949,0.6114,0.2212
./SAT09/APPLICATIONS/bioinfo/q_query_3_L70_coli.sat.cnf,1,0.6128,0.9211,0.828,0.626,0.5433
./SAT05/industrial/maris05/DriverLog/driverlog3_v01a.renamed-as.sat05-3963.cnf,1,0.8343,0.9531,0.8844,0.7698,0.7472
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,1,0.3393,0.7174,0.5776,0.3554,0.1252
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,0.8491,0.9899,0.9554,0.7563,0.6875
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.035-NOTKNOWN.cnf,1,0.9254,0.9545,0.9448,0.701,0.2957
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0.9971,1,0.9996,0.9439,0.9718
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq6.used-as.sat04-347.cnf,1,0.9918,1,0.9996,0.8634,0.9247
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_2_keyfind_1.cnf,1,0.0253,0.2234,0.0984,0.0734,0.0028
./SAT11/application/leberre/2dimensionalstrippacking/korf-18.cnf,1,0.8508,0.9071,0.8784,0.845,0.8183
./SAT09/APPLICATIONS/diagnosis/ACG-10-10p0.cnf,1,0.582,0.8834,0.8364,0.5143,0.1881
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top26.cnf,1,0.5507,0.586,0.5722,0.4038,0.1546
./SAT05/industrial/grieu05/vmpc/vmpc_25.renamed-as.sat05-1913.cnf,1,0.6928,0.6977,0.6928,0.6929,0.6928
./SAT07/industrial/palacios/hard/sortnet-8-ipc5-h19-sat.cnf,1,0.6386,0.9685,0.8785,0.5962,0.3379
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_1_keyfind_1.cnf,1,0.0175,0.2222,0.0952,0.0751,0.0045
./SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,0.7515,0.8792,0.8341,0.5847,0.2799
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf,1,0.9176,0.9844,0.9833,0.8119,0.6473
./SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,0.7406,0.8796,0.837,0.5666,0.2208
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom24.cnf,1,0.1567,0.5997,0.5594,0.2743,0.04
./SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.120-NOTKNOWN.cnf,1,0.9835,0.9945,0.9918,0.9609,0.9617
./SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf,1,0.853,0.9252,0.9011,0.7576,0.7562
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom23.cnf,1,0.1568,0.5983,0.5616,0.2733,0.0399
SAT_RACE08/cnf/velev-vliw-uns-4.0-9-i1.cnf,1,0.9969,1,0.9999,0.8642,0.835
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf,1,0.9218,0.9676,0.9319,0.8882,0.9069
./SAT03/industrial/goldberg/hard_eq_check/k2mul.miter.shuffled-as.sat03-355.cnf,1,0.6883,0.7804,0.734,0.614,0.556
./SAT11/application/fuhs/AProVE11/AProVE11-07.cnf,1,0.1503,0.4743,0.3975,0.218,0.0522
SAT_RACE06/ibm-2002-21r-k95.cnf,1,0.6552,0.92,0.8266,0.6004,0.4153
./SAT11/application/kullmann/AES/Benchmarks/128/aes_128_1_keyfind_1.cnf,1,0.0016,0.0908,0.036,0.0235,0.0001
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_004_127_112-tseitin.cnf,1,?,?,?,?,?
./SAT11/application/leberre/2dimensionalstrippacking/E15N15.cnf,1,?,?,?,?,?
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.045-NOTKNOWN.cnf,1,0.9466,0.9771,0.9604,0.7469,0.4072
./SAT07/industrial/fuhs/hard/AProVE07-01.cnf,1,0.1741,0.6364,0.4805,0.271,0.0496
./SAT03/industrial/li/li-test4/li-test4-100.shuffled-as.sat03-370.cnf,1,0.1201,0.4703,0.3485,0.1927,0.0471
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf,1,0.9978,1,1,0.8861,0.9488
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.045-NOTKNOWN.cnf,1,0.9469,0.9772,0.9604,0.7466,0.4062
./SAT03/industrial/schuppan/l2s/valves-gates-1-k617-unsat.shuffled-as.sat03-412.cnf,1,0.293,0.6586,0.5,0.3053,0.04
./SAT11/application/leberre/2dimensionalstrippacking/E05F18.cnf,1,0.8327,0.9054,0.8598,0.8469,0.8241
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtpmspalu-tseitin.cnf,1,0.3256,0.695,0.5408,0.3597,0.1778
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top30.cnf,1,0.5528,0.5916,0.5657,0.4065,0.1564
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_11_ooo.cnf,1,1,1,1,0.909,0.9855
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtswvtms14x8p1-tseitin.cnf,1,0.3712,0.8049,0.6997,0.4043,0.1364
./SAT11/application/fuhs/AProVE11/AProVE11-11.cnf,1,0.1793,0.4822,0.3896,0.2418,0.0869
./SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,0.5335,0.8319,0.6818,0.5081,0.3233
./SAT07/industrial/fuhs/medium/AProVE07-21.cnf,1,0.166,0.5773,0.3706,0.2437,0.0618
./SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k45.cnf,1,0.0483,0.9068,0.7891,0.3163,0
./SAT11/application/rintanen/SATPlanning/transport-transport-two-cities-sequential-15nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.040-SAT.cnf,1,0.9375,0.9952,0.9785,0.7981,0.5767
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.050-NOTKNOWN.cnf,1,0.9323,0.9823,0.9565,0.8876,0.884
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_063_080-tseitin.cnf,1,0.8903,0.9809,0.968,0.7654,0.7903
./SAT05/industrial/grieu05/vmpc/vmpc_36.renamed-as.sat05-1922.cnf,1,0.6919,0.6919,0.6919,0.692,0.6919
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom12.cnf,1,0.1588,0.5947,0.5183,0.2651,0.0464
./SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,0.6706,0.8596,0.8056,0.5492,0.2641
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.025-NOTKNOWN.cnf,1,0.916,0.943,0.9364,0.6673,0.2878
SAT-Race-2010-CNF/software-verification/nec/hard-18-U-10652.cnf,1,0.9971,1,1,0.8194,0.8424
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pathways-17-step20.cnf,1,0.8311,0.9554,0.9521,0.629,0.2482
./SAT09/APPLICATIONS/bitverif/maxxor/maxxor032.cnf,1,0.2604,0.5187,0.4857,0.2886,0.1224
./SAT09/APPLICATIONS/bitverif/countbitsarray/countbitsarray04_32.cnf,1,0.1223,0.2174,0.1392,0.1151,0.0374
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-bobsmhdlc2-tseitin.cnf,1,0.3101,0.6612,0.4969,0.3332,0.1248
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.070-NOTKNOWN.cnf,1,0.9333,0.9827,0.9569,0.889,0.8861
./SAT09/APPLICATIONS/diagnosis/UTI-20-10p1.cnf,1,0.7791,0.9512,0.8842,0.6413,0.3533
./SAT09/APPLICATIONS/c32sat/post-c32s-gcdm16-23.cnf,1,0.0632,0.7081,0.2249,0.1967,0.0198
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp3-tseitin.cnf,1,0.2085,0.9574,0.4694,0.3496,0.1546
./SAT09/APPLICATIONS/crypto/desgen/gss-21-s100.cnf,1,0.8522,0.9253,0.9011,0.7523,0.7505
./SAT02/industrial/goldberg/rand_net/rand_net60-25-10.shuffled.cnf,1,0.4975,0.7604,0.639,0.4793,0.3233
./SAT02/industrial/dellacherie/comb/comb1.shuffled.cnf,1,0.2704,0.6082,0.4494,0.2971,0.1008
./SAT09/APPLICATIONS/bitverif/countbitsrotate/countbitsrotate032.cnf,1,0.0917,0.3212,0.1392,0.1355,0.0717
./SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w8.shuffled.cnf,1,0.4921,0.6926,0.6023,0.4926,0.3765
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom13.cnf,1,0.1584,0.5945,0.5279,0.2662,0.0452
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom15.cnf,1,0.1577,0.5937,0.5418,0.267,0.0409
./SAT05/industrial/maris05/Rovers/rovers1_ks99i.renamed-as.sat05-3971.cnf,1,0.8581,0.9629,0.9304,0.7976,0.727
./SAT04/industrial/vangelder/cnf-color/myciel6-tr.used-as.sat04-320.cnf,1,0.7047,0.7546,0.7378,0.6848,0.6004
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-18-step16.cnf,1,0.9504,1,0.999,0.7306,0.3718
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-12-step16.cnf,1,0.9018,0.9748,0.9623,0.6805,0.3695
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_5_keyfind_1.cnf,1,0.0252,0.2247,0.1024,0.0719,0.0027
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-18-step15.cnf,1,0.9512,1,0.9994,0.7285,0.3636
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf,1,0.4565,0.6831,0.5553,0.4251,0.2868
./SAT11/application/leberre/2dimensionalstrippacking/E05F20.cnf,1,0.9504,0.9943,0.9756,0.8989,0.8557
