@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_percent_dec_predicate NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE csp_percent_wsum NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-mean NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,0,0,0.777778,?,0,0.833333,0.324843
bool/routing/s3-3-3-3.xml,1,?,0,0,0.789474,?,0,0.84,0.328985
bool/routing/s3-3-3-1.xml,1,?,0,0,0.764706,?,0,0.826087,0.32901
bool/routing/s4-4-3-10.xml,1,52.294304,0,0,0.846154,-1,0,0.9,0.336567
bool/routing/s4-4-3-7.xml,1,52.413793,0,0,0.826087,-1,0,0.878788,0.333778
bool/routing/s4-4-3-6.xml,1,52.866242,0,0,0.826087,-1,0,0.870968,0.331598
bool/routing/s4-4-3-3.xml,1,52.09826,0,0,0.833333,-1,0,0.875,0.3309
bool/routing/s3-3-3-2.xml,1,?,0,0,0.809524,?,0,0.851852,0.329536
bool/routing/s4-4-3-2.xml,1,52.663934,0,0,0.833333,-1,0,0.875,0.330922
bool/routing/s4-4-3-8.xml,1,51.226994,0,0,0.764706,-1,0,0.826087,0.328171
bool/routing/s4-4-3-9.xml,1,51.781473,0,0,0.846154,-1,0,0.9,0.336827
bool/routing/s4-4-3-4.xml,1,52.480916,0,0,0.833333,-1,0,0.882353,0.333458
bool/routing/s3-3-3-5.xml,1,?,0,0,0.789474,?,0,0.84,0.329418
bool/routing/s4-4-3-5.xml,1,51.845018,0,0,0.826087,-1,0,0.885714,0.336799
bool/routing/s4-4-3-1.xml,1,52.366864,0,0,0.826087,-1,0,0.878788,0.333904
bool/ii/ii-16e2.xml,1,93.634079,0,0,0.826087,-1,0,0.878788,0.368917
bool/ii/ii-8b1.xml,1,?,0,0,0.733333,?,0,0.764706,0.353906
bool/ii/ii-32c1.xml,1,?,0,0,0.826087,?,0,0.938462,0.389839
bool/ii/ii-8d1.xml,1,?,0,0,0.833333,?,0,0.833333,0.349791
bool/ii/ii-16a1.xml,1,92.149586,0,0,0.826087,-1,0,0.878788,0.374243
bool/ii/ii-32c3.xml,1,92.143058,0,0,0.826087,-1,0,0.938462,0.391305
bool/ii/ii-8c2.xml,1,?,0,0,0.744681,?,0,0.809524,0.351094
bool/ii/ii-32b4.xml,1,94.780107,0,0,0.826087,-1,0,0.938462,0.391642
