@RELATION 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC

@DATA
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0,0,0.0429,0.8047,0.2457,0,0.0445
SAT_Competition2009/CRAFTED/Hard/contest05/phnf/phnf-size10-exclusive-philo.used-as.sat04-988.sat05-4195.reshuffled-07.cnf,1,0,0.8587,0,1.0218,0.467,0.859,0.4958
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_8_all.cnf,1,0,0.6918,0.0146,0.4072,0.7822,0.9214,0.6262
SAT_Competition2009/CRAFTED/Difficult/contest05/QG/QG6-gensys-icl001.sat05-2695.reshuffled-07.cnf,1,0,0.0905,0,0.8986,0.289,0.0989,0.5308
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0,0.9756,0.8382,1.0161,0.4897,0.9756,0.8685
SAT_Competition2007/crafted/spence/medium/s93-100.cnf,1,1,0,0.0001,0,1,1,0.0016
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g4.cnf,1,0.8,0.9349,0.7637,0.0236,0.9939,0.9349,0.7887
SAT_Competition2009/CRAFTED/edgematching/compact/em_9_3_5_cmp.cnf,1,0,0.1147,0.0004,0.4991,0.3999,0.7659,0.3654
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf,1,0,0.9642,0.8333,1.0167,0.4874,0.9642,0.8555
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.3333,0,0.0016,0.3529,0.8204,0.6785,0.2068
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,0.8333,0.9519,0.59,0.0143,0.9968,0.9519,0.7188
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n220-s24359701-sat.cnf,1,0,0.8333,0.5831,0.9821,0.478,0.8333,0.5831
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0,0.8788,0.0022,0.2326,0.9204,0.9732,0.9636
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,1,0.0306,0.5026,0,1,0.0306,0.5027
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-30-19-20.sat05-1256.reshuffled-07.cnf,1,0,0.0297,0.7289,0.6408,0.4754,0.9327,0.8653
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-210-1.sat05-2158.reshuffled-07.cnf,1,0.3333,0,0,0.5774,0.5,1,0
SAT_Competition2009/CRAFTED/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf,1,0,0,0,0.9265,0.3656,0,0
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/unforced/rbsat-v760c43649g2.cnf,1,0.8333,0.9256,0.7447,0.0277,0.9923,0.9256,0.7684
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,0,0.0451,0,0.842,0.401,0.2051,0
SAT_Competition2009/CRAFTED/Medium/contest05/pebbling/unsat-pbl-00080.sat05-1325.reshuffled-07.cnf,1,0,0.0013,0.0088,0.7077,0.3847,0.005,0.1544
SAT_Competition2009/CRAFTED/edgematching/explicit/em_7_3_6_exp.cnf,1,0,0.5979,0.0923,0.4888,0.7047,0.9046,0.2758
SAT_Competition2011/SAT07/crafted/spence/hard/s113-100.cnf,1,1,0,0.0001,0,1,1,0.0011
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0,0,0,0.8477,0.3879,0.1034,0
SAT_Competition2007/crafted/Medium/contest05/others/QG7-gensys-icl001.sat05-2926.reshuffled-07.cnf,1,0,0.3387,0.0003,0.9132,0.4093,0.4865,0.7446
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf,1,0,0,0,0.9544,0.3643,0,0
SAT_Competition2009/CRAFTED/Hard/contest04/others/ramsey.sat05-511.reshuffled-07.cnf,1,0,0,0,0.8518,0.3057,0,0
SAT_Competition2011/SAT02/handmade/zhang-lintao/xor-chain/x1_80.shuffled.cnf,1,0,0,0,0.8484,0.3892,0.1266,0
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0,0.8121,0.7776,1.0372,0.4599,0.8121,0.8041
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-17x30.cnf,1,1,0.0064,0.0044,0,1,0.0064,0.3048
SAT_Competition2007/crafted/Medium/contest05/sabharwal/sat-strips-gripper-10t19.sat05-1143.reshuffled-07.cnf,1,0,0.6806,0.0038,0.9848,0.4608,0.7245,0.621
SAT_Competition2007/crafted/Hard/contest03/looksrandom/hidden-k3-s0-r5-n700-01-S2069048075.sat05-488.reshuffled-07.cnf,1,0,0,0.0008,0.5796,0.5036,0.9837,0.0856
SAT_Competition2009/CRAFTED/edgematching/explicit/em_11_3_4_exp.cnf,1,0,0.7691,0.0003,0.3314,0.8453,0.9439,0.9376
SAT_Competition2007/crafted/Medium/contest05/pebbling/sat-pbl-00400.sat05-1322.reshuffled-07.cnf,1,0,0.0006,0.0009,0.7862,0.2918,0.0031,0.1395
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v2100c215164gyes7.cnf,1,0.8,0.9523,0.5578,0.0142,0.9969,0.9523,0.7182
SAT_Competition2007/crafted/Medium/contest05/others/QG-gensys-brn008.sat05-2685.reshuffled-07.cnf,1,0,0.0949,0,0.9249,0.2822,0.1025,0.5377
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG8-gensys-ukn005.sat05-3584.reshuffled-07.cnf,1,0,0.1393,0,0.8393,0.3316,0.1396,0.6667
SAT_Competition2011/SAT04/handmade/hirsch03/hgen8-n320-01-S1432474240.shuffled-as.sat03-890.used-as.sat04-841.cnf,1,0,0.6675,0.0604,1.1112,0.4024,0.6699,0.4484
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v760c43649gyes5.cnf,1,0.8182,0.9252,0.7454,0.0278,0.9923,0.9252,0.7698
