@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,0.5464,0.1516,0.617,0.1798,0.2114,3.1176,0.6862,0.9325,0.7857,0.8261,0.967,0.1604,0.7382,0.5018,0.0301,1.2873,2.8918,0.8496,0.2387,0.25,2.6137,0.618,0.0359,42,42,0.3441,0.0236,42,0,0,0,15635,1.0345,0,42,0.4869,42,15635,0.9564,42,0,0.0134,1.4142,0,0,0,42,?,42,0,0,?,0.5959,0.0001,0.0118,0.5964,?,0.8569,0,0,1571183,0.0001,0.5311,0.0259
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,0.7723,0.148,0.8864,0.8083,0.0732,2.4849,0.8937,0.8207,0.9171,0.7037,0.9593,0.1209,0.6219,0.7935,0.0241,1.3838,2.7096,0.9382,0.135,0.5231,2.2387,0.315,0.6151,1089,903,0.4568,0.021,572,912,909.824,944,912,1.0135,939,554.1364,0.4154,492,910.163,0.9738,423,0.0627,0.0163,0.0458,0.129,0,884,391,0.0006,368,884,0.1477,0.0073,0.5504,0.01,0.0144,1.5385,0.0364,0.1783,0.0006,0.3664,14812,0.0162,1.5995,0.0603
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0.0263,0.0823,0.0021,0,0.1504,0.9857,0.4492,0.158,0.0363,0.1,1.6459,0.018,0.1326,0.0233,0.1391,2.1902,2.9039,0.0909,0.0097,0.2734,2.4556,1.6378,0,928,781,0.3526,0.1293,729,219,218.334,231,220,0.7312,232,670.7674,0.6587,683,219.736,0.1875,597,0.0672,0.0684,0.0439,0.166,0,208,541,?,493,207,0.2461,?,0.6498,0.0016,0.0372,0.9107,?,0.3175,0.0005,0.1417,20544,0.0092,0.7779,0.0649
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,0.6348,0.0364,0.9987,0.9749,0.5,4.1231,0.5612,0.9588,1,1,0.9339,0.2696,0.9568,0.9129,0.2415,1.285,4.354,1,0.4831,0.3152,4.23,0.2159,0.5,0,0,0.5825,0.0231,0,0,0,0,0,0.6963,0,0,0,0,0,1,0,0,0.0571,0,0,0,0,0,?,0,0,0,?,1.3035,0.0089,0.0012,13.386,?,0,0,0,13348117,0.0165,9.197,0
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,0.8161,0.0924,0.851,0.6619,0.4564,3.6748,0.9745,0.8665,0.897,0.75,0.9607,0.1792,0.8538,0.7493,0.0896,1.4683,3.8663,0.9203,0.2206,0.4057,3.4516,0.3009,0.4013,2186,2186,0.5953,0.0226,2186,419,417.965,437,419,0.7682,436,2186,0.228,2186,417.812,0.9965,2186,0.0586,0.0287,0.0535,0,0,398,2186,?,2186,398,0.1314,?,1.0757,0.0718,0.0046,1.3945,?,0.171,0.0006,0,12531,0.0792,1.178,0.0558
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,0.0827,0.172,0.006,0.0002,0.2106,0.8461,0.1094,0.5338,0.0665,0.4,0.921,0.0385,0.5302,0.0777,0.0447,1.0399,2.571,0.3661,0.0194,0.0347,2.3046,1.8557,0,580,392,0.4086,0.041,327,3769,3806.67,3769,3830,0.4375,3868,271.541,0.4823,238,3824.82,0.7622,210,0.0195,0.0308,0.0113,0.2023,0,3754,190,0.0001,81,3759,0.1634,0.0003,0.5185,0.0002,0.0265,0.5099,0.0007,0.2588,0.0001,0.3582,204055,0.0005,0.4984,0.0296
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.1194,0.1323,0.6142,0.4453,0.4444,2.8827,0.1491,0.468,0.7335,0.9658,1.6206,0.1496,0.4435,0.5682,0.1457,1.7696,2.9961,0.8292,0.1713,0.0277,2.5155,0.4113,0.1894,1444,1294,0.3756,0.1191,241,4504,4504,0,8926.5,0.692,9086,321.25,0.6785,210,8947.83,1,190,1.4142,0.0797,0.018,0.3808,0,8785,138,?,89,0,0.8686,?,1.7597,0.0083,0.0778,2.0163,?,0.9018,0,1.1031,582994,0.0142,2.377,0.0664
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,0.4972,0.0308,0.808,0.594,0.5,3.9796,0.4217,0.9743,0.9971,0.9394,0.8854,0.297,0.9764,0.7709,0.4959,1.0885,5.004,1,0.3855,0.2022,4.8088,0.2889,0.4527,15,14,0.5889,0.2772,9,0,0,0,0,0.6168,0,6.8125,0.2788,7,0,1,3,0,0.1745,0,0.2414,0.0014,0,2,?,2,0,0,?,1.8786,0.0107,0.1744,1.1802,?,0,0,0.5761,1012275,0.0022,1.2443,0.0665
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0.6199,0.0475,0.9963,0.7945,0.5,4.0721,0.584,0.9501,0.9999,1,0.9825,0.2523,0.9423,0.8546,0.3595,1.3557,4.3618,1,0.4428,0.4145,4.1956,0.2835,0.4754,0,0,0.529,0.1174,0,0,0,0,0,0.7766,0,0,0,0,0,1,0,0,0.0924,0,0,0,0,0,?,0,0,0,?,1.3191,0.0171,0.0032,6.6383,?,0,0,0,1814189,0.0199,4.6846,0
