@RELATION 'feature_values_premarshalling_astar_2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE container-density NUMERIC
@ATTRIBUTE tiers NUMERIC
@ATTRIBUTE overstowing-stack-pct NUMERIC
@ATTRIBUTE stacks NUMERIC
@ATTRIBUTE top-good-max NUMERIC
@ATTRIBUTE group-same-mean NUMERIC
@ATTRIBUTE bflb NUMERIC
@ATTRIBUTE top-good-min NUMERIC
@ATTRIBUTE group-same-stdev NUMERIC
@ATTRIBUTE group-same-max NUMERIC
@ATTRIBUTE empty-stack-pct NUMERIC
@ATTRIBUTE stack-tier-ratio NUMERIC
@ATTRIBUTE group-same-min NUMERIC
@ATTRIBUTE overstowage-pct NUMERIC
@ATTRIBUTE top-good-stdev NUMERIC
@ATTRIBUTE top-good-mean NUMERIC

@DATA
BF1_cpmp_16_5_48_10_29_1,1,0.6,5,625,16,8,4.36364,29,2,1.55346,6,0.0625,0.3125,0,0.3625,2.00998,4.6
BF1_cpmp_16_5_48_10_29_12,1,0.6,5,0.5625,16,9,4.36364,29,2,1.61091,7,0.1875,0.3125,0,0.3625,2.26623,4.55556
BF1_cpmp_16_5_48_10_29_14,1,0.6,5,625,16,7,4.36364,29,2,1.72008,7,0.1875,0.3125,0,0.3625,1.84662,4.3
BF1_cpmp_16_5_48_10_29_15,1,0.6,5,0.5,16,9,4.36364,29,2,1.61091,6,0.0625,0.3125,0,0.3625,2.29129,3.5
BF1_cpmp_16_5_48_10_29_17,1,0.6,5,0.5625,16,10,4.36364,29,2,1.55346,6,125,0.3125,0,0.3625,2.44949,4.66667
BF1_cpmp_16_5_48_10_29_18,1,0.6,5,625,16,8,4.36364,29,2,1.55346,6,0.0625,0.3125,0,0.3625,1.85742,4.5
BF1_cpmp_16_5_48_10_29_19,1,0.6,5,0.5625,16,10,4.36364,29,2,1.77214,7,0.0625,0.3125,0,0.3625,2.10819,5.33333
BF1_cpmp_16_5_48_10_29_20,1,0.6,5,625,16,10,4.36364,29,2,1.55346,6,125,0.3125,0,0.3625,2.66271,4.9
BF1_cpmp_16_5_48_10_29_3,1,0.6,5,0.75,16,9,4.36364,29,2,1.49379,6,125,0.3125,0,0.3625,2.28522,4.33333
BF1_cpmp_16_5_48_10_29_4,1,0.6,5,625,16,9,4.36364,29,2,1.49379,6,0.1875,0.3125,0,0.3625,2.09762,5
BF1_cpmp_16_5_48_10_29_5,1,0.6,5,0.5625,16,8,4.36364,29,2,1.72008,7,125,0.3125,0,0.3625,2,5
BF1_cpmp_16_5_48_10_29_6,1,0.6,5,0.75,16,7,4.36364,29,2,1.49379,6,0.25,0.3125,0,0.3625,1.65622,3.91667
BF1_cpmp_16_5_48_10_29_7,1,0.6,5,625,16,8,4.36364,29,2,1.43164,5,0.0625,0.3125,0,0.3625,2.05183,4.3
BF1_cpmp_16_5_48_10_29_8,1,0.6,5,0.5625,16,9,4.36364,29,2,1.55346,6,125,0.3125,0,0.3625,2.00616,4.55556
BF1_cpmp_16_5_48_10_29_9,1,0.6,5,0.75,16,8,4.36364,29,2,1.91988,6,125,0.3125,0,0.3625,1.84089,4.66667
BF10_cpmp_16_8_77_16_58_13,1,0.601562,8,625,16,12,4.52941,58,2,1.37702,6,0.1875,0.5,0,0.453125,3.4641,8
BF10_cpmp_16_8_77_16_58_3,1,0.601562,8,625,16,15,4.52941,58,3,1.57621,8,0.1875,0.5,0,0.453125,3.61801,6.9
BF10_cpmp_16_8_77_16_58_8,1,0.601562,8,625,16,12,4.52941,58,2,1.33362,6,0.25,0.5,0,0.453125,3.36006,6.1
BF11_cpmp_16_8_77_31_47_10,1,0.601562,8,0.75,16,26,2.40625,49,2,0.896499,5,0,0.5,0,0.367188,7.32386,11.8333
BF11_cpmp_16_8_77_31_47_11,1,0.601562,8,0.9375,16,23,2.40625,49,2,1.34302,5,0,0.5,0,0.367188,6.05383,10.8667
BF11_cpmp_16_8_77_31_47_16,1,0.601562,8,875,16,17,2.40625,51,2,0.963696,5,0,0.5,0,0.367188,4.39852,10.2857
BF11_cpmp_16_8_77_31_47_6,1,0.601562,8,1,16,25,2.40625,51,2,1.19529,7,0,0.5,0,0.367188,6.99107,12.5
BF11_cpmp_16_8_77_31_47_7,1,0.601562,8,0.9375,16,26,2.40625,49,2,1.08568,5,0,0.5,0,0.367188,6.9519,11.7333
BF12_cpmp_16_8_77_31_58_14,1,0.601562,8,0.75,16,29,2.40625,58,3,1.08568,6,125,0.5,0,0.453125,7.74417,14.1667
BF17_cpmp_20_5_60_12_36_1,1,0.6,5,0.55,20,12,4.61538,36,2,1.54613,7,0.1,0.25,0,0.36,3.11223,6.36364
BF17_cpmp_20_5_60_12_36_10,1,0.6,5,0.6,20,11,4.61538,36,2,1.68881,8,0.15,0.25,0,0.36,2.48328,6
BF17_cpmp_20_5_60_12_36_11,1,0.6,5,0.65,20,10,4.61538,37,2,1.59511,7,0.05,0.25,0,0.36,2.33826,4.61538
BF17_cpmp_20_5_60_12_36_12,1,0.6,5,0.65,20,10,4.61538,36,2,1.59511,7,0.05,0.25,0,0.36,2.69341,5.23077
BF17_cpmp_20_5_60_12_36_15,1,0.6,5,0.65,20,11,4.61538,36,2,1.77757,8,0.25,0.25,0,0.36,2.46394,5.92308
BF17_cpmp_20_5_60_12_36_16,1,0.6,5,0.65,20,11,4.61538,36,2,1.54613,7,0.15,0.25,0,0.36,2.70656,5.53846
BF17_cpmp_20_5_60_12_36_17,1,0.6,5,0.65,20,10,4.61538,36,3,1.49556,6,0.15,0.25,0,0.36,2.06119,5.46154
BF17_cpmp_20_5_60_12_36_2,1,0.6,5,0.6,20,10,4.61538,36,2,1.82033,8,0.05,0.25,0,0.36,2.34965,5.25
BF17_cpmp_20_5_60_12_36_20,1,0.6,5,0.7,20,12,4.61538,36,2,1.77757,8,0.1,0.25,0,0.36,3.26156,6.07143
