@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE normalised_minimum_degree NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_dom_0 NUMERIC
@ATTRIBUTE stats_literal_tightness_100 NUMERIC
@ATTRIBUTE normalised_SAC_literals NUMERIC
@ATTRIBUTE stats_table_proportion NUMERIC
@ATTRIBUTE stats_sums_proportion NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_coeff_of_variation NUMERIC
@ATTRIBUTE stats_or_atleastk_count NUMERIC
@ATTRIBUTE stats_lex_proportion NUMERIC
@ATTRIBUTE median_degree NUMERIC
@ATTRIBUTE maximum_degree NUMERIC
@ATTRIBUTE stats_dom_75 NUMERIC
@ATTRIBUTE stats_dom_100 NUMERIC
@ATTRIBUTE width_of_graph NUMERIC
@ATTRIBUTE minimum_degree NUMERIC
@ATTRIBUTE width_of_ordering NUMERIC
@ATTRIBUTE stats_lex_count NUMERIC
@ATTRIBUTE stats_alldiff_count NUMERIC
@ATTRIBUTE standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE stats_dom_not2_2_ratio NUMERIC
@ATTRIBUTE stats_binary_proportion NUMERIC
@ATTRIBUTE stats_multi_shared_vars NUMERIC
@ATTRIBUTE stats_dom_mean NUMERIC
@ATTRIBUTE stats_tightness_mean_normalised NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE stats_dom_50 NUMERIC
@ATTRIBUTE stats_alldiff_proportion NUMERIC
@ATTRIBUTE stats_dom_25 NUMERIC
@ATTRIBUTE stats_arity_75 NUMERIC
@ATTRIBUTE stats_literal_tightness_75 NUMERIC
@ATTRIBUTE stats_arity_mean NUMERIC
@ATTRIBUTE stats_arity_50 NUMERIC
@ATTRIBUTE stats_arity_25 NUMERIC
@ATTRIBUTE stats_arity_0 NUMERIC
@ATTRIBUTE stats_arity_100 NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_or_atleastk_proportion NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_literal_tightness_25 NUMERIC
@ATTRIBUTE stats_unary_count NUMERIC
@ATTRIBUTE stats_var_bool NUMERIC
@ATTRIBUTE SAC_literals NUMERIC
@ATTRIBUTE stats_sums_count NUMERIC
@ATTRIBUTE stats_literal_tightness_50 NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,324,0.068493,0.091828,0.366667,324,0.366667,0.229885,0.222222,0.2,324,0.133333,324,6.666667,0.166667,324,324,3,35,0,0,0,0.066667,0.066667,0,6.666667,0.037417,0,0,6,11,3,3,5,4,11,0,0,2.054805,0,1,0,3,3.24,100,3,0,3,2,35,2,2,2,2,2,30,30,0,30,32,0,0,0,0,33
1-fullins-3-4.xml.watchless.minion.gz,1,263,0.068493,0.091828,0.366667,263,0.366667,0.229885,0.222222,0.2,263,0.133333,263,6.666667,0.166667,263,263,4,27,0,0,0,0.066667,0.066667,0,6.666667,0.116619,0,0,6,11,4,4,5,4,11,0,0,2.054805,0,1,0,4,2.63,100,4,0,4,2,27,2,2,2,2,2,30,30,0,30,26,0,0,0,0,27
1-fullins-4-4.xml.watchless.minion.gz,1,263,0.059392,0.039056,0.344086,263,0.344086,0.138616,0.137126,0.11828,263,0.064516,263,12.752688,0.096774,263,263,4,27,0,0,0,0.021505,0.021505,0,12.752688,0.116619,0,0,11,32,4,4,9,6,32,0,0,5.523471,0,1,0,4,0.443508,593,4,0,4,2,27,2,2,2,2,2,93,93,0,93,26,0,0,0,0,27
1-fullins-4-5.xml.watchless.minion.gz,1,184,0.059392,0.039056,0.344086,184,0.344086,0.138616,0.137126,0.11828,184,0.064516,184,12.752688,0.096774,184,184,5,23,0,0,0,0.021505,0.021505,0,12.752688,0.148324,0,0,11,32,5,5,9,6,32,0,0,5.523471,0,1,0,5,0.310287,593,5,0,5,2,23,2,2,2,2,2,93,93,0,93,17,0,0,0,0,21
1-fullins-5-4.xml.watchless.minion.gz,1,263,0.04681,0.016686,0.336879,263,0.336879,0.081951,0.081661,0.070922,263,0.028369,263,23.028369,0.053191,263,263,4,27,0,0,0,0.007092,0.007092,0,23.028369,0.116619,0,0,20,95,4,4,15,8,95,0,0,13.20055,0,1,0,4,0.080998,3247,4,0,4,2,27,2,2,2,2,2,282,282,0,282,26,0,0,0,0,27
1-fullins-5-5.xml.watchless.minion.gz,1,184,0.04681,0.016686,0.336879,184,0.336879,0.081951,0.081661,0.070922,184,0.028369,184,23.028369,0.053191,184,184,5,23,0,0,0,0.007092,0.007092,0,23.028369,0.148324,0,0,20,95,5,5,15,8,95,0,0,13.20055,0,1,0,5,0.056668,3247,5,0,5,2,23,2,2,2,2,2,282,282,0,282,17,0,0,0,0,21
1-fullins-5-6.xml.watchless.minion.gz,1,169,0.04681,0.016686,0.336879,169,0.336879,0.081951,0.081661,0.070922,169,0.028369,169,23.028369,0.053191,169,169,6,20,0,0,0,0.007092,0.007092,0,23.028369,0.153623,0,0,20,95,6,6,15,8,95,0,0,13.20055,0,1,0,6,0.052048,3247,6,0,6,2,19,2,2,2,2,2,282,282,0,282,14,0,0,0,0,18
1-insertions-4-3.xml.watchless.minion.gz,1,324,0.040141,0,0.328358,324,0.328358,0.10493,0.103364,0.089552,324,0.059701,324,6.925373,0.074627,324,324,3,35,0,0,0,0.029851,0.029851,0,6.925373,0.037417,0,0,6,22,3,3,5,4,22,0,0,2.689468,0,1,0,3,1.396552,232,3,0,3,2,35,2,2,2,2,2,67,67,0,67,32,0,0,0,0,33
1-insertions-4-4.xml.watchless.minion.gz,1,263,0.040141,0,0.328358,263,0.328358,0.10493,0.103364,0.089552,263,0.059701,263,6.925373,0.074627,263,263,4,27,0,0,0,0.029851,0.029851,0,6.925373,0.116619,0,0,6,22,4,4,5,4,22,0,0,2.689468,0,1,0,4,1.133621,232,4,0,4,2,27,2,2,2,2,2,67,67,0,67,26,0,0,0,0,27
1-insertions-5-4.xml.watchless.minion.gz,1,263,0.032959,0,0.331683,263,0.331683,0.06044,0.060141,0.049505,263,0.024752,263,12.148515,0.039604,263,263,4,27,0,0,0,0.009901,0.009901,0,12.148515,0.116619,0,0,10,67,4,4,8,5,67,0,0,6.657663,0,1,0,4,0.214344,1227,4,0,4,2,27,2,2,2,2,2,202,202,0,202,26,0,0,0,0,27
