@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE dy_props NUMERIC
@ATTRIBUTE gr_ent_diam_vg NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE gr_ent_clust_cg NUMERIC
@ATTRIBUTE gr_max_clust_cg NUMERIC
@ATTRIBUTE v_cv_deg_vars NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,2.997733,2,4.102625,10741485,4.181638,0.799295,0.982449,0,0.548023
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,5.028743,2.321928,6.111276,8797719,3.164648,0.382381,0.830799,0,0.57323
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,2.712249,2.321928,3.834419,5215372,2.994468,0.896038,0.993023,0,0.461017
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,2.049091,2,2.816527,10360314,2.510417,0.263777,0.849751,0,0.38835
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,0.83827,1.584963,1.15678,9027736,3.174512,0.129234,0.468996,0,0.262851
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,2.650763,2,3.546667,3027238,3.802394,0.611723,0.998867,0,0.644545
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,1.588719,2,2.227353,3152380,4.728864,0.148968,0.655908,0,0.491696
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,2.650763,1.584963,3.546667,9344546,3.802394,0.328641,0.998867,0,0.644545
normalized-37s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.109068,2.489038,0.996886,4.976591,7696951,4.838565,1.031375,0.414485,1,1.518549
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,3.833265,2.321928,5.277076,-1,3.127213,0.613743,0.819367,0,0.701374
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,3.833265,2,5.277076,9460481,3.127213,0.318088,0.819367,0,0.701374
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,5.055056,2,-1,2699651,3.246226,0.04307,-1,-1,0.713313
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,3.790965,2.321928,5.381285,-1,3.532405,0.741247,0.953276,0,0.623264
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,3.833265,2.584963,5.277076,2191853,3.127213,0.801339,0.819367,0,0.701374
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,1.408585,2,1.985377,1368577,5.497163,0.110769,0.579404,0,0.531234
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,2.448476,2.584963,3.458095,2319016,3.608672,1.061591,0.999222,0,0.57589
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,1,0,1,0,2.807355,0,0,2.448476,2.807355,3.458095,2028544,3.608672,1.061591,0.999222,0,0.57589
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,2.997733,2.321928,4.102625,3985492,4.181638,0.998231,0.982449,0,0.548023
normalized-46s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.350737,3.302871,0.985662,4.955747,2385722,3.719351,2.301525,0.714087,1,2.159785
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,1.588719,1.584963,2.227353,6924574,4.728864,0.936117,0.655908,0,0.491696
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,2.609496,2,3.659697,9290719,2.666813,0.890492,0.999554,0,0.390634
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.961237,1.803639,1,2.697578,4920505,5.333997,0.346981,0.845845,0,0.178905
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.991076,1.995767,1,2.661092,6930406,3.606939,0.286397,0.687315,0,0.284318
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,3.730763,2.584963,5.296715,489708,3.840313,0.864757,0.976223,0,0.700023
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,5.055056,2.584963,-1,1230504,3.246226,0.376177,-1,-1,0.713313
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,2.317467,2,-1,1193013,5.608482,0.474383,-1,-1,0.735868
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,2.317467,2.321928,-1,1526813,5.608482,0.935897,-1,-1,0.735868
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.918296,0.932533,1,1.579863,6241422,5.161123,0,0.56651,0,0
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.990159,2.092088,1,2.60937,-1,3.096106,0.242292,0.681291,0,0.286588
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1,0,0.999982,1.521737,1,1.475288,7765838,2.653228,0,0.999982,0,0.282947
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.502513,0.497487,0.333333,0.666667,1,0,0.999927,1.638127,1,1.656276,7649653,2.712271,0,0.999344,0,0.2835
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,1.408585,1.584963,1.985377,4846153,5.497163,0.882574,0.579404,0,0.531234
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.921593,0.905162,1,1.542002,5057295,5.084632,0,0.557438,0,0.017655
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.989197,1.994514,1,2.587193,6305414,3.544501,0.242292,0.681291,0,0.282028
