@RELATION 'featureValues_ASP_Potassco-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Frac_Body-Body_Equivalences NUMERIC
@ATTRIBUTE Frac_Other_Equivalences NUMERIC
@ATTRIBUTE Tight NUMERIC
@ATTRIBUTE Frac_Atom-Atom_Equivalences NUMERIC
@ATTRIBUTE Literals_in_Conflict_Nogoods-1 NUMERIC
@ATTRIBUTE Frac_Ternary_Rules NUMERIC
@ATTRIBUTE Literals_in_Conflict_Nogoods-2 NUMERIC
@ATTRIBUTE Other_Constraints NUMERIC
@ATTRIBUTE Frac_Integrity_Rules NUMERIC
@ATTRIBUTE Conflicts/Choices-4 NUMERIC
@ATTRIBUTE Frac_Literals_in_Loop_Nogoods-3 NUMERIC
@ATTRIBUTE Frac_Literals_in_Conflict_Nogoods-3 NUMERIC
@ATTRIBUTE Frac_Literals_in_Loop_Nogoods-4 NUMERIC
@ATTRIBUTE Frac_Literals_in_Conflict_Nogoods-4 NUMERIC
@ATTRIBUTE Frac_Learnt_from_Conflict-3 NUMERIC
@ATTRIBUTE Frac_Learnt_from_Loop-3 NUMERIC

@DATA
FolioSuite/ASP-Comp-2007-Lparse/SLparse/15-PuzzleCompetition/15-puzzle.init6.gz,1,0.0345,0.773,1,0.1925,619,0.9692,1312,554,0.2315,0.1887,0,1,0,1,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721326970.dat.data.gz,1,0.0113,0.7578,1,0.231,911,0.0016,2263,329,0.467,0.5504,0,1,0,1,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721310106.dat.data.gz,1,0.0113,0.7578,1,0.231,917,0.0016,1905,330,0.467,0.6111,0,1,0,1,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721283013.dat.data.gz,1,0.0113,0.7578,1,0.231,802,0.0016,1472,328,0.467,0.4942,0,1,0,1,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721351180.dat.data.gz,1,0.0113,0.7578,1,0.231,953,0.0016,1716,325,0.467,0.5331,0,1,0,1,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/104_rand_45_250_1727044175_0.gph.gz,1,0.0174,0.9256,1,0.057,579,0.0171,2012,301,0.9756,0.1324,0,1,0,1,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700139777_0.gph.gz,1,0.0203,0.8968,1,0.0828,509,0.016,1587,243,0.9749,0.1675,0,1,0,1,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700137086_0.gph.gz,1,0.0203,0.8969,1,0.0828,453,0.016,1476,245,0.9748,0.2105,0,1,0,1,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/104_rand_45_250_1727042043_0.gph.gz,1,0.0174,0.9254,1,0.0572,32,0.0161,64,305,0.9759,0.0985,0,1,0,1,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700165461_0.gph.gz,1,0.0204,0.8967,1,0.0829,430,0.016,1575,242,0.9749,0.1309,0,1,0,1,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/CarSequencing/benchmark1_15classes.dlv.dat.lp.gz,1,0.0601,0.8127,1,0.1273,787,0,1439,576,0.3992,0.0976,0,1,0,1,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/CarSequencing/001.benchmark1_17classes.dlv.dat.lp.gz,1,0.0602,0.8119,1,0.1279,819,0,1565,636,0.3987,0.094,0,1,0,1,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/Factoring/fact.grnd.sat.24.gz,1,0.0216,0.9342,1,0.0441,2090,0.733,6018,16,0.0525,0.5856,0,1,0,1,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianCycle/rand_200_1800_1154991214_9.gph.gz,1,0,0.7143,0,0.2857,9142,0.2053,14935,600,0.0345,0.1321,0,1,0,1,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianCycle/rand_100_800_1155012316_11.gph.gz,1,0,0.7159,0,0.2841,?,0.2037,?,300,0.0385,?,?,?,?,?,?,?
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianCycle/rand_150_1200_1154711577_4.gph.gz,1,0,0.7159,0,0.2841,7616,0.2037,10053,450,0.0385,0.1688,0,1,0,1,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/gryzzles.48.gz,1,0.1784,0.5902,0,0.2315,232,0.7344,450,76,0.5592,0.2605,0,1,0,1,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/gryzzles.30.gz,1,0.1758,0.5898,0,0.2344,246,0.7119,470,44,0.5298,0.237,0,1,0,1,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/gryzzles.41.gz,1,0.1755,0.5893,0,0.2353,287,0.7031,474,32,0.5177,0.3565,0,1,0,1,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/hampath.ngrnd.6.gz,1,0.1851,0.5941,0,0.2208,1853,0.8451,2989,81,0.7266,0.3926,0,1,0,1,1,0
