@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE OCCFP_OCCFN NUMERIC
@ATTRIBUTE LITFP_LITFN NUMERIC
@ATTRIBUTE OCCFP_OCCF NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE WOCCEP_WOCCE NUMERIC
@ATTRIBUTE LITFN_LIT NUMERIC

@DATA
adder-10-sat-shuffled,1,0.010986,0.994507,1.132939,1.132939,0.531163,0.104494,0.078758,0.128546
adder-10-unsat-shuffled,1,0.001096,0.999726,1.243463,1.243463,0.55426,0.072991,0.062859,0.027706
adder-12-sat-shuffled,1,0.009067,0.995467,1.134255,1.134255,0.531453,0.097549,0.072989,0.121774
adder-12-unsat-shuffled,1,0.000754,0.999811,1.246269,1.246269,0.554817,0.065635,0.056189,0.025199
adder-14-sat-shuffled,1,0.007719,0.996141,1.135195,1.135195,0.531659,0.091632,0.068101,0.115822
adder-14-unsat-shuffled,1,0.00055,0.999862,1.248295,1.248295,0.555218,0.059669,0.050842,0.023129
adder-16-unsat-shuffled,1,0.000419,0.999895,1.249827,1.249827,0.555521,0.05472,0.046447,0.021385
Adder2-10-s-shuffled,1,0.726821,0.444433,1,1,0.5,0.413789,0.426218,0.089112
Adder2-4-s-shuffled,1,0.72669,0.445552,1,1,0.5,0.415911,0.426705,0.087918
Adder2-6-c-shuffled,1,0.726373,0.447045,1,1,0.5,0.411294,0.427095,0.059227
Adder2-6-s-shuffled,1,0.726783,0.444877,1,1,0.5,0.414678,0.426414,0.088603
adder-4-sat-shuffled,1,0.030189,0.984906,1.120968,1.120968,0.528517,0.14083,0.108165,0.159486
adder-6-sat-shuffled,1,0.019063,0.990469,1.12766,1.12766,0.53,0.123948,0.094829,0.146162
adder-8-sat-shuffled,1,0.013937,0.993031,1.130964,1.130964,0.530729,0.112944,0.085781,0.136456
adder-8-unsat-shuffled,1,0.001737,0.999566,1.239316,1.239316,0.553435,0.08235,0.071472,0.030826
aim-100-1_6-yes1-3-50-shuffled,1,0.530691,0.205882,0.833333,0.833333,0.454545,0.304989,0.322537,0.149223
aim-100-1_6-yes1-3-90-shuffled,1,0.506767,0.242105,0.963855,0.963855,0.490798,0.298424,0.304888,0.150272
aim-100-2_0-yes1-2-50-shuffled,1,0.52492,0.211029,0.859195,0.859195,0.462133,0.293681,0.319507,0.149292
aim-100-2_0-yes1-2-90-shuffled,1,0.50601,0.239183,0.961415,0.961415,0.490164,0.288118,0.305698,0.150097
aim-100-3_4-yes1-1-90-shuffled,1,0.504317,0.244604,0.984586,0.984586,0.496117,0.264192,0.302722,0.149654
aim-100-6_0-yes1-1-90-shuffled,1,0.498561,0.245376,0.984649,0.984649,0.496133,0.246211,0.302114,0.150173
aim-100-6_0-yes1-3-90-shuffled,1,0.501645,0.246299,0.989011,0.989011,0.497238,0.246033,0.301841,0.149868
aim-100-6_0-yes1-4-90-shuffled,1,0.500412,0.245058,0.986813,0.986813,0.496681,0.246112,0.301976,0.150165
aim-200-1_6-yes1-2-90-shuffled,1,0.503351,0.238273,0.973843,0.973843,0.493374,0.29806,0.305269,0.14858
aim-200-1_6-yes1-4-90-shuffled,1,0.509308,0.236039,0.97379,0.97379,0.493361,0.298532,0.305864,0.14837
aim-200-2_0-yes1-2-90-shuffled,1,0.504505,0.23964,0.967794,0.967794,0.491817,0.287235,0.304779,0.149675
aim-200-3_4-yes1-1-90-shuffled,1,0.505586,0.244324,0.982642,0.982642,0.495623,0.264326,0.302774,0.149747
aim-200-3_4-yes1-4-90-shuffled,1,0.50018,0.243253,0.982676,0.982676,0.495631,0.264035,0.302635,0.149863
aim-50-1_6-yes1-1-00-shuffled,1,0.549145,0.173077,0.736527,0.736527,0.424138,0.310489,0.337248,0.145979
aim-50-1_6-yes1-1-90-shuffled,1,0.501502,0.243243,1.008197,1.008197,0.502041,0.296293,0.302885,0.147165
aim-50-1_6-yes1-2-00-shuffled,1,0.537473,0.171306,0.657143,0.657143,0.396552,0.314491,0.341737,0.153374
