@RELATION 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 1'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gr_cv_clust_cg NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff3.dzn,1,1.386303
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff63.dzn,1,1.360257
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff61.dzn,1,1.360606
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/easy_01.dzn,1,0.699271
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_02.dzn,1,0.491469
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.2.dzn,1,1.581138
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.3.dzn,1,1.544786
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m06_15_15.dzn,1,1.316656
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_03.dzn,1,0.699271
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_5_20_1.dzn,1,0.692972
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff58.dzn,1,1.357019
mznc12-problems/ship-schedule/ship-schedule.cp.mzn_AND_mznc12-problems/ship-schedule/5Ships.dzn,1,-1
mznc12-problems/still-life-wastage/still-life.mzn_AND_mznc12-problems/still-life-wastage/09.dzn,1,0.310104
mznc12-problems/still-life-wastage/still-life.mzn_AND_mznc12-problems/still-life-wastage/10.dzn,1,-1
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_05.dzn,1,0.619175
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/48_24_6.2.dzn,1,1.594261
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_10/Class10_40_6.dzn,1,1.400096
mznc12-problems/ship-schedule/ship-schedule.cp.mzn_AND_mznc12-problems/ship-schedule/6ShipsMixed.dzn,1,-1
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/48_24_6.1.dzn,1,1.594261
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_5_5_20_1.dzn,1,0.697864
