@RELATION 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gr_cv_clust_cg NUMERIC
@ATTRIBUTE s_indomain_min NUMERIC
@ATTRIBUTE s_other_var NUMERIC
@ATTRIBUTE s_int_search NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE gr_avg_clust_cg NUMERIC
@ATTRIBUTE gr_max_clust_cg NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff3.dzn,1,1.386303,1,0,1,0,1,0.32715,1
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff63.dzn,1,1.360257,1,0,1,0,1,0.324728,1
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff61.dzn,1,1.360606,1,0,1,0,1,0.324635,1
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/easy_01.dzn,1,0.699271,0,1,0,0.582043,0.417957,0.612807,1
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_02.dzn,1,0.491469,0,1,0,0.502994,0.497006,0.732241,1
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.2.dzn,1,1.581138,0,0,0,0.744318,0.255682,0.272425,0
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.3.dzn,1,1.544786,0,0,0,0.736842,0.263158,0.280654,0
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m06_15_15.dzn,1,1.316656,0,0,1,0,1,0.204988,1
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_03.dzn,1,0.699271,0,1,0,0.582043,0.417957,0.612807,1
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_5_20_1.dzn,1,0.692972,0,1,0,0.385757,0.614243,0.50823,1
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff58.dzn,1,1.357019,1,0,1,0,1,0.332005,1
mznc12-problems/ship-schedule/ship-schedule.cp.mzn_AND_mznc12-problems/ship-schedule/5Ships.dzn,1,-1,0,1,0,0.741631,0.258369,-1,-1
mznc12-problems/still-life-wastage/still-life.mzn_AND_mznc12-problems/still-life-wastage/09.dzn,1,0.310104,0,0,1,0.626479,0.373521,0.557489,1
mznc12-problems/still-life-wastage/still-life.mzn_AND_mznc12-problems/still-life-wastage/10.dzn,1,-1,0,0,1,0.629397,0.370603,-1,-1
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_05.dzn,1,0.619175,0,1,0,0.584856,0.415144,0.637561,1
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/48_24_6.2.dzn,1,1.594261,0,0,0,0.747423,0.252577,0.270588,0
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_10/Class10_40_6.dzn,1,1.400096,0,0,0,0,1,0.336012,1
mznc12-problems/ship-schedule/ship-schedule.cp.mzn_AND_mznc12-problems/ship-schedule/6ShipsMixed.dzn,1,-1,0,1,0,0.78344,0.21656,-1,-1
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/48_24_6.1.dzn,1,1.594261,0,0,0,0.747423,0.252577,0.270588,0
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_5_5_20_1.dzn,1,0.697864,0,1,0,0.422535,0.577465,0.515285,1
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_10/Class10_40_3.dzn,1,1.400092,0,0,0,0,1,0.336013,1
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/52_26_6.1.dzn,1,1.58114,0,0,0,0.745192,0.254808,0.274302,0
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_7_5_20_1.dzn,1,0.698235,0,1,0,0.4414,0.5586,0.52213,1
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff59.dzn,1,1.361095,1,0,1,0,1,0.324505,1
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/52_26_6.2.dzn,1,1.599277,0,0,0,0.748815,0.251185,0.27027,0
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/52_26_6.3.dzn,1,1.550433,0,0,0,0.738916,0.261084,0.282486,0
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_3_30_1.dzn,1,0.689417,0,1,0,0.291815,0.708185,0.521603,1
mznc12-problems/league/league.mzn_AND_mznc12-problems/league/model20-3-5.dzn,1,0.4602,0,1,0,0.648148,0.351852,0.53278,0
mznc12-problems/league/league.mzn_AND_mznc12-problems/league/model30-4-6.dzn,1,0.319896,0,1,0,0.710706,0.289294,0.606333,0
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_5_3_20_1.dzn,1,0.692972,0,1,0,0.385757,0.614243,0.50823,1
mznc12-problems/league/league.mzn_AND_mznc12-problems/league/model50-4-4.dzn,1,0.290794,0,1,0,0.796221,0.203779,0.695121,0
mznc12-problems/league/league.mzn_AND_mznc12-problems/league/model55-3-12.dzn,1,0.340301,0,1,0,0.734864,0.265136,0.70576,0
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/hard_01.dzn,1,0.927016,0,1,0,0.788644,0.211356,0.404373,1
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/hard_03.dzn,1,0.977403,0,1,0,0.775641,0.224359,0.409185,1
mznc12-problems/still-life-wastage/still-life.mzn_AND_mznc12-problems/still-life-wastage/11.dzn,1,-1,0,0,1,0.631757,0.368243,-1,-1
mznc12-problems/train/train.mzn_AND_mznc12-problems/train/instance.15.dzn,1,0.576686,1,0,1,0.498753,0.501247,0.510616,1
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_7_5_30_1.dzn,1,0.701704,0,1,0,0.416069,0.583931,0.523843,1
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m12_10_20.dzn,1,1.388628,0,0,1,0,1,0.147815,1
mznc12-problems/train/train.mzn_AND_mznc12-problems/train/instance.2.dzn,1,0.577955,1,0,1,0.498753,0.501247,0.503134,1
mznc12-problems/train/train.mzn_AND_mznc12-problems/train/instance.7.dzn,1,0.577449,1,0,1,0.498753,0.501247,0.506378,1
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_7_3_20_1.dzn,1,0.696755,0,1,0,0.411085,0.588915,0.512274,1
mznc12-problems/train/train.mzn_AND_mznc12-problems/train/instance.12.dzn,1,0.576686,1,0,1,0.498753,0.501247,0.510616,1
mznc12-problems/train/train.mzn_AND_mznc12-problems/train/instance.6.dzn,1,0.579931,1,0,1,0.481928,0.518072,0.515784,1
mznc12-problems/train/train.mzn_AND_mznc12-problems/train/instance.3.dzn,1,0.577822,1,0,1,0.498753,0.501247,0.504232,1
mznc12-problems/ship-schedule/ship-schedule.cp.mzn_AND_mznc12-problems/ship-schedule/7ShipsMixedUnconst.dzn,1,-1,0,1,0,0.779761,0.220239,-1,-1
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_10/Class10_40_4.dzn,1,1.400088,0,0,0,0,1,0.336013,1
mznc12-problems/ship-schedule/ship-schedule.cp.mzn_AND_mznc12-problems/ship-schedule/7ShipsMixed.dzn,1,-1,0,1,0,0.779761,0.220239,-1,-1
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_10/Class10_40_10.dzn,1,1.400088,0,0,0,0,1,0.336013,1
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_10/Class10_40_2.dzn,1,1.400088,0,0,0,0,1,0.336013,1
