@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,324,0.068493
1-fullins-3-4.xml.watchless.minion.gz,1,263,0.068493
1-fullins-4-4.xml.watchless.minion.gz,1,263,0.059392
1-fullins-4-5.xml.watchless.minion.gz,1,184,0.059392
1-fullins-5-4.xml.watchless.minion.gz,1,263,0.04681
1-fullins-5-5.xml.watchless.minion.gz,1,184,0.04681
1-fullins-5-6.xml.watchless.minion.gz,1,169,0.04681
1-insertions-4-3.xml.watchless.minion.gz,1,324,0.040141
1-insertions-4-4.xml.watchless.minion.gz,1,263,0.040141
1-insertions-5-4.xml.watchless.minion.gz,1,263,0.032959
1-insertions-5-5.xml.watchless.minion.gz,1,184,0.032959
1-insertions-5-6.xml.watchless.minion.gz,1,169,0.032959
1-insertions-6-4.xml.watchless.minion.gz,1,263,0.024126
1-insertions-6-5.xml.watchless.minion.gz,1,184,0.024126
1-insertions-6-6.xml.watchless.minion.gz,1,169,0.024126
1-insertions-6-7.xml.watchless.minion.gz,1,154,0.024126
2-fullins-3-4.xml.watchless.minion.gz,1,263,0.058075
2-fullins-3-5.xml.watchless.minion.gz,1,184,0.058075
2-fullins-4-4.xml.watchless.minion.gz,1,263,0.038637
2-fullins-4-5.xml.watchless.minion.gz,1,184,0.038637
2-fullins-4-6.xml.watchless.minion.gz,1,169,0.038637
2-fullins-5-4.xml.watchless.minion.gz,1,263,0.023979
2-fullins-5-5.xml.watchless.minion.gz,1,184,0.023979
2-fullins-5-6.xml.watchless.minion.gz,1,169,0.023979
2-fullins-5-7.xml.watchless.minion.gz,1,154,0.023979
2-insertions-3-3.xml.watchless.minion.gz,1,324,0.025743
2-insertions-3-4.xml.watchless.minion.gz,1,263,0.025743
2-insertions-4-3.xml.watchless.minion.gz,1,324,0.021708
2-insertions-4-4.xml.watchless.minion.gz,1,263,0.021708
2-insertions-4-5.xml.watchless.minion.gz,1,184,0.021708
2-insertions-5-3.xml.watchless.minion.gz,1,324,0.014236
2-insertions-5-4.xml.watchless.minion.gz,1,263,0.014236
2-insertions-5-5.xml.watchless.minion.gz,1,184,0.014236
