@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 128'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE dy_props NUMERIC
@ATTRIBUTE gr_ent_diam_vg NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE gr_ent_clust_cg NUMERIC
@ATTRIBUTE gr_max_clust_cg NUMERIC
@ATTRIBUTE v_cv_deg_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE d_array_cons NUMERIC
@ATTRIBUTE o_de_di NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE dy_tot_time NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE v_logprod_deg_vars NUMERIC
@ATTRIBUTE v_max_dom_vars NUMERIC
@ATTRIBUTE gr_avg_clust_cg NUMERIC
@ATTRIBUTE gr_cv_diam_vg NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE v_cv_domdeg_vars NUMERIC
@ATTRIBUTE v_max_domdeg_vars NUMERIC
@ATTRIBUTE dy_fzn_time NUMERIC
@ATTRIBUTE d_bool_vars NUMERIC
@ATTRIBUTE v_max_deg_vars NUMERIC
@ATTRIBUTE c_ent_deg_cons NUMERIC
@ATTRIBUTE gr_cv_clust_cg NUMERIC
@ATTRIBUTE o_di_de NUMERIC
@ATTRIBUTE v_num_vars NUMERIC
@ATTRIBUTE gr_max_deg_cg NUMERIC
@ATTRIBUTE v_def_vars NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE gc_ratio_globs NUMERIC
@ATTRIBUTE gc_bool_lin NUMERIC
@ATTRIBUTE c_min_domdeg_cons NUMERIC
@ATTRIBUTE gr_cv_deg_cg NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE gr_min_clust_cg NUMERIC
@ATTRIBUTE o_deg_std NUMERIC
@ATTRIBUTE o_deg_cons NUMERIC
@ATTRIBUTE o_dom_avg NUMERIC
@ATTRIBUTE v_logprod_dom_vars NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE o_di NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE c_cv_deg_cons NUMERIC
@ATTRIBUTE c_cv_dom_cons NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE d_ratio_bool_cons NUMERIC
@ATTRIBUTE dy_nodes NUMERIC
@ATTRIBUTE dy_fails NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE d_set_cons NUMERIC
@ATTRIBUTE dy_static_time NUMERIC
@ATTRIBUTE gr_max_deg_vg NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE gr_avg_deg_cg NUMERIC
@ATTRIBUTE c_logprod_deg_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE d_ratio_set_cons NUMERIC
@ATTRIBUTE c_num_cons NUMERIC
@ATTRIBUTE dy_depth NUMERIC
@ATTRIBUTE dy_ratio_props NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_sum_ari_cons NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE c_domain NUMERIC
@ATTRIBUTE dy_peak NUMERIC
@ATTRIBUTE gr_min_deg_cg NUMERIC
@ATTRIBUTE gc_global_cons NUMERIC
@ATTRIBUTE o_deg NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE gr_max_diam_vg NUMERIC
@ATTRIBUTE gr_min_diam_vg NUMERIC
@ATTRIBUTE gc_table NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE o_dom NUMERIC
@ATTRIBUTE d_int_cons NUMERIC
@ATTRIBUTE v_sum_deg_vars NUMERIC
@ATTRIBUTE d_bool_cons NUMERIC
@ATTRIBUTE gr_avg_diam_vg NUMERIC
@ATTRIBUTE c_logprod_dom_cons NUMERIC
@ATTRIBUTE v_num_aliases NUMERIC
@ATTRIBUTE o_deg_avg NUMERIC
@ATTRIBUTE dy_ratio_nodes NUMERIC
@ATTRIBUTE gc_all_diff NUMERIC
@ATTRIBUTE c_max_deg_cons NUMERIC
@ATTRIBUTE gc_cumulative NUMERIC
@ATTRIBUTE o_de NUMERIC
@ATTRIBUTE v_min_deg_vars NUMERIC
@ATTRIBUTE o_dom_deg NUMERIC
@ATTRIBUTE c_sum_dom_cons NUMERIC
@ATTRIBUTE c_min_deg_cons NUMERIC
@ATTRIBUTE c_sum_domdeg_cons NUMERIC
@ATTRIBUTE gr_min_deg_vg NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE v_min_domdeg_vars NUMERIC
@ATTRIBUTE gc_regular NUMERIC
@ATTRIBUTE gc_inverse NUMERIC
@ATTRIBUTE c_min_dom_cons NUMERIC
@ATTRIBUTE gc_count NUMERIC
@ATTRIBUTE gc_disjoint NUMERIC
@ATTRIBUTE v_min_dom_vars NUMERIC
@ATTRIBUTE d_set_vars NUMERIC
@ATTRIBUTE d_ratio_set_vars NUMERIC
@ATTRIBUTE s_labeled_vars NUMERIC
@ATTRIBUTE s_input_order NUMERIC
@ATTRIBUTE s_other_val NUMERIC
@ATTRIBUTE gc_diffn NUMERIC
@ATTRIBUTE s_int_search NUMERIC
@ATTRIBUTE gc_global_card NUMERIC
@ATTRIBUTE gc_array_set NUMERIC
@ATTRIBUTE s_other_var NUMERIC
@ATTRIBUTE c_bounds_d NUMERIC
@ATTRIBUTE gc_link_set NUMERIC
@ATTRIBUTE s_set_search NUMERIC
@ATTRIBUTE c_bounds_r NUMERIC
@ATTRIBUTE c_bounds_z NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,2.997733,2,4.102625,10741485,4.181638,0.799295,0.982449,0,0.548023,0.392949,0,1,0,2.25,0.548023,4,699.618418,4,0.556014,0.573638,0,0,0.392361,0.8,0.1,0,67,0,0.183571,202,202,88,0,0,0,0,2,0.451873,0,0,0,1,0,404,0,1,2.997733,0,0,808,0,129519,64730,79.37575,0,0.1,67,202,29.594132,1227,0.164629,0,1227,76,8754.27,12.148515,2454,6.074257,0,1096,15,0,1,12.148515,46,5,0,4,0,1227,2454,0,13.158416,2454,0,0,0.499772,0,2,0,0,5,0,4908,2,2454,5,2,4,0.059701,0,0,4,0,0,4,0,0,-1,-1,-1,0,-1,0,0,-1,0,0,-1,0,0
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,5.028743,2.321928,6.111276,8797719,3.164648,0.382381,0.830799,0,0.57323,0.271714,0,1,0,3.24,0.57323,5,1226.874573,5,0.568919,0.617143,0,0,0.441158,0.625,0.28,0,95,0,0.158057,282,282,188,0,0,0,0,2.321928,0.386438,0,0,0,1,0,654.783723,0,1,5.028743,0,0,1410,0,44448,22213,76.623423,0,0.91,95,282,59.190638,3247,0.086849,0,3247,52,2709.49,23.028369,6494,11.514184,0,2182,22,0,1,23.028369,23,2,0,4.643856,0,3247,6494,0,8.315603,7193.154741,0,0,0.499753,0,2,0,0,8,0,15078.601048,2,7539.300524,8,2,4.643856,0.052632,0,0,4.643856,0,0,5,0,0,-1,-1,-1,0,-1,0,0,-1,0,0,-1,0,0
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,2.712249,2.321928,3.834419,5215372,2.994468,0.896038,0.993023,0,0.461017,0.688786,0,1,0,2.08,0.461017,5,238.234257,5,0.520879,0.343241,0,0,0.380075,1.25,0.04,0,19,0,0.133677,80,80,36,0,0,0,0,2.321928,0.33891,0,0,0,1,0,185.754248,0,1,2.712249,0,0,400,0,375702,187834,55.102877,0,0.01,19,80,18.976879,346,0.231214,0,346,57,15073.3,8.65,692,4.325,0,551,6,0,1,8.65,20,2,0,4.643856,0,346,692,0,12.6875,766.50186,0,0,0.499955,0,2,0,0,4,0,1606.774242,2,803.387121,4,2,4.643856,0.263158,0,0,4.643856,0,0,5,0,0,-1,-1,-1,0,-1,0,0,-1,0,0,-1,0,0
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,2.049091,2,2.816527,10360314,2.510417,0.263777,0.849751,0,0.38835,0.638606,0,1,0,2.08,0.38835,4,181.77061,4,0.514206,0.229746,0,0,0.290433,1,0.02,0,22,0,0.166151,67,67,28,0,0,0,0,2,0.301618,0,0,0,1,0,134,0,1,2.049091,0,0,268,0,666593,333281,42.78658,0,0,22,67,13.939655,232,0.288793,0,232,51,44656.5,6.925373,464,3.462687,0,263,9,0,1,6.925373,12,5,0,4,0,232,464,0,8.313433,464,0,0,0.499977,0,2,0,0,4,0,928,2,464,4,2,4,0.181818,0,0,4,0,0,4,0,0,-1,-1,-1,0,-1,0,0,-1,0,0,-1,0,0
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,0.83827,1.584963,1.15678,9027736,3.174512,0.129234,0.468996,0,0.262851,0.790584,0,1,0,2.04,0.262851,3,108.894019,3,0.429697,0.315084,-1,0,0.153346,1,0.02,0,11,0,0.207336,56,56,12,0,0,0,0,1.584963,0.298106,0,0,0,1,0,88.7579,0,1,0.83827,0,-1,168,0,871368,435677,44.272727,0,0,11,56,6.4,110,0.509091,0,110,34,82070.3,3.928571,220,1.964286,0,109,5,0,1,3.928571,26,9,0,3.169925,0,110,220,0,13.678571,183.089358,0,0,0.499992,0,2,0,0,3,0,348.69175,2,174.345875,3,2,3.169925,0.272727,0,0,3.169925,0,0,3,0,0,-1,-1,-1,0,-1,0,0,-1,0,0,-1,0,0
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,2.650763,2,3.546667,3027238,3.802394,0.611723,0.998867,0,0.644545,0.357065,0,1,0,3.37,0.644545,4,2142.505766,4,0.552028,0.311121,0,0,0.378003,0.8,0.41,0,149,0,0.207279,597,597,185,0,0,0,0,2,0.78234,0,0,0,1,0,1194,0,1,2.650763,0,0,2388,0,54810,27349,213.168058,0,0.9,149,597,35.327744,3936,0.151677,0,3936,132,769.115,13.18593,7872,6.592965,0,5837,15,0,1,13.18593,52,6,0,4,0,3936,7872,0,17.172529,7872,0,0,0.498978,0,2,0,0,5,0,15744,2,7872,5,2,4,0.026846,0,0,4,0,0,4,0,0,-1,-1,-1,0,-1,0,0,-1,0,0,-1,0,0
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,1.588719,2,2.227353,3152380,4.728864,0.148968,0.655908,0,0.491696,0.585998,0,1,0,2.23,0.491696,4,793.13323,4,0.510277,0.296572,0,0,0.258952,1,0.11,0,56,0,0.210349,281,281,66,0,0,0,0,2,0.654286,0,0,0,1,0,562,0,1,1.588719,0,0,1124,0,319634,159737,164.665368,0,0.06,56,281,16.489484,1046,0.268642,0,1046,180,3013.75,7.44484,2092,3.72242,0,2128,9,0,1,7.44484,67,10,0,4,0,1046,2092,0,46.128114,2092,0,0,0.49975,0,2,0,0,4,0,4184,2,2092,4,2,4,0.071429,0,0,4,0,0,4,0,0,-1,-1,-1,0,-1,0,0,-1,0,0,-1,0,0
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,2.650763,1.584963,3.546667,9344546,3.802394,0.328641,0.998867,0,0.644545,0.267799,0,1,0,3.38,0.644545,3,2142.505766,3,0.552028,0.311121,-1,0,0.378003,0.6,0.41,0,149,0,0.207279,597,597,185,0,0,0,0,1.584963,0.78234,0,0,0,1,0,946.222613,0,1,2.650763,0,-1,1791,0,29288,14642,159.876043,0,0.91,149,597,35.327744,3936,0.151677,0,3936,20,2374.12,13.18593,7872,6.592965,0,2180,15,0,1,13.18593,52,6,0,3.169925,0,3936,7872,0,17.172529,6551.270113,0,0,0.499932,0,2,0,0,5,0,12476.824806,2,6238.412403,5,2,3.169925,0.020134,0,0,3.169925,0,0,3,0,0,-1,-1,-1,0,-1,0,0,-1,0,0,-1,0,0
normalized-37s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.109068,2.489038,0.996886,4.976591,7696951,4.838565,1.031375,0.414485,1,1.518549,0.380231,0,1,0.315997,3.98,1.41051,1.942857,2824.82321,2,0.663227,0.804541,0.031238,0.119471,0.421823,1,0.77,0,186,1.104903,0.210709,1190,1190,213,0,0,0,0,0.666667,1.464002,0,0,0,1,0,1122,0,1,2.449867,0.660386,0.659001,2312,0,68662,34320,452.475211,0,1.14,135,1190,31.807756,3846.78752,0.394432,0,3017,33,2551.19,6.746218,9051,2.535294,0,1861,4,0,1,6.378151,68,0,0,11,0,3017,8028,0,13.619328,3830.478467,0,0,0.49984,0,11,0,0,0,0,7994,2,3007.606061,0,2.660921,2.649652,0.010753,0,0,2,0,0,1,0,0,-1,-1,-1,0,-1,0,0,-1,0,0,-1,0,0
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,3.833265,2.321928,5.277076,-1,3.127213,0.613743,0.819367,0,0.701374,0.31051,0,1,0,3.86,0.701374,5,2537.644916,5,0.582444,0.455654,0.000001,0,0.488583,0.833333,0.72,0,202,0,0.195967,607,607,268,0,0,0,0,2.321928,0.626101,0,0,0,1,0,1409.410354,0,1,3.833265,0,0.000001,3035,0,-1,-1,188.479618,0,3.09,202,607,60.302036,6337,0.095787,0,6337,-1,-1,20.879736,12674,10.439868,0,-1,23,0,1,20.879736,30,5,0,4.643856,0,6337,12674,0,11.640857,14038.503725,0,0,-1,0,2,0,0,6,0,29428.116675,2,14714.058337,6,2,4.643856,0.024752,0,0,4.643856,0,0,5,0,0,-1,-1,-1,0,-1,0,0,-1,0,0,-1,0,0
