@RELATION 'FEATURE_VALUES_MaxSAT-2012-pms-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 4'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE pnr_var_max NUMERIC
@ATTRIBUTE pnr_cls_std NUMERIC
@ATTRIBUTE pnr_var_mean NUMERIC
@ATTRIBUTE numClauses NUMERIC

@DATA
benchmarks/pms_crafted/frb/frb20-11-1.partial.wcnf,1,0.03448,5.061,0.02001,5854
benchmarks/pms_crafted/frb/frb20-11-2.partial.wcnf,1,0.03333,5.03304,0.02009,5794
benchmarks/pms_crafted/frb/frb20-11-3.partial.wcnf,1,0.04348,5.05087,0.02023,5833
benchmarks/pms_crafted/frb/frb20-11-4.partial.wcnf,1,0.03448,5.03356,0.02019,5793
benchmarks/pms_crafted/frb/frb20-11-5.partial.wcnf,1,0.03704,5.0461,0.02046,5821
benchmarks/pms_crafted/frb/frb25-13-1.partial.wcnf,1,0.02326,5.7107,0.01547,10924
benchmarks/pms_crafted/frb/frb25-13-2.partial.wcnf,1,0.02439,5.71612,0.01561,10943
benchmarks/pms_crafted/frb/frb25-13-3.partial.wcnf,1,0.03226,5.73374,0.01571,11005
benchmarks/pms_crafted/frb/frb25-13-4.partial.wcnf,1,0.03226,5.66725,0.01602,10762
benchmarks/pms_crafted/frb/frb25-13-5.partial.wcnf,1,0.02778,5.68472,0.01577,10833
benchmarks/pms_crafted/frb/frb30-15-1.partial.wcnf,1,0.02326,6.30813,0.01282,18350
benchmarks/pms_crafted/frb/frb30-15-2.partial.wcnf,1,0.02174,6.31586,0.0127,18392
benchmarks/pms_crafted/frb/frb30-15-3.partial.wcnf,1,0.02,6.30791,0.01282,18349
benchmarks/pms_crafted/frb/frb30-15-4.partial.wcnf,1,0.02041,6.30755,0.0128,18347
benchmarks/pms_crafted/frb/frb30-15-5.partial.wcnf,1,0.02128,6.30348,0.0129,18325
benchmarks/pms_crafted/frb/frb35-17-1.partial.wcnf,1,0.01961,6.85299,0.01097,28548
benchmarks/pms_crafted/frb/frb35-17-2.partial.wcnf,1,0.01852,6.85287,0.01085,28547
benchmarks/pms_crafted/frb/frb35-17-3.partial.wcnf,1,0.02174,6.86357,0.01101,28631
benchmarks/pms_crafted/frb/frb35-17-4.partial.wcnf,1,0.02857,6.85057,0.01113,28529
benchmarks/pms_crafted/frb/frb35-17-5.partial.wcnf,1,0.02222,6.88712,0.01084,28816
benchmarks/pms_crafted/frb/frb40-19-1.partial.wcnf,1,0.01754,7.3778,0.00954,42173
benchmarks/pms_crafted/frb/frb40-19-2.partial.wcnf,1,0.01724,7.37351,0.00948,42127
benchmarks/pms_crafted/frb/frb40-19-3.partial.wcnf,1,0.01724,7.35506,0.00943,41927
benchmarks/pms_crafted/frb/frb40-19-4.partial.wcnf,1,0.01471,7.40646,0.00928,42485
benchmarks/pms_crafted/frb/frb40-19-5.partial.wcnf,1,0.01449,7.40776,0.00928,42499
benchmarks/pms_crafted/job-shop/ft10-808-1090.wcnf,1,1,0.30063,0.5051,1151201
benchmarks/pms_crafted/job-shop/la04-567-0696.wcnf,1,1,0.3034,0.50961,359683
benchmarks/pms_crafted/job-shop/orb08-894-1058.wcnf,1,1,0.30134,0.50528,1121427
benchmarks/pms_crafted/maxclicque/random/max_clq_150-0-447-1.clq.wcnf,1,0.99329,0.11822,0.99306,10878
benchmarks/pms_crafted/maxclicque/random/max_clq_150-0-447-2.clq.wcnf,1,0.99329,0.11822,0.99306,10878
