@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE normalised_minimum_degree NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_dom_0 NUMERIC
@ATTRIBUTE stats_literal_tightness_100 NUMERIC
@ATTRIBUTE normalised_SAC_literals NUMERIC
@ATTRIBUTE stats_table_proportion NUMERIC
@ATTRIBUTE stats_sums_proportion NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_coeff_of_variation NUMERIC
@ATTRIBUTE stats_or_atleastk_count NUMERIC
@ATTRIBUTE stats_lex_proportion NUMERIC
@ATTRIBUTE median_degree NUMERIC
@ATTRIBUTE maximum_degree NUMERIC
@ATTRIBUTE stats_dom_75 NUMERIC
@ATTRIBUTE stats_dom_100 NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,324,0.068493,0.091828,0.366667,324,0.366667,0.229885,0.222222,0.2,324,0.133333,324,6.666667,0.166667,324,324,3,35,0,0,0,0.066667,0.066667,0,6.666667,0.037417,0,0,6,11,3,3
1-fullins-3-4.xml.watchless.minion.gz,1,263,0.068493,0.091828,0.366667,263,0.366667,0.229885,0.222222,0.2,263,0.133333,263,6.666667,0.166667,263,263,4,27,0,0,0,0.066667,0.066667,0,6.666667,0.116619,0,0,6,11,4,4
1-fullins-4-4.xml.watchless.minion.gz,1,263,0.059392,0.039056,0.344086,263,0.344086,0.138616,0.137126,0.11828,263,0.064516,263,12.752688,0.096774,263,263,4,27,0,0,0,0.021505,0.021505,0,12.752688,0.116619,0,0,11,32,4,4
1-fullins-4-5.xml.watchless.minion.gz,1,184,0.059392,0.039056,0.344086,184,0.344086,0.138616,0.137126,0.11828,184,0.064516,184,12.752688,0.096774,184,184,5,23,0,0,0,0.021505,0.021505,0,12.752688,0.148324,0,0,11,32,5,5
1-fullins-5-4.xml.watchless.minion.gz,1,263,0.04681,0.016686,0.336879,263,0.336879,0.081951,0.081661,0.070922,263,0.028369,263,23.028369,0.053191,263,263,4,27,0,0,0,0.007092,0.007092,0,23.028369,0.116619,0,0,20,95,4,4
1-fullins-5-5.xml.watchless.minion.gz,1,184,0.04681,0.016686,0.336879,184,0.336879,0.081951,0.081661,0.070922,184,0.028369,184,23.028369,0.053191,184,184,5,23,0,0,0,0.007092,0.007092,0,23.028369,0.148324,0,0,20,95,5,5
1-fullins-5-6.xml.watchless.minion.gz,1,169,0.04681,0.016686,0.336879,169,0.336879,0.081951,0.081661,0.070922,169,0.028369,169,23.028369,0.053191,169,169,6,20,0,0,0,0.007092,0.007092,0,23.028369,0.153623,0,0,20,95,6,6
1-insertions-4-3.xml.watchless.minion.gz,1,324,0.040141,0,0.328358,324,0.328358,0.10493,0.103364,0.089552,324,0.059701,324,6.925373,0.074627,324,324,3,35,0,0,0,0.029851,0.029851,0,6.925373,0.037417,0,0,6,22,3,3
1-insertions-4-4.xml.watchless.minion.gz,1,263,0.040141,0,0.328358,263,0.328358,0.10493,0.103364,0.089552,263,0.059701,263,6.925373,0.074627,263,263,4,27,0,0,0,0.029851,0.029851,0,6.925373,0.116619,0,0,6,22,4,4
1-insertions-5-4.xml.watchless.minion.gz,1,263,0.032959,0,0.331683,263,0.331683,0.06044,0.060141,0.049505,263,0.024752,263,12.148515,0.039604,263,263,4,27,0,0,0,0.009901,0.009901,0,12.148515,0.116619,0,0,10,67,4,4
