@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,324,0.068493,0.091828,0.366667,324,0.366667,0.229885
1-fullins-3-4.xml.watchless.minion.gz,1,263,0.068493,0.091828,0.366667,263,0.366667,0.229885
1-fullins-4-4.xml.watchless.minion.gz,1,263,0.059392,0.039056,0.344086,263,0.344086,0.138616
1-fullins-4-5.xml.watchless.minion.gz,1,184,0.059392,0.039056,0.344086,184,0.344086,0.138616
1-fullins-5-4.xml.watchless.minion.gz,1,263,0.04681,0.016686,0.336879,263,0.336879,0.081951
1-fullins-5-5.xml.watchless.minion.gz,1,184,0.04681,0.016686,0.336879,184,0.336879,0.081951
1-fullins-5-6.xml.watchless.minion.gz,1,169,0.04681,0.016686,0.336879,169,0.336879,0.081951
1-insertions-4-3.xml.watchless.minion.gz,1,324,0.040141,0,0.328358,324,0.328358,0.10493
1-insertions-4-4.xml.watchless.minion.gz,1,263,0.040141,0,0.328358,263,0.328358,0.10493
1-insertions-5-4.xml.watchless.minion.gz,1,263,0.032959,0,0.331683,263,0.331683,0.06044
1-insertions-5-5.xml.watchless.minion.gz,1,184,0.032959,0,0.331683,184,0.331683,0.06044
1-insertions-5-6.xml.watchless.minion.gz,1,169,0.032959,0,0.331683,169,0.331683,0.06044
1-insertions-6-4.xml.watchless.minion.gz,1,263,0.024126,0,0.332784,263,0.332784,0.034455
1-insertions-6-5.xml.watchless.minion.gz,1,184,0.024126,0,0.332784,184,0.332784,0.034455
1-insertions-6-6.xml.watchless.minion.gz,1,169,0.024126,0,0.332784,169,0.332784,0.034455
1-insertions-6-7.xml.watchless.minion.gz,1,154,0.024126,0,0.332784,154,0.332784,0.034455
2-fullins-3-4.xml.watchless.minion.gz,1,263,0.058075,0.063836,0.288462,263,0.288462,0.151584
2-fullins-3-5.xml.watchless.minion.gz,1,184,0.058075,0.063836,0.288462,184,0.288462,0.151584
2-fullins-4-4.xml.watchless.minion.gz,1,263,0.038637,0.021882,0.259434,263,0.259434,0.072476
2-fullins-4-5.xml.watchless.minion.gz,1,184,0.038637,0.021882,0.259434,184,0.259434,0.072476
2-fullins-4-6.xml.watchless.minion.gz,1,169,0.038637,0.021882,0.259434,169,0.259434,0.072476
2-fullins-5-4.xml.watchless.minion.gz,1,263,0.023979,0.007851,0.252347,263,0.252347,0.033656
2-fullins-5-5.xml.watchless.minion.gz,1,184,0.023979,0.007851,0.252347,184,0.252347,0.033656
2-fullins-5-6.xml.watchless.minion.gz,1,169,0.023979,0.007851,0.252347,169,0.252347,0.033656
2-fullins-5-7.xml.watchless.minion.gz,1,154,0.023979,0.007851,0.252347,154,0.252347,0.033656
2-insertions-3-3.xml.watchless.minion.gz,1,324,0.025743,0,0.243243,324,0.243243,0.108108
2-insertions-3-4.xml.watchless.minion.gz,1,263,0.025743,0,0.243243,263,0.243243,0.108108
2-insertions-4-3.xml.watchless.minion.gz,1,324,0.021708,0,0.248322,324,0.248322,0.049066
2-insertions-4-4.xml.watchless.minion.gz,1,263,0.021708,0,0.248322,263,0.248322,0.049066
2-insertions-4-5.xml.watchless.minion.gz,1,184,0.021708,0,0.248322,184,0.248322,0.049066
2-insertions-5-3.xml.watchless.minion.gz,1,324,0.014236,0,0.249581,324,0.249581,0.022124
2-insertions-5-4.xml.watchless.minion.gz,1,263,0.014236,0,0.249581,263,0.249581,0.022124
2-insertions-5-5.xml.watchless.minion.gz,1,184,0.014236,0,0.249581,184,0.249581,0.022124
2-insertions-5-6.xml.watchless.minion.gz,1,169,0.014236,0,0.249581,169,0.249581,0.022124
3-fullins-3-5.xml.watchless.minion.gz,1,184,0.049847,0.051742,0.2375,184,0.2375,0.109494
3-fullins-3-6.xml.watchless.minion.gz,1,169,0.049847,0.051742,0.2375,169,0.2375,0.109494
3-fullins-4-5.xml.watchless.minion.gz,1,184,0.026781,0.01485,0.207407,184,0.207407,0.043075
3-fullins-4-6.xml.watchless.minion.gz,1,169,0.026781,0.01485,0.207407,169,0.207407,0.043075
3-fullins-4-7.xml.watchless.minion.gz,1,154,0.026781,0.01485,0.207407,154,0.207407,0.043075
3-fullins-5-5.xml.watchless.minion.gz,1,184,0.013841,0.004678,0.201478,184,0.201478,0.016388
3-fullins-5-6.xml.watchless.minion.gz,1,169,0.013841,0.004678,0.201478,169,0.201478,0.016388
3-fullins-5-7.xml.watchless.minion.gz,1,154,0.013841,0.004678,0.201478,154,0.201478,0.016388
3-fullins-5-8.xml.watchless.minion.gz,1,136,0.013841,0.004678,0.201478,136,0.201478,0.016388
3-insertions-3-3.xml.watchless.minion.gz,1,324,0.01844,0,0.196429,324,0.196429,0.071429
3-insertions-3-4.xml.watchless.minion.gz,1,263,0.01844,0,0.196429,263,0.196429,0.071429
3-insertions-4-3.xml.watchless.minion.gz,1,324,0.013027,0,0.199288,324,0.199288,0.026589
3-insertions-4-4.xml.watchless.minion.gz,1,263,0.013027,0,0.199288,263,0.199288,0.026589
3-insertions-4-5.xml.watchless.minion.gz,1,184,0.013027,0,0.199288,184,0.199288,0.026589
3-insertions-5-3.xml.watchless.minion.gz,1,324,0.007218,0,0.199858,324,0.199858,0.009816
3-insertions-5-4.xml.watchless.minion.gz,1,263,0.007218,0,0.199858,263,0.199858,0.009816
3-insertions-5-5.xml.watchless.minion.gz,1,184,0.007218,0,0.199858,184,0.199858,0.009816
3-insertions-5-6.xml.watchless.minion.gz,1,169,0.007218,0,0.199858,169,0.199858,0.009816
4-fullins-3-6.xml.watchless.minion.gz,1,169,0.043477,0.044685,0.201754,169,0.201754,0.083993
4-fullins-3-7.xml.watchless.minion.gz,1,154,0.043477,0.044685,0.201754,154,0.201754,0.083993
4-fullins-4-6.xml.watchless.minion.gz,1,169,0.019555,0.011068,0.172464,169,0.172464,0.027976
4-fullins-4-7.xml.watchless.minion.gz,1,154,0.019555,0.011068,0.172464,154,0.172464,0.027976
4-fullins-4-8.xml.watchless.minion.gz,1,136,0.019555,0.011068,0.172464,136,0.172464,0.027976
4-fullins-5-5.xml.watchless.minion.gz,1,184,0.008725,0.003157,0.167631,184,0.167631,0.008997
4-fullins-5-6.xml.watchless.minion.gz,1,169,0.008725,0.003157,0.167631,169,0.167631,0.008997
4-fullins-5-7.xml.watchless.minion.gz,1,154,0.008725,0.003157,0.167631,154,0.167631,0.008997
4-fullins-5-8.xml.watchless.minion.gz,1,136,0.008725,0.003157,0.167631,136,0.167631,0.008997
4-insertions-3-3.xml.watchless.minion.gz,1,324,0.013793,0,0.164557,324,0.164557,0.050633
4-insertions-3-4.xml.watchless.minion.gz,1,263,0.013793,0,0.164557,263,0.164557,0.050633
4-insertions-4-3.xml.watchless.minion.gz,1,324,0.008453,0,0.166316,324,0.166316,0.015945
4-insertions-4-4.xml.watchless.minion.gz,1,263,0.008453,0,0.166316,263,0.166316,0.015945
4-insertions-4-5.xml.watchless.minion.gz,1,184,0.008453,0,0.166316,184,0.166316,0.015945
5-fullins-3-6.xml.watchless.minion.gz,1,169,0.038464,0.039801,0.175325,169,0.175325,0.067227
5-fullins-3-7.xml.watchless.minion.gz,1,154,0.038464,0.039801,0.175325,154,0.175325,0.067227
5-fullins-3-8.xml.watchless.minion.gz,1,136,0.038464,0.039801,0.175325,136,0.175325,0.067227
5-fullins-4-6.xml.watchless.minion.gz,1,169,0.014867,0.008712,0.147465,169,0.147465,0.019377
5-fullins-4-7.xml.watchless.minion.gz,1,154,0.014867,0.008712,0.147465,154,0.147465,0.019377
5-fullins-4-8.xml.watchless.minion.gz,1,136,0.014867,0.008712,0.147465,136,0.147465,0.019377
5-fullins-4-9.xml.watchless.minion.gz,1,96,0.014867,0.008712,0.147465,96,0.147465,0.019377
abb313GPIA-10.xml.watchless.minion.gz,1,104,0.012787,0.440231,0.096981,104,0.076429,0.044047
abb313GPIA-5.xml.watchless.minion.gz,1,184,0.012787,0.440231,0.096981,184,0.076429,0.044047
abb313GPIA-7.xml.watchless.minion.gz,1,154,0.012787,0.440231,0.096981,154,0.076429,0.044047
abb313GPIA-8.xml.watchless.minion.gz,1,136,0.012787,0.440231,0.096981,136,0.076429,0.044047
abb313GPIA-9.xml.watchless.minion.gz,1,96,0.012787,0.440231,0.096981,96,0.076429,0.044047
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.016204,0.300758,0.14,136,0.11,0.071919
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,260,0.013229,0.291397,0.11,128,0.09,0.071717
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,257,0.015951,0.292261,0.12,128,0.09,0.074141
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.01671,0.283001,0.13,128,0.11,0.073333
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,273,0.019079,0.256906,0.13,136,0.13,0.082828
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,273,0.019131,0.244708,0.15,136,0.13,0.078788
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,273,0.017025,0.262989,0.12,136,0.1,0.080404
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,266,0.018126,0.233664,0.14,136,0.12,0.08202
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.011307,0.256198,0.11,128,0.11,0.090505
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,260,0.011232,0.266276,0.12,136,0.12,0.093737
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.01253,0.240865,0.12,136,0.1,0.089899
aim-100-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,259,0.012048,0.266799,0.12,136,0.12,0.093131
aim-100-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,257,0.012347,0.203524,0.12,136,0.12,0.104444
aim-100-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,273,0.012571,0.210251,0.12,136,0.11,0.102424
aim-100-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,266,0.01227,0.213915,0.12,136,0.12,0.099798
aim-100-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,264,0.01183,0.208253,0.12,136,0.11,0.100808
aim-100-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,260,0.015989,0.223638,0.19,136,0.17,0.150909
aim-100-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.017263,0.22448,0.19,136,0.18,0.151515
aim-100-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.019551,0.229624,0.19,136,0.18,0.149091
aim-100-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,266,0.014177,0.224893,0.19,136,0.17,0.150505
aim-100-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.023496,0.276498,0.29,136,0.26,0.243838
aim-100-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.023874,0.275169,0.28,136,0.25,0.242222
aim-100-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.020602,0.270754,0.3,136,0.28,0.249091
aim-100-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.023043,0.271467,0.3,136,0.26,0.243434
