@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,1,0,1,0,2
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,2
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,1,0,1,0,2
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,2
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963
normalized-37s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,1,0,1,0,2
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,1,0,1,0,2
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,2
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,1,0,1,0,2.807355
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928
normalized-46s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,1,0,1,0,2
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,1,0,1,0,2
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.502513,0.497487,0.333333,0.666667,1
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1
normalized-25s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-44s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.556328,0.443672,0.333333,0.666667,1
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,1,0,1,0,2.807355
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.501253,0.498747,0.333333,0.666667,1
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.55788,0.44212,0.333333,0.666667,1
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,1,0,1,0,3
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.502513,0.497487,0.333333,0.666667,1
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,0.370714,0.629286,0.333333,0.666667,1
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.568182,0.431818,0.333333,0.666667,1
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-43s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-200-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.252845,0.747155,0.333333,0.666667,1
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,1,0,1,0,2.807355
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-3-fullins-4-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.501253,0.498747,0.333333,0.666667,1
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,0.370714,0.629286,0.333333,0.666667,1
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-army8-9ls.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-100-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1
normalized-5-fullins-4-7.xml.mzn_AND_NODATA,1,1,0,1,0,2.807355
normalized-army13-24bt.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-100-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.560224,0.439776,0.333333,0.666667,1
normalized-aim-200-3-4-3.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-anna-10.xml.mzn_AND_NODATA,1,1,0,1,0,3.321928
normalized-aim-200-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.501882,0.498118,0.333333,0.666667,1
normalized-army12-21bt.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-army10-14ls.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-army12-21ls.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-200-6-0-4.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-200-6-0-3.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-200-3-4-sat-4_ext.xml.mzn_AND_NODATA,1,0.371402,0.628598,0.333333,0.666667,1
normalized-army10-14bt.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-2-fullins-4-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928
normalized-aim-200-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1
normalized-aim-200-6-0-1.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-50-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1
