@RELATION 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gr_cv_clust_cg NUMERIC
@ATTRIBUTE s_indomain_min NUMERIC
@ATTRIBUTE s_other_var NUMERIC
@ATTRIBUTE s_int_search NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE gr_avg_clust_cg NUMERIC
@ATTRIBUTE gr_max_clust_cg NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE gr_ent_clust_cg NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE gc_cumulative NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE c_cv_dom_cons NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff3.dzn,1,1.386303,1,0,1,0,1,0.32715,1,8.754888,1.981107,4.372867,0.923018,0.022812,0,8.604235,0.836131
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff63.dzn,1,1.360257,1,0,1,0,1,0.324728,1,9.475733,1.913015,3.90288,0.926504,0.015858,0,9.354835,0.379997
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff61.dzn,1,1.360606,1,0,1,0,1,0.324635,1,9.475733,1.932083,3.903807,0.926504,0.015857,0,9.354826,0.402017
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/easy_01.dzn,1,0.699271,0,1,0,0.582043,0.417957,0.612807,1,5.857981,3.242353,1.444888,0.978071,0.956603,14,1.864841,2.445856
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_02.dzn,1,0.491469,0,1,0,0.502994,0.497006,0.732241,1,5.129283,3.273939,1.502487,0.860427,0.864639,9,1.935767,2.010703
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.2.dzn,1,1.581138,0,0,0,0.744318,0.255682,0.272425,0,1.035221,0.948206,0.593023,0.863121,0.002828,0,1.000229,1.123249
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.3.dzn,1,1.544786,0,0,0,0.736842,0.263158,0.280654,0,1.035221,1.09181,0.604364,0.875472,0.002875,0,1.000236,1.114662
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m06_15_15.dzn,1,1.316656,0,0,1,0,1,0.204988,1,8.806302,1.876049,1.659975,0.431226,0.033152,0,5.570396,0.740476
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_03.dzn,1,0.699271,0,1,0,0.582043,0.417957,0.612807,1,5.857981,3.242353,1.444888,0.978071,0.956603,14,1.864841,2.445856
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_5_20_1.dzn,1,0.692972,0,1,0,0.385757,0.614243,0.50823,1,6.210112,3.564783,2.287016,0.928643,0.524348,0,3.085834,1.433198
