@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC

@DATA
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_399.cnf,1,0.0124,0.9218,1,0.6249,3.5574,4.9846,0.0782,0,0.6552,4539,0.8411,4539,1,0.6491,4539,0.689
./SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0,0,0,0.0429,1.6542,1.318,0.0097,0.8047,0.6053,2729,0.0919,2729,0.2457,0.0445,2756,0.1459
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_389.cnf,1,0,0.9085,1,0.6343,2.9895,4.8805,0.0915,0,0.7026,314,0.8131,305,1,0.6431,321,0.6566
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,0.9439,0.9439,0.6,0.7761,2.7898,5.3062,0.9439,0.0185,0.7613,208,0.3544,104,0.9956,0.8116,227,0.8322
./SAT11/crafted/spence/sgen/sgen3-n200-s39840374-sat.cnf,1,0.8333,0.8333,0,0.5831,0,0,0.675,1.0005,0.6708,4481,0.3333,4481,0.4675,0.5831,4486,0.5832
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p30-s39712998.cnf,1,0.972,0.972,0.8947,0.8144,2.9852,4.7883,0.972,0.011,0.8729,316,0.5072,316,0.9984,0.8649,951,0.8904
./SAT11/crafted/skvortsov/battleship/battleship-15-15-unsat.cnf,1,0.875,0.875,1,0.7473,0,0,0.875,0,0.8259,4876,0.0345,4876,1,0.7474,4876,0.7476
./SAT11/crafted/skvortsov/battleship/battleship-10-10-unsat.cnf,1,0.8182,0.8182,1,0.672,0,0,0.8182,0,0.7824,4886,0.0526,4886,1,0.6721,4904,0.6722
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p30-s70617701.cnf,1,0.9668,0.9668,0.8667,0.7881,2.8638,4.6442,0.9668,0.0123,0.8406,403,0.4657,403,0.9979,0.8555,403,0.8792
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_404.cnf,1,0.003,0.9169,1,0.6291,3.3642,4.9607,0.0831,0,0.6994,4572,0.8273,4572,1,0.6446,4572,0.6842
./SAT03/handmade/stanion/hwb/hwb-n30-02-S77299857.shuffled-as.sat03-1633.cnf,1,0.0047,0.3768,0,0,0.4406,1.6672,0.3424,0.7888,0.4676,4150,0.6154,4150,0.4094,0.0003,4183,0.0029
./SAT11/crafted/spence/sgen/sgen3-n170-s56409011-unsat.cnf,1,0,1,0.3333,0,0.2209,0.2209,0.4888,0.5767,0.7878,3552,0.3333,3552,0.4888,0.0008,3934,0.0107
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_5-log.shuffled-as.sat03-111.cnf,1,0,0,0,0.0002,1.5326,2.0433,0.0105,0.8027,0.5127,1203,0.1204,1156,0.2473,0.0004,1258,0.0979
./SAT11/crafted/mosoi/289/289-unsat-6x40.cnf,1,0.0152,0.0152,1,0.425,0,0,0.7538,0,0.774,380,0.0051,325,1,0.425,438,0.4251
./SAT03/handmade/gomes/bqwh/bqwh.50.825.shuffled-as.sat03-1648.cnf,1,0.9443,0.947,0,0.1221,2.5469,2.5781,0.7188,1.0013,0.4517,56,0.8125,22,0.4905,0.7097,85,0.8099
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf,1,0,0.0262,0,0.007,1.4434,1.6996,0.231,0.7276,0.6533,0,0.0625,0,0.3737,0.0179,0,0.0704
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1,0.9523,0.9523,0.8,0.6041,2.6827,5.3448,0.9523,0.0142,0.7814,68,0.3231,53,0.9969,0.7211,159,0.8495
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p15-s99099953.cnf,1,0.9829,0.9829,0.9394,0.1076,3.3344,5.8426,0.9829,0.005,0.9186,25,0.6236,14,0.9994,0.9566,32,0.9924
./SAT11/crafted/skvortsov/automata-synchronization/crn_40_1520_u.cnf,1,0.0073,0.0332,0,0,0.4008,0.5885,0.2613,0.9871,0.0566,0,0.9024,0,0.2574,0.0001,0,0.0002
./SAT11/crafted/mosoi/289/289-unsat-7x39.cnf,1,0.013,0.013,1,0.4077,0,0,0.7532,0,0.7325,370,0.0044,337,1,0.408,401,0.408
./SAT11/crafted/mosoi/289/289-unsat-6x30.cnf,1,0.0203,0.0203,1,0.4568,0,0,0.7551,0,0.8507,284,0.0068,278,1,0.457,428,0.457
./SAT03/handmade/anton/UNSAT/SGI_30_60_20_50_3-dir.shuffled-as.sat03-114.cnf,1,0.9787,0.9787,0,0.8552,3.0492,4.206,0.7464,1.0111,0.9047,78,0.6349,78,0.4921,0.8796,453,0.9129
./SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,0.9511,0.9728,0,0.5791,2.4732,2.759,0.7281,1.0016,0.445,1380,0.9669,1380,0.4917,0.7011,4681,0.9512
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-14_186.cnf,1,0,0.8735,1,0.5364,2.8836,4.4077,0.1265,0,0.6767,4597,0.7358,4597,1,0.5519,4602,0.5767
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m37-q446.25-n35-p15-s25120921.cnf,1,0.9714,0.9714,0.8824,0.8144,3.2305,5.1389,0.9714,0.0101,0.8669,54,0.5246,54,0.9984,0.857,66,0.8879
./SAT11/crafted/skvortsov/battleship/battleship-11-11-unsat.cnf,1,0.8333,0.8333,1,0.6918,0,0,0.8333,0,0.7902,4916,0.0476,4916,1,0.6919,4917,0.6919
