@RELATION 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_max NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cluster_coeff_entropy NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC

@DATA
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0.3918,0,0.0097,0.4952,0,0.4946,0.0445,18.2995,0.1301,0.4947,0.4944,0.009,1.7953,0.0908,0.1593,1.0475,0.017,1.318,0.4949,0.0429,0,1.3505,0.8047,0.2457,2,18.2995,2,?,29282,0.6075,20.7031,0.0005,?,2.3439,0,0.4946,0.0004,0.6623,?,5.7878,?,?,?,?,?,0.1176,0.0632,1,0.0029,0.0029,?,0.0029,0.1176,85,29282,0,0.0588,0.0029,0.1017,1.6542,0.0919,0.0163,0.027,0.0569,0.0011,0,0.2366,0,0.0018,0.1176,0.7219,2729,?,7,11,0.9263,9,0.2182,8.9986,0.1604,6.6817,0.3917,0.0807,0.4941,0.8826,0.0897,0.1702,11,6,9,0.2199,8.9155,0.4944,0.1459,0,3357,2729,2783,3357,0.0675,2935.75,0,2,3028,3004,0.1729,0.1227,0.1732,20.5847,20.9786,21.4716,21.7036,21.7036,0.0545,85
SAT_Competition2009/CRAFTED/Hard/contest05/phnf/phnf-size10-exclusive-philo.used-as.sat04-988.sat05-4195.reshuffled-07.cnf,1,0.2671,0.0267,0.6494,0.5,0,0.0576,0.4958,0,0.0013,0.1626,0.007,0.6075,19.355,0.7927,0.9864,21.4704,0.8254,5.5801,0.2899,0,0.8587,1.2297,1.0218,0.467,6.6667,0,7,?,1711065,0.0246,0,1.1702,?,5.0412,0.7947,0.1056,0,0.8469,?,9705,?,?,?,?,?,0.0001,0.3403,1,0,0.0009,?,0.0192,0.0006,32046,1666604,0.1329,0.0001,0.0001,0,4.2458,0.9729,0,0.2007,0.825,0,0,0.8502,0.859,0.0007,0.0001,0.1027,0,?,13459,13459,0.9889,13459,0,13459,0,912,0,0,0,1.0214,0.0336,0.8574,0,0,6812.5,1.4142,6812.5,0.0001,0.9295,0.0707,0,0,0,0,0,0,0.6365,6,0,0,0.9988,0.8362,1,0,0,0,0,0,0,36304
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_8_all.cnf,1,0.2509,0,0.9093,0.099,0,0.0148,0.6262,25.887,0.0037,0.0334,0,0.8609,8.6144,0.7431,0.9738,6.6262,0.5166,2.5799,0.064,0.0146,0.6918,0.9606,0.4072,0.7822,5.7407,25.887,7,1.0454,37237,0.3204,29.0986,1.158,0.1971,2.2445,0.363,0.0216,0.0001,0.2488,0.5,66.1096,1.3036,3.497,0.0019,0.0405,0.0015,0.0015,0.6468,1,0.0002,0.0026,0.0001,0.0433,0.0155,1613,37237,0.0025,0.0012,0.0017,0.0002,2.1501,0.9375,0.069,0.3454,0.524,0.0013,0,0.4567,0.9214,0.0023,0.0015,0.693,1487,2.1655,668,718,0.9959,692,0.0294,693.085,0.1427,40.5581,0.141,0.001,0,0.9948,0.0474,5.4871,716,667,692,0.0551,690.391,0,0.9373,0.0995,3569,1487,1766,3569,0.2862,2527.1667,0.8497,5,3031,2885,0.9746,0.8375,0.9746,33.7158,34.2848,35.3312,45.3203,45.3203,0.1804,1617
SAT_Competition2009/CRAFTED/Difficult/contest05/QG/QG6-gensys-icl001.sat05-2695.reshuffled-07.cnf,1,0.2306,0.2206,0.1152,1,0,0.4995,0.5308,11.8763,0.6034,0.4999,0.4909,2.5476,0.8134,0.6647,0.7998,0.1889,0.4259,3.3497,0.5,0,0.0905,2.9418,0.8986,0.289,4.444,11.5542,6,?,8013,0.4289,13.8079,0.3429,?,1.3243,1.5263,0.4485,0,1.2332,?,16.041,?,?,?,?,?,0.006,0.5352,1,0.0002,0.1796,?,0.2232,0.0109,1465,6565,0.0833,0.0014,0.0067,0.0002,2.8671,1,0,0.2063,4.1837,0.0003,0,2.4873,0.0989,0.012,0.006,0.8048,177,?,61,77,0.9138,69,0.0967,69.1405,0.2113,9.6772,0.4166,0.0253,0.0502,0.9464,0.0258,0.1764,78,60,69,0.1032,69.142,0.1345,0.748,0.113,2394,249,581,3067,0.5876,1294.5,0.7028,4,1740,1356,0.8331,0.6986,1,18.5832,19.5186,21.7327,25.5443,26.4552,0.2526,1587
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0.0212,0.0118,0.7118,0.0001,0,0,0.8685,57.779,0.0058,0,0,0.1369,39.6578,0.8879,0.9115,40.4693,1.9114,4.5707,0,0.8382,0.9756,0.8223,1.0161,0.4897,2,57.499,2,?,66810,0.8724,59.4153,3.1726,?,4.6273,0,0,0.0007,0.1637,?,11.7438,?,?,?,?,?,0.0037,0.3938,1,0.0114,0.0114,?,0.0114,0.0769,754,66030,0.0345,0.0027,0.0114,0.0021,3.1332,0.5629,0.1948,0.0811,0.199,0.0019,0,0.4367,0.9756,0.0044,0.0037,0.9528,111,?,336,370,1.4306,353,0.076,351.564,13.627,69.6888,0.1933,4.6774,0,0.9998,0.0004,0.3563,373,335,355,0.0815,353.389,0,0.8994,0,723,347,400,2179,0.7694,581.8667,0,2,539,493,0.9197,0.8977,0.9397,64.1928,62.8876,67.8378,72.0557,82.4975,0.1006,780
SAT_Competition2007/crafted/spence/medium/s93-100.cnf,1,1.4096,0,0.5,0.3227,1,0.3197,0.0016,15.0611,0.0459,0.3207,0.3145,0,0.9011,0.0047,0.0598,0.552,0,0.3413,0.3213,0.0001,0,0,0,1,5.3913,15.0611,6,0.0861,196,0.8308,15.5123,0.0544,0.1929,0.2095,0.0507,0.3124,0.0153,0.3795,0.2,1.0687,0.1142,0.428,0.1538,0.0612,0.0483,0.0323,0.0358,1,0.0306,0.0357,0.0459,0.4745,0.0323,93,196,0,0.0323,0.0312,0.0306,0.3413,0.3333,0,0.1033,0.147,0.0161,0,0.214,1,0.0306,0.0323,0.9576,3750,0.428,11,17,0.8643,14,0.186,13.8268,0.4991,2.4925,0.3194,0.0957,0.2636,0.8052,0.0864,0.2524,17,10,14,0.1867,13.7887,0.2651,0.0136,0.0905,4495,3750,4040,4495,0.0499,4130.5556,0.6693,5,4179,4121,0.2032,0.0443,0.2149,15.8894,15.6226,15.924,17.1695,17.1695,0.0449,93
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g4.cnf,1,0.0195,0.0201,0.9349,0,0.8,0,0.7887,44.1493,0.0057,0,0,0.2605,27.0562,0.7982,0.8206,32.0406,1.4631,4.8,0,0.7637,0.9349,0.2431,0.0236,0.9939,3.0022,43.7621,4,?,61409,0.7651,50.6621,8.7813,?,4.3346,0.2047,0,0.0011,0.0926,?,27.3511,?,?,?,?,?,0.0036,0.1933,1,0.0019,0.0071,?,0.015,0.0433,900,60200,0.05,0.0022,0.0041,0.002,2.9075,0.3475,0.083,0.0451,0.1759,0.0021,0,0.1696,0.9349,0.0033,0.0036,0.9258,179,?,392,429,0.9987,411,0.0689,409.176,0.3059,14.8986,0.1245,0.0006,0,0.9996,0.0003,0.1784,428,391,409,0.036,409.26,0,0.8088,0.0157,1499,288,433,1779,0.5948,758.0769,0.0158,3,915,688,0.8289,0.8092,0.8632,55.859,58.1453,60.5159,63.5664,72.5273,0.1457,945
SAT_Competition2009/CRAFTED/edgematching/compact/em_9_3_5_cmp.cnf,1,0.331,0,0.6497,0.3668,0,0.028,0.3654,18.8218,0.0056,0.2564,0.0206,1.0494,1.3762,0.5653,0.9675,0.1621,0.7612,2.64,0.3099,0.0004,0.1147,1.1159,0.4991,0.3999,5.7877,18.4355,7,?,39932,0.0738,19.3202,1.1336,?,2.6832,0.275,0.1115,0,1.11,?,130.764,?,?,?,?,?,0.0009,0.5862,1,0.0002,0.0028,?,0.0965,0.0127,3853,39932,0.001,0.0005,0.0023,0.0001,2.3734,0.871,0.2,0.2274,1.5123,0.0005,0,1.5038,0.7659,0.0029,0.0009,0.2928,250,?,493,593,0.7583,523,0.0773,533.516,0.5236,23.8952,0.1661,0.0137,0.0001,0.7794,0.0667,1.9386,594,502,526,0.0735,537.167,0.0021,0.7919,0.082,456,285,313,519,0.1701,354.9744,0.6754,5,390,345,0.97,0.7466,0.9733,23.5709,22.3709,26.0561,29.9693,41.76,0.2041,3857
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf,1,0.0202,0.013,0.7267,0,0,0,0.8555,58.1329,0.0059,0,0,0.187,34.3686,0.8659,0.8934,33.731,1.9953,4.8125,0,0.8333,0.9642,0.8872,1.0167,0.4874,2,56.5472,2,?,69990,0.7793,59.7424,3.2712,?,4.6377,0,0,0.0005,0.2029,?,12.2429,?,?,?,?,?,0.0036,0.2393,1,0.0126,0.0126,?,0.0126,0.0667,870,69090,0.0345,0.0023,0.0126,0.0021,3.096,0.4048,0.123,0.0614,0.1973,0.0017,0,0.4081,0.9642,0.0039,0.0036,0.9276,86,?,387,428,1.0024,407,0.0786,405.995,11.2054,38.0995,0.136,0.0432,0,0.9997,0.0002,0.2016,430,391,411,0.0356,410.599,0,0.8801,0,1229,412,423,3630,1.0864,847.6364,0,2,822,519,0.9015,0.8797,0.9292,70.4394,69.6165,78.3837,87.4131,89.4784,0.1494,900
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.4123,0.2192,0.0646,0.1319,0.3333,0.011,0.2068,21.5996,0.0258,0.0222,0.0043,0.8565,4.0415,0.4881,0.9033,2.024,0.4074,4.6596,0.0451,0.0016,0,0.7312,0.3529,0.8204,3,21.5996,3,?,12647,0.3481,22.1514,1.2079,?,3.1969,0.1936,0.018,0.0002,0.3961,?,14.0495,?,?,?,?,?,0.0097,0.5681,1,0.0077,0.0193,?,0.0405,0.0286,420,10373,0.2524,0.0071,0.0132,0.0038,3.8317,0.954,0,0.3643,0.4576,0.0011,0,0.8917,0.6785,0.0055,0.0097,0.5562,3790,?,111,135,0.971,123,0.0785,122.94,1.419,16.8391,0.2226,0.0273,0.0001,0.9689,0.0091,0.2744,134,111,123,0.0785,122.903,0.0016,0.8077,0,4236,3790,4115,4236,0.0356,4132,0,3,4230,4214,0.9387,0.6752,0.9902,22.5252,22.6655,22.9459,23.0673,23.0673,0.0217,526
