@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,1,1,6.074257,0.164629,0,0.392949,12.148515,4,4,2,808,0,0,12.148515,0,4
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,1,1,11.514184,0.086849,0,0.271714,23.028369,5,4.643856,2.321928,1410,0,0,23.028369,0,4.643856
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,1,1,4.325,0.231214,0,0.688786,8.65,5,4.643856,2.321928,400,0,0,8.65,0,4.643856
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,1,1,3.462687,0.288793,0,0.638606,6.925373,4,4,2,268,0,0,6.925373,0,4
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,1,1,1.964286,0.509091,0,0.790584,3.928571,3,3.169925,1.584963,168,0,0,3.928571,0,3.169925
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,1,1,6.592965,0.151677,0,0.357065,13.18593,4,4,2,2388,0,0,13.18593,0,4
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,1,1,3.72242,0.268642,0,0.585998,7.44484,4,4,2,1124,0,0,7.44484,0,4
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,1,1,6.592965,0.151677,0,0.267799,13.18593,3,3.169925,1.584963,1791,0,0,13.18593,0,3.169925
normalized-37s-smv.xml.mzn_AND_NODATA,1,1,1,2.535294,0.394432,0,0.380231,6.746218,1.942857,2.649652,0.996886,2312,0,0.119471,6.378151,1.109068,11
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,1,1,10.439868,0.095787,0,0.31051,20.879736,5,4.643856,2.321928,3035,0,0,20.879736,0,4.643856
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,1,1,10.439868,0.095787,0,0.248408,20.879736,4,4,2,2428,0,0,20.879736,0,4
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,1,1,14.320423,0.06983,0,0.181949,28.640845,4,4,2,3408,0,0,28.640845,0,4
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,1,1,8.701235,0.114926,0,0.362095,17.402469,5,4.643856,2.321928,2025,0,0,17.402469,0,4.643856
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,1,1,10.439868,0.095787,0,0.372612,20.879736,6,5.169925,2.584963,3642,0,0,20.879736,0,5.169925
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,1,1,3.778947,0.264624,0,0.572503,7.557895,4,4,2,1900,0,0,7.557895,0,4
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,1,1,5.142857,0.194444,0,0.756897,10.285714,6,5.169925,2.584963,924,0,0,10.285714,0,5.169925
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,1,1,5.142857,0.194444,0,0.883046,10.285714,7,5.61471,2.807355,1078,0,0,10.285714,0,5.61471
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,1,1,6.074257,0.164629,0,0.491187,12.148515,5,4.643856,2.321928,1010,0,0,12.148515,0,4.643856
normalized-46s-smv.xml.mzn_AND_NODATA,1,1,1,1.723945,0.580065,0,0.378053,6.377792,1.801489,3.649874,0.985662,2904,0,0.221416,10.408189,1.350737,13
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,1,1,3.72242,0.268642,0,0.439498,7.44484,3,3.169925,1.584963,843,0,0,7.44484,0,3.169925
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,1,1,3.865385,0.258706,0,0.590743,7.730769,4,4,2,208,0,0,7.730769,0,4
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.604333,3.4,2,2.615385,1,400,0,0,5.62,0.961237,3
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736667,2.933333,2,2.444444,1,600,0.444444,0,4.46,0.991076,3
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,1,1,9.637681,0.103759,0,0.406858,19.275362,6,5.169925,2.584963,4140,0,0,19.275362,0,5.169925
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,1,1,14.320423,0.06983,0,0.272923,28.640845,6,5.169925,2.584963,5112,0,0,28.640845,0,5.169925
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,1,1,6.895448,0.145023,0,0.335645,13.790896,4,4,2,5624,0,0,13.790896,0,4
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,1,1,6.895448,0.145023,0,0.419556,13.790896,5,4.643856,2.321928,7030,0,0,13.790896,0,4.643856
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.5,4,2,2.666667,1,400,0,0,6.71,0.918296,3
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.737286,2.93,2,2.441667,1,600,0.444444,0,4.386667,0.990159,3
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667,0.667222,3.33,2,2.4975,1,600,0.5,0,5.133333,0.999982,3
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.502513,0.333333,1.326667,0.753769,0.666667,0.670556,3.31,2,2.494975,1,600,0.497487,0,5.106667,0.999927,3
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,1,1,3.778947,0.264624,0,0.429377,7.557895,3,3.169925,1.584963,1425,0,0,7.557895,0,3.169925
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.500833,3.995,2,2.663333,1,400,0,0,6.7,0.921593,3
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.737444,2.926667,2,2.438889,1,600,0.444444,0,4.453333,0.989197,3
normalized-25s-smv.xml.mzn_AND_NODATA,1,1,1,1.868099,0.535303,0,0.396665,7.048107,1.787658,3.716095,0.982142,9067,0,0.228772,12.044558,1.29745,15
normalized-44s-smv.xml.mzn_AND_NODATA,1,1,1,1.278788,0.781991,0,0.405183,5.705051,1.761616,4.35861,0.971442,872,0,0.241877,11.357576,1.455197,13
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0,0.329631,6.085,2,2.765909,1,400,0,0,10.2,0.785075,3
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736222,2.933333,2,2.444444,1,600,0.444444,0,4.413333,0.991076,3
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.739222,2.926667,2,2.438889,1,600,0.444444,0,4.373333,0.989197,3
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.500833,3.995,2,2.663333,1,400,0,0,6.7,0.921593,3
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.60525,3.3975,2,2.613462,1,800,0,0,5.665,0.962529,3
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.604917,3.3975,2,2.613462,1,800,0,0,5.595,0.962529,3
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,1,1,4.745614,0.210721,0,0.786161,9.491228,6,5.169925,2.584963,684,0,0,9.491228,0,5.169925
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.556328,0.333333,1.198333,0.834492,0.666667,0.737722,2.926667,2,2.442281,1,1200,0.443672,0,4.39,0.990366,3
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,1,1,6.895448,0.145023,0,0.251734,13.790896,3,3.169925,1.584963,4218,0,0,13.790896,0,3.169925
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,1,1,6.592965,0.151677,0,0.446332,13.18593,5,4.643856,2.321928,2985,0,0,13.18593,0,4.643856
