@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC
@ATTRIBUTE NEG_HORN NUMERIC
@ATTRIBUTE FORALL_VARS NUMERIC
@ATTRIBUTE LITEN_LITN NUMERIC
@ATTRIBUTE BINARY_CLAUSES NUMERIC

@DATA
adder-10-sat-shuffled,1,1.053282,592.5,0.282784,0.779554,3.154891,1630,0.010986,1840,1185,5.249382,0.104494,0.854035,40,655,0.835103,20
adder-10-unsat-shuffled,1,0.377808,761.5,0.170238,0.854527,3.134015,1630,0.001096,1858,1523,10.284932,0.072991,0.913469,4,335,0.967578,1
adder-12-sat-shuffled,1,1.053268,861,0.264487,0.790835,3.16967,2364,0.009067,2664,1722,5.643748,0.097549,0.863319,48,942,0.846019,24
adder-12-unsat-shuffled,1,0.377757,1100,0.152968,0.867327,3.151899,2364,0.000754,2686,2200,11.347597,0.065635,0.922242,4,486,0.970946,1
adder-14-sat-shuffled,1,1.053205,1179.5,0.248711,0.800826,3.179945,3234,0.007719,3640,2359,6.029359,0.091632,0.871339,56,1281,0.855372,28
adder-14-unsat-shuffled,1,0.377683,1500.5,0.138979,0.877979,3.164484,3234,0.00055,3666,3001,12.400936,0.059669,0.929346,4,665,0.973656,1
adder-16-unsat-shuffled,1,0.377608,1963,0.127387,0.887007,3.173822,4240,0.000419,4798,3926,13.448475,0.05472,0.935232,4,872,0.975891,1
Adder2-10-s-shuffled,1,0.217819,2474.666667,0.79594,0.556811,1.313716,7829,0.726821,7969,7424,2.008692,0.413789,0.566732,7024,545,0.83996,5368
Adder2-4-s-shuffled,1,0.214947,361.666667,0.796548,0.556623,1.300598,1139,0.72669,1171,1085,2.014947,0.415911,0.566194,1021,86,0.84205,778
Adder2-6-c-shuffled,1,0.144914,651.5,0.797047,0.556468,1.308137,2695,0.726373,2765,2606,2.156916,0.411294,0.566171,2421,159,0.893565,1842
Adder2-6-s-shuffled,1,0.216597,856.666667,0.79617,0.55674,1.308137,2705,0.726783,2765,2570,2.011384,0.414678,0.566513,2426,195,0.840854,1852
adder-4-sat-shuffled,1,1.049057,87,0.370044,0.729904,3,244,0.030189,280,174,3.883019,0.14083,0.809953,16,106,0.781498,8
adder-6-sat-shuffled,1,1.052423,205.5,0.331842,0.75084,3.091049,570,0.019063,648,411,4.399523,0.123948,0.829222,24,237,0.805335,12
adder-8-sat-shuffled,1,1.053136,374,0.30458,0.766531,3.131849,1032,0.013937,1168,748,4.839721,0.112944,0.842999,32,420,0.821982,16
adder-8-unsat-shuffled,1,0.377768,485,0.192241,0.838756,3.106599,1032,0.001737,1182,970,9.205818,0.08235,0.902284,4,212,0.963248,1
aim-100-1_6-yes1-3-50-shuffled,1,0.306905,177,0.681185,0.594819,1.722467,700,0.530691,454,354,1.792839,0.304989,0.642786,415,100,0.749129,621
aim-100-1_6-yes1-3-90-shuffled,1,0.360902,138,0.670363,0.598672,1.768617,583,0.506767,376,276,1.756391,0.298424,0.642775,337,100,0.748992,504
aim-100-2_0-yes1-2-50-shuffled,1,0.317073,198,0.679395,0.595453,1.90121,843,0.52492,496,396,1.78579,0.293681,0.642534,495,100,0.74928,744
aim-100-2_0-yes1-2-90-shuffled,1,0.359375,161,0.670968,0.598456,1.971564,732,0.50601,422,322,1.757212,0.288118,0.642495,421,100,0.749194,633
aim-100-3_4-yes1-1-90-shuffled,1,0.367626,230,0.668912,0.599193,2.482143,1219,0.504317,560,460,1.753957,0.264192,0.642523,701,100,0.750241,1050
aim-100-6_0-yes1-1-90-shuffled,1,0.369092,362,0.667948,0.599539,2.951456,2142,0.498561,824,724,1.752158,0.246211,0.642796,1213,100,0.749519,1836
aim-100-6_0-yes1-3-90-shuffled,1,0.370066,361,0.668132,0.599473,2.958637,2134,0.501645,822,722,1.752467,0.246033,0.642655,1220,100,0.75,1833
aim-100-6_0-yes1-4-90-shuffled,1,0.369852,361,0.668043,0.599505,2.952555,2135,0.500412,822,722,1.751236,0.246112,0.6427,1215,100,0.749518,1833
