@RELATION 'featureValues_ASP_Potassco-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Running_Avg_LBD-4 NUMERIC
@ATTRIBUTE Learnt_from_Loop-1 NUMERIC
@ATTRIBUTE Frac_Learnt_from_Loop-1 NUMERIC
@ATTRIBUTE Literals_in_Conflict_Nogoods-1 NUMERIC
@ATTRIBUTE Literals_in_Loop_Nogoods-1 NUMERIC

@DATA
FolioSuite/ASP-Comp-2007-Lparse/SLparse/15-PuzzleCompetition/15-puzzle.init6.gz,1,2.81,0,0,619,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721326970.dat.data.gz,1,7.73,0,0,911,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721310106.dat.data.gz,1,8.16,0,0,917,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721283013.dat.data.gz,1,7.77,0,0,802,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721351180.dat.data.gz,1,8.23,0,0,953,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/104_rand_45_250_1727044175_0.gph.gz,1,23.23,0,0,579,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700139777_0.gph.gz,1,16.7,0,0,509,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700137086_0.gph.gz,1,20.45,0,0,453,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/104_rand_45_250_1727042043_0.gph.gz,1,5.94,0,0,32,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700165461_0.gph.gz,1,21.3,0,0,430,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/CarSequencing/benchmark1_15classes.dlv.dat.lp.gz,1,11.23,0,0,787,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/CarSequencing/001.benchmark1_17classes.dlv.dat.lp.gz,1,12.33,0,0,819,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/Factoring/fact.grnd.sat.24.gz,1,7.06,0,0,2090,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianCycle/rand_200_1800_1154991214_9.gph.gz,1,82.85,0,0,9142,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianCycle/rand_100_800_1155012316_11.gph.gz,1,?,?,?,?,?
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianCycle/rand_150_1200_1154711577_4.gph.gz,1,52.61,0,0,7616,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/gryzzles.48.gz,1,4.16,0,0,232,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/gryzzles.30.gz,1,5.16,0,0,246,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/gryzzles.41.gz,1,3.88,0,0,287,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/hampath.ngrnd.6.gz,1,20.3,0,0,1853,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/gryzzles.15.gz,1,3.93,0,0,189,0
