@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0,0.229885,30,30,30,0.066667,0.066667,100,0.166667,6.666667,0.222222,0.091828,0.2,0.366667,324,0.364781
1-fullins-3-4.xml.watchless.minion.gz,1,0,0.229885,30,30,30,0.066667,0.066667,100,0.166667,6.666667,0.222222,0.091828,0.2,0.366667,263,0.364781
1-fullins-4-4.xml.watchless.minion.gz,1,0,0.138616,93,93,93,0.021505,0.021505,593,0.096774,12.752688,0.137126,0.039056,0.11828,0.344086,263,0.236605
1-fullins-4-5.xml.watchless.minion.gz,1,0,0.138616,93,93,93,0.021505,0.021505,593,0.096774,12.752688,0.137126,0.039056,0.11828,0.344086,184,0.236605
1-fullins-5-4.xml.watchless.minion.gz,1,0,0.081951,282,282,282,0.007092,0.007092,3247,0.053191,23.028369,0.081661,0.016686,0.070922,0.336879,263,0.147531
1-fullins-5-5.xml.watchless.minion.gz,1,0,0.081951,282,282,282,0.007092,0.007092,3247,0.053191,23.028369,0.081661,0.016686,0.070922,0.336879,184,0.147531
1-fullins-5-6.xml.watchless.minion.gz,1,0,0.081951,282,282,282,0.007092,0.007092,3247,0.053191,23.028369,0.081661,0.016686,0.070922,0.336879,169,0.147531
1-insertions-4-3.xml.watchless.minion.gz,1,0,0.10493,67,67,67,0.029851,0.029851,232,0.074627,6.925373,0.103364,0,0.089552,0.328358,324,0.352067
1-insertions-4-4.xml.watchless.minion.gz,1,0,0.10493,67,67,67,0.029851,0.029851,232,0.074627,6.925373,0.103364,0,0.089552,0.328358,263,0.352067
1-insertions-5-4.xml.watchless.minion.gz,1,0,0.06044,202,202,202,0.009901,0.009901,1227,0.039604,12.148515,0.060141,0,0.049505,0.331683,263,0.243809
1-insertions-5-5.xml.watchless.minion.gz,1,0,0.06044,202,202,202,0.009901,0.009901,1227,0.039604,12.148515,0.060141,0,0.049505,0.331683,184,0.243809
1-insertions-5-6.xml.watchless.minion.gz,1,0,0.06044,202,202,202,0.009901,0.009901,1227,0.039604,12.148515,0.060141,0,0.049505,0.331683,169,0.243809
1-insertions-6-4.xml.watchless.minion.gz,1,0,0.034455,607,607,607,0.003295,0.003295,6337,0.023064,20.879736,0.034398,0,0.029654,0.332784,263,0.159787
1-insertions-6-5.xml.watchless.minion.gz,1,0,0.034455,607,607,607,0.003295,0.003295,6337,0.023064,20.879736,0.034398,0,0.029654,0.332784,184,0.159787
1-insertions-6-6.xml.watchless.minion.gz,1,0,0.034455,607,607,607,0.003295,0.003295,6337,0.023064,20.879736,0.034398,0,0.029654,0.332784,169,0.159787
1-insertions-6-7.xml.watchless.minion.gz,1,0,0.034455,607,607,607,0.003295,0.003295,6337,0.023064,20.879736,0.034398,0,0.029654,0.332784,154,0.159787
2-fullins-3-4.xml.watchless.minion.gz,1,0,0.151584,52,52,52,0.038462,0.038462,201,0.096154,7.730769,0.148669,0.063836,0.134615,0.288462,263,0.331856
2-fullins-3-5.xml.watchless.minion.gz,1,0,0.151584,52,52,52,0.038462,0.038462,201,0.096154,7.730769,0.148669,0.063836,0.134615,0.288462,184,0.331856
2-fullins-4-4.xml.watchless.minion.gz,1,0,0.072476,212,212,212,0.009434,0.009434,1621,0.04717,15.292453,0.072134,0.021882,0.061321,0.259434,263,0.205428
