@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_perten_avg_predshape NUMERIC
@ATTRIBUTE csp_perten_avg_predsize NUMERIC
@ATTRIBUTE csp_sqrt_max_domsize NUMERIC
@ATTRIBUTE csp_sqrt_avg_domsize NUMERIC
@ATTRIBUTE csp_percent_dec_predicate NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE directorder_reducedVars NUMERIC
@ATTRIBUTE directorder_BINARY+ NUMERIC
@ATTRIBUTE directorder_horn-clauses-fraction NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE directorder_TRINARY+ NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE csp_perten_avg_predarity NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE csp_dyn_log_propags NUMERIC
@ATTRIBUTE csp_log_values NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE directorder_reducedClauses NUMERIC
@ATTRIBUTE support_TRINARY+ NUMERIC
@ATTRIBUTE directorder_VG-mean NUMERIC
@ATTRIBUTE csp_percent_min_continuity NUMERIC
@ATTRIBUTE support_HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE directorder_vars-clauses-ratio NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE csp_percent_avg_continuity NUMERIC
@ATTRIBUTE support_HORNY-VAR-entropy NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,?,?,?,?,0.660065,3.651416,0.479653,0.825556,0.816869,0.976668,0.293021,0.777778,0.20904,?,0.944361,?,?,0.006536,0.567514,0.324843,1.656538,0.979207,0.001901,?,0.673224,0.24905,0.801513,0.751209,0.292424,?,2.476587
bool/routing/s3-3-3-3.xml,1,?,?,?,?,?,0.651508,3.484095,0.483508,0.835832,0.76434,0.987506,0.297583,0.789474,0.206463,?,0.930218,?,?,0.006461,0.579817,0.328985,1.598451,0.989001,0.00177,?,0.69182,0.251374,0.752187,0.754216,0.29602,?,2.455032
bool/routing/s3-3-3-1.xml,1,?,?,?,?,?,0.656667,3.620413,0.481471,0.827353,0.769644,0.987059,0.282691,0.764706,0.203573,?,0.924554,?,?,0.006307,0.573834,0.32901,1.703235,0.988341,0.001983,?,0.652395,0.256471,0.760522,0.750221,0.282438,?,2.414206
bool/routing/s4-4-3-10.xml,1,43.196203,46.186709,1.414214,1.414214,52.294304,0.661915,3.042629,0.462559,0.844235,0.767897,0.98773,0.321339,0.846154,0.213428,29.825949,0.914008,22.250256,14.238703,0.001992,0.559734,0.336567,1.222393,0.989765,0.000371,100,0.949205,0.226453,0.752484,0.766356,0.317192,100,2.589215
bool/routing/s4-4-3-7.xml,1,43.093596,46.187192,1.414214,1.414214,52.413793,0.662032,3.076241,0.449685,0.83071,0.745359,0.990874,0.29908,0.826087,0.207762,29.832512,0.905148,22.330623,13.919794,0.002153,0.56079,0.333778,1.325718,0.992154,0.000455,100,0.842843,0.241808,0.740949,0.758938,0.297968,100,2.453363
bool/routing/s4-4-3-6.xml,1,42.929936,46.072187,1.414214,1.414214,52.866242,0.659588,3.142299,0.443348,0.826689,0.748011,0.990547,0.295157,0.826087,0.206536,29.766454,0.906368,22.338246,13.811776,0.002372,0.562843,0.331598,1.380052,0.991833,0.0005,100,0.814901,0.245513,0.74537,0.755553,0.294703,100,2.459983
bool/routing/s4-4-3-3.xml,1,43.172979,45.957011,1.414214,1.414214,52.09826,0.663327,3.177639,0.447443,0.827035,0.776151,0.985395,0.299404,0.833333,0.209201,29.662231,0.916379,22.453396,13.854284,0.002312,0.558025,0.3309,1.36466,0.987416,0.000488,100,0.829021,0.240749,0.768292,0.757162,0.298627,100,2.495726
bool/routing/s3-3-3-2.xml,1,?,?,?,?,?,0.646067,3.416667,0.481201,0.841616,0.765146,0.9879,0.307091,0.809524,0.209304,?,0.933322,?,?,0.006579,0.584632,0.329536,1.532627,0.989517,0.001602,?,0.738036,0.246327,0.751018,0.755148,0.3046,?,2.549873
bool/routing/s4-4-3-2.xml,1,43.002049,45.932377,1.414214,1.414214,52.663934,0.662973,3.211032,0.448351,0.827309,0.777142,0.985224,0.300169,0.833333,0.209541,29.661885,0.916689,22.390748,13.857592,0.002333,0.558339,0.330922,1.379749,0.987276,0.000493,100,0.829477,0.240369,0.768839,0.757404,0.299301,100,2.506381
bool/routing/s4-4-3-8.xml,1,44.355828,51.779141,1.414214,1.414214,51.226994,0.669053,3.45073,0.436277,0.806444,0.753923,0.989021,0.262862,0.764706,0.19902,32.392638,0.897477,22.166801,13.228819,0.002509,0.552982,0.328171,1.637232,0.990043,0.000766,100,0.642607,0.261575,0.755399,0.746465,0.264899,100,2.270791
