@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE d_bool_vars NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE d_int_cons NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE c_cv_dom_cons NUMERIC
@ATTRIBUTE d_array_cons NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE v_def_vars NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE c_logprod_deg_cons NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,1,1,6.074257,0.164629,0,0.392949,12.148515,4,4,2,808,0,0,12.148515,0,4,0,2.997733,0,0,0,1227,2,79.37575,0.799295,0,0,0,0,2.997733,2,1227
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,1,1,11.514184,0.086849,0,0.271714,23.028369,5,4.643856,2.321928,1410,0,0,23.028369,0,4.643856,0,5.028743,0,0,0,3247,2.321928,76.623423,0.382381,0,0,0,0,5.028743,2,3247
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,1,1,4.325,0.231214,0,0.688786,8.65,5,4.643856,2.321928,400,0,0,8.65,0,4.643856,0,2.712249,0,0,0,346,2.321928,55.102877,0.896038,0,0,0,0,2.712249,2,346
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,1,1,3.462687,0.288793,0,0.638606,6.925373,4,4,2,268,0,0,6.925373,0,4,0,2.049091,0,0,0,232,2,42.78658,0.263777,0,0,0,0,2.049091,2,232
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,1,1,1.964286,0.509091,0,0.790584,3.928571,3,3.169925,1.584963,168,0,0,3.928571,0,3.169925,0,0.83827,0,0,-1,110,1.584963,44.272727,0.129234,-1,0,0,0,0.83827,2,110
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,1,1,6.592965,0.151677,0,0.357065,13.18593,4,4,2,2388,0,0,13.18593,0,4,0,2.650763,0,0,0,3936,2,213.168058,0.611723,0,0,0,0,2.650763,2,3936
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,1,1,3.72242,0.268642,0,0.585998,7.44484,4,4,2,1124,0,0,7.44484,0,4,0,1.588719,0,0,0,1046,2,164.665368,0.148968,0,0,0,0,1.588719,2,1046
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,1,1,6.592965,0.151677,0,0.267799,13.18593,3,3.169925,1.584963,1791,0,0,13.18593,0,3.169925,0,2.650763,0,0,-1,3936,1.584963,159.876043,0.328641,-1,0,0,0,2.650763,2,3936
normalized-37s-smv.xml.mzn_AND_NODATA,1,1,1,2.535294,0.394432,0,0.380231,6.746218,1.942857,2.649652,0.996886,2312,0,0.119471,6.378151,1.109068,11,0,2.449867,0.315997,0,0.031238,3017,1,452.475211,1.031375,0.659001,0,0,0,2.489038,2.660921,3846.78752
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,1,1,10.439868,0.095787,0,0.31051,20.879736,5,4.643856,2.321928,3035,0,0,20.879736,0,4.643856,0,3.833265,0,0,0.000001,6337,2.321928,188.479618,0.613743,0.000001,0,0,0,3.833265,2,6337
