@RELATION 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC

@DATA
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.180-SAT.cnf,1,93.0417,0,0.6925,0.0005,?,?,0.0001,0.276,1.6658,0.0004,0,2.1752,0,0.9608,?,0.9938
./SAT07/industrial/jarvisalo/eq.atree.braun.12.unsat.cnf,1,0.8086,0.001,0.5956,0.0072,0.4014,0.0034,0.0019,0.9708,1.9744,0.005,0.0011,0.5948,0.0004,0.5004,0.001,0.5
./SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,5.9227,0,0.9599,0.0007,?,?,0.0002,0.4539,2.6061,0.0006,0,2.322,0,0.1144,?,0.5
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom19.cnf,1,0.7975,0.0001,1.7457,0.0057,?,?,0.0003,0.2552,2.3075,0.0015,0.0001,2.2246,0,0.381,?,0.875
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf,1,1.309,0,3.187,0.0074,?,?,0.0001,0.365,2.1823,0.0055,0,3.28,0,0.5949,?,0.9692
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom18.cnf,1,0.5586,0.0001,1.7017,0.006,?,?,0.0003,0.3103,2.3203,0.0016,0.0001,2.1569,0,0.3813,?,0.875
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,1.757,0,1.7597,0.0083,?,?,0.0001,0.1065,2.5155,0.0071,0,2.377,0,0.4435,?,0.9658
./SAT09/APPLICATIONS/bitverif/maxor/maxor128.cnf,1,3.8009,0,3.0828,0.0022,?,?,0,0.6036,1.7529,0.0009,0,1.6769,0,0.5216,?,0.8483
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.120-NOTKNOWN.cnf,1,62.0969,0,0.7131,0.0009,?,?,0.0001,0.3936,1.8472,0.0007,0,2.1695,0,0.9602,?,0.9938
./SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k80.cnf,1,5.2044,0,0.9339,0.0005,?,?,0,0.2195,2.8203,0.0003,0,1.1895,0,0.603,?,0.9111
./SAT03/industrial/goldberg/hard_eq_check/x1mul.miter.shuffled-as.sat03-359.cnf,1,1.0083,0.0001,2.5108,0.0101,?,?,0.0002,0.5796,1.9525,0.0137,0.0002,3.9069,0,0.4607,?,0.6667
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top25.cnf,1,1.355,0,1.6611,0.0033,?,?,0.0001,0.3106,1.9524,0.0013,0,1.8952,0,0.4242,?,0.9245
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-27-step14.cnf,1,84.2182,0,1.0806,0.0007,?,?,0.0002,0.6748,3.5036,0.0006,0,2.5235,0,0.9842,?,0.9922
./SAT09/APPLICATIONS/bitverif/maxxororand/maxxororand064.cnf,1,1.7395,0,1.9878,0.0029,?,?,0.0001,0.4983,2.0606,0.0011,0,1.3596,0,0.4981,?,0.8824
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pathways-13-step17.cnf,1,2.9543,0,0.7789,0.0006,1.3878,0.0001,0.0003,0.7025,2.6347,0.0005,0.0001,0.8465,0,0.9064,0,1
./SAT09/APPLICATIONS/bioinfo/q_query_3_L70_coli.sat.cnf,1,5.2484,0,2.4732,0.0037,?,?,0.0001,0.0971,2.6194,0.0014,0,1.7961,0,0.4776,?,1
./SAT05/industrial/maris05/DriverLog/driverlog3_v01a.renamed-as.sat05-3963.cnf,1,3.5334,0.0065,0.4018,0.0585,0.9642,0.0256,0.0254,0.9787,2.6889,0.0338,0.0166,0.3711,0.0052,0.7802,0.0026,0.9111
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,1,1.1092,0,1.0172,0.0015,0.8597,0.0005,0.0001,0.1791,2.6411,0.0007,0.0001,1.2783,0,0.4676,0,0.8148
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,4.4065,0.0001,2.883,0.0187,?,?,0.0007,0.5997,3.0191,0.076,0.0003,4.5264,0,0.8552,?,0.9328
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.035-NOTKNOWN.cnf,1,4.9554,0,0.7146,0.001,?,?,0.0002,0.7107,2.2688,0.0006,0,1.6968,0,0.9739,?,1
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,678.568,0,1.8279,0.0155,?,?,0.0001,0.4604,4.0475,0.0033,0,7.206,0,0.9495,?,0.9852
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq6.used-as.sat04-347.cnf,1,531.114,0,4.3478,0.0149,?,?,0,0.4575,4.165,0.008,0,5.9766,0,0.9301,?,1
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_2_keyfind_1.cnf,1,0.881,0.0035,0.2847,0.0105,0.2189,0.0187,0.0062,0.7547,2.1438,0.0091,0.0047,0.3406,0.0014,0.4064,0.0063,0.25
./SAT11/application/leberre/2dimensionalstrippacking/korf-18.cnf,1,3.5658,0.0001,1.2345,0.0023,?,?,0.0002,0.6023,1.5671,0.0183,0.0009,4.0806,0,0.942,?,0.9934
./SAT09/APPLICATIONS/diagnosis/ACG-10-10p0.cnf,1,4.3624,0,0.7729,0.0002,0.7386,0.0001,0,0.7204,2.3979,0.0001,0,0.8663,0,0.7535,0,0.75
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top26.cnf,1,1.7364,0,1.6857,0.0033,?,?,0.0001,0.3135,1.9475,0.0013,0,1.9344,0,0.4245,?,0.9266
./SAT05/industrial/grieu05/vmpc/vmpc_25.renamed-as.sat05-1913.cnf,1,39.2044,0.0012,0.0846,0.0024,?,?,0.0023,0.9401,0.7452,0.0042,0.0042,0.0054,0.0041,0.9993,?,0.5335
./SAT07/industrial/palacios/hard/sortnet-8-ipc5-h19-sat.cnf,1,6.2939,0,2.3254,0.0052,?,?,0.0001,0.5315,3.1744,0.0077,0.0001,5.6882,0,0.6514,?,0.9487
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_1_keyfind_1.cnf,1,1.0564,0.0076,0.2842,0.0212,0.2282,0.0366,0.0128,0.8321,2.0593,0.0182,0.0097,0.3403,0.003,0.4303,0.0167,0.25
./SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,4.0566,0,0.4483,0.0001,0.5441,0,0,0.814,2.2272,0.0001,0,0.4355,0,0.7554,0,0.7333
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf,1,20.319,0,0.6914,0.0003,?,?,0.0001,0.6768,2.0861,0.0002,0,1.7925,0,0.9794,?,1
./SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,5.636,0,0.4918,0.0001,0.6203,0,0,0.7698,2.3488,0,0,0.5009,0,0.7393,0,0.8
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom24.cnf,1,1.5541,0,1.9413,0.0046,?,?,0.0002,0.2109,2.2686,0.0012,0.0001,2.5398,0,0.3808,?,0.88
./SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.120-NOTKNOWN.cnf,1,65.5826,0,0.7146,0.0009,?,?,0.0001,0.3803,1.8349,0.0007,0,2.1869,0,0.961,?,0.9941
./SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf,1,0.9858,0.0001,0.7561,0.0022,0.9091,0.0005,0.0004,0.6516,1.8747,0.0016,0.0002,0.9456,0.0001,0.8961,0.0001,0.7778
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom23.cnf,1,0.7541,0,1.9053,0.0048,?,?,0.0002,0.192,2.2761,0.0013,0.0001,2.4801,0,0.3807,?,0.8958
