@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE nclauses NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.048,0.2338,0.093,0.719,0.2908,0.1256,0.5822,0.3926,0,0.0254,0.5855,0.1655,0.5867,21,17,18.264,26,0.1747,13,0.2943,0.2019,0.3876,0.0658,42000,0.4013,0.6458,0.8244,2.7143,6,10000,0,41709
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.0282,0.1323,0.0797,1.7696,2.0163,0.1191,0.4113,0.5682,0.1194,4.9941,0.4444,1.6206,0.692,241,210,321.25,1294,0.1457,190,1.7597,0.4453,0.6142,0.3744,583000,2.377,0.7515,0.904,2.9961,8,196000,0,248000
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0.0009,0.0469,0.0019,0.8309,0.112,0.0025,0.6913,0.1651,0,0,0.008,0,0.64,4356,4256,4278.3,4397,0.004,4237,0.0156,0.0675,0.1454,0,2343,0.1916,0.7341,0.8575,3.564,3,110,0.2,2343
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0,0.0475,0.0924,1.3557,6.6383,0.1174,0.2835,0.8546,0.6199,0.1323,0.5,0.9825,0.7766,0,0,0,0,0.3595,0,1.3191,0.7945,0.9963,2.5312,1810000,4.6846,1.7067,1.0494,4.3618,5,96177,0,1790000
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,0.048,0.2336,0.0934,0.7172,0.2896,0.1258,0.5781,0.3951,0,0.027,0.7541,0.1632,0.5883,10,8,8.2292,12,0.1772,6,0.2932,0.206,0.3897,0.0653,75600,0.3998,0.6504,0.8285,2.7118,6,18000,0,75031
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.0043,0.0405,0.018,0.7312,0.4576,0.0222,0.4123,0.6752,0,0.2524,0.1319,0.8565,0.3529,4230,4214,4132,4236,0.0451,4115,0.1936,0.4881,0.8077,0.4074,12647,0.8917,1.2079,0.9689,4.6596,3,526,0.3333,10373
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.0472,0.2339,0.0925,0.7103,0.2911,0.1249,0.577,0.3936,0,0.0236,0.9025,0.1537,0.5878,22,17,18.144,26,0.1773,14,0.2948,0.2058,0.3832,0.0639,42000,0.3977,0.6544,0.8223,2.7124,6,10000,0,41760
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.0072,0.1733,0.0156,1.3791,0.5454,0.022,0.5482,0.5835,0.585,0.9868,0.1345,1.0373,0.9831,0,0,0,0,0.0292,0,0.5132,0.2751,0.7644,0.4804,1410000,0.5361,0.7992,0.9973,2.569,18,299000,0,868000
SAT_RACE2008/fuhs-aprove-15.cnf,1,0.0221,0.1831,0.0377,1.2995,0.7131,0.0442,0.8312,0.263,0.2219,2.3864,0.2875,1.2175,0.6554,931,768,781.73,1008,0.074,716,1.2355,0.0674,0.2087,0.3027,74257,1.0258,1.0459,0.8613,2.357,10,21104,0,34035
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_k.cnf,1,0,0.0143,0.0511,0.416,6.6361,0.0047,0.2263,0.9277,0.9679,0.122,1,0.2542,0.2426,0,0,0,0,0.2505,0,4.0607,0.9965,1,2.9707,5580000,6.4636,2.5087,1.0181,5.2325,4,89315,0,5550000
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,0.017,0.0313,0.1631,1.6811,1.8731,0.3135,0.471,0.6786,0.6339,10.418,0.5,1.7495,1.4194,0,0,0,0,0.4493,0,1.5958,0.4197,0.8295,2.4534,440000,2.5162,1.039,0.9939,5.473,15,95421,0,267000
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-ss-8.cnf,1,0.0134,0.2086,0.0658,1.3213,1.065,0.1328,0.4995,0.5567,0.4161,2.9061,0.2171,1.0619,0.7935,730,594,664.75,1045,0.1335,571,0.8326,0.5636,0.6957,1.6766,148000,1.2377,0.8274,0.8829,2.1911,8,53752,0,65966
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0.0038,0.0129,0.0108,0.4809,0.5907,0.0119,0.1476,0.9558,0.8788,0.0002,0.2259,0.4533,0.2326,0,0,0,0,0.0232,0,0.2462,0.9849,0.9876,0.8469,1880000,0.3127,1.2403,0.9997,2.8077,7,24356,0,1880000
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1394036608-091.cnf,1,0.0378,0.2306,0.0835,0.7327,0.3002,0.1147,0.6244,0.3674,0,0.0269,0.3832,0.163,0.5906,3953,3901,3903.4,3962,0.1706,3873,0.2966,0.1756,0.3438,0.073,1785,0.3827,0.7322,0.841,2.7448,4,420,0,1774
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,0.0001,0.0118,0.0001,1.0093,0.0398,0.0001,0.7112,0.0672,0,0,0.0002,0,0.6756,4373,4162,4134,4373,0.0002,4033,0,0.0284,0.061,0,15300,0.1638,0.3721,0.8647,4.2485,2,180,0.1429,15300
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,0,0.0112,0.0001,0.9999,0.0429,0.0001,0.7402,0.0547,0,0,0.0001,0,0.6794,4516,4509,4477.5,4588,0.0001,4406,0,0.0175,0.0483,0,5785,0.1388,0.3991,0.875,3.8384,2,65,0.1429,5785
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.0-9.cnf,1,0,0.0193,0.0523,0.5625,5.6053,0.0134,0.232,0.9248,0.9475,0.1111,1,0.3769,0.2924,0,0,0,0,0.2684,0,3.4014,0.9906,0.9999,2.5842,2320000,5.2206,2.474,1.0128,5.0256,4,49112,0,2300000
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,0.0548,0.1601,0.0598,1.2804,0.5453,0.0697,1.3487,0.0997,0.0451,0.082,0.1012,0.6155,0.842,1280,955,1017,1376,0.0698,838,0.9218,0.0061,0.0188,0.1406,19785,0.908,0.2261,0.7411,1.2642,8,3073,0,17733
SAT_Competition2007/random/OnTreshold/3SAT/v500/unif-k3-r4.26-v500-c2130-S1212545732-02.UNSAT.shuffled.cnf,1,0.038,0.2316,0.0806,0.6081,0.2856,0.1097,0.6029,0.3713,0,0.0163,0.3342,0.0803,0.5782,3961,3892,3892.6,3976,0.1583,3880,0.28,0.1857,0.3631,0.0423,2130,0.3978,0.7194,0.839,2.7035,5,500,0,2124
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0.3222,0.2629,0.3561,1.1977,0.1231,0.373,0,0,0,0.4262,0.3797,0.3326,0.8477,3975,3858,3820.3,4112,0.3786,3683,0.0799,0,0,0.0782,232,0.437,0.068,0.7797,0.6066,5,87,0,232
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S926207202-053-UNKNOWN.cnf,1,0.0474,0.2337,0.0931,0.711,0.2902,0.1247,0.5775,0.3946,0,0.0253,0.7443,0.156,0.5869,6,5,5.1825,9,0.1765,3,0.2938,0.2073,0.3874,0.0635,126000,0.4017,0.6587,0.8508,2.716,6,30000,0,125000
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.185,0.1636,0.1935,1.0987,0,0.2006,0.0152,0.8139,0.8121,0.1111,0.2198,0.5281,1.0372,4869,4868,4837.7,4891,0.2009,4797,0.231,0.806,0.8154,0.9538,672,0.3559,0.0479,0.995,0,3,120,0,660
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1000/unif-k5-r20-v1000-c20000-S1040507052-028.cnf,1,0.0015,0.05,0.0027,0.835,0.0977,0.0034,0.6848,0.1692,0,0,0.0118,0,0.6497,48,41,42.594,54,0.0049,36,0.082,0.0809,0.1523,0,20000,0.2305,0.626,0.8452,3.6579,3,1000,0.2,20000
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,0.024,0.1328,0.0786,1.7619,1.5143,0.1195,0.4458,0.5643,0.1229,4.8307,0.443,1.6207,0.7062,388,340,351.84,475,0.1472,312,1.4341,0.4333,0.6206,0.385,388000,1.8133,0.8212,0.9099,3.0647,9,131000,0,169000
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,0.0001,0.0118,0.0001,1.0012,0.0408,0.0001,0.7341,0.0634,0,0,0.0002,0,0.6787,4388,4251,4187.8,4388,0.0002,4080,0,0.0259,0.0525,0,13600,0.1466,0.3728,0.868,4.1944,2,160,0.1429,13600
