@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0,0.229885
1-fullins-3-4.xml.watchless.minion.gz,1,0,0.229885
1-fullins-4-4.xml.watchless.minion.gz,1,0,0.138616
1-fullins-4-5.xml.watchless.minion.gz,1,0,0.138616
1-fullins-5-4.xml.watchless.minion.gz,1,0,0.081951
1-fullins-5-5.xml.watchless.minion.gz,1,0,0.081951
1-fullins-5-6.xml.watchless.minion.gz,1,0,0.081951
1-insertions-4-3.xml.watchless.minion.gz,1,0,0.10493
1-insertions-4-4.xml.watchless.minion.gz,1,0,0.10493
1-insertions-5-4.xml.watchless.minion.gz,1,0,0.06044
1-insertions-5-5.xml.watchless.minion.gz,1,0,0.06044
1-insertions-5-6.xml.watchless.minion.gz,1,0,0.06044
1-insertions-6-4.xml.watchless.minion.gz,1,0,0.034455
1-insertions-6-5.xml.watchless.minion.gz,1,0,0.034455
1-insertions-6-6.xml.watchless.minion.gz,1,0,0.034455
1-insertions-6-7.xml.watchless.minion.gz,1,0,0.034455
2-fullins-3-4.xml.watchless.minion.gz,1,0,0.151584
2-fullins-3-5.xml.watchless.minion.gz,1,0,0.151584
2-fullins-4-4.xml.watchless.minion.gz,1,0,0.072476
2-fullins-4-5.xml.watchless.minion.gz,1,0,0.072476
2-fullins-4-6.xml.watchless.minion.gz,1,0,0.072476
2-fullins-5-4.xml.watchless.minion.gz,1,0,0.033656
2-fullins-5-5.xml.watchless.minion.gz,1,0,0.033656
2-fullins-5-6.xml.watchless.minion.gz,1,0,0.033656
2-fullins-5-7.xml.watchless.minion.gz,1,0,0.033656
2-insertions-3-3.xml.watchless.minion.gz,1,0,0.108108
2-insertions-3-4.xml.watchless.minion.gz,1,0,0.108108
2-insertions-4-3.xml.watchless.minion.gz,1,0,0.049066
2-insertions-4-4.xml.watchless.minion.gz,1,0,0.049066
2-insertions-4-5.xml.watchless.minion.gz,1,0,0.049066
2-insertions-5-3.xml.watchless.minion.gz,1,0,0.022124
2-insertions-5-4.xml.watchless.minion.gz,1,0,0.022124
2-insertions-5-5.xml.watchless.minion.gz,1,0,0.022124
2-insertions-5-6.xml.watchless.minion.gz,1,0,0.022124
3-fullins-3-5.xml.watchless.minion.gz,1,0,0.109494
3-fullins-3-6.xml.watchless.minion.gz,1,0,0.109494
3-fullins-4-5.xml.watchless.minion.gz,1,0,0.043075
3-fullins-4-6.xml.watchless.minion.gz,1,0,0.043075
3-fullins-4-7.xml.watchless.minion.gz,1,0,0.043075
