@RELATION 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC

@DATA
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S980027332-029-UNKNOWN.cnf,1,62536,0.0002,63000,0,56.4,263.417,64.8077,63,79.3077,109.1667,11.1792,783.125,0.0011,49.5,74.1818,15000
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S942849-099.UNKNOWN.cnf,1,2973,0.0043,2982,140,34.3506,22.4568,36.1175,35.3213,40.6055,40.6055,3645.1429,28.7795,0.0188,33.1688,38.2519,700
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1008065350-031.UNKNOWN.cnf,1,1907,0.0068,1917,89,24.2236,13.8122,25.9144,25.7924,29.0163,29.0163,3902.8571,16.9488,0.0288,23.5001,27.694,450
SAT11/random/large/unif-k7-r85-v400-c34000-S536077088-015-UNKNOWN.cnf,1,34000,0.0175,34000,57,54.2262,32.6548,57.7886,57.2143,65.0226,66.8647,84.2564,33.2124,0.0117,52.451,60.6076,400
SAT11/random/medium/unif-k7-r89-v90-c8010-S51928934-076.SATISFIABLE.cnf,1,8010,0.0778,8010,12,31.7124,10.3075,31.7052,31.7829,32.4376,32.4376,4385.25,10.5034,0.0111,30.8879,32.4376,90
SAT11/random/medium/unif-k7-r89-v50-c4450-S1880985555-004.UNKNOWN.cnf,1,4450,0.14,4450,6,19.7482,6.3286,19.9056,19.8762,20.3076,20.3076,4570.6,6.8357,0.011,19.6339,19.9622,50
SAT11/random/large/unif-k5-r20-v1250-c25000-S871131876-087-UNKNOWN.cnf,1,25000,0.004,25000,223,56.5625,56.827,61.3601,61.0385,70.5217,78.7619,33.217,68.0332,0.0184,53.5484,65.3429,1250
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S960198064-030.SATISFIABLE.cnf,1,2337,0.0055,2343,111,28.8614,14.1506,30.9712,29.5637,37.2312,37.2312,3822.4286,16.9422,0.0218,26.9066,34.7504,550
SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,6230,0.1,6230,9,25.8541,8.4841,25.9461,25.9741,26.2427,26.2427,4469,8.7252,0.0111,25.4551,26.2046,70
SAT11/random/medium/unif-k3-r4.26-v800-c3408-S1536861174-069.SATISFIABLE.cnf,1,3387,0.0039,3408,160,28.6412,19.5296,32.4931,30.6303,40.0484,40.1961,1585.625,24.6923,0.0192,26.6508,37.9676,800
SAT11/random/medium/unif-k7-r89-v80-c7120-S1801179747-047.SATISFIABLE.cnf,1,7120,0.0875,7120,10,28.3909,9.5465,28.3985,28.4405,28.8393,28.8393,4412.8,9.6988,0.0111,27.7896,28.5321,80
SAT11/random/medium/unif-k7-r89-v70-c6230-S635440951-015.UNKNOWN.cnf,1,6230,0.1,6230,9,25.3567,8.4824,25.6407,25.5158,26.5947,26.5947,4435.8,8.6501,0.0111,24.9568,25.7795,70
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S379672572-039.SATISFIABLE.cnf,1,2545,0.0051,2556,120,30.0397,16.0006,32.868,31.3884,39.9817,39.9817,3759,19.9066,0.0232,29.6514,35.6801,600
SAT11/random/large/unif-k3-r4.2-v20000-c84000-S357264423-067-UNKNOWN.cnf,1,83418,0.0002,84000,0,58.9474,397.875,71.4595,68.3636,94.6,120,9.101,1190,0.0011,50.7,84.3333,20000
SAT11/random/large/unif-k7-r85-v150-c12750-S1737989193-079-UNKNOWN.cnf,1,12750,0.0467,12750,20,46.3281,14.1247,46.4415,46.9429,47.2796,47.2796,4188.5,14.056,0.0117,45.2154,47.2796,150
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1189700536-035.SATISFIABLE.cnf,1,2130,0.05,2130,16,22.8507,7.8455,23.4234,23.6806,24.3948,24.3948,4302.5714,8.8106,0.0465,22.7653,23.708,100
SAT11/random/large/unif-k3-r4.2-v35000-c147000-S625465881-078-UNKNOWN.cnf,1,146021,0.0001,147000,0,66,826.5,90.3884,82.3333,139,200,4.4891,2313.5,0.0005,56.8571,105.8571,35000
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1980330668-030.SATISFIABLE.cnf,1,2130,0.05,2130,16,22.8297,7.2239,23.6895,23.4317,25.7534,25.7534,4302.2857,8.0772,0.0465,22.8274,24.0244,100
SAT11/random/large/unif-k3-r4.2-v40000-c168000-S64788608-008-UNKNOWN.cnf,1,166897,0.0001,168000,8539,64,1612.5,91.8767,91.5,140,202,4.3256,1206,0.0005,53.2,109.6667,40000
