@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC
@ATTRIBUTE NEG_HORN NUMERIC
@ATTRIBUTE FORALL_VARS NUMERIC
@ATTRIBUTE LITEN_LITN NUMERIC
@ATTRIBUTE BINARY_CLAUSES NUMERIC
@ATTRIBUTE LITERALS NUMERIC
@ATTRIBUTE W_OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE FORALL_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE WOCCEP_WOCCP NUMERIC
@ATTRIBUTE W_OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE OCCS_FORALL_NO_PER_VAR NUMERIC
@ATTRIBUTE LITEP_LIT NUMERIC
@ATTRIBUTE WOCCEP_WOCCE NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC
@ATTRIBUTE OCCE_OCC NUMERIC
@ATTRIBUTE OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE OCCEN_OCCE NUMERIC
@ATTRIBUTE LITEN_LITE NUMERIC
@ATTRIBUTE OCCEN_OCC NUMERIC
@ATTRIBUTE LITFN_LIT NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC

@DATA
adder-10-sat-shuffled,1,1.053282,592.5,0.282784,0.779554,3.154891,1630,0.010986,1840,1185,5.249382,0.104494,0.854035,40,655,0.835103,20,26333,10.065649,1.982972,0.715889,6.64837,11.022901,0.074811,0.078758,3621,1.127011,5.854962,0.896929,0.896929,1.010848,0.128546,0.994507
adder-10-unsat-shuffled,1,0.377808,761.5,0.170238,0.854527,3.134015,1630,0.001096,1858,1523,10.284932,0.072991,0.913469,4,335,0.967578,1,40028,8.232836,0.681644,0.843517,4.810549,7.426866,0.111022,0.062859,3649,1.144132,4.116418,0.88162,0.88162,1.008689,0.027706,0.999726
adder-12-sat-shuffled,1,1.053268,861,0.264487,0.790835,3.16967,2364,0.009067,2664,1722,5.643748,0.097549,0.863319,48,942,0.846019,24,40370,10.174098,1.981866,0.713697,6.678679,11.138004,0.071043,0.072989,5270,1.144969,5.919321,0.90401,0.90401,1.035063,0.121774,0.995467
adder-12-unsat-shuffled,1,0.377757,1100,0.152968,0.867327,3.151899,2364,0.000754,2686,2200,11.347597,0.065635,0.922242,4,486,0.970946,1,63811,8.246914,0.680867,0.844088,4.834698,7.432099,0.101268,0.056189,5304,1.1518,4.123457,0.892656,0.892656,1.028161,0.025199,0.999811
adder-14-sat-shuffled,1,1.053205,1179.5,0.248711,0.800826,3.179945,3234,0.007719,3640,2359,6.029359,0.091632,0.871339,56,1281,0.855372,28,58115,10.250585,1.980979,0.712195,6.699725,11.21936,0.067693,0.068101,7227,1.161432,5.964871,0.910066,0.910066,1.056979,0.115822,0.996141
adder-14-unsat-shuffled,1,0.377683,1500.5,0.138979,0.877979,3.164484,3234,0.00055,3666,3001,12.400936,0.059669,0.929346,4,665,0.973656,1,95074,8.255639,0.680242,0.844524,4.851609,7.434586,0.093148,0.050842,7267,1.158068,4.12782,0.901742,0.901742,1.044278,0.023129,0.999862
adder-16-unsat-shuffled,1,0.377608,1963,0.127387,0.887007,3.173822,4240,0.000419,4798,3926,13.448475,0.05472,0.935232,4,872,0.975891,1,134769,8.261468,0.679736,0.844867,4.86411,7.43578,0.086266,0.046447,9538,1.163311,4.130734,0.909374,0.909374,1.057884,0.021385,0.999895
Adder2-10-s-shuffled,1,0.217819,2474.666667,0.79594,0.556811,1.313716,7829,0.726821,7969,7424,2.008692,0.413789,0.566732,7024,545,0.83996,5368,23622,10.577982,0.435637,0.955042,6.560296,7.724771,0.354077,0.426218,4295,0.882103,3.862385,0.569132,0.569132,0.502034,0.089112,0.444433
Adder2-4-s-shuffled,1,0.214947,361.666667,0.796548,0.556623,1.300598,1139,0.72669,1171,1085,2.014947,0.415911,0.566194,1021,86,0.84205,778,3435,9.930233,0.429893,0.958749,6.53117,7.023256,0.355459,0.426705,626,0.889488,3.511628,0.568704,0.568704,0.505855,0.087918,0.445552
Adder2-6-c-shuffled,1,0.144914,651.5,0.797047,0.556468,1.308137,2695,0.726373,2765,2606,2.156916,0.411294,0.566171,2421,159,0.893565,1842,8155,14.150943,0.289829,0.948054,7.6434,6.075472,0.384304,0.427095,1490,0.935331,3.037736,0.564056,0.564056,0.527579,0.059227,0.447045
