@RELATION 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC

@DATA
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S980027332-029-UNKNOWN.cnf,1,62536,0.0002,63000,0,56.4,263.417,64.8077
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S942849-099.UNKNOWN.cnf,1,2973,0.0043,2982,140,34.3506,22.4568,36.1175
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1008065350-031.UNKNOWN.cnf,1,1907,0.0068,1917,89,24.2236,13.8122,25.9144
SAT11/random/large/unif-k7-r85-v400-c34000-S536077088-015-UNKNOWN.cnf,1,34000,0.0175,34000,57,54.2262,32.6548,57.7886
SAT11/random/medium/unif-k7-r89-v90-c8010-S51928934-076.SATISFIABLE.cnf,1,8010,0.0778,8010,12,31.7124,10.3075,31.7052
SAT11/random/medium/unif-k7-r89-v50-c4450-S1880985555-004.UNKNOWN.cnf,1,4450,0.14,4450,6,19.7482,6.3286,19.9056
SAT11/random/large/unif-k5-r20-v1250-c25000-S871131876-087-UNKNOWN.cnf,1,25000,0.004,25000,223,56.5625,56.827,61.3601
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S960198064-030.SATISFIABLE.cnf,1,2337,0.0055,2343,111,28.8614,14.1506,30.9712
SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,6230,0.1,6230,9,25.8541,8.4841,25.9461
SAT11/random/medium/unif-k3-r4.26-v800-c3408-S1536861174-069.SATISFIABLE.cnf,1,3387,0.0039,3408,160,28.6412,19.5296,32.4931
SAT11/random/medium/unif-k7-r89-v80-c7120-S1801179747-047.SATISFIABLE.cnf,1,7120,0.0875,7120,10,28.3909,9.5465,28.3985
SAT11/random/medium/unif-k7-r89-v70-c6230-S635440951-015.UNKNOWN.cnf,1,6230,0.1,6230,9,25.3567,8.4824,25.6407
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S379672572-039.SATISFIABLE.cnf,1,2545,0.0051,2556,120,30.0397,16.0006,32.868
SAT11/random/large/unif-k3-r4.2-v20000-c84000-S357264423-067-UNKNOWN.cnf,1,83418,0.0002,84000,0,58.9474,397.875,71.4595
SAT11/random/large/unif-k7-r85-v150-c12750-S1737989193-079-UNKNOWN.cnf,1,12750,0.0467,12750,20,46.3281,14.1247,46.4415
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1189700536-035.SATISFIABLE.cnf,1,2130,0.05,2130,16,22.8507,7.8455,23.4234
SAT11/random/large/unif-k3-r4.2-v35000-c147000-S625465881-078-UNKNOWN.cnf,1,146021,0.0001,147000,0,66,826.5,90.3884
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1980330668-030.SATISFIABLE.cnf,1,2130,0.05,2130,16,22.8297,7.2239,23.6895
SAT11/random/large/unif-k3-r4.2-v40000-c168000-S64788608-008-UNKNOWN.cnf,1,166897,0.0001,168000,8539,64,1612.5,91.8767
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S913491256-073-UNKNOWN.cnf,1,125231,0.0001,126000,6300,67.0769,731.8,88.4753
SAT11/random/large/unif-k5-r20-v1500-c30000-S303265982-092-UNKNOWN.cnf,1,30000,0.0033,30000,269,60.7097,61.4,66.4209
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S31505198-038.UNKNOWN.cnf,1,3195,0.0333,3195,24,30.8469,11.3072,31.7884
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S375894551-007.UNKNOWN.cnf,1,3195,0.0333,3195,24,31.6269,11.9093,32.2049
SAT11/random/medium/unif-k7-r89-v80-c7120-S1623694027-006.SATISFIABLE.cnf,1,7120,0.0875,7120,10,28.4267,9.2549,28.5137
SAT11/random/medium/unif-k7-r89-v80-c7120-S1901567697-013.UNKNOWN.cnf,1,7120,0.0875,7120,10,28.2044,9.6484,28.42
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S895193371-061.UNKNOWN.cnf,1,1693,0.0077,1704,78,23.1441,12.1894,23.4231
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S874954918-011.SATISFIABLE.cnf,1,2331,0.0056,2343,109,29.3663,14.8334,31.2851
SAT11/random/large/unif-k3-r4.2-v2500-c10500-S924370159-018-UNKNOWN.cnf,1,10427,0.0012,10500,505,32.2734,52.6684,34.2843
SAT11/random/medium/unif-k7-r89-v90-c8010-S2014736708-037.SATISFIABLE.cnf,1,8010,0.0778,8010,12,31.0778,10.5066,31.249
SAT11/random/medium/unif-k7-r89-v80-c7120-S199880667-010.UNKNOWN.cnf,1,7120,0.0875,7120,10,28.2257,9.7029,28.5038
SAT11/random/medium/unif-k7-r89-v60-c5340-S239039906-021.SATISFIABLE.cnf,1,5340,0.1167,5340,8,22.5787,7.4326,22.6802
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S643238994-057-UNKNOWN.cnf,1,125159,0.0001,126000,6393,63.2857,669.8,82.2434
SAT11/random/medium/unif-k3-r4.26-v300-c1278-S1869766438-024.UNKNOWN.cnf,1,1273,0.0102,1278,58,18.9747,9.5384,20.1429
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S379804333-028-UNKNOWN.cnf,1,125227,0.0001,126000,6347,64.25,676.6,83.1979
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S899463426-096.UNKNOWN.cnf,1,2970,0.0044,2982,140,34.5611,21.256,36.0361
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S222128792-011.SATISFIABLE.cnf,1,1908,0.0068,1917,88,25.1837,12.6888,26.2126
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S2088689288-085.SATISFIABLE.cnf,1,1907,0.0068,1917,88,24.8321,11.8271,26.7516
SAT11/random/large/unif-k3-r4.2-v25000-c105000-S92008434-079-UNKNOWN.cnf,1,104349,0.0001,105000,5299,63.5,506.833,81.0534
SAT11/random/large/unif-k5-r20-v1500-c30000-S1305346115-067-UNKNOWN.cnf,1,30000,0.0033,30000,268,60.0417,64.4104,65.762
SAT11/random/medium/unif-k5-r21.3-v125-c2662-S1258495116-025.SATISFIABLE.cnf,1,2662,0.04,2662,20,27.3432,9.4589,28.0695
SAT11/random/medium/unif-k5-r21.3-v75-c1597-S445191369-092.SATISFIABLE.cnf,1,1597,0.0667,1597,12,18.5709,6.4198,19.0161
SAT11/random/large/unif-k7-r85-v250-c21250-S1116436500-050-UNKNOWN.cnf,1,21250,0.028,21250,35,47.0904,22.1167,48.6555
SAT11/random/large/unif-k3-r4.2-v25000-c105000-S109959541-056-UNKNOWN.cnf,1,104285,0.0001,105000,5224,55.3333,541,74.6257
SAT11/random/large/unif-k5-r20-v750-c15000-S64285713-004-UNKNOWN.cnf,1,15000,0.0067,15000,131,47.25,34.8528,50.5573
SAT11/random/medium/unif-k7-r89-v80-c7120-S1639347701-083.SATISFIABLE.cnf,1,7120,0.0875,7120,10,28.4063,9.4727,28.4903
SAT11/random/medium/unif-k7-r89-v70-c6230-S1846644927-079.SATISFIABLE.cnf,1,6230,0.1,6230,9,25.5571,8.571,25.6623
SAT11/random/large/unif-k5-r20-v750-c15000-S957625236-045-UNKNOWN.cnf,1,15000,0.0067,15000,132,48.28,33.9111,51.0479
SAT11/random/large/unif-k3-r4.2-v5000-c21000-S901912629-090-UNKNOWN.cnf,1,20886,0.0006,21000,1035,38.925,90.2,42.0619
SAT11/random/large/unif-k5-r20-v1250-c25000-S313445894-099-UNKNOWN.cnf,1,25000,0.004,25000,222,57.3824,53.1366,62.5204
SAT11/random/large/unif-k7-r85-v250-c21250-S381985918-018-UNKNOWN.cnf,1,21250,0.028,21250,35,48.1209,21.9315,49.6914
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S380157195-014.SATISFIABLE.cnf,1,1901,0.0069,1917,87,25.0392,12.8297,26.4906
SAT11/random/medium/unif-k5-r21.3-v175-c3727-S1110880865-004.SATISFIABLE.cnf,1,3727,0.0286,3727,29,34.5153,11.9206,35.9378
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1336161514-068.UNKNOWN.cnf,1,2130,0.05,2130,16,22.8011,7.846,23.5531
SAT11/random/medium/unif-k7-r89-v60-c5340-S1831136826-075.UNKNOWN.cnf,1,5340,0.1167,5340,8,22.5398,7.6137,22.6427
