@RELATION 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE s_labeled_vars NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff3.dzn,1,2.334539,1.005425,0.994604,8.754888,1,68,2.321942,2.378528
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff63.dzn,1,2.343092,1.011894,0.988246,9.475733,1,32,2.315552,0.860448
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff61.dzn,1,2.342583,1.01174,0.988397,9.475733,1,32,2.315401,0.924092
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/easy_01.dzn,1,2.439628,0.854489,1.17029,5.857981,5,154,2.855072,2.445016
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_02.dzn,1,2.658683,0.844311,1.184397,5.129283,5,109,3.148936,1.896642
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.2.dzn,1,4.613636,0.875,1.142857,1.035221,1,1012,5.272727,0.148638
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.3.dzn,1,4.391813,0.871345,1.147651,1.035221,1,1012,5.040268,0.150733
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m06_15_15.dzn,1,2.369684,0.705761,1.41691,8.806302,556,36,3.357629,4.518962
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_03.dzn,1,2.439628,0.854489,1.17029,5.857981,5,154,2.855072,2.445016
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_5_20_1.dzn,1,4.27003,0.922849,1.083601,6.210112,5,505,4.62701,2.663326
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff58.dzn,1,2.344549,1.008075,0.991989,9.831307,1,49,2.325768,1.55882
mznc12-problems/ship-schedule/ship-schedule.cp.mzn_AND_mznc12-problems/ship-schedule/5Ships.dzn,1,3.013487,1.132597,0.882927,16.955944,5,463,2.660689,41.464452
mznc12-problems/still-life-wastage/still-life.mzn_AND_mznc12-problems/still-life-wastage/09.dzn,1,5.101911,1.236579,0.808683,7.924813,81,0,4.125828,4.368694
mznc12-problems/still-life-wastage/still-life.mzn_AND_mznc12-problems/still-life-wastage/10.dzn,1,5.113291,1.236579,0.808683,8.174926,100,0,4.13503,4.813023
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_05.dzn,1,2.887728,0.921671,1.084986,5.426265,5,153,3.133144,2.193825
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/48_24_6.2.dzn,1,4.731959,0.876289,1.141176,1.036885,1,1200,5.4,0.176749
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_10/Class10_40_6.dzn,1,2.536707,1.537332,0.650478,24.253497,0,80,1.650071,0
mznc12-problems/ship-schedule/ship-schedule.cp.mzn_AND_mznc12-problems/ship-schedule/6ShipsMixed.dzn,1,3.050366,1.158721,0.863021,15.708376,5,567,2.632529,42.614001
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/48_24_6.1.dzn,1,4.675258,0.876289,1.141176,1.036885,1,1200,5.335294,0.176749
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_5_5_20_1.dzn,1,5.028169,0.907445,1.101996,6.716793,5,1105,5.54102,2.980295
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_10/Class10_40_3.dzn,1,2.536707,1.537332,0.650478,24.253497,0,80,1.650071,0
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/52_26_6.1.dzn,1,4.903846,0.875,1.142857,1.034101,1,1404,5.604396,0.170873
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_7_5_20_1.dzn,1,5.721461,0.899543,1.111675,7.227985,5,1905,6.360406,3.193293
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff59.dzn,1,2.341869,1.011524,0.988608,9.475733,1,32,2.31519,1.004767
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/52_26_6.2.dzn,1,4.886256,0.876777,1.140541,1.034101,1,1404,5.572973,0.169688
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/52_26_6.3.dzn,1,5.093596,0.871921,1.146893,1.034101,1,1404,5.841808,0.172904
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_3_30_1.dzn,1,3.839858,0.950178,1.052434,6.056708,5,321,4.041199,2.372341
mznc12-problems/league/league.mzn_AND_mznc12-problems/league/model20-3-5.dzn,1,3.74537,1.412037,0.708197,3.139517,5,40,2.652459,14.585228
mznc12-problems/league/league.mzn_AND_mznc12-problems/league/model30-4-6.dzn,1,4.808656,1.85877,0.53799,2.978127,5,60,2.58701,20.828948
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_5_3_20_1.dzn,1,4.27003,0.922849,1.083601,6.210112,5,505,4.62701,2.663326
mznc12-problems/league/league.mzn_AND_mznc12-problems/league/model50-4-4.dzn,1,5.153846,1.902834,0.525532,3.307478,5,100,2.708511,27.021675
mznc12-problems/league/league.mzn_AND_mznc12-problems/league/model55-3-12.dzn,1,4.660752,1.699374,0.588452,3.443816,5,110,2.742629,30.584922
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/hard_01.dzn,1,2.955836,1.192429,0.838624,6.129283,5,130,2.478836,2.460887
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/hard_03.dzn,1,2.69391,1.073718,0.931343,6.209453,5,252,2.508955,2.803522
mznc12-problems/still-life-wastage/still-life.mzn_AND_mznc12-problems/still-life-wastage/11.dzn,1,5.122236,1.236486,0.808743,8.405141,121,0,4.142573,5.26117
mznc12-problems/train/train.mzn_AND_mznc12-problems/train/instance.15.dzn,1,3.219451,1.38404,0.722523,19.507593,100,69,2.326126,10.606967
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_7_5_30_1.dzn,1,6.02439,0.905308,1.104596,7.520102,5,2245,6.654517,3.369892
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m12_10_20.dzn,1,2.351576,0.710237,1.407981,11.184066,1451,144,3.310974,8.002356
mznc12-problems/train/train.mzn_AND_mznc12-problems/train/instance.2.dzn,1,3.201995,1.366584,0.731752,19.507593,100,69,2.343066,10.606967
mznc12-problems/train/train.mzn_AND_mznc12-problems/train/instance.7.dzn,1,3.209476,1.374065,0.727768,19.507593,100,69,2.335753,10.606967
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_7_3_20_1.dzn,1,4.736721,0.91224,1.096203,6.482982,5,841,5.192405,2.866642
mznc12-problems/train/train.mzn_AND_mznc12-problems/train/instance.12.dzn,1,3.219451,1.38404,0.722523,19.507593,100,69,2.326126,10.606967
mznc12-problems/train/train.mzn_AND_mznc12-problems/train/instance.6.dzn,1,3.172691,1.369478,0.730205,19.520605,64,47,2.316716,8.55969
mznc12-problems/train/train.mzn_AND_mznc12-problems/train/instance.3.dzn,1,3.204489,1.369077,0.730419,19.507593,100,69,2.340619,10.606967
mznc12-problems/ship-schedule/ship-schedule.cp.mzn_AND_mznc12-problems/ship-schedule/7ShipsMixedUnconst.dzn,1,3.046889,1.153488,0.866935,15.818439,5,675,2.641456,45.904142
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_10/Class10_40_4.dzn,1,2.53702,1.537332,0.650478,24.253497,0,80,1.650274,0
mznc12-problems/ship-schedule/ship-schedule.cp.mzn_AND_mznc12-problems/ship-schedule/7ShipsMixed.dzn,1,3.046889,1.153488,0.866935,15.884779,5,675,2.641456,45.97092
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_10/Class10_40_10.dzn,1,2.53702,1.537332,0.650478,24.253497,0,80,1.650274,0
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_10/Class10_40_2.dzn,1,2.53702,1.537332,0.650478,24.253497,0,80,1.650274,0
mznc12-problems/league/league.mzn_AND_mznc12-problems/league/model90-18-20.dzn,1,5.278203,2.080315,0.480697,4.874947,5,180,2.537214,69.311839
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_10/Class10_40_5.dzn,1,2.53702,1.537332,0.650478,24.253497,0,80,1.650274,0
mznc12-problems/league/league.mzn_AND_mznc12-problems/league/model100-21-12.dzn,1,5.321983,2.054912,0.486639,5.056894,5,200,2.589884,74.705763
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_10/Class10_40_9.dzn,1,2.53702,1.537332,0.650478,24.253497,0,80,1.650274,0
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_10/Class10_40_7.dzn,1,2.536707,1.537332,0.650478,24.253497,0,80,1.650071,0
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_2/Class2_20_1.dzn,1,2.573034,1.574282,0.63521,24.253497,0,40,1.634417,0
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_2/Class2_20_10.dzn,1,2.573034,1.574282,0.63521,24.253497,0,40,1.634417,0
