@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_perten_avg_predshape NUMERIC
@ATTRIBUTE csp_perten_avg_predsize NUMERIC
@ATTRIBUTE csp_sqrt_max_domsize NUMERIC
@ATTRIBUTE csp_sqrt_avg_domsize NUMERIC
@ATTRIBUTE csp_percent_dec_predicate NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE directorder_reducedVars NUMERIC
@ATTRIBUTE directorder_BINARY+ NUMERIC
@ATTRIBUTE directorder_horn-clauses-fraction NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE directorder_TRINARY+ NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE csp_perten_avg_predarity NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-entropy NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,?,?,?,?,0.660065,3.651416,0.479653,0.825556,0.816869,0.976668,0.293021,0.777778,0.20904,?,0.944361
bool/routing/s3-3-3-3.xml,1,?,?,?,?,?,0.651508,3.484095,0.483508,0.835832,0.76434,0.987506,0.297583,0.789474,0.206463,?,0.930218
bool/routing/s3-3-3-1.xml,1,?,?,?,?,?,0.656667,3.620413,0.481471,0.827353,0.769644,0.987059,0.282691,0.764706,0.203573,?,0.924554
bool/routing/s4-4-3-10.xml,1,43.196203,46.186709,1.414214,1.414214,52.294304,0.661915,3.042629,0.462559,0.844235,0.767897,0.98773,0.321339,0.846154,0.213428,29.825949,0.914008
bool/routing/s4-4-3-7.xml,1,43.093596,46.187192,1.414214,1.414214,52.413793,0.662032,3.076241,0.449685,0.83071,0.745359,0.990874,0.29908,0.826087,0.207762,29.832512,0.905148
bool/routing/s4-4-3-6.xml,1,42.929936,46.072187,1.414214,1.414214,52.866242,0.659588,3.142299,0.443348,0.826689,0.748011,0.990547,0.295157,0.826087,0.206536,29.766454,0.906368
bool/routing/s4-4-3-3.xml,1,43.172979,45.957011,1.414214,1.414214,52.09826,0.663327,3.177639,0.447443,0.827035,0.776151,0.985395,0.299404,0.833333,0.209201,29.662231,0.916379
bool/routing/s3-3-3-2.xml,1,?,?,?,?,?,0.646067,3.416667,0.481201,0.841616,0.765146,0.9879,0.307091,0.809524,0.209304,?,0.933322
bool/routing/s4-4-3-2.xml,1,43.002049,45.932377,1.414214,1.414214,52.663934,0.662973,3.211032,0.448351,0.827309,0.777142,0.985224,0.300169,0.833333,0.209541,29.661885,0.916689
bool/routing/s4-4-3-8.xml,1,44.355828,51.779141,1.414214,1.414214,51.226994,0.669053,3.45073,0.436277,0.806444,0.753923,0.989021,0.262862,0.764706,0.19902,32.392638,0.897477
