@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,1,1,6.074257,0.164629,0,0.392949
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,1,1,11.514184,0.086849,0,0.271714
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,1,1,4.325,0.231214,0,0.688786
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,1,1,3.462687,0.288793,0,0.638606
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,1,1,1.964286,0.509091,0,0.790584
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,1,1,6.592965,0.151677,0,0.357065
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,1,1,3.72242,0.268642,0,0.585998
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,1,1,6.592965,0.151677,0,0.267799
normalized-37s-smv.xml.mzn_AND_NODATA,1,1,1,2.535294,0.394432,0,0.380231
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,1,1,10.439868,0.095787,0,0.31051
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,1,1,10.439868,0.095787,0,0.248408
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,1,1,14.320423,0.06983,0,0.181949
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,1,1,8.701235,0.114926,0,0.362095
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,1,1,10.439868,0.095787,0,0.372612
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,1,1,3.778947,0.264624,0,0.572503
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,1,1,5.142857,0.194444,0,0.756897
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,1,1,5.142857,0.194444,0,0.883046
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,1,1,6.074257,0.164629,0,0.491187
normalized-46s-smv.xml.mzn_AND_NODATA,1,1,1,1.723945,0.580065,0,0.378053
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,1,1,3.72242,0.268642,0,0.439498
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,1,1,3.865385,0.258706,0,0.590743
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.604333
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736667
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,1,1,9.637681,0.103759,0,0.406858
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,1,1,14.320423,0.06983,0,0.272923
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,1,1,6.895448,0.145023,0,0.335645
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,1,1,6.895448,0.145023,0,0.419556
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.5
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.737286
