@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 4'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0,0.229885,30,30
1-fullins-3-4.xml.watchless.minion.gz,1,0,0.229885,30,30
1-fullins-4-4.xml.watchless.minion.gz,1,0,0.138616,93,93
1-fullins-4-5.xml.watchless.minion.gz,1,0,0.138616,93,93
1-fullins-5-4.xml.watchless.minion.gz,1,0,0.081951,282,282
1-fullins-5-5.xml.watchless.minion.gz,1,0,0.081951,282,282
1-fullins-5-6.xml.watchless.minion.gz,1,0,0.081951,282,282
1-insertions-4-3.xml.watchless.minion.gz,1,0,0.10493,67,67
1-insertions-4-4.xml.watchless.minion.gz,1,0,0.10493,67,67
1-insertions-5-4.xml.watchless.minion.gz,1,0,0.06044,202,202
1-insertions-5-5.xml.watchless.minion.gz,1,0,0.06044,202,202
1-insertions-5-6.xml.watchless.minion.gz,1,0,0.06044,202,202
1-insertions-6-4.xml.watchless.minion.gz,1,0,0.034455,607,607
1-insertions-6-5.xml.watchless.minion.gz,1,0,0.034455,607,607
1-insertions-6-6.xml.watchless.minion.gz,1,0,0.034455,607,607
1-insertions-6-7.xml.watchless.minion.gz,1,0,0.034455,607,607
2-fullins-3-4.xml.watchless.minion.gz,1,0,0.151584,52,52
2-fullins-3-5.xml.watchless.minion.gz,1,0,0.151584,52,52
2-fullins-4-4.xml.watchless.minion.gz,1,0,0.072476,212,212
2-fullins-4-5.xml.watchless.minion.gz,1,0,0.072476,212,212
2-fullins-4-6.xml.watchless.minion.gz,1,0,0.072476,212,212
2-fullins-5-4.xml.watchless.minion.gz,1,0,0.033656,852,852
2-fullins-5-5.xml.watchless.minion.gz,1,0,0.033656,852,852
2-fullins-5-6.xml.watchless.minion.gz,1,0,0.033656,852,852
2-fullins-5-7.xml.watchless.minion.gz,1,0,0.033656,852,852
2-insertions-3-3.xml.watchless.minion.gz,1,0,0.108108,37,37
2-insertions-3-4.xml.watchless.minion.gz,1,0,0.108108,37,37
2-insertions-4-3.xml.watchless.minion.gz,1,0,0.049066,149,149
2-insertions-4-4.xml.watchless.minion.gz,1,0,0.049066,149,149
2-insertions-4-5.xml.watchless.minion.gz,1,0,0.049066,149,149
2-insertions-5-3.xml.watchless.minion.gz,1,0,0.022124,597,597
2-insertions-5-4.xml.watchless.minion.gz,1,0,0.022124,597,597
2-insertions-5-5.xml.watchless.minion.gz,1,0,0.022124,597,597
2-insertions-5-6.xml.watchless.minion.gz,1,0,0.022124,597,597
3-fullins-3-5.xml.watchless.minion.gz,1,0,0.109494,80,80
3-fullins-3-6.xml.watchless.minion.gz,1,0,0.109494,80,80
3-fullins-4-5.xml.watchless.minion.gz,1,0,0.043075,405,405
3-fullins-4-6.xml.watchless.minion.gz,1,0,0.043075,405,405
3-fullins-4-7.xml.watchless.minion.gz,1,0,0.043075,405,405
3-fullins-5-5.xml.watchless.minion.gz,1,0,0.016388,2030,2030
3-fullins-5-6.xml.watchless.minion.gz,1,0,0.016388,2030,2030
3-fullins-5-7.xml.watchless.minion.gz,1,0,0.016388,2030,2030
3-fullins-5-8.xml.watchless.minion.gz,1,0,0.016388,2030,2030
3-insertions-3-3.xml.watchless.minion.gz,1,0,0.071429,56,56
3-insertions-3-4.xml.watchless.minion.gz,1,0,0.071429,56,56
3-insertions-4-3.xml.watchless.minion.gz,1,0,0.026589,281,281
3-insertions-4-4.xml.watchless.minion.gz,1,0,0.026589,281,281
3-insertions-4-5.xml.watchless.minion.gz,1,0,0.026589,281,281
3-insertions-5-3.xml.watchless.minion.gz,1,0,0.009816,1406,1406
3-insertions-5-4.xml.watchless.minion.gz,1,0,0.009816,1406,1406
3-insertions-5-5.xml.watchless.minion.gz,1,0,0.009816,1406,1406
3-insertions-5-6.xml.watchless.minion.gz,1,0,0.009816,1406,1406
4-fullins-3-6.xml.watchless.minion.gz,1,0,0.083993,114,114
4-fullins-3-7.xml.watchless.minion.gz,1,0,0.083993,114,114
4-fullins-4-6.xml.watchless.minion.gz,1,0,0.027976,690,690
4-fullins-4-7.xml.watchless.minion.gz,1,0,0.027976,690,690
4-fullins-4-8.xml.watchless.minion.gz,1,0,0.027976,690,690
4-fullins-5-5.xml.watchless.minion.gz,1,0,0.008997,4146,4146
4-fullins-5-6.xml.watchless.minion.gz,1,0,0.008997,4146,4146
4-fullins-5-7.xml.watchless.minion.gz,1,0,0.008997,4146,4146
4-fullins-5-8.xml.watchless.minion.gz,1,0,0.008997,4146,4146
4-insertions-3-3.xml.watchless.minion.gz,1,0,0.050633,79,79
4-insertions-3-4.xml.watchless.minion.gz,1,0,0.050633,79,79
4-insertions-4-3.xml.watchless.minion.gz,1,0,0.015945,475,475
4-insertions-4-4.xml.watchless.minion.gz,1,0,0.015945,475,475
4-insertions-4-5.xml.watchless.minion.gz,1,0,0.015945,475,475
5-fullins-3-6.xml.watchless.minion.gz,1,0,0.067227,154,154
5-fullins-3-7.xml.watchless.minion.gz,1,0,0.067227,154,154
5-fullins-3-8.xml.watchless.minion.gz,1,0,0.067227,154,154
5-fullins-4-6.xml.watchless.minion.gz,1,0,0.019377,1085,1085
5-fullins-4-7.xml.watchless.minion.gz,1,0,0.019377,1085,1085
5-fullins-4-8.xml.watchless.minion.gz,1,0,0.019377,1085,1085
5-fullins-4-9.xml.watchless.minion.gz,1,0,0.019377,1085,1085
abb313GPIA-10.xml.watchless.minion.gz,1,0,0.044047,1557,1557
abb313GPIA-5.xml.watchless.minion.gz,1,0,0.044047,1557,1557
abb313GPIA-7.xml.watchless.minion.gz,1,0,0.044047,1557,1557
abb313GPIA-8.xml.watchless.minion.gz,1,0,0.044047,1557,1557
abb313GPIA-9.xml.watchless.minion.gz,1,0,0.044047,1557,1557
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,154,0.071919,100,100
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,156,0.071717,100,100
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,156,0.074141,100,100
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,157,0.073333,100,100
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,157,0.082828,100,100
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,150,0.078788,100,100
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,152,0.080404,100,100
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,157,0.08202,100,100
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,194,0.090505,100,100
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,197,0.093737,100,100
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,191,0.089899,100,100
aim-100-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,195,0.093131,100,100
aim-100-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,196,0.104444,100,100
aim-100-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,192,0.102424,100,100
aim-100-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,193,0.099798,100,100
aim-100-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,191,0.100808,100,100
aim-100-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,320,0.150909,100,100
aim-100-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,316,0.151515,100,100
aim-100-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,312,0.149091,100,100
aim-100-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,317,0.150505,100,100
aim-100-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,559,0.243838,100,100
aim-100-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,559,0.242222,100,100
aim-100-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,561,0.249091,100,100
aim-100-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,570,0.243434,100,100
aim-200-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,315,0.037186,200,200
aim-200-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,316,0.037136,200,200
aim-200-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,311,0.036985,200,200
aim-200-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,318,0.037136,200,200
aim-200-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,308,0.04201,200,200
aim-200-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,302,0.042111,200,200
