@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,479.188,0.0003,0.0003,0.0006,148.318,0.0003,2130,2165,2150,2085,2129.09,0.0006,2014.62,2070,2183,0,0.237,10000,9752,17,18.2639,0.2673,0.0802,11,0.3017,13,26,8,0.048,21,0.0008,0.0002
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,347.765,0.0003,0.0003,0.0007,158.52,0.0003,2130,2163,2159,2091,2127.88,0.0006,2022.12,2081,2175,0,0.2396,10000,9769,17,18.1437,0.2581,0.0791,12,0.3052,14,26,8,0.0472,22,0.0009,0.0002
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v80-c7120-S474185167-033.SATISFIABLE.cnf,1,9.7683,0.0875,0.0875,0.0875,9.6097,0.0875,14,17,14,10,13.7119,0.0111,13.7424,10,17,0.0781,0.6687,80,80,4385,4416.4,0.1992,0.0001,4338,0.7503,4358,4545,4338,0,4456,0.0958,0.0055
SAT_Competition2007/random/2+p/p0.7/v6500/unif2p-p0.7-v6500-c17355-S1097641288-15-SAT.cnf,1,82.7872,0.0006,0.0006,0.0021,61.6392,0.0004,1001,1038,1005,978,1004.05,0.0013,994.926,975,1032,0.0001,0.1882,6500,4798,435,499.84,0.1066,0.1668,380,0.3942,398,751,338,0.1024,535,0.0025,0.0003
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/200/unif-k7-r85-v200-c17000-S266028630-005.cnf,1,17.7512,0.035,0.035,0.035,18.056,0.035,33,39,33,27,33.4572,0.0117,32.9107,28,39,0.0307,0.6302,200,200,3864,3854.75,0.1421,0.0001,3514,0.7266,3754,4287,3514,0.0001,4287,0.04,0.0021
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v90-c8010-S775210372-041.UNKNOWN.cnf,1,10.5497,0.0778,0.0778,0.0778,10.4131,0.0778,15,19,15,12,15.3671,0.0111,15.365,12,19,0.071,0.6625,90,90,4329,4362,0.1855,0.0001,4236,0.7487,4298,4543,4236,0,4404,0.0849,0.0049
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,9.6703,0.0455,0.0455,0.0455,8.7044,0.0455,22,27,22,18,21.9929,0.0457,21.9929,18,27,0.0341,0.5591,110,110,4256,4278.25,0.1619,0.0016,4227,0.6975,4237,4397,4227,0.0009,4356,0.0619,0.0088
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1850025790-078.cnf,1,10.0267,0.0455,0.0455,0.0455,9.0747,0.0455,22,26,22,17,21.9697,0.0456,21.9015,18,27,0.0359,0.5605,110,110,4266,4277.375,0.1617,0.0014,4192,0.704,4227,4419,4192,0.0009,4385,0.0568,0.0082
SAT_Competition2007/random/LargeSize/3SAT/v13000/unif-k3-r4.2-v13000-c54600-S2045682869-15.cnf,1,580,0.0002,0.0002,0.0005,541.35,0.0002,2779,2824,2759,2674,2632,0.0005,2508.18,2694,2809,0,0.2293,13000,12681,11,12.4356,0.3321,0.0788,7,0.3014,9,18,5,0.0461,15,0.0008,0.0001
SAT_Competition2007/random/OnTreshold/7SAT/v50/unif-k7-r89-v50-c4450-S1718130589-01.SAT.shuffled.cnf,1,6.8891,0.14,0.14,0.14,6.3715,0.14,9,11,9,6,8.835,0.011,8.9002,6,12,0.1245,0.7049,50,50,4579,4584,0.231,0.0001,4553,0.7737,4555,4646,4553,0,4587,0.1492,0.0088
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,1371.43,0.0002,0.0002,0.0003,308.067,0.0002,3804,3840,3863,0,3808.6,0.0004,3309.43,3760,3874,0,0.2391,18000,17527,8,8.2292,0.441,0.0799,5,0.3044,6,12,4,0.048,10,0.0005,0.0001
SAT_Competition2007/random/OnTreshold/7SAT/v75/unif-k7-r89-v75-c6675-S1762817022-10.UNSAT.shuffled.cnf,1,9.5164,0.0933,0.0933,0.0933,8.9854,0.0933,13,16,13,10,12.8971,0.0111,12.8651,10,16,0.0851,0.6746,75,75,4376,4432.6,0.1987,0.0001,4325,0.7539,4360,4559,4325,0,4543,0.105,0.0057
SAT_Competition2009/RANDOM/MEDIUM/5SAT/UNKNOWN/110/unif-k5-r21.3-v110-c2343-S257485978-084.cnf,1,9.8923,0.0455,0.0455,0.0455,8.9041,0.0455,22,27,22,17,21.9807,0.0456,21.9356,18,27,0.0359,0.5592,110,110,4249,4253.875,0.1622,0.0015,4158,0.7097,4202,4378,4158,0.001,4374,0.0563,0.0088
SAT_Competition2007/random/OnTreshold/3SAT/v650/unif-k3-r4.261-v650-c2769-S1172355929-14.SAT.shuffled.cnf,1,20.4265,0.0048,0.0048,0.0079,16.5324,0.0047,140,152,140,129,140.333,0.0095,140.408,130,152,0.0018,0.31,650,633,3736,3772.7143,0.0634,0.082,3595,0.5247,3618,4067,3595,0.0486,3919,0.0095,0.0024
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/100/unif-k5-r21.3-v100-c2130-S1920888253-090.cnf,1,8.7154,0.05,0.05,0.05,7.8161,0.05,20,25,20,16,20.0942,0.046,20.1016,16,24,0.0376,0.5668,100,100,4286,4300.75,0.1681,0.0016,4231,0.7094,4264,4446,4231,0.001,4349,0.0629,0.0101
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1909130260-19-SAT.cnf,1,45.5847,0.0012,0.0012,0.0035,37.1889,0.0008,539,557,537,515,538.215,0.0024,536.403,517,561,0.0001,0.2236,3500,2574,2126,1845,0.0649,0.1673,1096,0.5327,1281,2918,955,0.1031,2169,0.0045,0.0005
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v125-c2662-S236776564-037.SATISFIABLE.cnf,1,10.7963,0.04,0.04,0.04,9.6553,0.04,25,30,25,20,24.8788,0.0451,24.9176,20,30,0.0319,0.5531,125,125,4173,4201.375,0.1513,0.0014,4148,0.7022,4165,4304,4148,0.0009,4304,0.0511,0.0074
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1516725086-012.UNKNOWN.cnf,1,8.9636,0.1,0.1,0.1,8.6014,0.1,12,15,12,9,12.0504,0.0111,12.0581,9,15,0.0928,0.6792,70,70,4430,4443.8333,0.2096,0.0001,4338,0.761,4386,4583,4338,0,4521,0.1085,0.0065
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/220/unif-k7-r85-v220-c18700-S1961115887-052.cnf,1,19.5931,0.0318,0.0318,0.0318,20.0629,0.0318,36,42,36,30,36,0.0117,36.0753,30,42,0.0281,0.6297,220,220,355,457.0714,0.1407,0.0001,259,0.7456,299,550,247,0.0001,421,0.0355,0.002
