@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 1'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC

@DATA
adder-10-sat-shuffled,1,1.053282
adder-10-unsat-shuffled,1,0.377808
adder-12-sat-shuffled,1,1.053268
adder-12-unsat-shuffled,1,0.377757
adder-14-sat-shuffled,1,1.053205
adder-14-unsat-shuffled,1,0.377683
adder-16-unsat-shuffled,1,0.377608
Adder2-10-s-shuffled,1,0.217819
Adder2-4-s-shuffled,1,0.214947
Adder2-6-c-shuffled,1,0.144914
Adder2-6-s-shuffled,1,0.216597
adder-4-sat-shuffled,1,1.049057
adder-6-sat-shuffled,1,1.052423
adder-8-sat-shuffled,1,1.053136
adder-8-unsat-shuffled,1,0.377768
aim-100-1_6-yes1-3-50-shuffled,1,0.306905
aim-100-1_6-yes1-3-90-shuffled,1,0.360902
aim-100-2_0-yes1-2-50-shuffled,1,0.317073
aim-100-2_0-yes1-2-90-shuffled,1,0.359375
aim-100-3_4-yes1-1-90-shuffled,1,0.367626
aim-100-6_0-yes1-1-90-shuffled,1,0.369092
aim-100-6_0-yes1-3-90-shuffled,1,0.370066
aim-100-6_0-yes1-4-90-shuffled,1,0.369852
aim-200-1_6-yes1-2-90-shuffled,1,0.360387
aim-200-1_6-yes1-4-90-shuffled,1,0.359643
aim-200-2_0-yes1-2-90-shuffled,1,0.360961
aim-200-3_4-yes1-1-90-shuffled,1,0.367207
aim-200-3_4-yes1-4-90-shuffled,1,0.367398
aim-50-1_6-yes1-1-00-shuffled,1,0.262821
aim-50-1_6-yes1-1-90-shuffled,1,0.369369
aim-50-1_6-yes1-2-00-shuffled,1,0.246253
aim-50-1_6-yes1-2-50-shuffled,1,0.288945
aim-50-1_6-yes1-3-00-shuffled,1,0.248927
aim-50-1_6-yes1-4-50-shuffled,1,0.31701
aim-50-1_6-yes1-4-90-shuffled,1,0.371601
aim-50-2_0-yes1-1-90-shuffled,1,0.363855
aim-50-2_0-yes1-2-50-shuffled,1,0.3159
aim-50-2_0-yes1-3-90-shuffled,1,0.362981
aim-50-3_4-yes1-2-90-shuffled,1,0.366522
aim-50-3_4-yes1-3-90-shuffled,1,0.363506
aim-50-6_0-yes1-3-50-shuffled,1,0.358974
aim-50-6_0-yes1-4-90-shuffled,1,0.371594
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.090828
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.12517
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.049117
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.018382
