@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 1'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_table_count NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0
1-fullins-3-4.xml.watchless.minion.gz,1,0
1-fullins-4-4.xml.watchless.minion.gz,1,0
1-fullins-4-5.xml.watchless.minion.gz,1,0
1-fullins-5-4.xml.watchless.minion.gz,1,0
1-fullins-5-5.xml.watchless.minion.gz,1,0
1-fullins-5-6.xml.watchless.minion.gz,1,0
1-insertions-4-3.xml.watchless.minion.gz,1,0
1-insertions-4-4.xml.watchless.minion.gz,1,0
1-insertions-5-4.xml.watchless.minion.gz,1,0
1-insertions-5-5.xml.watchless.minion.gz,1,0
1-insertions-5-6.xml.watchless.minion.gz,1,0
1-insertions-6-4.xml.watchless.minion.gz,1,0
1-insertions-6-5.xml.watchless.minion.gz,1,0
1-insertions-6-6.xml.watchless.minion.gz,1,0
1-insertions-6-7.xml.watchless.minion.gz,1,0
2-fullins-3-4.xml.watchless.minion.gz,1,0
2-fullins-3-5.xml.watchless.minion.gz,1,0
2-fullins-4-4.xml.watchless.minion.gz,1,0
2-fullins-4-5.xml.watchless.minion.gz,1,0
2-fullins-4-6.xml.watchless.minion.gz,1,0
2-fullins-5-4.xml.watchless.minion.gz,1,0
2-fullins-5-5.xml.watchless.minion.gz,1,0
2-fullins-5-6.xml.watchless.minion.gz,1,0
2-fullins-5-7.xml.watchless.minion.gz,1,0
2-insertions-3-3.xml.watchless.minion.gz,1,0
2-insertions-3-4.xml.watchless.minion.gz,1,0
2-insertions-4-3.xml.watchless.minion.gz,1,0
2-insertions-4-4.xml.watchless.minion.gz,1,0
2-insertions-4-5.xml.watchless.minion.gz,1,0
2-insertions-5-3.xml.watchless.minion.gz,1,0
2-insertions-5-4.xml.watchless.minion.gz,1,0
2-insertions-5-5.xml.watchless.minion.gz,1,0
2-insertions-5-6.xml.watchless.minion.gz,1,0
3-fullins-3-5.xml.watchless.minion.gz,1,0
3-fullins-3-6.xml.watchless.minion.gz,1,0
3-fullins-4-5.xml.watchless.minion.gz,1,0
3-fullins-4-6.xml.watchless.minion.gz,1,0
3-fullins-4-7.xml.watchless.minion.gz,1,0
3-fullins-5-5.xml.watchless.minion.gz,1,0
3-fullins-5-6.xml.watchless.minion.gz,1,0
3-fullins-5-7.xml.watchless.minion.gz,1,0
3-fullins-5-8.xml.watchless.minion.gz,1,0
3-insertions-3-3.xml.watchless.minion.gz,1,0
3-insertions-3-4.xml.watchless.minion.gz,1,0
3-insertions-4-3.xml.watchless.minion.gz,1,0
3-insertions-4-4.xml.watchless.minion.gz,1,0
3-insertions-4-5.xml.watchless.minion.gz,1,0
3-insertions-5-3.xml.watchless.minion.gz,1,0
3-insertions-5-4.xml.watchless.minion.gz,1,0
3-insertions-5-5.xml.watchless.minion.gz,1,0
3-insertions-5-6.xml.watchless.minion.gz,1,0
4-fullins-3-6.xml.watchless.minion.gz,1,0
4-fullins-3-7.xml.watchless.minion.gz,1,0
4-fullins-4-6.xml.watchless.minion.gz,1,0
4-fullins-4-7.xml.watchless.minion.gz,1,0
4-fullins-4-8.xml.watchless.minion.gz,1,0
4-fullins-5-5.xml.watchless.minion.gz,1,0
4-fullins-5-6.xml.watchless.minion.gz,1,0
4-fullins-5-7.xml.watchless.minion.gz,1,0
4-fullins-5-8.xml.watchless.minion.gz,1,0
4-insertions-3-3.xml.watchless.minion.gz,1,0
4-insertions-3-4.xml.watchless.minion.gz,1,0
4-insertions-4-3.xml.watchless.minion.gz,1,0
4-insertions-4-4.xml.watchless.minion.gz,1,0
4-insertions-4-5.xml.watchless.minion.gz,1,0
5-fullins-3-6.xml.watchless.minion.gz,1,0
5-fullins-3-7.xml.watchless.minion.gz,1,0
5-fullins-3-8.xml.watchless.minion.gz,1,0
5-fullins-4-6.xml.watchless.minion.gz,1,0
5-fullins-4-7.xml.watchless.minion.gz,1,0
5-fullins-4-8.xml.watchless.minion.gz,1,0
5-fullins-4-9.xml.watchless.minion.gz,1,0
abb313GPIA-10.xml.watchless.minion.gz,1,0
abb313GPIA-5.xml.watchless.minion.gz,1,0
abb313GPIA-7.xml.watchless.minion.gz,1,0
abb313GPIA-8.xml.watchless.minion.gz,1,0
abb313GPIA-9.xml.watchless.minion.gz,1,0
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,154
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,156
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,156
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,157
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,157
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,150
