@RELATION 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE cluster_coeff_entropy NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE cl_num_max NUMERIC

@DATA
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.180-SAT.cnf,1,93.0417,0,0.6925,0.0005,?,?,0.0001,0.276,1.6658,0.0004,0,2.1752,0,0.9608,?,0.9938,150,0,150,?,0,150,?,?,?,?,?,?,1.6503,0,0,0,0.5031,1,0.3261,0.6483,0.7896,0.057,0.2772,0.2482,13169160,587927,10311015,0,3.3399,0,1.9081,0.0004,1.7385,0.4264,0,0,0.0023,0.9978,0.1785,0,0.9608,0,0,0.1952,0,0,0,0
./SAT07/industrial/jarvisalo/eq.atree.braun.12.unsat.cnf,1,0.8086,0.001,0.5956,0.0072,0.4014,0.0034,0.0019,0.9708,1.9744,0.005,0.0011,0.5948,0.0004,0.5004,0.001,0.5,7,0.0716,10,0.0296,0.9718,8.9931,3.4677,0.5662,0.015,2.8826,0.2707,0.3405,2.0475,0,0.303,0,0.8349,1,0.0901,1.1951,0.3448,0.241,0.1845,0.4541,5726,1165,4834,0.0026,0.3811,0.0017,0.2991,0.0052,2.4287,0.0776,0.0014,0.0026,0.0215,0.8775,0.9511,0,0.217,738.5,532,0.2252,244,0.0555,230,1358
./SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,5.9227,0,0.9599,0.0007,?,?,0.0002,0.4539,2.6061,0.0006,0,2.322,0,0.1144,?,0.5,7,0,7,?,0,7,?,?,?,?,?,?,1.7163,0,0,0,2.8639,1,0.0361,0.4399,0.0538,0.0349,0,0.004,742909,25957,742878,0.0001,0.1466,0.0001,1.308,0.0011,5.1632,0.0223,0,0.0001,0.0002,0.1821,0.5907,0,0.0599,0,0,0.2681,4325,1.4142,0,0
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom19.cnf,1,0.7975,0.0001,1.7457,0.0057,?,?,0.0003,0.2552,2.3075,0.0015,0.0001,2.2246,0,0.381,?,0.875,4,0.0978,6,?,0.7721,5.4613,?,?,?,?,?,?,2.2716,0,0.3772,0,0.6773,1,0.2438,1.5239,0.4287,0.1806,0.539,1.5488,134663,15806,87498,0.0002,0.7111,0.0001,1.9911,0.0043,2.4355,0.2013,0.0001,0.0002,0.0023,0.7225,1.3504,0,0.1279,1561,873,0.0717,4323.5,0.49,0,2373
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf,1,1.309,0,3.187,0.0074,?,?,0.0001,0.365,2.1823,0.0055,0,3.28,0,0.5949,?,0.9692,8,0.0442,9,?,0.4816,8.8132,?,?,?,?,?,?,2.0293,0,0.805,0,0.7402,1,0.1487,1.4799,0.4843,0.2004,2.2619,4.6487,768347,47208,235550,0.0001,0.6103,0,3.3066,0.0085,2.5401,0.1025,0,0.0001,0.0014,0.7876,1.3327,0,0.2604,30.9231,5,0.1621,11591,0,11591,92
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom18.cnf,1,0.5586,0.0001,1.7017,0.006,?,?,0.0003,0.3103,2.3203,0.0016,0.0001,2.1569,0,0.3813,?,0.875,4,0.0971,6,?,0.764,5.4545,?,?,?,?,?,?,2.2958,0,0.2772,0,0.678,1,0.244,1.5243,0.4305,0.1808,0.5418,1.5533,121578,14260,78857,0.0003,0.7096,0.0001,1.9345,0.0045,2.4545,0.2012,0.0001,0.0003,0.0025,0.7229,1.3547,0,0.1305,1203.6667,932,0.0764,3929,0.0208,3805,1899
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,1.757,0,1.7597,0.0083,?,?,0.0001,0.1065,2.5155,0.0071,0,2.377,0,0.4435,?,0.9658,7,0.0654,8,?,0.6569,7.3662,?,?,?,?,?,?,2.8827,0,1.1178,0,0.692,1,0.1496,1.7696,0.3756,0.1323,1.3544,4.9941,582994,32750,247614,0.0001,0.3744,0.0001,2.0163,0.0142,2.9961,0.1713,0,0.0001,0.0015,0.468,1.6206,0,0.1194,359.4667,89,0.0268,4575.5,1.4142,0,1444
./SAT09/APPLICATIONS/bitverif/maxor/maxor128.cnf,1,3.8009,0,3.0828,0.0022,?,?,0,0.6036,1.7529,0.0009,0,1.6769,0,0.5216,?,0.8483,5,0.0858,7,?,0.5965,6.7455,?,?,?,?,?,?,2.2843,0,0,0,0.7789,1,0.1814,1.3966,0.4387,0.214,0.7553,1.7447,598619,72981,341039,0,1.0202,0,2.378,0.0021,2.1095,0.1641,0,0,0.0018,0.826,1.221,0,0.2671,153,153,0.2134,0,0,0,153
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.120-NOTKNOWN.cnf,1,62.0969,0,0.7131,0.0009,?,?,0.0001,0.3936,1.8472,0.0007,0,2.1695,0,0.9602,?,0.9938,89,0.0045,90,?,0.5004,89.8,?,?,?,?,?,?,1.7796,0,0,0,0.5086,1,0.3246,0.656,0.786,0.0581,0.4827,0.4244,8779920,343787,5921775,0,3.2944,0,1.8993,0.0007,1.9226,0.425,0,0,0.0039,0.9977,0.1822,0,0.9602,0,0,0.2399,0,0,0,0
./SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k80.cnf,1,5.2044,0,0.9339,0.0005,?,?,0,0.2195,2.8203,0.0003,0,1.1895,0,0.603,?,0.9111,65,0.049,76,?,2.4849,70.5,?,?,?,?,?,?,3.2477,0,1.0145,0,1.0307,1,0.1635,1.796,0.3633,0.1559,0.3948,1.1505,686589,76755,492233,0,0.6191,0,1.3111,0.0007,3.1956,0.2093,0,0,0.0002,0.7262,1.5008,0,0.5118,59.1,21,0.0774,0,0,0,222
