@RELATION 'featureValues_ASP_Potassco-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Running_Avg_LBD-4 NUMERIC
@ATTRIBUTE Learnt_from_Loop-1 NUMERIC
@ATTRIBUTE Frac_Learnt_from_Loop-1 NUMERIC
@ATTRIBUTE Literals_in_Conflict_Nogoods-1 NUMERIC
@ATTRIBUTE Literals_in_Loop_Nogoods-1 NUMERIC
@ATTRIBUTE Frac_Literals_in_Conflict_Nogoods-1 NUMERIC
@ATTRIBUTE Frac_Literals_in_Loop_Nogoods-1 NUMERIC
@ATTRIBUTE Frac_Learnt_from_Conflict-1 NUMERIC
@ATTRIBUTE Learnt_from_Conflict-1 NUMERIC
@ATTRIBUTE Other_Constraints NUMERIC
@ATTRIBUTE Avg_LBD_Levels-1 NUMERIC
@ATTRIBUTE Frac_Ternary_Constraints NUMERIC
@ATTRIBUTE Frac_Other_Constraints NUMERIC
@ATTRIBUTE Choices-1 NUMERIC
@ATTRIBUTE Conflicts/Choices-1 NUMERIC
@ATTRIBUTE Avg_Conflict_Levels-1 NUMERIC

@DATA
FolioSuite/ASP-Comp-2007-Lparse/SLparse/15-PuzzleCompetition/15-puzzle.init6.gz,1,2.81,0,0,619,0,1,0,1,32,554,3.875,0.2845,0.005,109,0.2936,17.9062
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721326970.dat.data.gz,1,7.73,0,0,911,0,1,0,1,32,329,12.4375,0.006,0.9821,89,0.3596,36.3125
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721310106.dat.data.gz,1,8.16,0,0,917,0,1,0,1,33,330,12.6667,0.0119,0.9851,71,0.4648,33.0909
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721283013.dat.data.gz,1,7.77,0,0,802,0,1,0,1,32,328,8.4062,0.006,0.985,100,0.32,22.7188
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721351180.dat.data.gz,1,8.23,0,0,953,0,1,0,1,32,325,16.25,0.0091,0.9909,84,0.381,40.375
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/104_rand_45_250_1727044175_0.gph.gz,1,23.23,0,0,579,0,1,0,1,32,301,17.75,0.9819,0.0011,511,0.0626,44.1562
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700139777_0.gph.gz,1,16.7,0,0,509,0,1,0,1,32,243,15.4375,0.9806,0.0015,342,0.0936,44.3438
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700137086_0.gph.gz,1,20.45,0,0,453,0,1,0,1,32,245,13.4688,0.9805,0.0015,310,0.1032,50.125
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/104_rand_45_250_1727042043_0.gph.gz,1,5.94,0,0,32,0,1,0,1,32,305,1,0.9822,0.0012,64,0.5,2
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700165461_0.gph.gz,1,21.3,0,0,430,0,1,0,1,32,242,12.75,0.9806,0.0015,301,0.1063,41.4688
