@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,1,1,6.074257,0.164629,0
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,1,1,11.514184,0.086849,0
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,1,1,4.325,0.231214,0
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,1,1,3.462687,0.288793,0
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,1,1,1.964286,0.509091,0
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,1,1,6.592965,0.151677,0
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,1,1,3.72242,0.268642,0
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,1,1,6.592965,0.151677,0
normalized-37s-smv.xml.mzn_AND_NODATA,1,1,1,2.535294,0.394432,0
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,1,1,10.439868,0.095787,0
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,1,1,10.439868,0.095787,0
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,1,1,14.320423,0.06983,0
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,1,1,8.701235,0.114926,0
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,1,1,10.439868,0.095787,0
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,1,1,3.778947,0.264624,0
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,1,1,5.142857,0.194444,0
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,1,1,5.142857,0.194444,0
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,1,1,6.074257,0.164629,0
normalized-46s-smv.xml.mzn_AND_NODATA,1,1,1,1.723945,0.580065,0
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,1,1,3.72242,0.268642,0
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,1,1,3.865385,0.258706,0
