@RELATION 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC

@DATA
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0.3918,0,0.0097,0.4952,0,0.4946,0.0445,18.2995,0.1301,0.4947,0.4944,0.009,1.7953,0.0908,0.1593,1.0475,0.017,1.318,0.4949,0.0429,0,1.3505,0.8047,0.2457,2,18.2995,2,?,29282,0.6075,20.7031,0.0005
SAT_Competition2009/CRAFTED/Hard/contest05/phnf/phnf-size10-exclusive-philo.used-as.sat04-988.sat05-4195.reshuffled-07.cnf,1,0.2671,0.0267,0.6494,0.5,0,0.0576,0.4958,0,0.0013,0.1626,0.007,0.6075,19.355,0.7927,0.9864,21.4704,0.8254,5.5801,0.2899,0,0.8587,1.2297,1.0218,0.467,6.6667,0,7,?,1711065,0.0246,0,1.1702
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_8_all.cnf,1,0.2509,0,0.9093,0.099,0,0.0148,0.6262,25.887,0.0037,0.0334,0,0.8609,8.6144,0.7431,0.9738,6.6262,0.5166,2.5799,0.064,0.0146,0.6918,0.9606,0.4072,0.7822,5.7407,25.887,7,1.0454,37237,0.3204,29.0986,1.158
SAT_Competition2009/CRAFTED/Difficult/contest05/QG/QG6-gensys-icl001.sat05-2695.reshuffled-07.cnf,1,0.2306,0.2206,0.1152,1,0,0.4995,0.5308,11.8763,0.6034,0.4999,0.4909,2.5476,0.8134,0.6647,0.7998,0.1889,0.4259,3.3497,0.5,0,0.0905,2.9418,0.8986,0.289,4.444,11.5542,6,?,8013,0.4289,13.8079,0.3429
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0.0212,0.0118,0.7118,0.0001,0,0,0.8685,57.779,0.0058,0,0,0.1369,39.6578,0.8879,0.9115,40.4693,1.9114,4.5707,0,0.8382,0.9756,0.8223,1.0161,0.4897,2,57.499,2,?,66810,0.8724,59.4153,3.1726
SAT_Competition2007/crafted/spence/medium/s93-100.cnf,1,1.4096,0,0.5,0.3227,1,0.3197,0.0016,15.0611,0.0459,0.3207,0.3145,0,0.9011,0.0047,0.0598,0.552,0,0.3413,0.3213,0.0001,0,0,0,1,5.3913,15.0611,6,0.0861,196,0.8308,15.5123,0.0544
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g4.cnf,1,0.0195,0.0201,0.9349,0,0.8,0,0.7887,44.1493,0.0057,0,0,0.2605,27.0562,0.7982,0.8206,32.0406,1.4631,4.8,0,0.7637,0.9349,0.2431,0.0236,0.9939,3.0022,43.7621,4,?,61409,0.7651,50.6621,8.7813
SAT_Competition2009/CRAFTED/edgematching/compact/em_9_3_5_cmp.cnf,1,0.331,0,0.6497,0.3668,0,0.028,0.3654,18.8218,0.0056,0.2564,0.0206,1.0494,1.3762,0.5653,0.9675,0.1621,0.7612,2.64,0.3099,0.0004,0.1147,1.1159,0.4991,0.3999,5.7877,18.4355,7,?,39932,0.0738,19.3202,1.1336
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf,1,0.0202,0.013,0.7267,0,0,0,0.8555,58.1329,0.0059,0,0,0.187,34.3686,0.8659,0.8934,33.731,1.9953,4.8125,0,0.8333,0.9642,0.8872,1.0167,0.4874,2,56.5472,2,?,69990,0.7793,59.7424,3.2712
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.4123,0.2192,0.0646,0.1319,0.3333,0.011,0.2068,21.5996,0.0258,0.0222,0.0043,0.8565,4.0415,0.4881,0.9033,2.024,0.4074,4.6596,0.0451,0.0016,0,0.7312,0.3529,0.8204,3,21.5996,3,?,12647,0.3481,22.1514,1.2079
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,0.0842,0.0124,0.9519,0,0.8333,0,0.7188,56.8601,0.0025,0,0,0.2047,43.5979,0.7968,0.8802,53.0447,1.8071,5.4935,0,0.59,0.9519,0.1932,0.0143,0.9968,3,53.9396,3,?,215164,0.7815,57.2606,6.4664
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n220-s24359701-sat.cnf,1,0.0001,0,0.6117,0.2295,0,0.2295,0.5831,32.4793,0.0114,0.2295,0.2295,0.4506,1.0772,0.5832,0.5832,0.5588,0.4472,0,0.2295,0.5831,0.8333,1.1161,0.9821,0.478,4.6849,32.4793,5,0.3252,528,0.6644,34.9356,0.0001
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0.1476,0,0.9332,0.2259,0,0.0085,0.9636,0,0.0004,0.0119,0.0038,0.4533,38.4923,0.9849,0.9935,21.2439,0.8469,2.8077,0.0232,0.0022,0.8788,0.4809,0.2326,0.9204,5.4615,0,7,?,1884008,0.1985,0,1.2403
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,0.0001,0.0408,0.7577,0.0046,1,0.0046,0.5027,29.2469,0.0163,0.0046,0.0046,0.682,6.8948,0.5027,0.5028,6.7881,0.592,0,0.0046,0.5026,0.0306,0,0,1,2,29.2469,2,?,12240,0.9528,29.2469,0.0003
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-30-19-20.sat05-1256.reshuffled-07.cnf,1,0.0429,0.0003,0.4985,0.1905,0,0.0655,0.8653,50.8289,0.0064,0.0982,0.0218,0.4109,38.0219,0.8877,0.9277,21.8594,1.4555,1.3924,0.1116,0.7289,0.0297,0.9766,0.6408,0.4754,3.1351,47.0143,4,?,179315,0.5879,59.4808,0.6611
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-210-1.sat05-2158.reshuffled-07.cnf,1,0,0,0.5024,0.042,0.3333,0.042,0,26.1346,0.0143,0.042,0.042,0,1.2135,0,0,0.4996,0,0,0.042,0,0,0.5623,0.5774,0.5,6.0431,26.1346,7,0.0489,840,0.5934,26.2191,0.0001
SAT_Competition2009/CRAFTED/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf,1,0,0,0.2922,0.3833,0,0.3831,0,21.3289,0.025,0.3832,0.3831,0,1.0493,0,0,0.4919,0,0,0.3832,0,0,0.9882,0.9265,0.3656,8.2453,20.6901,9,0,640,0.3159,22.1489,0.0001
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/unforced/rbsat-v760c43649g2.cnf,1,0.0218,0.0177,0.9256,0,0.8333,0,0.7684,45.3485,0.0064,0,0,0.2874,24.1578,0.7789,0.802,28.4218,1.3923,4.7382,0,0.7447,0.9256,0.2703,0.0277,0.9923,3,45.0544,3,?,43649,0.8123,46.1742,4.4549
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,1.3487,0.1157,0.3628,0.1012,0,0.0665,0,28.2247,0.0074,0.0697,0.0548,0.6154,0.4409,0.0061,0.1343,0.2381,0.1406,1.2642,0.0698,0,0.0451,1.2804,0.842,0.401,6.8981,28.2247,8,0.4223,19785,0.0498,55.1071,0.2261
SAT_Competition2009/CRAFTED/Medium/contest05/pebbling/unsat-pbl-00080.sat05-1325.reshuffled-07.cnf,1,0.4894,0.1312,0.0446,0.4996,0,0.4293,0.1544,10.1159,0.2934,0.4675,0.361,1.54,8.0375,0.2856,0.7167,6.5323,0.2485,4.2116,0.4824,0.0088,0.0013,2.402,0.7077,0.3847,4.2025,9.9442,5,?,11604,0.5085,11.0323,0.2276
SAT_Competition2009/CRAFTED/edgematching/explicit/em_7_3_6_exp.cnf,1,0.3375,0,0.8469,0.0809,0,0.0269,0.2758,15.0009,0.005,0.0413,0.0033,0.9833,4.8371,0.7421,0.9624,3.3667,0.577,2.8682,0.053,0.0923,0.5979,1.117,0.4888,0.7047,5.7022,13.7785,7,0.7721,22887,0.1854,18.9517,0.7872
SAT_Competition2011/SAT07/crafted/spence/hard/s113-100.cnf,1,1.6635,0,0.5,0.3245,1,0.3217,0.0011,16.0966,0.0508,0.3225,0.314,0,0.822,0.0033,0.0685,0.4951,0,0.3057,0.3237,0.0001,0,0,0,1,5.8661,16.0966,6,0.086,236,0.82,17.1418,0.0597
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0,0,0.3233,0.3797,0,0.3662,0,19.0963,0.069,0.373,0.3222,0.3326,1.452,0,0,1.2021,0.0782,0.6066,0.3786,0,0,1.1977,0.8477,0.3879,5,19.0125,5,0.0467,232,0.9971,19.2363,0.068
SAT_Competition2007/crafted/Medium/contest05/others/QG7-gensys-icl001.sat05-2926.reshuffled-07.cnf,1,0.1143,0.4619,0.4329,0.9774,0,0.0345,0.7446,32.3552,0.0278,0.0398,0.0262,1.091,6.2979,0.8135,0.9234,4.528,0.4589,3.1953,0.4198,0.0003,0.3387,1.3824,0.9132,0.4093,3.88,32.3552,5,0.8192,14889,0.5801,33.1216,1.797
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf,1,0,0,0.2946,0.3832,0,0.3831,0,22.0862,0.0286,0.3832,0.3831,0,1.1033,0,0,0.5264,0,0,0.3832,0,0,1.0038,0.9544,0.3643,7,20.7128,7,0,560,0.3338,22.3787,0.0001
SAT_Competition2009/CRAFTED/Hard/contest04/others/ramsey.sat05-511.reshuffled-07.cnf,1,0,0,0.1047,0.0005,0,0.0005,0,30.6719,0.0392,0.0005,0.0005,0,1.8778,0,0,1.4088,0,0,0.0005,0,0,1.1311,0.8518,0.3057,2,30.6719,2,?,6120,0.5688,32.3808,0.0001
SAT_Competition2011/SAT02/handmade/zhang-lintao/xor-chain/x1_80.shuffled.cnf,1,0,0.0032,0.3339,0.3804,0,0.3644,0,26.6047,0.0253,0.3717,0.3186,0.3798,1.0809,0,0,0.742,0.0858,0.6518,0.3777,0,0,1.23,0.8484,0.3892,6.8802,26.1054,7,0.0681,634,0.9789,28.9112,0.0776
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.0152,0.0182,0.6424,0.2198,0,0.1925,0.8041,29.0587,0.0333,0.2006,0.185,0.5281,2.9631,0.806,0.8242,3.0021,0.9539,0,0.2009,0.7776,0.8121,1.0987,1.0372,0.4599,3,29.0587,3,0.3794,672,0.8708,29.1234,0.0479
